0:	test: 0.5657028	best: 0.5657028 (0)	total: 1.15s	remaining: 9m 34s
1:	test: 0.5981010	best: 0.5981010 (1)	total: 2.22s	remaining: 9m 12s
2:	test: 0.6003821	best: 0.6003821 (2)	total: 3.31s	remaining: 9m 7s
3:	test: 0.5996466	best: 0.6003821 (2)	total: 4.39s	remaining: 9m 5s
4:	test: 0.6006234	best: 0.6006234 (4)	total: 5.47s	remaining: 9m 1s
5:	test: 0.6006717	best: 0.6006717 (5)	total: 6.53s	remaining: 8m 57s
6:	test: 0.6015268	best: 0.6015268 (6)	total: 7.62s	remaining: 8m 56s
7:	test: 0.6015054	best: 0.6015268 (6)	total: 8.67s	remaining: 8m 53s
8:	test: 0.6015155	best: 0.6015268 (6)	total: 9.74s	remaining: 8m 51s
9:	test: 0.6086266	best: 0.6086266 (9)	total: 11.3s	remaining: 9m 13s
10:	test: 0.6086098	best: 0.6086266 (9)	total: 12.9s	remaining: 9m 31s
11:	test: 0.6101729	best: 0.6101729 (11)	total: 14.4s	remaining: 9m 45s
12:	test: 0.6102035	best: 0.6102035 (12)	total: 16s	remaining: 9m 58s
13:	test: 0.6102406	best: 0.6102406 (13)	total: 17.6s	remaining: 10m 9s
14:	test: 0.6109326	best: 0.6109326 (14)	total: 19.6s	remaining: 10m 33s
15:	test: 0.6109507	best: 0.6109507 (15)	total: 21.7s	remaining: 10m 55s
16:	test: 0.6494623	best: 0.6494623 (16)	total: 23.8s	remaining: 11m 15s
17:	test: 0.6494812	best: 0.6494812 (17)	total: 25.5s	remaining: 11m 23s
18:	test: 0.6494852	best: 0.6494852 (18)	total: 27.6s	remaining: 11m 38s
19:	test: 0.6494753	best: 0.6494852 (18)	total: 29.1s	remaining: 11m 39s
20:	test: 0.6494574	best: 0.6494852 (18)	total: 31.2s	remaining: 11m 51s
21:	test: 0.6494603	best: 0.6494852 (18)	total: 33.6s	remaining: 12m 9s
22:	test: 0.6495604	best: 0.6495604 (22)	total: 35.9s	remaining: 12m 23s
23:	test: 0.6517645	best: 0.6517645 (23)	total: 37.8s	remaining: 12m 29s
24:	test: 0.6533971	best: 0.6533971 (24)	total: 40.3s	remaining: 12m 46s
25:	test: 0.6533719	best: 0.6533971 (24)	total: 41.9s	remaining: 12m 43s
26:	test: 0.6533986	best: 0.6533986 (26)	total: 43.4s	remaining: 12m 40s
27:	test: 0.6534213	best: 0.6534213 (27)	total: 45s	remaining: 12m 39s
28:	test: 0.6534429	best: 0.6534429 (28)	total: 46.9s	remaining: 12m 41s
29:	test: 0.6534491	best: 0.6534491 (29)	total: 48.5s	remaining: 12m 39s
30:	test: 0.6534412	best: 0.6534491 (29)	total: 49.5s	remaining: 12m 28s
31:	test: 0.6534362	best: 0.6534491 (29)	total: 51.1s	remaining: 12m 27s
32:	test: 0.6534520	best: 0.6534520 (32)	total: 52.2s	remaining: 12m 18s
33:	test: 0.6534563	best: 0.6534563 (33)	total: 53.7s	remaining: 12m 16s
34:	test: 0.6534583	best: 0.6534583 (34)	total: 54.9s	remaining: 12m 8s
35:	test: 0.6534523	best: 0.6534583 (34)	total: 56.7s	remaining: 12m 10s
36:	test: 0.6534590	best: 0.6534590 (36)	total: 58s	remaining: 12m 6s
37:	test: 0.6535836	best: 0.6535836 (37)	total: 59.9s	remaining: 12m 8s
38:	test: 0.6535770	best: 0.6535836 (37)	total: 1m 1s	remaining: 12m 1s
39:	test: 0.6535887	best: 0.6535887 (39)	total: 1m 2s	remaining: 12m
40:	test: 0.6535984	best: 0.6535984 (40)	total: 1m 3s	remaining: 11m 53s
41:	test: 0.6536038	best: 0.6536038 (41)	total: 1m 5s	remaining: 11m 49s
42:	test: 0.6536018	best: 0.6536038 (41)	total: 1m 6s	remaining: 11m 43s
43:	test: 0.6536008	best: 0.6536038 (41)	total: 1m 7s	remaining: 11m 39s
44:	test: 0.6535832	best: 0.6536038 (41)	total: 1m 8s	remaining: 11m 33s
45:	test: 0.6535958	best: 0.6536038 (41)	total: 1m 9s	remaining: 11m 27s
46:	test: 0.6535948	best: 0.6536038 (41)	total: 1m 10s	remaining: 11m 20s
47:	test: 0.6535880	best: 0.6536038 (41)	total: 1m 11s	remaining: 11m 17s
48:	test: 0.6535879	best: 0.6536038 (41)	total: 1m 12s	remaining: 11m 9s
49:	test: 0.6535727	best: 0.6536038 (41)	total: 1m 13s	remaining: 11m 2s
50:	test: 0.6535670	best: 0.6536038 (41)	total: 1m 14s	remaining: 10m 55s
51:	test: 0.6535713	best: 0.6536038 (41)	total: 1m 15s	remaining: 10m 49s
52:	test: 0.6535728	best: 0.6536038 (41)	total: 1m 16s	remaining: 10m 42s
53:	test: 0.6535776	best: 0.6536038 (41)	total: 1m 16s	remaining: 10m 34s
54:	test: 0.6535868	best: 0.6536038 (41)	total: 1m 17s	remaining: 10m 30s
55:	test: 0.6535859	best: 0.6536038 (41)	total: 1m 18s	remaining: 10m 22s
56:	test: 0.6535850	best: 0.6536038 (41)	total: 1m 19s	remaining: 10m 16s
57:	test: 0.6535890	best: 0.6536038 (41)	total: 1m 20s	remaining: 10m 9s
58:	test: 0.6535883	best: 0.6536038 (41)	total: 1m 21s	remaining: 10m 6s
59:	test: 0.6535894	best: 0.6536038 (41)	total: 1m 21s	remaining: 9m 59s
60:	test: 0.6535881	best: 0.6536038 (41)	total: 1m 22s	remaining: 9m 54s
61:	test: 0.6535895	best: 0.6536038 (41)	total: 1m 23s	remaining: 9m 47s
