0:	test: 0.7428273	best: 0.7428273 (0)	total: 19.9s	remaining: 2h 45m 40s
1:	test: 0.7520403	best: 0.7520403 (1)	total: 39.4s	remaining: 2h 43m 41s
2:	test: 0.7574237	best: 0.7574237 (2)	total: 59s	remaining: 2h 42m 59s
3:	test: 0.7598611	best: 0.7598611 (3)	total: 1m 17s	remaining: 2h 40m 19s
4:	test: 0.7619731	best: 0.7619731 (4)	total: 1m 36s	remaining: 2h 39m 40s
5:	test: 0.7634329	best: 0.7634329 (5)	total: 1m 54s	remaining: 2h 37m 45s
6:	test: 0.7646214	best: 0.7646214 (6)	total: 2m 13s	remaining: 2h 36m 44s
7:	test: 0.7658432	best: 0.7658432 (7)	total: 2m 31s	remaining: 2h 35m 41s
8:	test: 0.7673756	best: 0.7673756 (8)	total: 2m 52s	remaining: 2h 36m 31s
9:	test: 0.7682513	best: 0.7682513 (9)	total: 3m 11s	remaining: 2h 36m 25s
10:	test: 0.7693638	best: 0.7693638 (10)	total: 3m 30s	remaining: 2h 36m 19s
11:	test: 0.7701525	best: 0.7701525 (11)	total: 3m 50s	remaining: 2h 36m 26s
12:	test: 0.7712791	best: 0.7712791 (12)	total: 4m 12s	remaining: 2h 37m 39s
13:	test: 0.7720934	best: 0.7720934 (13)	total: 4m 32s	remaining: 2h 37m 50s
14:	test: 0.7728483	best: 0.7728483 (14)	total: 4m 52s	remaining: 2h 37m 48s
15:	test: 0.7735642	best: 0.7735642 (15)	total: 5m 15s	remaining: 2h 38m 53s
16:	test: 0.7743708	best: 0.7743708 (16)	total: 5m 37s	remaining: 2h 39m 37s
17:	test: 0.7750958	best: 0.7750958 (17)	total: 5m 57s	remaining: 2h 39m 43s
18:	test: 0.7758242	best: 0.7758242 (18)	total: 6m 19s	remaining: 2h 40m 10s
19:	test: 0.7764657	best: 0.7764657 (19)	total: 6m 42s	remaining: 2h 40m 56s
20:	test: 0.7770705	best: 0.7770705 (20)	total: 7m 3s	remaining: 2h 40m 49s
21:	test: 0.7776546	best: 0.7776546 (21)	total: 7m 27s	remaining: 2h 41m 57s
22:	test: 0.7782434	best: 0.7782434 (22)	total: 7m 52s	remaining: 2h 43m 10s
23:	test: 0.7787818	best: 0.7787818 (23)	total: 8m 15s	remaining: 2h 43m 46s
24:	test: 0.7793832	best: 0.7793832 (24)	total: 8m 41s	remaining: 2h 45m 8s
25:	test: 0.7799001	best: 0.7799001 (25)	total: 9m 5s	remaining: 2h 45m 43s
26:	test: 0.7803705	best: 0.7803705 (26)	total: 9m 28s	remaining: 2h 45m 59s
27:	test: 0.7808045	best: 0.7808045 (27)	total: 9m 51s	remaining: 2h 46m 12s
28:	test: 0.7812303	best: 0.7812303 (28)	total: 10m 18s	remaining: 2h 47m 24s
29:	test: 0.7816136	best: 0.7816136 (29)	total: 10m 41s	remaining: 2h 47m 29s
30:	test: 0.7820573	best: 0.7820573 (30)	total: 11m 6s	remaining: 2h 47m 58s
31:	test: 0.7825494	best: 0.7825494 (31)	total: 11m 31s	remaining: 2h 48m 39s
32:	test: 0.7829114	best: 0.7829114 (32)	total: 11m 54s	remaining: 2h 48m 35s
33:	test: 0.7832296	best: 0.7832296 (33)	total: 12m 19s	remaining: 2h 48m 50s
34:	test: 0.7835541	best: 0.7835541 (34)	total: 12m 44s	remaining: 2h 49m 14s
35:	test: 0.7838378	best: 0.7838378 (35)	total: 13m 10s	remaining: 2h 49m 44s
36:	test: 0.7841570	best: 0.7841570 (36)	total: 13m 35s	remaining: 2h 50m
37:	test: 0.7844447	best: 0.7844447 (37)	total: 13m 59s	remaining: 2h 50m 8s
38:	test: 0.7847461	best: 0.7847461 (38)	total: 14m 26s	remaining: 2h 50m 44s
39:	test: 0.7850130	best: 0.7850130 (39)	total: 14m 49s	remaining: 2h 50m 29s
40:	test: 0.7852560	best: 0.7852560 (40)	total: 15m 17s	remaining: 2h 51m 6s
41:	test: 0.7856230	best: 0.7856230 (41)	total: 15m 43s	remaining: 2h 51m 32s
42:	test: 0.7858848	best: 0.7858848 (42)	total: 16m 7s	remaining: 2h 51m 17s
43:	test: 0.7860951	best: 0.7860951 (43)	total: 16m 32s	remaining: 2h 51m 26s
44:	test: 0.7863079	best: 0.7863079 (44)	total: 16m 56s	remaining: 2h 51m 22s
45:	test: 0.7865380	best: 0.7865380 (45)	total: 17m 21s	remaining: 2h 51m 18s
46:	test: 0.7867722	best: 0.7867722 (46)	total: 17m 51s	remaining: 2h 52m 10s
47:	test: 0.7869723	best: 0.7869723 (47)	total: 18m 16s	remaining: 2h 52m 8s
48:	test: 0.7872019	best: 0.7872019 (48)	total: 18m 45s	remaining: 2h 52m 36s
49:	test: 0.7874418	best: 0.7874418 (49)	total: 19m 11s	remaining: 2h 52m 42s
50:	test: 0.7876188	best: 0.7876188 (50)	total: 19m 37s	remaining: 2h 52m 44s
51:	test: 0.7877996	best: 0.7877996 (51)	total: 20m	remaining: 2h 52m 25s
52:	test: 0.7880534	best: 0.7880534 (52)	total: 20m 30s	remaining: 2h 53m
53:	test: 0.7882815	best: 0.7882815 (53)	total: 20m 57s	remaining: 2h 53m 10s
54:	test: 0.7885175	best: 0.7885175 (54)	total: 21m 27s	remaining: 2h 53m 37s
55:	test: 0.7886450	best: 0.7886450 (55)	total: 21m 51s	remaining: 2h 53m 19s
56:	test: 0.7888138	best: 0.7888138 (56)	total: 22m 15s	remaining: 2h 53m
57:	test: 0.7889882	best: 0.7889882 (57)	total: 22m 45s	remaining: 2h 53m 26s
58:	test: 0.7892111	best: 0.7892111 (58)	total: 23m 10s	remaining: 2h 53m 11s
59:	test: 0.7894395	best: 0.7894395 (59)	total: 23m 34s	remaining: 2h 52m 55s
60:	test: 0.7895937	best: 0.7895937 (60)	total: 24m 2s	remaining: 2h 53m 4s
61:	test: 0.7897648	best: 0.7897648 (61)	total: 24m 25s	remaining: 2h 52m 31s
62:	test: 0.7899057	best: 0.7899057 (62)	total: 24m 49s	remaining: 2h 52m 12s
63:	test: 0.7900591	best: 0.7900591 (63)	total: 25m 14s	remaining: 2h 52m
64:	test: 0.7902407	best: 0.7902407 (64)	total: 25m 39s	remaining: 2h 51m 40s
65:	test: 0.7903959	best: 0.7903959 (65)	total: 26m 3s	remaining: 2h 51m 22s
66:	test: 0.7905005	best: 0.7905005 (66)	total: 26m 28s	remaining: 2h 51m 3s
67:	test: 0.7906303	best: 0.7906303 (67)	total: 26m 57s	remaining: 2h 51m 17s
68:	test: 0.7907514	best: 0.7907514 (68)	total: 27m 20s	remaining: 2h 50m 47s
69:	test: 0.7909106	best: 0.7909106 (69)	total: 27m 49s	remaining: 2h 50m 53s
70:	test: 0.7910097	best: 0.7910097 (70)	total: 28m 14s	remaining: 2h 50m 35s
71:	test: 0.7911242	best: 0.7911242 (71)	total: 28m 43s	remaining: 2h 50m 42s
72:	test: 0.7912648	best: 0.7912648 (72)	total: 29m 9s	remaining: 2h 50m 36s
73:	test: 0.7913765	best: 0.7913765 (73)	total: 29m 37s	remaining: 2h 50m 32s
74:	test: 0.7914913	best: 0.7914913 (74)	total: 30m 1s	remaining: 2h 50m 10s
75:	test: 0.7915863	best: 0.7915863 (75)	total: 30m 29s	remaining: 2h 50m 5s
76:	test: 0.7916939	best: 0.7916939 (76)	total: 30m 50s	remaining: 2h 49m 23s
77:	test: 0.7918319	best: 0.7918319 (77)	total: 31m 18s	remaining: 2h 49m 22s
78:	test: 0.7919381	best: 0.7919381 (78)	total: 31m 43s	remaining: 2h 49m 4s
79:	test: 0.7920221	best: 0.7920221 (79)	total: 32m 6s	remaining: 2h 48m 31s
80:	test: 0.7921172	best: 0.7921172 (80)	total: 32m 30s	remaining: 2h 48m 9s
81:	test: 0.7922172	best: 0.7922172 (81)	total: 32m 53s	remaining: 2h 47m 40s
82:	test: 0.7923148	best: 0.7923148 (82)	total: 33m 24s	remaining: 2h 47m 52s
83:	test: 0.7924550	best: 0.7924550 (83)	total: 33m 50s	remaining: 2h 47m 34s
84:	test: 0.7925222	best: 0.7925222 (84)	total: 34m 15s	remaining: 2h 47m 15s
85:	test: 0.7926017	best: 0.7926017 (85)	total: 34m 39s	remaining: 2h 46m 51s
86:	test: 0.7927169	best: 0.7927169 (86)	total: 35m 3s	remaining: 2h 46m 26s
