0:	test: 0.7319218	best: 0.7319218 (0)	total: 4.62s	remaining: 38m 23s
1:	test: 0.7572143	best: 0.7572143 (1)	total: 9.08s	remaining: 37m 40s
2:	test: 0.7725392	best: 0.7725392 (2)	total: 13.4s	remaining: 36m 56s
3:	test: 0.7823758	best: 0.7823758 (3)	total: 17.6s	remaining: 36m 21s
4:	test: 0.7902014	best: 0.7902014 (4)	total: 21.7s	remaining: 35m 48s
5:	test: 0.7964324	best: 0.7964324 (5)	total: 25.8s	remaining: 35m 22s
6:	test: 0.8058666	best: 0.8058666 (6)	total: 30.1s	remaining: 35m 21s
7:	test: 0.8128356	best: 0.8128356 (7)	total: 34.5s	remaining: 35m 23s
8:	test: 0.8183628	best: 0.8183628 (8)	total: 38.8s	remaining: 35m 18s
9:	test: 0.8234505	best: 0.8234505 (9)	total: 42.9s	remaining: 35m 3s
10:	test: 0.8278835	best: 0.8278835 (10)	total: 47.1s	remaining: 34m 53s
11:	test: 0.8322911	best: 0.8322911 (11)	total: 51.1s	remaining: 34m 36s
12:	test: 0.8356624	best: 0.8356624 (12)	total: 55s	remaining: 34m 21s
13:	test: 0.8393180	best: 0.8393180 (13)	total: 59s	remaining: 34m 6s
14:	test: 0.8430266	best: 0.8430266 (14)	total: 1m 3s	remaining: 34m 8s
15:	test: 0.8464040	best: 0.8464040 (15)	total: 1m 7s	remaining: 33m 58s
16:	test: 0.8493165	best: 0.8493165 (16)	total: 1m 11s	remaining: 33m 54s
17:	test: 0.8527052	best: 0.8527052 (17)	total: 1m 16s	remaining: 33m 55s
18:	test: 0.8556842	best: 0.8556842 (18)	total: 1m 20s	remaining: 33m 50s
19:	test: 0.8584124	best: 0.8584124 (19)	total: 1m 24s	remaining: 33m 46s
20:	test: 0.8610435	best: 0.8610435 (20)	total: 1m 28s	remaining: 33m 41s
21:	test: 0.8635112	best: 0.8635112 (21)	total: 1m 32s	remaining: 33m 36s
22:	test: 0.8656523	best: 0.8656523 (22)	total: 1m 37s	remaining: 33m 33s
23:	test: 0.8675422	best: 0.8675422 (23)	total: 1m 41s	remaining: 33m 31s
24:	test: 0.8693739	best: 0.8693739 (24)	total: 1m 45s	remaining: 33m 22s
25:	test: 0.8711286	best: 0.8711286 (25)	total: 1m 49s	remaining: 33m 11s
26:	test: 0.8728579	best: 0.8728579 (26)	total: 1m 53s	remaining: 33m 2s
27:	test: 0.8743964	best: 0.8743964 (27)	total: 1m 57s	remaining: 32m 53s
28:	test: 0.8759929	best: 0.8759929 (28)	total: 2m 1s	remaining: 32m 45s
29:	test: 0.8775903	best: 0.8775903 (29)	total: 2m 5s	remaining: 32m 40s
30:	test: 0.8790935	best: 0.8790935 (30)	total: 2m 9s	remaining: 32m 33s
31:	test: 0.8806481	best: 0.8806481 (31)	total: 2m 13s	remaining: 32m 26s
32:	test: 0.8822744	best: 0.8822744 (32)	total: 2m 17s	remaining: 32m 20s
33:	test: 0.8837632	best: 0.8837632 (33)	total: 2m 21s	remaining: 32m 15s
34:	test: 0.8850418	best: 0.8850418 (34)	total: 2m 25s	remaining: 32m 8s
35:	test: 0.8861163	best: 0.8861163 (35)	total: 2m 29s	remaining: 32m 1s
36:	test: 0.8872692	best: 0.8872692 (36)	total: 2m 32s	remaining: 31m 53s
37:	test: 0.8882456	best: 0.8882456 (37)	total: 2m 36s	remaining: 31m 47s
38:	test: 0.8894314	best: 0.8894314 (38)	total: 2m 41s	remaining: 31m 46s
39:	test: 0.8905871	best: 0.8905871 (39)	total: 2m 45s	remaining: 31m 43s
40:	test: 0.8913959	best: 0.8913959 (40)	total: 2m 49s	remaining: 31m 37s
41:	test: 0.8922068	best: 0.8922068 (41)	total: 2m 53s	remaining: 31m 29s
42:	test: 0.8931875	best: 0.8931875 (42)	total: 2m 57s	remaining: 31m 21s
43:	test: 0.8942509	best: 0.8942509 (43)	total: 3m	remaining: 31m 14s
44:	test: 0.8952388	best: 0.8952388 (44)	total: 3m 4s	remaining: 31m 7s
45:	test: 0.8960325	best: 0.8960325 (45)	total: 3m 8s	remaining: 31m 3s
46:	test: 0.8968613	best: 0.8968613 (46)	total: 3m 13s	remaining: 31m 1s
47:	test: 0.8976683	best: 0.8976683 (47)	total: 3m 16s	remaining: 30m 54s
48:	test: 0.8985102	best: 0.8985102 (48)	total: 3m 21s	remaining: 30m 51s
49:	test: 0.8994394	best: 0.8994394 (49)	total: 3m 25s	remaining: 30m 48s
50:	test: 0.9002341	best: 0.9002341 (50)	total: 3m 29s	remaining: 30m 43s
51:	test: 0.9007822	best: 0.9007822 (51)	total: 3m 33s	remaining: 30m 35s
