0:	test: 0.7632928	best: 0.7632928 (0)	total: 4.06s	remaining: 33m 47s
1:	test: 0.7710759	best: 0.7710759 (1)	total: 8.01s	remaining: 33m 15s
2:	test: 0.7760089	best: 0.7760089 (2)	total: 12.1s	remaining: 33m 25s
3:	test: 0.7793801	best: 0.7793801 (3)	total: 16s	remaining: 33m 7s
4:	test: 0.7819229	best: 0.7819229 (4)	total: 20.1s	remaining: 33m 7s
5:	test: 0.7843334	best: 0.7843334 (5)	total: 23.8s	remaining: 32m 37s
6:	test: 0.7865832	best: 0.7865832 (6)	total: 27.7s	remaining: 32m 34s
7:	test: 0.7887048	best: 0.7887048 (7)	total: 31.9s	remaining: 32m 42s
8:	test: 0.7903916	best: 0.7903916 (8)	total: 36s	remaining: 32m 44s
9:	test: 0.7922609	best: 0.7922609 (9)	total: 40s	remaining: 32m 37s
10:	test: 0.7935050	best: 0.7935050 (10)	total: 43.7s	remaining: 32m 22s
11:	test: 0.7956801	best: 0.7956801 (11)	total: 47.7s	remaining: 32m 18s
12:	test: 0.7971580	best: 0.7971580 (12)	total: 51.6s	remaining: 32m 14s
13:	test: 0.7987646	best: 0.7987646 (13)	total: 55.7s	remaining: 32m 13s
14:	test: 0.7999387	best: 0.7999387 (14)	total: 59.7s	remaining: 32m 11s
15:	test: 0.8011885	best: 0.8011885 (15)	total: 1m 3s	remaining: 32m 7s
16:	test: 0.8023743	best: 0.8023743 (16)	total: 1m 8s	remaining: 32m 13s
17:	test: 0.8034485	best: 0.8034485 (17)	total: 1m 12s	remaining: 32m 16s
18:	test: 0.8044937	best: 0.8044937 (18)	total: 1m 16s	remaining: 32m 10s
19:	test: 0.8055654	best: 0.8055654 (19)	total: 1m 20s	remaining: 32m 10s
20:	test: 0.8063044	best: 0.8063044 (20)	total: 1m 24s	remaining: 32m
21:	test: 0.8071514	best: 0.8071514 (21)	total: 1m 28s	remaining: 31m 58s
22:	test: 0.8078675	best: 0.8078675 (22)	total: 1m 32s	remaining: 31m 53s
23:	test: 0.8085393	best: 0.8085393 (23)	total: 1m 36s	remaining: 31m 51s
24:	test: 0.8092318	best: 0.8092318 (24)	total: 1m 40s	remaining: 31m 49s
25:	test: 0.8098855	best: 0.8098855 (25)	total: 1m 44s	remaining: 31m 43s
26:	test: 0.8105550	best: 0.8105550 (26)	total: 1m 48s	remaining: 31m 43s
27:	test: 0.8110874	best: 0.8110874 (27)	total: 1m 52s	remaining: 31m 38s
28:	test: 0.8117073	best: 0.8117073 (28)	total: 1m 56s	remaining: 31m 39s
29:	test: 0.8122702	best: 0.8122702 (29)	total: 2m 1s	remaining: 31m 39s
30:	test: 0.8127292	best: 0.8127292 (30)	total: 2m 5s	remaining: 31m 33s
31:	test: 0.8131298	best: 0.8131298 (31)	total: 2m 9s	remaining: 31m 33s
32:	test: 0.8136563	best: 0.8136563 (32)	total: 2m 13s	remaining: 31m 34s
33:	test: 0.8141781	best: 0.8141781 (33)	total: 2m 18s	remaining: 31m 35s
34:	test: 0.8146467	best: 0.8146467 (34)	total: 2m 22s	remaining: 31m 34s
35:	test: 0.8150387	best: 0.8150387 (35)	total: 2m 26s	remaining: 31m 29s
36:	test: 0.8154580	best: 0.8154580 (36)	total: 2m 30s	remaining: 31m 26s
37:	test: 0.8158723	best: 0.8158723 (37)	total: 2m 35s	remaining: 31m 25s
38:	test: 0.8163084	best: 0.8163084 (38)	total: 2m 39s	remaining: 31m 23s
39:	test: 0.8166790	best: 0.8166790 (39)	total: 2m 43s	remaining: 31m 16s
40:	test: 0.8170798	best: 0.8170798 (40)	total: 2m 48s	remaining: 31m 21s
41:	test: 0.8174092	best: 0.8174092 (41)	total: 2m 51s	remaining: 31m 14s
42:	test: 0.8177481	best: 0.8177481 (42)	total: 2m 56s	remaining: 31m 11s
43:	test: 0.8181108	best: 0.8181108 (43)	total: 3m	remaining: 31m 9s
44:	test: 0.8184250	best: 0.8184250 (44)	total: 3m 4s	remaining: 31m 6s
45:	test: 0.8187692	best: 0.8187692 (45)	total: 3m 9s	remaining: 31m 6s
46:	test: 0.8190500	best: 0.8190500 (46)	total: 3m 13s	remaining: 31m 5s
47:	test: 0.8193855	best: 0.8193855 (47)	total: 3m 17s	remaining: 31m 1s
48:	test: 0.8197061	best: 0.8197061 (48)	total: 3m 22s	remaining: 30m 59s
49:	test: 0.8199510	best: 0.8199510 (49)	total: 3m 26s	remaining: 30m 54s
50:	test: 0.8202669	best: 0.8202669 (50)	total: 3m 30s	remaining: 30m 56s
51:	test: 0.8205477	best: 0.8205477 (51)	total: 3m 35s	remaining: 30m 54s
52:	test: 0.8208490	best: 0.8208490 (52)	total: 3m 39s	remaining: 30m 50s
53:	test: 0.8211138	best: 0.8211138 (53)	total: 3m 43s	remaining: 30m 47s
54:	test: 0.8213765	best: 0.8213765 (54)	total: 3m 48s	remaining: 30m 51s
55:	test: 0.8216605	best: 0.8216605 (55)	total: 3m 54s	remaining: 30m 55s
56:	test: 0.8219083	best: 0.8219083 (56)	total: 3m 58s	remaining: 30m 56s
57:	test: 0.8221003	best: 0.8221003 (57)	total: 4m 2s	remaining: 30m 48s
58:	test: 0.8223351	best: 0.8223351 (58)	total: 4m 6s	remaining: 30m 44s
59:	test: 0.8225805	best: 0.8225805 (59)	total: 4m 11s	remaining: 30m 41s
60:	test: 0.8227915	best: 0.8227915 (60)	total: 4m 15s	remaining: 30m 36s
61:	test: 0.8230382	best: 0.8230382 (61)	total: 4m 19s	remaining: 30m 34s
62:	test: 0.8232618	best: 0.8232618 (62)	total: 4m 24s	remaining: 30m 37s
63:	test: 0.8234829	best: 0.8234829 (63)	total: 4m 29s	remaining: 30m 34s
64:	test: 0.8236628	best: 0.8236628 (64)	total: 4m 33s	remaining: 30m 27s
65:	test: 0.8238628	best: 0.8238628 (65)	total: 4m 38s	remaining: 30m 28s
66:	test: 0.8240400	best: 0.8240400 (66)	total: 4m 41s	remaining: 30m 21s
67:	test: 0.8242596	best: 0.8242596 (67)	total: 4m 47s	remaining: 30m 24s
68:	test: 0.8245512	best: 0.8245512 (68)	total: 4m 51s	remaining: 30m 23s
69:	test: 0.8247363	best: 0.8247363 (69)	total: 4m 56s	remaining: 30m 19s
70:	test: 0.8249222	best: 0.8249222 (70)	total: 5m	remaining: 30m 18s
71:	test: 0.8250964	best: 0.8250964 (71)	total: 5m 5s	remaining: 30m 14s
72:	test: 0.8253123	best: 0.8253123 (72)	total: 5m 10s	remaining: 30m 15s
73:	test: 0.8255379	best: 0.8255379 (73)	total: 5m 14s	remaining: 30m 11s
74:	test: 0.8257009	best: 0.8257009 (74)	total: 5m 19s	remaining: 30m 9s
75:	test: 0.8258791	best: 0.8258791 (75)	total: 5m 23s	remaining: 30m 6s
76:	test: 0.8260703	best: 0.8260703 (76)	total: 5m 27s	remaining: 30m
77:	test: 0.8262158	best: 0.8262158 (77)	total: 5m 32s	remaining: 29m 56s
78:	test: 0.8264280	best: 0.8264280 (78)	total: 5m 36s	remaining: 29m 53s
79:	test: 0.8265831	best: 0.8265831 (79)	total: 5m 40s	remaining: 29m 50s
80:	test: 0.8267165	best: 0.8267165 (80)	total: 5m 45s	remaining: 29m 44s
81:	test: 0.8269001	best: 0.8269001 (81)	total: 5m 49s	remaining: 29m 43s
82:	test: 0.8270724	best: 0.8270724 (82)	total: 5m 54s	remaining: 29m 43s
83:	test: 0.8272189	best: 0.8272189 (83)	total: 5m 59s	remaining: 29m 38s
84:	test: 0.8273903	best: 0.8273903 (84)	total: 6m 3s	remaining: 29m 36s
85:	test: 0.8275259	best: 0.8275259 (85)	total: 6m 8s	remaining: 29m 33s
86:	test: 0.8276741	best: 0.8276741 (86)	total: 6m 12s	remaining: 29m 28s
87:	test: 0.8278287	best: 0.8278287 (87)	total: 6m 16s	remaining: 29m 24s
88:	test: 0.8279724	best: 0.8279724 (88)	total: 6m 20s	remaining: 29m 18s
