0:	test: 0.8963731	best: 0.8963731 (0)	total: 7.49s	remaining: 1h 2m 19s
1:	test: 0.9034737	best: 0.9034737 (1)	total: 14s	remaining: 58m 12s
2:	test: 0.9019502	best: 0.9034737 (1)	total: 19.7s	remaining: 54m 18s
3:	test: 0.9069235	best: 0.9069235 (3)	total: 25.6s	remaining: 52m 58s
4:	test: 0.9077483	best: 0.9077483 (4)	total: 32.9s	remaining: 54m 17s
5:	test: 0.9085393	best: 0.9085393 (5)	total: 39.4s	remaining: 54m 2s
6:	test: 0.9084566	best: 0.9085393 (5)	total: 45.2s	remaining: 53m 1s
7:	test: 0.9166218	best: 0.9166218 (7)	total: 52.1s	remaining: 53m 22s
8:	test: 0.9177338	best: 0.9177338 (8)	total: 59.5s	remaining: 54m 4s
9:	test: 0.9175423	best: 0.9177338 (8)	total: 1m 5s	remaining: 53m 24s
10:	test: 0.9194984	best: 0.9194984 (10)	total: 1m 11s	remaining: 52m 51s
11:	test: 0.9200312	best: 0.9200312 (11)	total: 1m 16s	remaining: 52m 6s
12:	test: 0.9207910	best: 0.9207910 (12)	total: 1m 23s	remaining: 52m 14s
13:	test: 0.9233215	best: 0.9233215 (13)	total: 1m 29s	remaining: 51m 54s
14:	test: 0.9229108	best: 0.9233215 (13)	total: 1m 36s	remaining: 52m 1s
15:	test: 0.9234386	best: 0.9234386 (15)	total: 1m 42s	remaining: 51m 51s
16:	test: 0.9246995	best: 0.9246995 (16)	total: 1m 48s	remaining: 51m 12s
17:	test: 0.9249455	best: 0.9249455 (17)	total: 1m 54s	remaining: 51m 17s
18:	test: 0.9247003	best: 0.9249455 (17)	total: 2m 1s	remaining: 51m 25s
19:	test: 0.9261641	best: 0.9261641 (19)	total: 2m 8s	remaining: 51m 19s
20:	test: 0.9262793	best: 0.9262793 (20)	total: 2m 14s	remaining: 51m 3s
21:	test: 0.9267178	best: 0.9267178 (21)	total: 2m 21s	remaining: 51m 4s
22:	test: 0.9243022	best: 0.9267178 (21)	total: 2m 28s	remaining: 51m 18s
23:	test: 0.9249806	best: 0.9267178 (21)	total: 2m 36s	remaining: 51m 36s
24:	test: 0.9272579	best: 0.9272579 (24)	total: 2m 42s	remaining: 51m 25s
25:	test: 0.9272695	best: 0.9272695 (25)	total: 2m 48s	remaining: 51m 10s
26:	test: 0.9268787	best: 0.9272695 (25)	total: 2m 55s	remaining: 51m 6s
27:	test: 0.9268796	best: 0.9272695 (25)	total: 3m 1s	remaining: 50m 53s
28:	test: 0.9347347	best: 0.9347347 (28)	total: 3m 8s	remaining: 50m 57s
29:	test: 0.9349414	best: 0.9349414 (29)	total: 3m 13s	remaining: 50m 34s
30:	test: 0.9417475	best: 0.9417475 (30)	total: 3m 19s	remaining: 50m 19s
31:	test: 0.9419947	best: 0.9419947 (31)	total: 3m 24s	remaining: 49m 53s
32:	test: 0.9471144	best: 0.9471144 (32)	total: 3m 31s	remaining: 49m 46s
33:	test: 0.9406704	best: 0.9471144 (32)	total: 3m 37s	remaining: 49m 46s
34:	test: 0.9361983	best: 0.9471144 (32)	total: 3m 43s	remaining: 49m 33s
35:	test: 0.9322804	best: 0.9471144 (32)	total: 3m 50s	remaining: 49m 27s
36:	test: 0.9348483	best: 0.9471144 (32)	total: 3m 55s	remaining: 49m 7s
37:	test: 0.9390145	best: 0.9471144 (32)	total: 4m 1s	remaining: 48m 52s
38:	test: 0.9390354	best: 0.9471144 (32)	total: 4m 6s	remaining: 48m 35s
39:	test: 0.9390554	best: 0.9471144 (32)	total: 4m 12s	remaining: 48m 24s
40:	test: 0.9390769	best: 0.9471144 (32)	total: 4m 19s	remaining: 48m 22s
41:	test: 0.9399441	best: 0.9471144 (32)	total: 4m 25s	remaining: 48m 16s
42:	test: 0.9399883	best: 0.9471144 (32)	total: 4m 31s	remaining: 48m 10s
43:	test: 0.9418688	best: 0.9471144 (32)	total: 4m 37s	remaining: 47m 52s
44:	test: 0.9411184	best: 0.9471144 (32)	total: 4m 42s	remaining: 47m 37s
45:	test: 0.9416369	best: 0.9471144 (32)	total: 4m 47s	remaining: 47m 21s
46:	test: 0.9431302	best: 0.9471144 (32)	total: 4m 53s	remaining: 47m 7s
47:	test: 0.9435209	best: 0.9471144 (32)	total: 5m	remaining: 47m 14s
48:	test: 0.9434797	best: 0.9471144 (32)	total: 5m 6s	remaining: 47m 3s
49:	test: 0.9437275	best: 0.9471144 (32)	total: 5m 12s	remaining: 46m 56s
50:	test: 0.9469775	best: 0.9471144 (32)	total: 5m 21s	remaining: 47m 8s
51:	test: 0.9419818	best: 0.9471144 (32)	total: 5m 29s	remaining: 47m 16s
52:	test: 0.9421335	best: 0.9471144 (32)	total: 5m 38s	remaining: 47m 38s
53:	test: 0.9423367	best: 0.9471144 (32)	total: 5m 48s	remaining: 47m 57s
54:	test: 0.9424742	best: 0.9471144 (32)	total: 5m 54s	remaining: 47m 50s
55:	test: 0.9427656	best: 0.9471144 (32)	total: 6m 1s	remaining: 47m 44s
56:	test: 0.9375504	best: 0.9471144 (32)	total: 6m 7s	remaining: 47m 35s
57:	test: 0.9375718	best: 0.9471144 (32)	total: 6m 13s	remaining: 47m 26s
58:	test: 0.9359712	best: 0.9471144 (32)	total: 6m 25s	remaining: 47m 57s
59:	test: 0.9361322	best: 0.9471144 (32)	total: 6m 28s	remaining: 47m 30s
60:	test: 0.9361637	best: 0.9471144 (32)	total: 6m 34s	remaining: 47m 21s
61:	test: 0.9347341	best: 0.9471144 (32)	total: 6m 42s	remaining: 47m 21s
62:	test: 0.9347562	best: 0.9471144 (32)	total: 6m 49s	remaining: 47m 21s
63:	test: 0.9348773	best: 0.9471144 (32)	total: 6m 57s	remaining: 47m 27s
64:	test: 0.9342907	best: 0.9471144 (32)	total: 7m 4s	remaining: 47m 23s
65:	test: 0.9337427	best: 0.9471144 (32)	total: 7m 11s	remaining: 47m 16s
66:	test: 0.9332799	best: 0.9471144 (32)	total: 7m 19s	remaining: 47m 21s
67:	test: 0.9335372	best: 0.9471144 (32)	total: 7m 27s	remaining: 47m 22s
68:	test: 0.9332330	best: 0.9471144 (32)	total: 7m 36s	remaining: 47m 30s
69:	test: 0.9327985	best: 0.9471144 (32)	total: 7m 43s	remaining: 47m 26s
70:	test: 0.9329537	best: 0.9471144 (32)	total: 7m 52s	remaining: 47m 33s
71:	test: 0.9329761	best: 0.9471144 (32)	total: 7m 59s	remaining: 47m 28s
72:	test: 0.9327770	best: 0.9471144 (32)	total: 8m 5s	remaining: 47m 18s
73:	test: 0.9325020	best: 0.9471144 (32)	total: 8m 12s	remaining: 47m 15s
74:	test: 0.9322674	best: 0.9471144 (32)	total: 8m 18s	remaining: 47m 6s
75:	test: 0.9320022	best: 0.9471144 (32)	total: 8m 24s	remaining: 46m 55s
76:	test: 0.9320316	best: 0.9471144 (32)	total: 8m 29s	remaining: 46m 40s
77:	test: 0.9320615	best: 0.9471144 (32)	total: 8m 33s	remaining: 46m 19s
78:	test: 0.9322011	best: 0.9471144 (32)	total: 8m 39s	remaining: 46m 7s
79:	test: 0.9320079	best: 0.9471144 (32)	total: 8m 44s	remaining: 45m 55s
80:	test: 0.9320088	best: 0.9471144 (32)	total: 8m 50s	remaining: 45m 44s
81:	test: 0.9315526	best: 0.9471144 (32)	total: 8m 58s	remaining: 45m 45s
82:	test: 0.9312725	best: 0.9471144 (32)	total: 9m 4s	remaining: 45m 36s
83:	test: 0.9313337	best: 0.9471144 (32)	total: 9m 9s	remaining: 45m 22s
84:	test: 0.9313568	best: 0.9471144 (32)	total: 9m 13s	remaining: 45m 4s
85:	test: 0.9313753	best: 0.9471144 (32)	total: 9m 19s	remaining: 44m 54s
86:	test: 0.9314391	best: 0.9471144 (32)	total: 9m 29s	remaining: 45m 3s
87:	test: 0.9312888	best: 0.9471144 (32)	total: 9m 34s	remaining: 44m 48s
88:	test: 0.9312891	best: 0.9471144 (32)	total: 9m 42s	remaining: 44m 48s
89:	test: 0.9309552	best: 0.9471144 (32)	total: 9m 49s	remaining: 44m 46s
90:	test: 0.9312701	best: 0.9471144 (32)	total: 10m 2s	remaining: 45m 8s
91:	test: 0.9312519	best: 0.9471144 (32)	total: 10m 12s	remaining: 45m 15s
92:	test: 0.9311862	best: 0.9471144 (32)	total: 10m 22s	remaining: 45m 22s
93:	test: 0.9315402	best: 0.9471144 (32)	total: 10m 30s	remaining: 45m 23s
94:	test: 0.9315416	best: 0.9471144 (32)	total: 10m 41s	remaining: 45m 32s
95:	test: 0.9315407	best: 0.9471144 (32)	total: 10m 46s	remaining: 45m 22s
96:	test: 0.9315283	best: 0.9471144 (32)	total: 10m 54s	remaining: 45m 17s
97:	test: 0.9315326	best: 0.9471144 (32)	total: 11m 8s	remaining: 45m 43s
98:	test: 0.9315255	best: 0.9471144 (32)	total: 11m 14s	remaining: 45m 33s
99:	test: 0.9315024	best: 0.9471144 (32)	total: 11m 18s	remaining: 45m 14s
100:	test: 0.9313135	best: 0.9471144 (32)	total: 11m 27s	remaining: 45m 15s
101:	test: 0.9319418	best: 0.9471144 (32)	total: 11m 38s	remaining: 45m 23s
102:	test: 0.9316324	best: 0.9471144 (32)	total: 11m 47s	remaining: 45m 28s
103:	test: 0.9316051	best: 0.9471144 (32)	total: 12m	remaining: 45m 42s
104:	test: 0.9316433	best: 0.9471144 (32)	total: 12m 10s	remaining: 45m 49s
105:	test: 0.9316398	best: 0.9471144 (32)	total: 12m 17s	remaining: 45m 40s
106:	test: 0.9316147	best: 0.9471144 (32)	total: 12m 23s	remaining: 45m 30s
107:	test: 0.9318091	best: 0.9471144 (32)	total: 12m 28s	remaining: 45m 15s
108:	test: 0.9317599	best: 0.9471144 (32)	total: 12m 33s	remaining: 45m 2s
109:	test: 0.9317658	best: 0.9471144 (32)	total: 12m 35s	remaining: 44m 40s
110:	test: 0.9317935	best: 0.9471144 (32)	total: 12m 38s	remaining: 44m 16s
111:	test: 0.9317879	best: 0.9471144 (32)	total: 12m 44s	remaining: 44m 6s
112:	test: 0.9317834	best: 0.9471144 (32)	total: 12m 46s	remaining: 43m 46s
113:	test: 0.9318483	best: 0.9471144 (32)	total: 12m 51s	remaining: 43m 31s
114:	test: 0.9318586	best: 0.9471144 (32)	total: 12m 53s	remaining: 43m 10s
115:	test: 0.9318299	best: 0.9471144 (32)	total: 12m 56s	remaining: 42m 49s
116:	test: 0.9316849	best: 0.9471144 (32)	total: 12m 58s	remaining: 42m 28s
117:	test: 0.9316737	best: 0.9471144 (32)	total: 13m 1s	remaining: 42m 8s
118:	test: 0.9316636	best: 0.9471144 (32)	total: 13m 4s	remaining: 41m 51s
119:	test: 0.9316471	best: 0.9471144 (32)	total: 13m 6s	remaining: 41m 31s
120:	test: 0.9315390	best: 0.9471144 (32)	total: 13m 8s	remaining: 41m 11s
121:	test: 0.9315789	best: 0.9471144 (32)	total: 13m 13s	remaining: 40m 59s
122:	test: 0.9314680	best: 0.9471144 (32)	total: 13m 16s	remaining: 40m 42s
