0:	test: 0.3589102	best: 0.3589102 (0)	total: 3.03s	remaining: 25m 12s
1:	test: 0.3814181	best: 0.3814181 (1)	total: 5.85s	remaining: 24m 16s
2:	test: 0.3989932	best: 0.3989932 (2)	total: 8.84s	remaining: 24m 24s
3:	test: 0.4177719	best: 0.4177719 (3)	total: 11.8s	remaining: 24m 24s
4:	test: 0.4224178	best: 0.4224178 (4)	total: 14.9s	remaining: 24m 34s
5:	test: 0.4286214	best: 0.4286214 (5)	total: 18s	remaining: 24m 39s
6:	test: 0.4390750	best: 0.4390750 (6)	total: 20.9s	remaining: 24m 30s
7:	test: 0.4455497	best: 0.4455497 (7)	total: 23.9s	remaining: 24m 27s
8:	test: 0.4518604	best: 0.4518604 (8)	total: 26.7s	remaining: 24m 18s
9:	test: 0.4587962	best: 0.4587962 (9)	total: 29.6s	remaining: 24m 11s
10:	test: 0.4644763	best: 0.4644763 (10)	total: 32.5s	remaining: 24m 3s
11:	test: 0.4688639	best: 0.4688639 (11)	total: 35.5s	remaining: 24m 4s
12:	test: 0.4718047	best: 0.4718047 (12)	total: 38.5s	remaining: 24m
13:	test: 0.4735543	best: 0.4735543 (13)	total: 41.2s	remaining: 23m 49s
14:	test: 0.4759018	best: 0.4759018 (14)	total: 44.2s	remaining: 23m 47s
15:	test: 0.4771377	best: 0.4771377 (15)	total: 47s	remaining: 23m 42s
16:	test: 0.4786578	best: 0.4786578 (16)	total: 49.7s	remaining: 23m 33s
17:	test: 0.4801648	best: 0.4801648 (17)	total: 52.5s	remaining: 23m 26s
18:	test: 0.4819591	best: 0.4819591 (18)	total: 55.3s	remaining: 23m 20s
19:	test: 0.4836248	best: 0.4836248 (19)	total: 58.2s	remaining: 23m 15s
20:	test: 0.4848946	best: 0.4848946 (20)	total: 1m	remaining: 23m 9s
21:	test: 0.4858136	best: 0.4858136 (21)	total: 1m 3s	remaining: 23m 3s
22:	test: 0.4866052	best: 0.4866052 (22)	total: 1m 6s	remaining: 23m 2s
23:	test: 0.4879268	best: 0.4879268 (23)	total: 1m 9s	remaining: 22m 57s
24:	test: 0.4887380	best: 0.4887380 (24)	total: 1m 12s	remaining: 22m 55s
25:	test: 0.4893875	best: 0.4893875 (25)	total: 1m 15s	remaining: 22m 50s
