0:	test: 0.6922729	best: 0.6922729 (0)	total: 1.65s	remaining: 13m 42s
1:	test: 0.7222019	best: 0.7222019 (1)	total: 3.3s	remaining: 13m 40s
2:	test: 0.7389851	best: 0.7389851 (2)	total: 4.95s	remaining: 13m 40s
3:	test: 0.7460006	best: 0.7460006 (3)	total: 6.55s	remaining: 13m 32s
4:	test: 0.7516576	best: 0.7516576 (4)	total: 8.11s	remaining: 13m 22s
5:	test: 0.7534321	best: 0.7534321 (5)	total: 9.62s	remaining: 13m 12s
6:	test: 0.7559204	best: 0.7559204 (6)	total: 11.3s	remaining: 13m 14s
7:	test: 0.7582489	best: 0.7582489 (7)	total: 12.9s	remaining: 13m 15s
8:	test: 0.7598577	best: 0.7598577 (8)	total: 14.5s	remaining: 13m 9s
9:	test: 0.7610912	best: 0.7610912 (9)	total: 16s	remaining: 13m 3s
10:	test: 0.7613283	best: 0.7613283 (10)	total: 17.6s	remaining: 13m
11:	test: 0.7625623	best: 0.7625623 (11)	total: 19.1s	remaining: 12m 56s
12:	test: 0.7633166	best: 0.7633166 (12)	total: 20.7s	remaining: 12m 54s
13:	test: 0.7638555	best: 0.7638555 (13)	total: 22.2s	remaining: 12m 51s
14:	test: 0.7647354	best: 0.7647354 (14)	total: 23.8s	remaining: 12m 49s
15:	test: 0.7657722	best: 0.7657722 (15)	total: 25.3s	remaining: 12m 44s
16:	test: 0.7670514	best: 0.7670514 (16)	total: 26.9s	remaining: 12m 45s
17:	test: 0.7676460	best: 0.7676460 (17)	total: 28.7s	remaining: 12m 48s
18:	test: 0.7680799	best: 0.7680799 (18)	total: 30.2s	remaining: 12m 45s
19:	test: 0.7689135	best: 0.7689135 (19)	total: 31.8s	remaining: 12m 42s
20:	test: 0.7695064	best: 0.7695064 (20)	total: 33.3s	remaining: 12m 40s
21:	test: 0.7705378	best: 0.7705378 (21)	total: 34.9s	remaining: 12m 38s
22:	test: 0.7708032	best: 0.7708032 (22)	total: 36.5s	remaining: 12m 36s
23:	test: 0.7711361	best: 0.7711361 (23)	total: 37.9s	remaining: 12m 31s
24:	test: 0.7718045	best: 0.7718045 (24)	total: 39.4s	remaining: 12m 28s
25:	test: 0.7720526	best: 0.7720526 (25)	total: 40.8s	remaining: 12m 24s
26:	test: 0.7724413	best: 0.7724413 (26)	total: 42.4s	remaining: 12m 22s
27:	test: 0.7728886	best: 0.7728886 (27)	total: 44s	remaining: 12m 21s
28:	test: 0.7733743	best: 0.7733743 (28)	total: 45.5s	remaining: 12m 19s
29:	test: 0.7740838	best: 0.7740838 (29)	total: 47s	remaining: 12m 16s
30:	test: 0.7746260	best: 0.7746260 (30)	total: 48.5s	remaining: 12m 13s
31:	test: 0.7753310	best: 0.7753310 (31)	total: 50s	remaining: 12m 11s
32:	test: 0.7750978	best: 0.7753310 (31)	total: 51.6s	remaining: 12m 10s
33:	test: 0.7753025	best: 0.7753310 (31)	total: 53s	remaining: 12m 5s
34:	test: 0.7754075	best: 0.7754075 (34)	total: 54.5s	remaining: 12m 4s
35:	test: 0.7756816	best: 0.7756816 (35)	total: 55.9s	remaining: 12m 1s
36:	test: 0.7759208	best: 0.7759208 (36)	total: 57.4s	remaining: 11m 57s
37:	test: 0.7761161	best: 0.7761161 (37)	total: 59.1s	remaining: 11m 58s
38:	test: 0.7766460	best: 0.7766460 (38)	total: 1m	remaining: 11m 57s
39:	test: 0.7768865	best: 0.7768865 (39)	total: 1m 2s	remaining: 11m 56s
40:	test: 0.7770607	best: 0.7770607 (40)	total: 1m 3s	remaining: 11m 53s
41:	test: 0.7772182	best: 0.7772182 (41)	total: 1m 5s	remaining: 11m 51s
42:	test: 0.7772687	best: 0.7772687 (42)	total: 1m 6s	remaining: 11m 50s
43:	test: 0.7776875	best: 0.7776875 (43)	total: 1m 8s	remaining: 11m 49s
44:	test: 0.7780426	best: 0.7780426 (44)	total: 1m 10s	remaining: 11m 48s
45:	test: 0.7782963	best: 0.7782963 (45)	total: 1m 11s	remaining: 11m 46s
46:	test: 0.7783801	best: 0.7783801 (46)	total: 1m 13s	remaining: 11m 46s
47:	test: 0.7787443	best: 0.7787443 (47)	total: 1m 14s	remaining: 11m 46s
48:	test: 0.7791809	best: 0.7791809 (48)	total: 1m 16s	remaining: 11m 44s
49:	test: 0.7796167	best: 0.7796167 (49)	total: 1m 18s	remaining: 11m 42s
50:	test: 0.7796781	best: 0.7796781 (50)	total: 1m 19s	remaining: 11m 41s
51:	test: 0.7801912	best: 0.7801912 (51)	total: 1m 21s	remaining: 11m 39s
52:	test: 0.7806057	best: 0.7806057 (52)	total: 1m 22s	remaining: 11m 37s
53:	test: 0.7807724	best: 0.7807724 (53)	total: 1m 24s	remaining: 11m 36s
54:	test: 0.7812373	best: 0.7812373 (54)	total: 1m 25s	remaining: 11m 35s
55:	test: 0.7814266	best: 0.7814266 (55)	total: 1m 27s	remaining: 11m 33s
56:	test: 0.7818210	best: 0.7818210 (56)	total: 1m 28s	remaining: 11m 31s
57:	test: 0.7820846	best: 0.7820846 (57)	total: 1m 30s	remaining: 11m 30s
58:	test: 0.7823737	best: 0.7823737 (58)	total: 1m 31s	remaining: 11m 27s
59:	test: 0.7822979	best: 0.7823737 (58)	total: 1m 33s	remaining: 11m 24s
60:	test: 0.7822365	best: 0.7823737 (58)	total: 1m 35s	remaining: 11m 24s
61:	test: 0.7824980	best: 0.7824980 (61)	total: 1m 36s	remaining: 11m 21s
62:	test: 0.7823277	best: 0.7824980 (61)	total: 1m 37s	remaining: 11m 19s
63:	test: 0.7822747	best: 0.7824980 (61)	total: 1m 39s	remaining: 11m 18s
64:	test: 0.7824214	best: 0.7824980 (61)	total: 1m 41s	remaining: 11m 18s
65:	test: 0.7823778	best: 0.7824980 (61)	total: 1m 42s	remaining: 11m 17s
66:	test: 0.7824916	best: 0.7824980 (61)	total: 1m 44s	remaining: 11m 15s
67:	test: 0.7825987	best: 0.7825987 (67)	total: 1m 45s	remaining: 11m 13s
68:	test: 0.7828882	best: 0.7828882 (68)	total: 1m 47s	remaining: 11m 11s
69:	test: 0.7831718	best: 0.7831718 (69)	total: 1m 48s	remaining: 11m 8s
70:	test: 0.7830185	best: 0.7831718 (69)	total: 1m 50s	remaining: 11m 6s
71:	test: 0.7832879	best: 0.7832879 (71)	total: 1m 51s	remaining: 11m 4s
72:	test: 0.7835743	best: 0.7835743 (72)	total: 1m 53s	remaining: 11m 2s
73:	test: 0.7836906	best: 0.7836906 (73)	total: 1m 54s	remaining: 11m 1s
74:	test: 0.7836342	best: 0.7836906 (73)	total: 1m 56s	remaining: 10m 59s
75:	test: 0.7836894	best: 0.7836906 (73)	total: 1m 58s	remaining: 10m 58s
76:	test: 0.7838927	best: 0.7838927 (76)	total: 1m 59s	remaining: 10m 56s
77:	test: 0.7838879	best: 0.7838927 (76)	total: 2m	remaining: 10m 54s
78:	test: 0.7837128	best: 0.7838927 (76)	total: 2m 2s	remaining: 10m 52s
79:	test: 0.7838173	best: 0.7838927 (76)	total: 2m 3s	remaining: 10m 50s
80:	test: 0.7843491	best: 0.7843491 (80)	total: 2m 5s	remaining: 10m 48s
81:	test: 0.7846524	best: 0.7846524 (81)	total: 2m 7s	remaining: 10m 47s
82:	test: 0.7849238	best: 0.7849238 (82)	total: 2m 8s	remaining: 10m 45s
83:	test: 0.7849045	best: 0.7849238 (82)	total: 2m 10s	remaining: 10m 44s
84:	test: 0.7850495	best: 0.7850495 (84)	total: 2m 11s	remaining: 10m 42s
85:	test: 0.7848938	best: 0.7850495 (84)	total: 2m 13s	remaining: 10m 41s
86:	test: 0.7855457	best: 0.7855457 (86)	total: 2m 14s	remaining: 10m 39s
87:	test: 0.7854326	best: 0.7855457 (86)	total: 2m 16s	remaining: 10m 38s
88:	test: 0.7857253	best: 0.7857253 (88)	total: 2m 17s	remaining: 10m 37s
89:	test: 0.7855619	best: 0.7857253 (88)	total: 2m 19s	remaining: 10m 35s
90:	test: 0.7855393	best: 0.7857253 (88)	total: 2m 21s	remaining: 10m 34s
91:	test: 0.7856512	best: 0.7857253 (88)	total: 2m 22s	remaining: 10m 31s
92:	test: 0.7860990	best: 0.7860990 (92)	total: 2m 24s	remaining: 10m 30s
93:	test: 0.7859688	best: 0.7860990 (92)	total: 2m 25s	remaining: 10m 29s
94:	test: 0.7855669	best: 0.7860990 (92)	total: 2m 27s	remaining: 10m 28s
95:	test: 0.7856758	best: 0.7860990 (92)	total: 2m 28s	remaining: 10m 26s
96:	test: 0.7857813	best: 0.7860990 (92)	total: 2m 30s	remaining: 10m 25s
97:	test: 0.7861318	best: 0.7861318 (97)	total: 2m 32s	remaining: 10m 24s
98:	test: 0.7863931	best: 0.7863931 (98)	total: 2m 34s	remaining: 10m 24s
99:	test: 0.7863436	best: 0.7863931 (98)	total: 2m 35s	remaining: 10m 23s
100:	test: 0.7864850	best: 0.7864850 (100)	total: 2m 37s	remaining: 10m 21s
101:	test: 0.7866775	best: 0.7866775 (101)	total: 2m 39s	remaining: 10m 21s
102:	test: 0.7869248	best: 0.7869248 (102)	total: 2m 40s	remaining: 10m 19s
103:	test: 0.7868078	best: 0.7869248 (102)	total: 2m 42s	remaining: 10m 18s
104:	test: 0.7866900	best: 0.7869248 (102)	total: 2m 43s	remaining: 10m 16s
105:	test: 0.7868717	best: 0.7869248 (102)	total: 2m 45s	remaining: 10m 15s
106:	test: 0.7871089	best: 0.7871089 (106)	total: 2m 46s	remaining: 10m 13s
107:	test: 0.7872383	best: 0.7872383 (107)	total: 2m 48s	remaining: 10m 12s
108:	test: 0.7873961	best: 0.7873961 (108)	total: 2m 49s	remaining: 10m 9s
109:	test: 0.7874067	best: 0.7874067 (109)	total: 2m 51s	remaining: 10m 8s
110:	test: 0.7873464	best: 0.7874067 (109)	total: 2m 53s	remaining: 10m 6s
111:	test: 0.7873189	best: 0.7874067 (109)	total: 2m 54s	remaining: 10m 4s
