0:	learn: 10.7233822	test: 10.6525279	best: 10.6525279 (0)	total: 275ms	remaining: 2m 17s
1:	learn: 10.5385378	test: 10.4877322	best: 10.4877322 (1)	total: 545ms	remaining: 2m 15s
2:	learn: 10.3723942	test: 10.3380466	best: 10.3380466 (2)	total: 836ms	remaining: 2m 18s
3:	learn: 10.2305410	test: 10.2112909	best: 10.2112909 (3)	total: 1.09s	remaining: 2m 14s
4:	learn: 10.1055773	test: 10.1026250	best: 10.1026250 (4)	total: 1.35s	remaining: 2m 14s
5:	learn: 9.9963442	test: 10.0082856	best: 10.0082856 (5)	total: 1.62s	remaining: 2m 13s
6:	learn: 9.8974731	test: 9.9255080	best: 9.9255080 (6)	total: 1.89s	remaining: 2m 13s
7:	learn: 9.8088218	test: 9.8522089	best: 9.8522089 (7)	total: 2.15s	remaining: 2m 12s
8:	learn: 9.7282773	test: 9.7887516	best: 9.7887516 (8)	total: 2.42s	remaining: 2m 12s
9:	learn: 9.6565460	test: 9.7333275	best: 9.7333275 (9)	total: 2.68s	remaining: 2m 11s
10:	learn: 9.5928556	test: 9.6843981	best: 9.6843981 (10)	total: 2.97s	remaining: 2m 12s
11:	learn: 9.5325712	test: 9.6390004	best: 9.6390004 (11)	total: 3.28s	remaining: 2m 13s
12:	learn: 9.4743393	test: 9.5965501	best: 9.5965501 (12)	total: 3.58s	remaining: 2m 14s
13:	learn: 9.4229360	test: 9.5574960	best: 9.5574960 (13)	total: 3.9s	remaining: 2m 15s
14:	learn: 9.3764317	test: 9.5241131	best: 9.5241131 (14)	total: 4.19s	remaining: 2m 15s
15:	learn: 9.3338930	test: 9.4946769	best: 9.4946769 (15)	total: 4.52s	remaining: 2m 16s
16:	learn: 9.2927998	test: 9.4658072	best: 9.4658072 (16)	total: 4.8s	remaining: 2m 16s
17:	learn: 9.2548441	test: 9.4405715	best: 9.4405715 (17)	total: 5.09s	remaining: 2m 16s
18:	learn: 9.2210062	test: 9.4174960	best: 9.4174960 (18)	total: 5.38s	remaining: 2m 16s
19:	learn: 9.1862737	test: 9.3955385	best: 9.3955385 (19)	total: 5.66s	remaining: 2m 15s
20:	learn: 9.1565667	test: 9.3758650	best: 9.3758650 (20)	total: 5.94s	remaining: 2m 15s
21:	learn: 9.1266577	test: 9.3591254	best: 9.3591254 (21)	total: 6.24s	remaining: 2m 15s
22:	learn: 9.0998394	test: 9.3436661	best: 9.3436661 (22)	total: 6.54s	remaining: 2m 15s
23:	learn: 9.0717348	test: 9.3281532	best: 9.3281532 (23)	total: 6.81s	remaining: 2m 15s
24:	learn: 9.0457646	test: 9.3133940	best: 9.3133940 (24)	total: 7.1s	remaining: 2m 14s
25:	learn: 9.0187293	test: 9.2988115	best: 9.2988115 (25)	total: 7.37s	remaining: 2m 14s
26:	learn: 8.9946911	test: 9.2869363	best: 9.2869363 (26)	total: 7.64s	remaining: 2m 13s
27:	learn: 8.9715706	test: 9.2734859	best: 9.2734859 (27)	total: 7.91s	remaining: 2m 13s
28:	learn: 8.9497674	test: 9.2634152	best: 9.2634152 (28)	total: 8.18s	remaining: 2m 12s
29:	learn: 8.9264290	test: 9.2544655	best: 9.2544655 (29)	total: 8.45s	remaining: 2m 12s
30:	learn: 8.9061199	test: 9.2458927	best: 9.2458927 (30)	total: 8.73s	remaining: 2m 12s
31:	learn: 8.8839417	test: 9.2357729	best: 9.2357729 (31)	total: 9.01s	remaining: 2m 11s
32:	learn: 8.8648998	test: 9.2288218	best: 9.2288218 (32)	total: 9.31s	remaining: 2m 11s
33:	learn: 8.8436830	test: 9.2215569	best: 9.2215569 (33)	total: 9.59s	remaining: 2m 11s
34:	learn: 8.8254252	test: 9.2119644	best: 9.2119644 (34)	total: 9.84s	remaining: 2m 10s
35:	learn: 8.8067126	test: 9.2050257	best: 9.2050257 (35)	total: 10.1s	remaining: 2m 10s
36:	learn: 8.7913496	test: 9.1991256	best: 9.1991256 (36)	total: 10.4s	remaining: 2m 9s
37:	learn: 8.7733990	test: 9.1935730	best: 9.1935730 (37)	total: 10.7s	remaining: 2m 9s
38:	learn: 8.7562000	test: 9.1861368	best: 9.1861368 (38)	total: 10.9s	remaining: 2m 9s
39:	learn: 8.7404799	test: 9.1800157	best: 9.1800157 (39)	total: 11.2s	remaining: 2m 8s
40:	learn: 8.7251827	test: 9.1724377	best: 9.1724377 (40)	total: 11.5s	remaining: 2m 8s
41:	learn: 8.7090315	test: 9.1677259	best: 9.1677259 (41)	total: 11.7s	remaining: 2m 8s
42:	learn: 8.6934795	test: 9.1619203	best: 9.1619203 (42)	total: 12s	remaining: 2m 7s
43:	learn: 8.6792116	test: 9.1561637	best: 9.1561637 (43)	total: 12.2s	remaining: 2m 6s
44:	learn: 8.6628215	test: 9.1508432	best: 9.1508432 (44)	total: 12.5s	remaining: 2m 6s
45:	learn: 8.6483419	test: 9.1452327	best: 9.1452327 (45)	total: 12.8s	remaining: 2m 6s
46:	learn: 8.6335500	test: 9.1399871	best: 9.1399871 (46)	total: 13.1s	remaining: 2m 6s
47:	learn: 8.6186311	test: 9.1352286	best: 9.1352286 (47)	total: 13.4s	remaining: 2m 5s
48:	learn: 8.6057927	test: 9.1318404	best: 9.1318404 (48)	total: 13.6s	remaining: 2m 5s
49:	learn: 8.5927082	test: 9.1284828	best: 9.1284828 (49)	total: 13.9s	remaining: 2m 4s
50:	learn: 8.5776974	test: 9.1254822	best: 9.1254822 (50)	total: 14.1s	remaining: 2m 4s
51:	learn: 8.5632270	test: 9.1209668	best: 9.1209668 (51)	total: 14.4s	remaining: 2m 4s
52:	learn: 8.5516729	test: 9.1177385	best: 9.1177385 (52)	total: 14.7s	remaining: 2m 3s
53:	learn: 8.5394197	test: 9.1141041	best: 9.1141041 (53)	total: 14.9s	remaining: 2m 3s
54:	learn: 8.5277511	test: 9.1104382	best: 9.1104382 (54)	total: 15.2s	remaining: 2m 2s
55:	learn: 8.5131560	test: 9.1057304	best: 9.1057304 (55)	total: 15.5s	remaining: 2m 2s
56:	learn: 8.5028067	test: 9.1025751	best: 9.1025751 (56)	total: 15.7s	remaining: 2m 2s
57:	learn: 8.4917888	test: 9.0994695	best: 9.0994695 (57)	total: 16s	remaining: 2m 1s
58:	learn: 8.4798481	test: 9.0971236	best: 9.0971236 (58)	total: 16.2s	remaining: 2m 1s
59:	learn: 8.4688650	test: 9.0940033	best: 9.0940033 (59)	total: 16.5s	remaining: 2m
60:	learn: 8.4578004	test: 9.0910587	best: 9.0910587 (60)	total: 16.7s	remaining: 2m
61:	learn: 8.4472330	test: 9.0899082	best: 9.0899082 (61)	total: 17s	remaining: 2m
62:	learn: 8.4345994	test: 9.0887867	best: 9.0887867 (62)	total: 17.2s	remaining: 1m 59s
63:	learn: 8.4244947	test: 9.0877345	best: 9.0877345 (63)	total: 17.5s	remaining: 1m 59s
64:	learn: 8.4137126	test: 9.0850918	best: 9.0850918 (64)	total: 17.8s	remaining: 1m 59s
65:	learn: 8.4020792	test: 9.0839887	best: 9.0839887 (65)	total: 18.1s	remaining: 1m 58s
66:	learn: 8.3921316	test: 9.0824124	best: 9.0824124 (66)	total: 18.4s	remaining: 1m 58s
67:	learn: 8.3820045	test: 9.0810382	best: 9.0810382 (67)	total: 18.6s	remaining: 1m 58s
68:	learn: 8.3716349	test: 9.0786266	best: 9.0786266 (68)	total: 18.9s	remaining: 1m 58s
69:	learn: 8.3617307	test: 9.0767197	best: 9.0767197 (69)	total: 19.2s	remaining: 1m 58s
70:	learn: 8.3505118	test: 9.0752483	best: 9.0752483 (70)	total: 19.5s	remaining: 1m 57s
71:	learn: 8.3399883	test: 9.0732924	best: 9.0732924 (71)	total: 19.8s	remaining: 1m 57s
72:	learn: 8.3296545	test: 9.0714416	best: 9.0714416 (72)	total: 20.1s	remaining: 1m 57s
73:	learn: 8.3196960	test: 9.0692146	best: 9.0692146 (73)	total: 20.3s	remaining: 1m 56s
