0:	test: 0.5657027	best: 0.5657027 (0)	total: 1.1s	remaining: 9m 7s
1:	test: 0.5999773	best: 0.5999773 (1)	total: 2.22s	remaining: 9m 12s
2:	test: 0.5999214	best: 0.5999773 (1)	total: 3.32s	remaining: 9m 9s
3:	test: 0.5991829	best: 0.5999773 (1)	total: 4.38s	remaining: 9m 3s
4:	test: 0.6001574	best: 0.6001574 (4)	total: 5.52s	remaining: 9m 6s
5:	test: 0.6009846	best: 0.6009846 (5)	total: 6.6s	remaining: 9m 3s
6:	test: 0.6010555	best: 0.6010555 (6)	total: 7.68s	remaining: 9m 1s
7:	test: 0.6010300	best: 0.6010555 (6)	total: 8.77s	remaining: 8m 59s
8:	test: 0.6010492	best: 0.6010555 (6)	total: 9.83s	remaining: 8m 56s
9:	test: 0.6081439	best: 0.6081439 (9)	total: 11.4s	remaining: 9m 18s
10:	test: 0.6086715	best: 0.6086715 (10)	total: 13s	remaining: 9m 38s
11:	test: 0.6086625	best: 0.6086715 (10)	total: 14.6s	remaining: 9m 55s
12:	test: 0.6086968	best: 0.6086968 (12)	total: 16.3s	remaining: 10m 9s
13:	test: 0.6102665	best: 0.6102665 (13)	total: 18s	remaining: 10m 24s
14:	test: 0.6109434	best: 0.6109434 (14)	total: 20.1s	remaining: 10m 48s
15:	test: 0.6109551	best: 0.6109551 (15)	total: 21.9s	remaining: 11m 1s
16:	test: 0.6496678	best: 0.6496678 (16)	total: 24.1s	remaining: 11m 23s
17:	test: 0.6496924	best: 0.6496924 (17)	total: 26.1s	remaining: 11m 39s
18:	test: 0.6496833	best: 0.6496924 (17)	total: 27.9s	remaining: 11m 47s
19:	test: 0.6637993	best: 0.6637993 (19)	total: 30.1s	remaining: 12m 2s
20:	test: 0.6638289	best: 0.6638289 (20)	total: 31.9s	remaining: 12m 8s
21:	test: 0.6654748	best: 0.6654748 (21)	total: 33.9s	remaining: 12m 16s
22:	test: 0.6654755	best: 0.6654755 (22)	total: 35.7s	remaining: 12m 20s
23:	test: 0.6654961	best: 0.6654961 (23)	total: 37.5s	remaining: 12m 24s
24:	test: 0.6632908	best: 0.6654961 (23)	total: 39.7s	remaining: 12m 34s
25:	test: 0.6632892	best: 0.6654961 (23)	total: 41.8s	remaining: 12m 41s
