0:	test: 0.7427911	best: 0.7427911 (0)	total: 18.5s	remaining: 2h 33m 54s
1:	test: 0.7523830	best: 0.7523830 (1)	total: 37.6s	remaining: 2h 35m 52s
2:	test: 0.7576746	best: 0.7576746 (2)	total: 57.2s	remaining: 2h 37m 49s
3:	test: 0.7606143	best: 0.7606143 (3)	total: 1m 15s	remaining: 2h 35m 13s
4:	test: 0.7621976	best: 0.7621976 (4)	total: 1m 34s	remaining: 2h 35m 46s
5:	test: 0.7634882	best: 0.7634882 (5)	total: 1m 52s	remaining: 2h 34m 7s
6:	test: 0.7645375	best: 0.7645375 (6)	total: 2m 11s	remaining: 2h 33m 57s
7:	test: 0.7658830	best: 0.7658830 (7)	total: 2m 29s	remaining: 2h 33m 5s
8:	test: 0.7671976	best: 0.7671976 (8)	total: 2m 48s	remaining: 2h 33m 10s
9:	test: 0.7682242	best: 0.7682242 (9)	total: 3m 7s	remaining: 2h 33m 6s
10:	test: 0.7693895	best: 0.7693895 (10)	total: 3m 26s	remaining: 2h 32m 55s
11:	test: 0.7704055	best: 0.7704055 (11)	total: 3m 45s	remaining: 2h 33m 10s
12:	test: 0.7712370	best: 0.7712370 (12)	total: 4m 5s	remaining: 2h 33m 30s
13:	test: 0.7720173	best: 0.7720173 (13)	total: 4m 26s	remaining: 2h 33m 59s
14:	test: 0.7730108	best: 0.7730108 (14)	total: 4m 47s	remaining: 2h 34m 53s
15:	test: 0.7737871	best: 0.7737871 (15)	total: 5m 8s	remaining: 2h 35m 36s
16:	test: 0.7745553	best: 0.7745553 (16)	total: 5m 29s	remaining: 2h 35m 51s
17:	test: 0.7752278	best: 0.7752278 (17)	total: 5m 49s	remaining: 2h 36m 9s
18:	test: 0.7760120	best: 0.7760120 (18)	total: 6m 11s	remaining: 2h 36m 42s
19:	test: 0.7765916	best: 0.7765916 (19)	total: 6m 32s	remaining: 2h 36m 54s
20:	test: 0.7772779	best: 0.7772779 (20)	total: 6m 55s	remaining: 2h 37m 48s
21:	test: 0.7778188	best: 0.7778188 (21)	total: 7m 17s	remaining: 2h 38m 25s
22:	test: 0.7784032	best: 0.7784032 (22)	total: 7m 40s	remaining: 2h 39m 10s
23:	test: 0.7789284	best: 0.7789284 (23)	total: 8m 4s	remaining: 2h 40m
24:	test: 0.7794831	best: 0.7794831 (24)	total: 8m 28s	remaining: 2h 41m 7s
25:	test: 0.7800662	best: 0.7800662 (25)	total: 8m 52s	remaining: 2h 41m 52s
26:	test: 0.7804720	best: 0.7804720 (26)	total: 9m 15s	remaining: 2h 42m 8s
27:	test: 0.7809359	best: 0.7809359 (27)	total: 9m 38s	remaining: 2h 42m 24s
28:	test: 0.7813211	best: 0.7813211 (28)	total: 10m 1s	remaining: 2h 42m 43s
29:	test: 0.7817320	best: 0.7817320 (29)	total: 10m 23s	remaining: 2h 42m 45s
30:	test: 0.7821726	best: 0.7821726 (30)	total: 10m 46s	remaining: 2h 43m
31:	test: 0.7826184	best: 0.7826184 (31)	total: 11m 12s	remaining: 2h 43m 52s
32:	test: 0.7829896	best: 0.7829896 (32)	total: 11m 34s	remaining: 2h 43m 51s
33:	test: 0.7832923	best: 0.7832923 (33)	total: 11m 59s	remaining: 2h 44m 21s
34:	test: 0.7837362	best: 0.7837362 (34)	total: 12m 25s	remaining: 2h 45m 1s
35:	test: 0.7840667	best: 0.7840667 (35)	total: 12m 49s	remaining: 2h 45m 13s
36:	test: 0.7843801	best: 0.7843801 (36)	total: 13m 15s	remaining: 2h 45m 48s
37:	test: 0.7846202	best: 0.7846202 (37)	total: 13m 39s	remaining: 2h 45m 58s
38:	test: 0.7848941	best: 0.7848941 (38)	total: 14m 4s	remaining: 2h 46m 28s
39:	test: 0.7852391	best: 0.7852391 (39)	total: 14m 28s	remaining: 2h 46m 27s
40:	test: 0.7854846	best: 0.7854846 (40)	total: 14m 52s	remaining: 2h 46m 26s
41:	test: 0.7857210	best: 0.7857210 (41)	total: 15m 18s	remaining: 2h 47m
42:	test: 0.7860723	best: 0.7860723 (42)	total: 15m 44s	remaining: 2h 47m 13s
43:	test: 0.7863688	best: 0.7863688 (43)	total: 16m 9s	remaining: 2h 47m 27s
44:	test: 0.7865692	best: 0.7865692 (44)	total: 16m 32s	remaining: 2h 47m 10s
45:	test: 0.7867978	best: 0.7867978 (45)	total: 16m 56s	remaining: 2h 47m 10s
46:	test: 0.7870261	best: 0.7870261 (46)	total: 17m 21s	remaining: 2h 47m 23s
47:	test: 0.7873180	best: 0.7873180 (47)	total: 17m 47s	remaining: 2h 47m 36s
48:	test: 0.7875035	best: 0.7875035 (48)	total: 18m 12s	remaining: 2h 47m 32s
49:	test: 0.7877764	best: 0.7877764 (49)	total: 18m 36s	remaining: 2h 47m 27s
50:	test: 0.7879534	best: 0.7879534 (50)	total: 19m	remaining: 2h 47m 20s
51:	test: 0.7881875	best: 0.7881875 (51)	total: 19m 28s	remaining: 2h 47m 48s
52:	test: 0.7883917	best: 0.7883917 (52)	total: 19m 52s	remaining: 2h 47m 34s
53:	test: 0.7885766	best: 0.7885766 (53)	total: 20m 17s	remaining: 2h 47m 36s
54:	test: 0.7887071	best: 0.7887071 (54)	total: 20m 42s	remaining: 2h 47m 32s
55:	test: 0.7889465	best: 0.7889465 (55)	total: 21m 8s	remaining: 2h 47m 39s
56:	test: 0.7891440	best: 0.7891440 (56)	total: 21m 30s	remaining: 2h 47m 6s
57:	test: 0.7893077	best: 0.7893077 (57)	total: 21m 52s	remaining: 2h 46m 44s
58:	test: 0.7895029	best: 0.7895029 (58)	total: 22m 18s	remaining: 2h 46m 44s
59:	test: 0.7896423	best: 0.7896423 (59)	total: 22m 42s	remaining: 2h 46m 32s
60:	test: 0.7898002	best: 0.7898002 (60)	total: 23m 5s	remaining: 2h 46m 12s
61:	test: 0.7899445	best: 0.7899445 (61)	total: 23m 29s	remaining: 2h 45m 55s
62:	test: 0.7900776	best: 0.7900776 (62)	total: 23m 55s	remaining: 2h 45m 56s
63:	test: 0.7902025	best: 0.7902025 (63)	total: 24m 22s	remaining: 2h 45m 59s
64:	test: 0.7903473	best: 0.7903473 (64)	total: 24m 48s	remaining: 2h 46m 1s
65:	test: 0.7904749	best: 0.7904749 (65)	total: 25m 13s	remaining: 2h 45m 49s
66:	test: 0.7906340	best: 0.7906340 (66)	total: 25m 39s	remaining: 2h 45m 50s
67:	test: 0.7907682	best: 0.7907682 (67)	total: 26m 5s	remaining: 2h 45m 47s
68:	test: 0.7909153	best: 0.7909153 (68)	total: 26m 32s	remaining: 2h 45m 47s
69:	test: 0.7910687	best: 0.7910687 (69)	total: 26m 57s	remaining: 2h 45m 34s
70:	test: 0.7912017	best: 0.7912017 (70)	total: 27m 19s	remaining: 2h 45m 6s
71:	test: 0.7913420	best: 0.7913420 (71)	total: 27m 43s	remaining: 2h 44m 47s
72:	test: 0.7914542	best: 0.7914542 (72)	total: 28m 7s	remaining: 2h 44m 33s
73:	test: 0.7915517	best: 0.7915517 (73)	total: 28m 28s	remaining: 2h 43m 53s
74:	test: 0.7916425	best: 0.7916425 (74)	total: 28m 51s	remaining: 2h 43m 32s
75:	test: 0.7917514	best: 0.7917514 (75)	total: 29m 17s	remaining: 2h 43m 24s
76:	test: 0.7918441	best: 0.7918441 (76)	total: 29m 40s	remaining: 2h 43m 2s
77:	test: 0.7919503	best: 0.7919503 (77)	total: 30m 9s	remaining: 2h 43m 9s
78:	test: 0.7920428	best: 0.7920428 (78)	total: 30m 38s	remaining: 2h 43m 17s
79:	test: 0.7921896	best: 0.7921896 (79)	total: 31m 3s	remaining: 2h 43m 1s
80:	test: 0.7923010	best: 0.7923010 (80)	total: 31m 27s	remaining: 2h 42m 41s
81:	test: 0.7923822	best: 0.7923822 (81)	total: 31m 52s	remaining: 2h 42m 28s
82:	test: 0.7924890	best: 0.7924890 (82)	total: 32m 21s	remaining: 2h 42m 35s
83:	test: 0.7925733	best: 0.7925733 (83)	total: 32m 46s	remaining: 2h 42m 17s
84:	test: 0.7926633	best: 0.7926633 (84)	total: 33m 10s	remaining: 2h 41m 58s
85:	test: 0.7927589	best: 0.7927589 (85)	total: 33m 35s	remaining: 2h 41m 42s
86:	test: 0.7928303	best: 0.7928303 (86)	total: 34m	remaining: 2h 41m 27s
87:	test: 0.7929474	best: 0.7929474 (87)	total: 34m 25s	remaining: 2h 41m 8s
88:	test: 0.7930380	best: 0.7930380 (88)	total: 34m 47s	remaining: 2h 40m 39s
89:	test: 0.7931150	best: 0.7931150 (89)	total: 35m 12s	remaining: 2h 40m 25s
90:	test: 0.7931948	best: 0.7931948 (90)	total: 35m 36s	remaining: 2h 40m 2s
91:	test: 0.7932764	best: 0.7932764 (91)	total: 36m 5s	remaining: 2h 40m 2s
92:	test: 0.7933514	best: 0.7933514 (92)	total: 36m 28s	remaining: 2h 39m 35s
93:	test: 0.7934220	best: 0.7934220 (93)	total: 36m 56s	remaining: 2h 39m 31s
94:	test: 0.7935156	best: 0.7935156 (94)	total: 37m 24s	remaining: 2h 39m 29s
95:	test: 0.7936130	best: 0.7936130 (95)	total: 37m 49s	remaining: 2h 39m 11s
96:	test: 0.7936814	best: 0.7936814 (96)	total: 38m 11s	remaining: 2h 38m 41s
97:	test: 0.7937839	best: 0.7937839 (97)	total: 38m 36s	remaining: 2h 38m 23s
98:	test: 0.7938518	best: 0.7938518 (98)	total: 39m 3s	remaining: 2h 38m 12s
99:	test: 0.7939154	best: 0.7939154 (99)	total: 39m 27s	remaining: 2h 37m 48s
100:	test: 0.7939993	best: 0.7939993 (100)	total: 39m 57s	remaining: 2h 37m 49s
101:	test: 0.7940784	best: 0.7940784 (101)	total: 40m 21s	remaining: 2h 37m 27s
102:	test: 0.7941545	best: 0.7941545 (102)	total: 40m 43s	remaining: 2h 36m 56s
103:	test: 0.7942193	best: 0.7942193 (103)	total: 41m 11s	remaining: 2h 36m 51s
104:	test: 0.7943004	best: 0.7943004 (104)	total: 41m 37s	remaining: 2h 36m 35s
105:	test: 0.7943627	best: 0.7943627 (105)	total: 42m 9s	remaining: 2h 36m 42s
106:	test: 0.7944130	best: 0.7944130 (106)	total: 42m 31s	remaining: 2h 36m 11s
107:	test: 0.7944807	best: 0.7944807 (107)	total: 43m 1s	remaining: 2h 36m 8s
108:	test: 0.7945877	best: 0.7945877 (108)	total: 43m 26s	remaining: 2h 35m 48s
109:	test: 0.7946506	best: 0.7946506 (109)	total: 43m 52s	remaining: 2h 35m 33s
110:	test: 0.7947163	best: 0.7947163 (110)	total: 44m 13s	remaining: 2h 34m 59s
111:	test: 0.7947966	best: 0.7947966 (111)	total: 44m 40s	remaining: 2h 34m 45s
112:	test: 0.7948528	best: 0.7948528 (112)	total: 45m 9s	remaining: 2h 34m 38s
113:	test: 0.7949263	best: 0.7949263 (113)	total: 45m 35s	remaining: 2h 34m 21s
114:	test: 0.7949800	best: 0.7949800 (114)	total: 45m 58s	remaining: 2h 33m 55s
115:	test: 0.7950712	best: 0.7950712 (115)	total: 46m 25s	remaining: 2h 33m 42s
116:	test: 0.7952008	best: 0.7952008 (116)	total: 46m 48s	remaining: 2h 33m 14s
117:	test: 0.7952565	best: 0.7952565 (117)	total: 47m 12s	remaining: 2h 32m 50s
118:	test: 0.7952987	best: 0.7952987 (118)	total: 47m 38s	remaining: 2h 32m 30s
119:	test: 0.7953340	best: 0.7953340 (119)	total: 48m	remaining: 2h 32m 2s
120:	test: 0.7954244	best: 0.7954244 (120)	total: 48m 26s	remaining: 2h 31m 45s
121:	test: 0.7954957	best: 0.7954957 (121)	total: 48m 56s	remaining: 2h 31m 37s
122:	test: 0.7955558	best: 0.7955558 (122)	total: 49m 21s	remaining: 2h 31m 15s
123:	test: 0.7956042	best: 0.7956042 (123)	total: 49m 48s	remaining: 2h 31m
124:	test: 0.7956717	best: 0.7956717 (124)	total: 50m 16s	remaining: 2h 30m 48s
125:	test: 0.7957155	best: 0.7957155 (125)	total: 50m 41s	remaining: 2h 30m 28s
126:	test: 0.7957848	best: 0.7957848 (126)	total: 51m 13s	remaining: 2h 30m 28s
127:	test: 0.7958295	best: 0.7958295 (127)	total: 51m 41s	remaining: 2h 30m 14s
128:	test: 0.7958878	best: 0.7958878 (128)	total: 52m 6s	remaining: 2h 29m 53s
129:	test: 0.7959294	best: 0.7959294 (129)	total: 52m 30s	remaining: 2h 29m 27s
130:	test: 0.7959771	best: 0.7959771 (130)	total: 52m 52s	remaining: 2h 28m 55s
131:	test: 0.7960132	best: 0.7960132 (131)	total: 53m 19s	remaining: 2h 28m 39s
132:	test: 0.7960568	best: 0.7960568 (132)	total: 53m 49s	remaining: 2h 28m 31s
133:	test: 0.7960937	best: 0.7960937 (133)	total: 54m 10s	remaining: 2h 27m 59s
134:	test: 0.7961299	best: 0.7961299 (134)	total: 54m 38s	remaining: 2h 27m 45s
135:	test: 0.7961688	best: 0.7961688 (135)	total: 55m	remaining: 2h 27m 13s
136:	test: 0.7961903	best: 0.7961903 (136)	total: 55m 26s	remaining: 2h 26m 55s
137:	test: 0.7962296	best: 0.7962296 (137)	total: 55m 55s	remaining: 2h 26m 41s
138:	test: 0.7962624	best: 0.7962624 (138)	total: 56m 20s	remaining: 2h 26m 18s
139:	test: 0.7963018	best: 0.7963018 (139)	total: 56m 44s	remaining: 2h 25m 55s
140:	test: 0.7963549	best: 0.7963549 (140)	total: 57m 7s	remaining: 2h 25m 25s
141:	test: 0.7964272	best: 0.7964272 (141)	total: 57m 37s	remaining: 2h 25m 15s
142:	test: 0.7964813	best: 0.7964813 (142)	total: 58m	remaining: 2h 24m 49s
143:	test: 0.7965528	best: 0.7965528 (143)	total: 58m 32s	remaining: 2h 24m 42s
144:	test: 0.7966107	best: 0.7966107 (144)	total: 59m 5s	remaining: 2h 24m 41s
145:	test: 0.7966669	best: 0.7966669 (145)	total: 59m 33s	remaining: 2h 24m 24s
146:	test: 0.7967236	best: 0.7967236 (146)	total: 59m 55s	remaining: 2h 23m 55s
147:	test: 0.7967867	best: 0.7967867 (147)	total: 1h 20s	remaining: 2h 23m 30s
148:	test: 0.7968307	best: 0.7968307 (148)	total: 1h 45s	remaining: 2h 23m 8s
149:	test: 0.7968908	best: 0.7968908 (149)	total: 1h 1m 10s	remaining: 2h 22m 44s
150:	test: 0.7969378	best: 0.7969378 (150)	total: 1h 1m 35s	remaining: 2h 22m 20s
151:	test: 0.7969925	best: 0.7969925 (151)	total: 1h 2m 3s	remaining: 2h 22m 5s
152:	test: 0.7970338	best: 0.7970338 (152)	total: 1h 2m 30s	remaining: 2h 21m 46s
153:	test: 0.7970909	best: 0.7970909 (153)	total: 1h 2m 53s	remaining: 2h 21m 19s
154:	test: 0.7971451	best: 0.7971451 (154)	total: 1h 3m 22s	remaining: 2h 21m 4s
155:	test: 0.7971764	best: 0.7971764 (155)	total: 1h 3m 52s	remaining: 2h 20m 50s
156:	test: 0.7972333	best: 0.7972333 (156)	total: 1h 4m 30s	remaining: 2h 20m 56s
157:	test: 0.7972695	best: 0.7972695 (157)	total: 1h 5m	remaining: 2h 20m 41s
158:	test: 0.7973236	best: 0.7973236 (158)	total: 1h 5m 30s	remaining: 2h 20m 30s
159:	test: 0.7973741	best: 0.7973741 (159)	total: 1h 5m 52s	remaining: 2h 19m 59s
160:	test: 0.7974088	best: 0.7974088 (160)	total: 1h 6m 18s	remaining: 2h 19m 38s
161:	test: 0.7974454	best: 0.7974454 (161)	total: 1h 6m 55s	remaining: 2h 19m 38s
162:	test: 0.7974772	best: 0.7974772 (162)	total: 1h 7m 21s	remaining: 2h 19m 15s
163:	test: 0.7975324	best: 0.7975324 (163)	total: 1h 7m 52s	remaining: 2h 19m 3s
164:	test: 0.7975665	best: 0.7975665 (164)	total: 1h 8m 19s	remaining: 2h 18m 42s
165:	test: 0.7976078	best: 0.7976078 (165)	total: 1h 8m 49s	remaining: 2h 18m 28s
166:	test: 0.7976673	best: 0.7976673 (166)	total: 1h 9m 19s	remaining: 2h 18m 14s
167:	test: 0.7977272	best: 0.7977272 (167)	total: 1h 9m 49s	remaining: 2h 17m 58s
168:	test: 0.7977579	best: 0.7977579 (168)	total: 1h 10m 17s	remaining: 2h 17m 39s
169:	test: 0.7977957	best: 0.7977957 (169)	total: 1h 10m 41s	remaining: 2h 17m 12s
170:	test: 0.7978220	best: 0.7978220 (170)	total: 1h 11m 1s	remaining: 2h 16m 38s
171:	test: 0.7978673	best: 0.7978673 (171)	total: 1h 11m 32s	remaining: 2h 16m 25s
172:	test: 0.7979119	best: 0.7979119 (172)	total: 1h 12m 5s	remaining: 2h 16m 15s
173:	test: 0.7979471	best: 0.7979471 (173)	total: 1h 12m 33s	remaining: 2h 15m 55s
174:	test: 0.7979750	best: 0.7979750 (174)	total: 1h 12m 59s	remaining: 2h 15m 32s
175:	test: 0.7980027	best: 0.7980027 (175)	total: 1h 13m 22s	remaining: 2h 15m 4s
176:	test: 0.7980240	best: 0.7980240 (176)	total: 1h 13m 48s	remaining: 2h 14m 41s
177:	test: 0.7980572	best: 0.7980572 (177)	total: 1h 14m 17s	remaining: 2h 14m 22s
178:	test: 0.7980928	best: 0.7980928 (178)	total: 1h 14m 42s	remaining: 2h 13m 58s
179:	test: 0.7981213	best: 0.7981213 (179)	total: 1h 15m 6s	remaining: 2h 13m 31s
180:	test: 0.7981487	best: 0.7981487 (180)	total: 1h 15m 32s	remaining: 2h 13m 8s
181:	test: 0.7981964	best: 0.7981964 (181)	total: 1h 15m 58s	remaining: 2h 12m 45s
182:	test: 0.7982249	best: 0.7982249 (182)	total: 1h 16m 25s	remaining: 2h 12m 22s
183:	test: 0.7982592	best: 0.7982592 (183)	total: 1h 17m 2s	remaining: 2h 12m 18s
184:	test: 0.7982950	best: 0.7982950 (184)	total: 1h 17m 28s	remaining: 2h 11m 54s
185:	test: 0.7983369	best: 0.7983369 (185)	total: 1h 17m 52s	remaining: 2h 11m 27s
186:	test: 0.7983846	best: 0.7983846 (186)	total: 1h 18m 14s	remaining: 2h 10m 57s
187:	test: 0.7984012	best: 0.7984012 (187)	total: 1h 18m 39s	remaining: 2h 10m 31s
188:	test: 0.7984429	best: 0.7984429 (188)	total: 1h 19m 11s	remaining: 2h 10m 18s
189:	test: 0.7984647	best: 0.7984647 (189)	total: 1h 19m 36s	remaining: 2h 9m 52s
190:	test: 0.7985113	best: 0.7985113 (190)	total: 1h 20m 4s	remaining: 2h 9m 32s
191:	test: 0.7985449	best: 0.7985449 (191)	total: 1h 20m 35s	remaining: 2h 9m 16s
192:	test: 0.7985858	best: 0.7985858 (192)	total: 1h 21m 4s	remaining: 2h 8m 58s
193:	test: 0.7986280	best: 0.7986280 (193)	total: 1h 21m 30s	remaining: 2h 8m 34s
194:	test: 0.7986487	best: 0.7986487 (194)	total: 1h 21m 54s	remaining: 2h 8m 7s
195:	test: 0.7986724	best: 0.7986724 (195)	total: 1h 22m 20s	remaining: 2h 7m 42s
196:	test: 0.7987047	best: 0.7987047 (196)	total: 1h 22m 47s	remaining: 2h 7m 20s
197:	test: 0.7987353	best: 0.7987353 (197)	total: 1h 23m 22s	remaining: 2h 7m 10s
198:	test: 0.7987917	best: 0.7987917 (198)	total: 1h 23m 58s	remaining: 2h 7m
199:	test: 0.7988355	best: 0.7988355 (199)	total: 1h 24m 28s	remaining: 2h 6m 43s
200:	test: 0.7988619	best: 0.7988619 (200)	total: 1h 24m 59s	remaining: 2h 6m 26s
201:	test: 0.7988973	best: 0.7988973 (201)	total: 1h 25m 29s	remaining: 2h 6m 7s
202:	test: 0.7989290	best: 0.7989290 (202)	total: 1h 25m 57s	remaining: 2h 5m 45s
203:	test: 0.7989588	best: 0.7989588 (203)	total: 1h 26m 28s	remaining: 2h 5m 28s
204:	test: 0.7989762	best: 0.7989762 (204)	total: 1h 26m 51s	remaining: 2h 4m 59s
205:	test: 0.7989931	best: 0.7989931 (205)	total: 1h 27m 13s	remaining: 2h 4m 28s
206:	test: 0.7990335	best: 0.7990335 (206)	total: 1h 27m 33s	remaining: 2h 3m 56s
207:	test: 0.7990655	best: 0.7990655 (207)	total: 1h 28m	remaining: 2h 3m 32s
208:	test: 0.7990903	best: 0.7990903 (208)	total: 1h 28m 28s	remaining: 2h 3m 10s
209:	test: 0.7991106	best: 0.7991106 (209)	total: 1h 28m 53s	remaining: 2h 2m 45s
210:	test: 0.7991316	best: 0.7991316 (210)	total: 1h 29m 23s	remaining: 2h 2m 26s
211:	test: 0.7991550	best: 0.7991550 (211)	total: 1h 29m 48s	remaining: 2h 2m
212:	test: 0.7991736	best: 0.7991736 (212)	total: 1h 30m 16s	remaining: 2h 1m 38s
213:	test: 0.7992016	best: 0.7992016 (213)	total: 1h 30m 43s	remaining: 2h 1m 15s
214:	test: 0.7992248	best: 0.7992248 (214)	total: 1h 31m 7s	remaining: 2h 47s
215:	test: 0.7992548	best: 0.7992548 (215)	total: 1h 31m 35s	remaining: 2h 25s
216:	test: 0.7992753	best: 0.7992753 (216)	total: 1h 32m 1s	remaining: 2h 1s
217:	test: 0.7993217	best: 0.7993217 (217)	total: 1h 32m 27s	remaining: 1h 59m 36s
218:	test: 0.7993514	best: 0.7993514 (218)	total: 1h 32m 59s	remaining: 1h 59m 18s
219:	test: 0.7993807	best: 0.7993807 (219)	total: 1h 33m 26s	remaining: 1h 58m 54s
220:	test: 0.7994083	best: 0.7994083 (220)	total: 1h 33m 56s	remaining: 1h 58m 35s
221:	test: 0.7994235	best: 0.7994235 (221)	total: 1h 34m 26s	remaining: 1h 58m 15s
222:	test: 0.7994548	best: 0.7994548 (222)	total: 1h 34m 58s	remaining: 1h 57m 58s
223:	test: 0.7994934	best: 0.7994934 (223)	total: 1h 35m 29s	remaining: 1h 57m 39s
224:	test: 0.7995159	best: 0.7995159 (224)	total: 1h 35m 55s	remaining: 1h 57m 14s
225:	test: 0.7995475	best: 0.7995475 (225)	total: 1h 36m 20s	remaining: 1h 56m 48s
226:	test: 0.7995699	best: 0.7995699 (226)	total: 1h 36m 42s	remaining: 1h 56m 18s
227:	test: 0.7995837	best: 0.7995837 (227)	total: 1h 37m 8s	remaining: 1h 55m 52s
228:	test: 0.7996120	best: 0.7996120 (228)	total: 1h 37m 43s	remaining: 1h 55m 38s
229:	test: 0.7996451	best: 0.7996451 (229)	total: 1h 38m 19s	remaining: 1h 55m 25s
230:	test: 0.7996673	best: 0.7996673 (230)	total: 1h 38m 50s	remaining: 1h 55m 6s
231:	test: 0.7996961	best: 0.7996961 (231)	total: 1h 39m 19s	remaining: 1h 54m 43s
232:	test: 0.7997188	best: 0.7997188 (232)	total: 1h 39m 38s	remaining: 1h 54m 10s
233:	test: 0.7997432	best: 0.7997432 (233)	total: 1h 40m 6s	remaining: 1h 53m 48s
234:	test: 0.7997611	best: 0.7997611 (234)	total: 1h 40m 30s	remaining: 1h 53m 20s
235:	test: 0.7997791	best: 0.7997791 (235)	total: 1h 40m 57s	remaining: 1h 52m 55s
236:	test: 0.7998022	best: 0.7998022 (236)	total: 1h 41m 27s	remaining: 1h 52m 35s
237:	test: 0.7998249	best: 0.7998249 (237)	total: 1h 41m 54s	remaining: 1h 52m 10s
238:	test: 0.7998417	best: 0.7998417 (238)	total: 1h 42m 22s	remaining: 1h 51m 48s
239:	test: 0.7998592	best: 0.7998592 (239)	total: 1h 42m 46s	remaining: 1h 51m 20s
240:	test: 0.7999001	best: 0.7999001 (240)	total: 1h 43m 20s	remaining: 1h 51m 3s
241:	test: 0.7999198	best: 0.7999198 (241)	total: 1h 43m 42s	remaining: 1h 50m 34s
242:	test: 0.7999442	best: 0.7999442 (242)	total: 1h 44m 9s	remaining: 1h 50m 9s
243:	test: 0.7999634	best: 0.7999634 (243)	total: 1h 44m 35s	remaining: 1h 49m 44s
244:	test: 0.7999927	best: 0.7999927 (244)	total: 1h 45m 13s	remaining: 1h 49m 31s
245:	test: 0.8000096	best: 0.8000096 (245)	total: 1h 45m 39s	remaining: 1h 49m 6s
246:	test: 0.8000275	best: 0.8000275 (246)	total: 1h 46m 9s	remaining: 1h 48m 44s
247:	test: 0.8000497	best: 0.8000497 (247)	total: 1h 46m 47s	remaining: 1h 48m 31s
248:	test: 0.8000647	best: 0.8000647 (248)	total: 1h 47m 7s	remaining: 1h 47m 59s
249:	test: 0.8000911	best: 0.8000911 (249)	total: 1h 47m 31s	remaining: 1h 47m 31s
250:	test: 0.8001050	best: 0.8001050 (250)	total: 1h 47m 51s	remaining: 1h 46m 59s
251:	test: 0.8001209	best: 0.8001209 (251)	total: 1h 48m 15s	remaining: 1h 46m 32s
252:	test: 0.8001505	best: 0.8001505 (252)	total: 1h 48m 46s	remaining: 1h 46m 12s
253:	test: 0.8001764	best: 0.8001764 (253)	total: 1h 49m 15s	remaining: 1h 45m 49s
254:	test: 0.8001927	best: 0.8001927 (254)	total: 1h 49m 36s	remaining: 1h 45m 18s
255:	test: 0.8002432	best: 0.8002432 (255)	total: 1h 50m 1s	remaining: 1h 44m 52s
256:	test: 0.8002721	best: 0.8002721 (256)	total: 1h 50m 27s	remaining: 1h 44m 26s
257:	test: 0.8002977	best: 0.8002977 (257)	total: 1h 50m 52s	remaining: 1h 44m
258:	test: 0.8003136	best: 0.8003136 (258)	total: 1h 51m 21s	remaining: 1h 43m 37s
259:	test: 0.8003250	best: 0.8003250 (259)	total: 1h 51m 48s	remaining: 1h 43m 12s
260:	test: 0.8003408	best: 0.8003408 (260)	total: 1h 52m 11s	remaining: 1h 42m 44s
261:	test: 0.8003653	best: 0.8003653 (261)	total: 1h 52m 38s	remaining: 1h 42m 19s
262:	test: 0.8003915	best: 0.8003915 (262)	total: 1h 53m 5s	remaining: 1h 41m 54s
263:	test: 0.8004066	best: 0.8004066 (263)	total: 1h 53m 43s	remaining: 1h 41m 39s
