0:	test: 0.7326051	best: 0.7326051 (0)	total: 4.51s	remaining: 37m 32s
1:	test: 0.7566750	best: 0.7566750 (1)	total: 8.75s	remaining: 36m 18s
2:	test: 0.7718193	best: 0.7718193 (2)	total: 13.2s	remaining: 36m 31s
3:	test: 0.7821753	best: 0.7821753 (3)	total: 17.5s	remaining: 36m 15s
4:	test: 0.7910788	best: 0.7910788 (4)	total: 21.7s	remaining: 35m 48s
5:	test: 0.7969885	best: 0.7969885 (5)	total: 25.7s	remaining: 35m 18s
6:	test: 0.8059381	best: 0.8059381 (6)	total: 30s	remaining: 35m 12s
7:	test: 0.8138589	best: 0.8138589 (7)	total: 34.7s	remaining: 35m 36s
8:	test: 0.8188293	best: 0.8188293 (8)	total: 39.2s	remaining: 35m 40s
9:	test: 0.8250966	best: 0.8250966 (9)	total: 43.2s	remaining: 35m 19s
10:	test: 0.8294947	best: 0.8294947 (10)	total: 47.3s	remaining: 35m 4s
11:	test: 0.8341543	best: 0.8341543 (11)	total: 51.4s	remaining: 34m 51s
12:	test: 0.8382317	best: 0.8382317 (12)	total: 55.7s	remaining: 34m 45s
13:	test: 0.8417841	best: 0.8417841 (13)	total: 59.7s	remaining: 34m 33s
14:	test: 0.8455842	best: 0.8455842 (14)	total: 1m 3s	remaining: 34m 21s
15:	test: 0.8486955	best: 0.8486955 (15)	total: 1m 7s	remaining: 34m 16s
16:	test: 0.8517207	best: 0.8517207 (16)	total: 1m 12s	remaining: 34m 6s
17:	test: 0.8542444	best: 0.8542444 (17)	total: 1m 16s	remaining: 34m 13s
18:	test: 0.8568044	best: 0.8568044 (18)	total: 1m 20s	remaining: 34m 3s
19:	test: 0.8593784	best: 0.8593784 (19)	total: 1m 25s	remaining: 34m 5s
20:	test: 0.8617589	best: 0.8617589 (20)	total: 1m 29s	remaining: 33m 58s
21:	test: 0.8638517	best: 0.8638517 (21)	total: 1m 33s	remaining: 33m 45s
22:	test: 0.8663424	best: 0.8663424 (22)	total: 1m 37s	remaining: 33m 42s
23:	test: 0.8681995	best: 0.8681995 (23)	total: 1m 41s	remaining: 33m 38s
24:	test: 0.8702687	best: 0.8702687 (24)	total: 1m 46s	remaining: 33m 38s
25:	test: 0.8718874	best: 0.8718874 (25)	total: 1m 50s	remaining: 33m 28s
26:	test: 0.8737447	best: 0.8737447 (26)	total: 1m 54s	remaining: 33m 21s
27:	test: 0.8752235	best: 0.8752235 (27)	total: 1m 58s	remaining: 33m 13s
28:	test: 0.8765212	best: 0.8765212 (28)	total: 2m 2s	remaining: 33m 5s
29:	test: 0.8778768	best: 0.8778768 (29)	total: 2m 6s	remaining: 32m 57s
30:	test: 0.8794243	best: 0.8794243 (30)	total: 2m 10s	remaining: 32m 53s
31:	test: 0.8807894	best: 0.8807894 (31)	total: 2m 14s	remaining: 32m 47s
32:	test: 0.8820616	best: 0.8820616 (32)	total: 2m 18s	remaining: 32m 40s
33:	test: 0.8835518	best: 0.8835518 (33)	total: 2m 22s	remaining: 32m 38s
34:	test: 0.8849489	best: 0.8849489 (34)	total: 2m 26s	remaining: 32m 32s
35:	test: 0.8862163	best: 0.8862163 (35)	total: 2m 31s	remaining: 32m 28s
36:	test: 0.8873336	best: 0.8873336 (36)	total: 2m 35s	remaining: 32m 20s
37:	test: 0.8885164	best: 0.8885164 (37)	total: 2m 39s	remaining: 32m 18s
38:	test: 0.8895259	best: 0.8895259 (38)	total: 2m 43s	remaining: 32m 15s
39:	test: 0.8906246	best: 0.8906246 (39)	total: 2m 48s	remaining: 32m 14s
40:	test: 0.8916890	best: 0.8916890 (40)	total: 2m 52s	remaining: 32m 7s
41:	test: 0.8927026	best: 0.8927026 (41)	total: 2m 56s	remaining: 32m 1s
42:	test: 0.8937045	best: 0.8937045 (42)	total: 3m	remaining: 31m 57s
43:	test: 0.8947780	best: 0.8947780 (43)	total: 3m 4s	remaining: 31m 51s
44:	test: 0.8956470	best: 0.8956470 (44)	total: 3m 8s	remaining: 31m 45s
45:	test: 0.8964758	best: 0.8964758 (45)	total: 3m 12s	remaining: 31m 40s
46:	test: 0.8973893	best: 0.8973893 (46)	total: 3m 16s	remaining: 31m 37s
47:	test: 0.8982442	best: 0.8982442 (47)	total: 3m 20s	remaining: 31m 32s
48:	test: 0.8990025	best: 0.8990025 (48)	total: 3m 25s	remaining: 31m 28s
49:	test: 0.8996992	best: 0.8996992 (49)	total: 3m 29s	remaining: 31m 28s
50:	test: 0.9004811	best: 0.9004811 (50)	total: 3m 34s	remaining: 31m 24s
51:	test: 0.9012395	best: 0.9012395 (51)	total: 3m 37s	remaining: 31m 17s
52:	test: 0.9020176	best: 0.9020176 (52)	total: 3m 42s	remaining: 31m 12s
53:	test: 0.9025092	best: 0.9025092 (53)	total: 3m 45s	remaining: 31m 4s
54:	test: 0.9031312	best: 0.9031312 (54)	total: 3m 49s	remaining: 30m 59s
55:	test: 0.9040222	best: 0.9040222 (55)	total: 3m 53s	remaining: 30m 54s
56:	test: 0.9046551	best: 0.9046551 (56)	total: 3m 57s	remaining: 30m 49s
57:	test: 0.9052483	best: 0.9052483 (57)	total: 4m 1s	remaining: 30m 42s
58:	test: 0.9058359	best: 0.9058359 (58)	total: 4m 5s	remaining: 30m 36s
59:	test: 0.9063182	best: 0.9063182 (59)	total: 4m 9s	remaining: 30m 29s
60:	test: 0.9069098	best: 0.9069098 (60)	total: 4m 13s	remaining: 30m 24s
61:	test: 0.9074541	best: 0.9074541 (61)	total: 4m 17s	remaining: 30m 17s
62:	test: 0.9078843	best: 0.9078843 (62)	total: 4m 21s	remaining: 30m 10s
63:	test: 0.9084759	best: 0.9084759 (63)	total: 4m 24s	remaining: 30m 3s
64:	test: 0.9090666	best: 0.9090666 (64)	total: 4m 29s	remaining: 30m 1s
65:	test: 0.9096161	best: 0.9096161 (65)	total: 4m 33s	remaining: 29m 56s
66:	test: 0.9101581	best: 0.9101581 (66)	total: 4m 37s	remaining: 29m 50s
67:	test: 0.9106513	best: 0.9106513 (67)	total: 4m 40s	remaining: 29m 44s
68:	test: 0.9111065	best: 0.9111065 (68)	total: 4m 44s	remaining: 29m 38s
69:	test: 0.9115640	best: 0.9115640 (69)	total: 4m 48s	remaining: 29m 32s
70:	test: 0.9119512	best: 0.9119512 (70)	total: 4m 52s	remaining: 29m 26s
71:	test: 0.9123773	best: 0.9123773 (71)	total: 4m 56s	remaining: 29m 19s
72:	test: 0.9127787	best: 0.9127787 (72)	total: 4m 59s	remaining: 29m 14s
73:	test: 0.9131475	best: 0.9131475 (73)	total: 5m 3s	remaining: 29m 8s
74:	test: 0.9135498	best: 0.9135498 (74)	total: 5m 7s	remaining: 29m 2s
75:	test: 0.9139507	best: 0.9139507 (75)	total: 5m 11s	remaining: 28m 56s
76:	test: 0.9143608	best: 0.9143608 (76)	total: 5m 15s	remaining: 28m 51s
77:	test: 0.9147131	best: 0.9147131 (77)	total: 5m 18s	remaining: 28m 45s
78:	test: 0.9151004	best: 0.9151004 (78)	total: 5m 22s	remaining: 28m 39s
79:	test: 0.9154287	best: 0.9154287 (79)	total: 5m 26s	remaining: 28m 32s
80:	test: 0.9158111	best: 0.9158111 (80)	total: 5m 30s	remaining: 28m 27s
81:	test: 0.9160896	best: 0.9160896 (81)	total: 5m 34s	remaining: 28m 23s
82:	test: 0.9164749	best: 0.9164749 (82)	total: 5m 38s	remaining: 28m 18s
83:	test: 0.9168446	best: 0.9168446 (83)	total: 5m 41s	remaining: 28m 13s
84:	test: 0.9171234	best: 0.9171234 (84)	total: 5m 45s	remaining: 28m 7s
85:	test: 0.9174897	best: 0.9174897 (85)	total: 5m 49s	remaining: 28m 2s
86:	test: 0.9178161	best: 0.9178161 (86)	total: 5m 53s	remaining: 27m 57s
87:	test: 0.9181688	best: 0.9181688 (87)	total: 5m 57s	remaining: 27m 52s
88:	test: 0.9184242	best: 0.9184242 (88)	total: 6m	remaining: 27m 46s
89:	test: 0.9187535	best: 0.9187535 (89)	total: 6m 5s	remaining: 27m 43s
90:	test: 0.9190731	best: 0.9190731 (90)	total: 6m 8s	remaining: 27m 37s
91:	test: 0.9193869	best: 0.9193869 (91)	total: 6m 12s	remaining: 27m 32s
92:	test: 0.9196825	best: 0.9196825 (92)	total: 6m 16s	remaining: 27m 26s
93:	test: 0.9199326	best: 0.9199326 (93)	total: 6m 20s	remaining: 27m 21s
94:	test: 0.9201510	best: 0.9201510 (94)	total: 6m 23s	remaining: 27m 16s
95:	test: 0.9203255	best: 0.9203255 (95)	total: 6m 27s	remaining: 27m 9s
96:	test: 0.9205773	best: 0.9205773 (96)	total: 6m 31s	remaining: 27m 5s
97:	test: 0.9208646	best: 0.9208646 (97)	total: 6m 35s	remaining: 27m 1s
98:	test: 0.9211591	best: 0.9211591 (98)	total: 6m 39s	remaining: 26m 57s
99:	test: 0.9214072	best: 0.9214072 (99)	total: 6m 42s	remaining: 26m 51s
