0:	test: 0.8960954	best: 0.8960954 (0)	total: 6.31s	remaining: 52m 27s
1:	test: 0.9087383	best: 0.9087383 (1)	total: 11.5s	remaining: 47m 38s
2:	test: 0.9143944	best: 0.9143944 (2)	total: 16.1s	remaining: 44m 22s
3:	test: 0.9168686	best: 0.9168686 (3)	total: 21.6s	remaining: 44m 37s
4:	test: 0.9241684	best: 0.9241684 (4)	total: 27.3s	remaining: 45m 7s
5:	test: 0.9260116	best: 0.9260116 (5)	total: 34.1s	remaining: 46m 50s
6:	test: 0.9260864	best: 0.9260864 (6)	total: 40.1s	remaining: 47m 3s
7:	test: 0.9262852	best: 0.9262852 (7)	total: 45.9s	remaining: 47m
8:	test: 0.9283800	best: 0.9283800 (8)	total: 51.4s	remaining: 46m 43s
9:	test: 0.9288230	best: 0.9288230 (9)	total: 56.6s	remaining: 46m 12s
10:	test: 0.9294964	best: 0.9294964 (10)	total: 1m 1s	remaining: 45m 54s
11:	test: 0.9311886	best: 0.9311886 (11)	total: 1m 7s	remaining: 45m 54s
12:	test: 0.9322177	best: 0.9322177 (12)	total: 1m 12s	remaining: 45m 32s
13:	test: 0.9322640	best: 0.9322640 (13)	total: 1m 19s	remaining: 45m 54s
14:	test: 0.9323365	best: 0.9323365 (14)	total: 1m 25s	remaining: 46m 7s
15:	test: 0.9310446	best: 0.9323365 (14)	total: 1m 30s	remaining: 45m 47s
16:	test: 0.9323691	best: 0.9323691 (16)	total: 1m 37s	remaining: 46m 5s
17:	test: 0.9307819	best: 0.9323691 (16)	total: 1m 43s	remaining: 45m 59s
18:	test: 0.9317801	best: 0.9323691 (16)	total: 1m 49s	remaining: 46m 4s
19:	test: 0.9304635	best: 0.9323691 (16)	total: 1m 56s	remaining: 46m 24s
20:	test: 0.9305992	best: 0.9323691 (16)	total: 2m 2s	remaining: 46m 30s
21:	test: 0.9305676	best: 0.9323691 (16)	total: 2m 9s	remaining: 46m 44s
22:	test: 0.9306726	best: 0.9323691 (16)	total: 2m 15s	remaining: 46m 40s
23:	test: 0.9301981	best: 0.9323691 (16)	total: 2m 21s	remaining: 46m 54s
24:	test: 0.9305265	best: 0.9323691 (16)	total: 2m 27s	remaining: 46m 47s
25:	test: 0.9296372	best: 0.9323691 (16)	total: 2m 33s	remaining: 46m 45s
26:	test: 0.9296597	best: 0.9323691 (16)	total: 2m 39s	remaining: 46m 38s
27:	test: 0.9296718	best: 0.9323691 (16)	total: 2m 45s	remaining: 46m 32s
28:	test: 0.9297308	best: 0.9323691 (16)	total: 2m 51s	remaining: 46m 27s
29:	test: 0.9298372	best: 0.9323691 (16)	total: 2m 57s	remaining: 46m 26s
30:	test: 0.9298951	best: 0.9323691 (16)	total: 3m 4s	remaining: 46m 25s
31:	test: 0.9295755	best: 0.9323691 (16)	total: 3m 10s	remaining: 46m 29s
32:	test: 0.9299772	best: 0.9323691 (16)	total: 3m 16s	remaining: 46m 16s
33:	test: 0.9306676	best: 0.9323691 (16)	total: 3m 22s	remaining: 46m 16s
34:	test: 0.9284106	best: 0.9323691 (16)	total: 3m 28s	remaining: 46m 12s
35:	test: 0.9278562	best: 0.9323691 (16)	total: 3m 34s	remaining: 46m 4s
36:	test: 0.9289293	best: 0.9323691 (16)	total: 3m 40s	remaining: 46m 5s
37:	test: 0.9286617	best: 0.9323691 (16)	total: 3m 45s	remaining: 45m 46s
38:	test: 0.9287900	best: 0.9323691 (16)	total: 3m 52s	remaining: 45m 53s
39:	test: 0.9288262	best: 0.9323691 (16)	total: 4m	remaining: 46m
40:	test: 0.9286215	best: 0.9323691 (16)	total: 4m 5s	remaining: 45m 52s
41:	test: 0.9287170	best: 0.9323691 (16)	total: 4m 12s	remaining: 45m 48s
42:	test: 0.9336246	best: 0.9336246 (42)	total: 4m 18s	remaining: 45m 52s
43:	test: 0.9348568	best: 0.9348568 (43)	total: 4m 24s	remaining: 45m 43s
44:	test: 0.9351421	best: 0.9351421 (44)	total: 4m 33s	remaining: 46m 1s
45:	test: 0.9355619	best: 0.9355619 (45)	total: 4m 39s	remaining: 45m 58s
46:	test: 0.9358706	best: 0.9358706 (46)	total: 4m 45s	remaining: 45m 56s
47:	test: 0.9357969	best: 0.9358706 (46)	total: 4m 50s	remaining: 45m 39s
48:	test: 0.9357942	best: 0.9358706 (46)	total: 4m 59s	remaining: 45m 59s
49:	test: 0.9362641	best: 0.9362641 (49)	total: 5m 5s	remaining: 45m 51s
50:	test: 0.9361103	best: 0.9362641 (49)	total: 5m 14s	remaining: 46m 8s
51:	test: 0.9366337	best: 0.9366337 (51)	total: 5m 20s	remaining: 46m 2s
