0:	test: 0.8928698	best: 0.8928698 (0)	total: 8.04s	remaining: 1h 6m 54s
1:	test: 0.9171559	best: 0.9171559 (1)	total: 15.3s	remaining: 1h 3m 22s
2:	test: 0.9200501	best: 0.9200501 (2)	total: 21s	remaining: 58m 5s
3:	test: 0.9427235	best: 0.9427235 (3)	total: 27.2s	remaining: 56m 15s
4:	test: 0.9440529	best: 0.9440529 (4)	total: 34.1s	remaining: 56m 12s
5:	test: 0.9439074	best: 0.9440529 (4)	total: 40.3s	remaining: 55m 21s
6:	test: 0.9450075	best: 0.9450075 (6)	total: 45.7s	remaining: 53m 41s
7:	test: 0.9441733	best: 0.9450075 (6)	total: 51.8s	remaining: 53m 6s
8:	test: 0.9427831	best: 0.9450075 (6)	total: 57.5s	remaining: 52m 17s
9:	test: 0.9453072	best: 0.9453072 (9)	total: 1m 3s	remaining: 51m 31s
10:	test: 0.9221304	best: 0.9453072 (9)	total: 1m 9s	remaining: 51m 25s
11:	test: 0.9245644	best: 0.9453072 (9)	total: 1m 15s	remaining: 51m 5s
12:	test: 0.9422066	best: 0.9453072 (9)	total: 1m 20s	remaining: 50m 27s
13:	test: 0.9473320	best: 0.9473320 (13)	total: 1m 27s	remaining: 50m 39s
14:	test: 0.9477319	best: 0.9477319 (14)	total: 1m 34s	remaining: 50m 43s
15:	test: 0.9478507	best: 0.9478507 (15)	total: 1m 40s	remaining: 50m 40s
16:	test: 0.9429729	best: 0.9478507 (15)	total: 1m 47s	remaining: 51m 6s
17:	test: 0.9470938	best: 0.9478507 (15)	total: 1m 54s	remaining: 51m 18s
18:	test: 0.9471572	best: 0.9478507 (15)	total: 2m 2s	remaining: 51m 35s
19:	test: 0.9473064	best: 0.9478507 (15)	total: 2m 9s	remaining: 51m 55s
20:	test: 0.9548193	best: 0.9548193 (20)	total: 2m 16s	remaining: 51m 51s
21:	test: 0.9545895	best: 0.9548193 (20)	total: 2m 22s	remaining: 51m 35s
22:	test: 0.9525412	best: 0.9548193 (20)	total: 2m 29s	remaining: 51m 34s
23:	test: 0.9523249	best: 0.9548193 (20)	total: 2m 35s	remaining: 51m 28s
24:	test: 0.9553908	best: 0.9553908 (24)	total: 2m 42s	remaining: 51m 25s
25:	test: 0.9551598	best: 0.9553908 (24)	total: 2m 49s	remaining: 51m 27s
26:	test: 0.9549933	best: 0.9553908 (24)	total: 2m 56s	remaining: 51m 33s
27:	test: 0.9550068	best: 0.9553908 (24)	total: 3m 3s	remaining: 51m 31s
28:	test: 0.9534345	best: 0.9553908 (24)	total: 3m 10s	remaining: 51m 28s
29:	test: 0.9543171	best: 0.9553908 (24)	total: 3m 17s	remaining: 51m 30s
30:	test: 0.9513436	best: 0.9553908 (24)	total: 3m 23s	remaining: 51m 23s
31:	test: 0.9512626	best: 0.9553908 (24)	total: 3m 31s	remaining: 51m 37s
32:	test: 0.9499210	best: 0.9553908 (24)	total: 3m 39s	remaining: 51m 52s
33:	test: 0.9492080	best: 0.9553908 (24)	total: 3m 45s	remaining: 51m 25s
34:	test: 0.9501849	best: 0.9553908 (24)	total: 3m 50s	remaining: 50m 59s
35:	test: 0.9496429	best: 0.9553908 (24)	total: 3m 57s	remaining: 51m 6s
36:	test: 0.9502226	best: 0.9553908 (24)	total: 4m 5s	remaining: 51m 6s
37:	test: 0.9498333	best: 0.9553908 (24)	total: 4m 11s	remaining: 50m 56s
38:	test: 0.9477964	best: 0.9553908 (24)	total: 4m 17s	remaining: 50m 48s
39:	test: 0.9481047	best: 0.9553908 (24)	total: 4m 22s	remaining: 50m 23s
40:	test: 0.9481279	best: 0.9553908 (24)	total: 4m 30s	remaining: 50m 23s
41:	test: 0.9476922	best: 0.9553908 (24)	total: 4m 34s	remaining: 49m 54s
42:	test: 0.9450381	best: 0.9553908 (24)	total: 4m 43s	remaining: 50m 16s
43:	test: 0.9453552	best: 0.9553908 (24)	total: 4m 48s	remaining: 49m 46s
44:	test: 0.9451397	best: 0.9553908 (24)	total: 4m 53s	remaining: 49m 25s
45:	test: 0.9455405	best: 0.9553908 (24)	total: 5m	remaining: 49m 29s
46:	test: 0.9457870	best: 0.9553908 (24)	total: 5m 6s	remaining: 49m 14s
47:	test: 0.9453513	best: 0.9553908 (24)	total: 5m 11s	remaining: 48m 51s
48:	test: 0.9453626	best: 0.9553908 (24)	total: 5m 16s	remaining: 48m 30s
49:	test: 0.9472045	best: 0.9553908 (24)	total: 5m 25s	remaining: 48m 46s
50:	test: 0.9433047	best: 0.9553908 (24)	total: 5m 33s	remaining: 48m 54s
51:	test: 0.9408885	best: 0.9553908 (24)	total: 5m 43s	remaining: 49m 15s
52:	test: 0.9385088	best: 0.9553908 (24)	total: 5m 52s	remaining: 49m 33s
53:	test: 0.9387043	best: 0.9553908 (24)	total: 6m	remaining: 49m 40s
54:	test: 0.9374241	best: 0.9553908 (24)	total: 6m 7s	remaining: 49m 34s
55:	test: 0.9375757	best: 0.9553908 (24)	total: 6m 14s	remaining: 49m 30s
56:	test: 0.9370569	best: 0.9553908 (24)	total: 6m 23s	remaining: 49m 37s
57:	test: 0.9367320	best: 0.9553908 (24)	total: 6m 30s	remaining: 49m 32s
58:	test: 0.9363791	best: 0.9553908 (24)	total: 6m 35s	remaining: 49m 18s
59:	test: 0.9362962	best: 0.9553908 (24)	total: 6m 46s	remaining: 49m 38s
60:	test: 0.9362267	best: 0.9553908 (24)	total: 6m 57s	remaining: 50m 7s
61:	test: 0.9358957	best: 0.9553908 (24)	total: 7m 6s	remaining: 50m 9s
62:	test: 0.9357233	best: 0.9553908 (24)	total: 7m 13s	remaining: 50m 9s
63:	test: 0.9354865	best: 0.9553908 (24)	total: 7m 22s	remaining: 50m 15s
64:	test: 0.9351176	best: 0.9553908 (24)	total: 7m 31s	remaining: 50m 22s
65:	test: 0.9349237	best: 0.9553908 (24)	total: 7m 41s	remaining: 50m 35s
66:	test: 0.9349099	best: 0.9553908 (24)	total: 7m 53s	remaining: 50m 58s
67:	test: 0.9348648	best: 0.9553908 (24)	total: 8m 2s	remaining: 51m 6s
68:	test: 0.9348657	best: 0.9553908 (24)	total: 8m 10s	remaining: 51m 3s
69:	test: 0.9348503	best: 0.9553908 (24)	total: 8m 17s	remaining: 50m 57s
70:	test: 0.9349354	best: 0.9553908 (24)	total: 8m 24s	remaining: 50m 47s
71:	test: 0.9343798	best: 0.9553908 (24)	total: 8m 33s	remaining: 50m 55s
72:	test: 0.9343567	best: 0.9553908 (24)	total: 8m 36s	remaining: 50m 23s
73:	test: 0.9343832	best: 0.9553908 (24)	total: 8m 42s	remaining: 50m 6s
74:	test: 0.9341787	best: 0.9553908 (24)	total: 8m 47s	remaining: 49m 47s
75:	test: 0.9342934	best: 0.9553908 (24)	total: 8m 53s	remaining: 49m 39s
76:	test: 0.9342549	best: 0.9553908 (24)	total: 9m	remaining: 49m 31s
77:	test: 0.9342237	best: 0.9553908 (24)	total: 9m 5s	remaining: 49m 12s
78:	test: 0.9341996	best: 0.9553908 (24)	total: 9m 14s	remaining: 49m 15s
79:	test: 0.9341125	best: 0.9553908 (24)	total: 9m 25s	remaining: 49m 27s
80:	test: 0.9341357	best: 0.9553908 (24)	total: 9m 28s	remaining: 48m 58s
81:	test: 0.9341640	best: 0.9553908 (24)	total: 9m 37s	remaining: 49m 5s
82:	test: 0.9341676	best: 0.9553908 (24)	total: 9m 45s	remaining: 48m 59s
83:	test: 0.9342140	best: 0.9553908 (24)	total: 9m 51s	remaining: 48m 50s
84:	test: 0.9342062	best: 0.9553908 (24)	total: 9m 56s	remaining: 48m 32s
85:	test: 0.9342078	best: 0.9553908 (24)	total: 10m 4s	remaining: 48m 31s
