0:	test: 0.3499187	best: 0.3499187 (0)	total: 3.09s	remaining: 25m 40s
1:	test: 0.3834712	best: 0.3834712 (1)	total: 6.1s	remaining: 25m 18s
2:	test: 0.3936598	best: 0.3936598 (2)	total: 9.05s	remaining: 24m 59s
3:	test: 0.4173636	best: 0.4173636 (3)	total: 12.1s	remaining: 25m
4:	test: 0.4275831	best: 0.4275831 (4)	total: 15s	remaining: 24m 49s
5:	test: 0.4311244	best: 0.4311244 (5)	total: 18s	remaining: 24m 43s
6:	test: 0.4399897	best: 0.4399897 (6)	total: 21.2s	remaining: 24m 50s
7:	test: 0.4473387	best: 0.4473387 (7)	total: 24.2s	remaining: 24m 47s
8:	test: 0.4525553	best: 0.4525553 (8)	total: 27.2s	remaining: 24m 43s
9:	test: 0.4571011	best: 0.4571011 (9)	total: 30s	remaining: 24m 29s
10:	test: 0.4635116	best: 0.4635116 (10)	total: 32.9s	remaining: 24m 20s
11:	test: 0.4669362	best: 0.4669362 (11)	total: 35.8s	remaining: 24m 13s
12:	test: 0.4699708	best: 0.4699708 (12)	total: 38.7s	remaining: 24m 8s
13:	test: 0.4721354	best: 0.4721354 (13)	total: 41.6s	remaining: 24m 4s
14:	test: 0.4740671	best: 0.4740671 (14)	total: 44.6s	remaining: 24m 2s
15:	test: 0.4767314	best: 0.4767314 (15)	total: 47.5s	remaining: 23m 55s
16:	test: 0.4782820	best: 0.4782820 (16)	total: 50.3s	remaining: 23m 49s
17:	test: 0.4791854	best: 0.4791854 (17)	total: 53.2s	remaining: 23m 45s
18:	test: 0.4807802	best: 0.4807802 (18)	total: 56.3s	remaining: 23m 44s
19:	test: 0.4821941	best: 0.4821941 (19)	total: 59.1s	remaining: 23m 38s
20:	test: 0.4837105	best: 0.4837105 (20)	total: 1m 1s	remaining: 23m 32s
21:	test: 0.4848752	best: 0.4848752 (21)	total: 1m 4s	remaining: 23m 25s
22:	test: 0.4862263	best: 0.4862263 (22)	total: 1m 7s	remaining: 23m 24s
23:	test: 0.4871255	best: 0.4871255 (23)	total: 1m 10s	remaining: 23m 23s
24:	test: 0.4883117	best: 0.4883117 (24)	total: 1m 13s	remaining: 23m 18s
25:	test: 0.4888714	best: 0.4888714 (25)	total: 1m 16s	remaining: 23m 11s
26:	test: 0.4899820	best: 0.4899820 (26)	total: 1m 19s	remaining: 23m 5s
27:	test: 0.4904907	best: 0.4904907 (27)	total: 1m 21s	remaining: 22m 54s
28:	test: 0.4912816	best: 0.4912816 (28)	total: 1m 24s	remaining: 22m 46s
29:	test: 0.4921056	best: 0.4921056 (29)	total: 1m 26s	remaining: 22m 42s
30:	test: 0.4930370	best: 0.4930370 (30)	total: 1m 29s	remaining: 22m 37s
31:	test: 0.4932452	best: 0.4932452 (31)	total: 1m 32s	remaining: 22m 32s
32:	test: 0.4936354	best: 0.4936354 (32)	total: 1m 35s	remaining: 22m 24s
33:	test: 0.4945354	best: 0.4945354 (33)	total: 1m 37s	remaining: 22m 18s
34:	test: 0.4951959	best: 0.4951959 (34)	total: 1m 40s	remaining: 22m 14s
35:	test: 0.4954262	best: 0.4954262 (35)	total: 1m 43s	remaining: 22m 7s
36:	test: 0.4963812	best: 0.4963812 (36)	total: 1m 45s	remaining: 22m 1s
37:	test: 0.4970798	best: 0.4970798 (37)	total: 1m 48s	remaining: 21m 54s
38:	test: 0.4975001	best: 0.4975001 (38)	total: 1m 50s	remaining: 21m 50s
39:	test: 0.4978946	best: 0.4978946 (39)	total: 1m 53s	remaining: 21m 47s
40:	test: 0.4986146	best: 0.4986146 (40)	total: 1m 56s	remaining: 21m 40s
41:	test: 0.4992732	best: 0.4992732 (41)	total: 1m 59s	remaining: 21m 38s
42:	test: 0.4995996	best: 0.4995996 (42)	total: 2m 1s	remaining: 21m 33s
43:	test: 0.4996411	best: 0.4996411 (43)	total: 2m 4s	remaining: 21m 29s
44:	test: 0.5000267	best: 0.5000267 (44)	total: 2m 6s	remaining: 21m 23s
45:	test: 0.5005556	best: 0.5005556 (45)	total: 2m 9s	remaining: 21m 21s
46:	test: 0.5009675	best: 0.5009675 (46)	total: 2m 12s	remaining: 21m 15s
47:	test: 0.5009486	best: 0.5009675 (46)	total: 2m 15s	remaining: 21m 11s
48:	test: 0.5014907	best: 0.5014907 (48)	total: 2m 17s	remaining: 21m 6s
49:	test: 0.5014858	best: 0.5014907 (48)	total: 2m 20s	remaining: 21m 2s
50:	test: 0.5017010	best: 0.5017010 (50)	total: 2m 23s	remaining: 20m 59s
51:	test: 0.5021873	best: 0.5021873 (51)	total: 2m 25s	remaining: 20m 56s
52:	test: 0.5025202	best: 0.5025202 (52)	total: 2m 28s	remaining: 20m 56s
53:	test: 0.5031303	best: 0.5031303 (53)	total: 2m 31s	remaining: 20m 51s
54:	test: 0.5030570	best: 0.5031303 (53)	total: 2m 34s	remaining: 20m 49s
55:	test: 0.5034230	best: 0.5034230 (55)	total: 2m 36s	remaining: 20m 44s
56:	test: 0.5036193	best: 0.5036193 (56)	total: 2m 39s	remaining: 20m 40s
57:	test: 0.5035577	best: 0.5036193 (56)	total: 2m 42s	remaining: 20m 38s
58:	test: 0.5035955	best: 0.5036193 (56)	total: 2m 45s	remaining: 20m 34s
59:	test: 0.5042470	best: 0.5042470 (59)	total: 2m 48s	remaining: 20m 33s
60:	test: 0.5042569	best: 0.5042569 (60)	total: 2m 51s	remaining: 20m 31s
61:	test: 0.5045399	best: 0.5045399 (61)	total: 2m 53s	remaining: 20m 28s
62:	test: 0.5050080	best: 0.5050080 (62)	total: 2m 56s	remaining: 20m 24s
63:	test: 0.5052609	best: 0.5052609 (63)	total: 2m 59s	remaining: 20m 20s
64:	test: 0.5052896	best: 0.5052896 (64)	total: 3m 1s	remaining: 20m 15s
65:	test: 0.5053709	best: 0.5053709 (65)	total: 3m 4s	remaining: 20m 11s
66:	test: 0.5053406	best: 0.5053709 (65)	total: 3m 7s	remaining: 20m 8s
67:	test: 0.5055939	best: 0.5055939 (67)	total: 3m 9s	remaining: 20m 3s
68:	test: 0.5056402	best: 0.5056402 (68)	total: 3m 11s	remaining: 19m 58s
69:	test: 0.5058572	best: 0.5058572 (69)	total: 3m 15s	remaining: 19m 58s
70:	test: 0.5061024	best: 0.5061024 (70)	total: 3m 17s	remaining: 19m 54s
71:	test: 0.5062775	best: 0.5062775 (71)	total: 3m 20s	remaining: 19m 52s
72:	test: 0.5066598	best: 0.5066598 (72)	total: 3m 23s	remaining: 19m 50s
73:	test: 0.5064752	best: 0.5066598 (72)	total: 3m 26s	remaining: 19m 47s
74:	test: 0.5065671	best: 0.5066598 (72)	total: 3m 29s	remaining: 19m 44s
75:	test: 0.5068387	best: 0.5068387 (75)	total: 3m 31s	remaining: 19m 41s
76:	test: 0.5070942	best: 0.5070942 (76)	total: 3m 34s	remaining: 19m 38s
77:	test: 0.5070684	best: 0.5070942 (76)	total: 3m 36s	remaining: 19m 33s
78:	test: 0.5073761	best: 0.5073761 (78)	total: 3m 40s	remaining: 19m 32s
79:	test: 0.5073790	best: 0.5073790 (79)	total: 3m 42s	remaining: 19m 29s
80:	test: 0.5075711	best: 0.5075711 (80)	total: 3m 45s	remaining: 19m 27s
81:	test: 0.5078889	best: 0.5078889 (81)	total: 3m 48s	remaining: 19m 24s
82:	test: 0.5081135	best: 0.5081135 (82)	total: 3m 50s	remaining: 19m 19s
83:	test: 0.5084308	best: 0.5084308 (83)	total: 3m 53s	remaining: 19m 16s
84:	test: 0.5085883	best: 0.5085883 (84)	total: 3m 56s	remaining: 19m 15s
85:	test: 0.5085732	best: 0.5085883 (84)	total: 3m 59s	remaining: 19m 11s
86:	test: 0.5087348	best: 0.5087348 (86)	total: 4m 1s	remaining: 19m 8s
87:	test: 0.5088399	best: 0.5088399 (87)	total: 4m 4s	remaining: 19m 5s
88:	test: 0.5089737	best: 0.5089737 (88)	total: 4m 7s	remaining: 19m 3s
89:	test: 0.5089215	best: 0.5089737 (88)	total: 4m 10s	remaining: 19m
90:	test: 0.5087458	best: 0.5089737 (88)	total: 4m 13s	remaining: 19m
91:	test: 0.5087792	best: 0.5089737 (88)	total: 4m 16s	remaining: 18m 56s
92:	test: 0.5088982	best: 0.5089737 (88)	total: 4m 18s	remaining: 18m 53s
93:	test: 0.5089338	best: 0.5089737 (88)	total: 4m 21s	remaining: 18m 48s
94:	test: 0.5093697	best: 0.5093697 (94)	total: 4m 24s	remaining: 18m 46s
95:	test: 0.5094540	best: 0.5094540 (95)	total: 4m 27s	remaining: 18m 44s
96:	test: 0.5097155	best: 0.5097155 (96)	total: 4m 29s	remaining: 18m 40s
97:	test: 0.5100849	best: 0.5100849 (97)	total: 4m 32s	remaining: 18m 37s
98:	test: 0.5101049	best: 0.5101049 (98)	total: 4m 35s	remaining: 18m 36s
99:	test: 0.5101135	best: 0.5101135 (99)	total: 4m 38s	remaining: 18m 33s
100:	test: 0.5103497	best: 0.5103497 (100)	total: 4m 40s	remaining: 18m 29s
101:	test: 0.5103051	best: 0.5103497 (100)	total: 4m 43s	remaining: 18m 26s
102:	test: 0.5104636	best: 0.5104636 (102)	total: 4m 46s	remaining: 18m 24s
103:	test: 0.5101831	best: 0.5104636 (102)	total: 4m 49s	remaining: 18m 21s
104:	test: 0.5101695	best: 0.5104636 (102)	total: 4m 52s	remaining: 18m 19s
105:	test: 0.5102942	best: 0.5104636 (102)	total: 4m 55s	remaining: 18m 18s
106:	test: 0.5103934	best: 0.5104636 (102)	total: 4m 58s	remaining: 18m 15s
107:	test: 0.5107282	best: 0.5107282 (107)	total: 5m	remaining: 18m 12s
108:	test: 0.5109958	best: 0.5109958 (108)	total: 5m 3s	remaining: 18m 10s
109:	test: 0.5111173	best: 0.5111173 (109)	total: 5m 7s	remaining: 18m 9s
110:	test: 0.5109599	best: 0.5111173 (109)	total: 5m 9s	remaining: 18m 6s
111:	test: 0.5112233	best: 0.5112233 (111)	total: 5m 12s	remaining: 18m 4s
112:	test: 0.5116697	best: 0.5116697 (112)	total: 5m 15s	remaining: 18m
113:	test: 0.5119381	best: 0.5119381 (113)	total: 5m 17s	remaining: 17m 56s
114:	test: 0.5120035	best: 0.5120035 (114)	total: 5m 20s	remaining: 17m 54s
115:	test: 0.5120603	best: 0.5120603 (115)	total: 5m 23s	remaining: 17m 51s
116:	test: 0.5118364	best: 0.5120603 (115)	total: 5m 26s	remaining: 17m 47s
117:	test: 0.5120246	best: 0.5120603 (115)	total: 5m 29s	remaining: 17m 45s
118:	test: 0.5119525	best: 0.5120603 (115)	total: 5m 31s	remaining: 17m 41s
119:	test: 0.5119751	best: 0.5120603 (115)	total: 5m 34s	remaining: 17m 38s
120:	test: 0.5121074	best: 0.5121074 (120)	total: 5m 36s	remaining: 17m 35s
121:	test: 0.5120431	best: 0.5121074 (120)	total: 5m 40s	remaining: 17m 33s
122:	test: 0.5121940	best: 0.5121940 (122)	total: 5m 43s	remaining: 17m 32s
123:	test: 0.5122791	best: 0.5122791 (123)	total: 5m 45s	remaining: 17m 28s
124:	test: 0.5122909	best: 0.5122909 (124)	total: 5m 48s	remaining: 17m 24s
125:	test: 0.5123516	best: 0.5123516 (125)	total: 5m 50s	remaining: 17m 21s
126:	test: 0.5126600	best: 0.5126600 (126)	total: 5m 54s	remaining: 17m 19s
127:	test: 0.5127109	best: 0.5127109 (127)	total: 5m 57s	remaining: 17m 19s
128:	test: 0.5126231	best: 0.5127109 (127)	total: 5m 59s	remaining: 17m 15s
129:	test: 0.5129073	best: 0.5129073 (129)	total: 6m 2s	remaining: 17m 11s
130:	test: 0.5129070	best: 0.5129073 (129)	total: 6m 4s	remaining: 17m 8s
131:	test: 0.5129378	best: 0.5129378 (131)	total: 6m 8s	remaining: 17m 6s
132:	test: 0.5128967	best: 0.5129378 (131)	total: 6m 10s	remaining: 17m 3s
133:	test: 0.5130591	best: 0.5130591 (133)	total: 6m 14s	remaining: 17m 3s
134:	test: 0.5129952	best: 0.5130591 (133)	total: 6m 17s	remaining: 16m 59s
135:	test: 0.5131244	best: 0.5131244 (135)	total: 6m 20s	remaining: 16m 59s
136:	test: 0.5132634	best: 0.5132634 (136)	total: 6m 23s	remaining: 16m 55s
137:	test: 0.5132053	best: 0.5132634 (136)	total: 6m 25s	remaining: 16m 52s
138:	test: 0.5131720	best: 0.5132634 (136)	total: 6m 28s	remaining: 16m 48s
139:	test: 0.5130998	best: 0.5132634 (136)	total: 6m 30s	remaining: 16m 44s
140:	test: 0.5132683	best: 0.5132683 (140)	total: 6m 33s	remaining: 16m 41s
141:	test: 0.5131836	best: 0.5132683 (140)	total: 6m 35s	remaining: 16m 38s
142:	test: 0.5132359	best: 0.5132683 (140)	total: 6m 38s	remaining: 16m 35s
143:	test: 0.5133645	best: 0.5133645 (143)	total: 6m 41s	remaining: 16m 31s
144:	test: 0.5132862	best: 0.5133645 (143)	total: 6m 43s	remaining: 16m 28s
145:	test: 0.5132736	best: 0.5133645 (143)	total: 6m 45s	remaining: 16m 24s
146:	test: 0.5134007	best: 0.5134007 (146)	total: 6m 48s	remaining: 16m 20s
147:	test: 0.5134239	best: 0.5134239 (147)	total: 6m 51s	remaining: 16m 17s
148:	test: 0.5134133	best: 0.5134239 (147)	total: 6m 53s	remaining: 16m 14s
149:	test: 0.5133470	best: 0.5134239 (147)	total: 6m 56s	remaining: 16m 11s
150:	test: 0.5135101	best: 0.5135101 (150)	total: 7m	remaining: 16m 11s
151:	test: 0.5135796	best: 0.5135796 (151)	total: 7m 2s	remaining: 16m 7s
152:	test: 0.5135094	best: 0.5135796 (151)	total: 7m 6s	remaining: 16m 6s
153:	test: 0.5135159	best: 0.5135796 (151)	total: 7m 9s	remaining: 16m 5s
154:	test: 0.5134738	best: 0.5135796 (151)	total: 7m 12s	remaining: 16m 3s
155:	test: 0.5135861	best: 0.5135861 (155)	total: 7m 15s	remaining: 15m 59s
156:	test: 0.5136176	best: 0.5136176 (156)	total: 7m 17s	remaining: 15m 55s
157:	test: 0.5136557	best: 0.5136557 (157)	total: 7m 20s	remaining: 15m 52s
158:	test: 0.5136203	best: 0.5136557 (157)	total: 7m 23s	remaining: 15m 51s
159:	test: 0.5139048	best: 0.5139048 (159)	total: 7m 26s	remaining: 15m 49s
160:	test: 0.5140204	best: 0.5140204 (160)	total: 7m 29s	remaining: 15m 46s
161:	test: 0.5143197	best: 0.5143197 (161)	total: 7m 32s	remaining: 15m 43s
162:	test: 0.5143051	best: 0.5143197 (161)	total: 7m 35s	remaining: 15m 41s
163:	test: 0.5144315	best: 0.5144315 (163)	total: 7m 37s	remaining: 15m 37s
164:	test: 0.5144627	best: 0.5144627 (164)	total: 7m 40s	remaining: 15m 34s
165:	test: 0.5143425	best: 0.5144627 (164)	total: 7m 42s	remaining: 15m 31s
166:	test: 0.5143169	best: 0.5144627 (164)	total: 7m 45s	remaining: 15m 27s
167:	test: 0.5143671	best: 0.5144627 (164)	total: 7m 48s	remaining: 15m 25s
168:	test: 0.5144225	best: 0.5144627 (164)	total: 7m 50s	remaining: 15m 22s
169:	test: 0.5143605	best: 0.5144627 (164)	total: 7m 53s	remaining: 15m 18s
170:	test: 0.5144464	best: 0.5144627 (164)	total: 7m 56s	remaining: 15m 16s
171:	test: 0.5142202	best: 0.5144627 (164)	total: 7m 58s	remaining: 15m 12s
172:	test: 0.5142953	best: 0.5144627 (164)	total: 8m 1s	remaining: 15m 9s
173:	test: 0.5142686	best: 0.5144627 (164)	total: 8m 3s	remaining: 15m 5s
174:	test: 0.5143390	best: 0.5144627 (164)	total: 8m 6s	remaining: 15m 2s
175:	test: 0.5144816	best: 0.5144816 (175)	total: 8m 8s	remaining: 14m 59s
176:	test: 0.5145479	best: 0.5145479 (176)	total: 8m 11s	remaining: 14m 56s
177:	test: 0.5145233	best: 0.5145479 (176)	total: 8m 13s	remaining: 14m 52s
178:	test: 0.5145988	best: 0.5145988 (178)	total: 8m 16s	remaining: 14m 50s
179:	test: 0.5146623	best: 0.5146623 (179)	total: 8m 19s	remaining: 14m 47s
180:	test: 0.5147257	best: 0.5147257 (180)	total: 8m 22s	remaining: 14m 46s
181:	test: 0.5146616	best: 0.5147257 (180)	total: 8m 25s	remaining: 14m 43s
182:	test: 0.5148618	best: 0.5148618 (182)	total: 8m 27s	remaining: 14m 39s
183:	test: 0.5147746	best: 0.5148618 (182)	total: 8m 30s	remaining: 14m 37s
184:	test: 0.5148815	best: 0.5148815 (184)	total: 8m 33s	remaining: 14m 33s
185:	test: 0.5150543	best: 0.5150543 (185)	total: 8m 36s	remaining: 14m 31s
186:	test: 0.5151332	best: 0.5151332 (186)	total: 8m 39s	remaining: 14m 29s
187:	test: 0.5151214	best: 0.5151332 (186)	total: 8m 41s	remaining: 14m 25s
188:	test: 0.5151048	best: 0.5151332 (186)	total: 8m 44s	remaining: 14m 22s
189:	test: 0.5152222	best: 0.5152222 (189)	total: 8m 47s	remaining: 14m 21s
190:	test: 0.5153071	best: 0.5153071 (190)	total: 8m 50s	remaining: 14m 18s
191:	test: 0.5152468	best: 0.5153071 (190)	total: 8m 52s	remaining: 14m 14s
192:	test: 0.5152139	best: 0.5153071 (190)	total: 8m 55s	remaining: 14m 11s
193:	test: 0.5152074	best: 0.5153071 (190)	total: 8m 57s	remaining: 14m 8s
194:	test: 0.5151807	best: 0.5153071 (190)	total: 9m	remaining: 14m 5s
195:	test: 0.5152183	best: 0.5153071 (190)	total: 9m 3s	remaining: 14m 2s
196:	test: 0.5154700	best: 0.5154700 (196)	total: 9m 5s	remaining: 13m 59s
197:	test: 0.5151820	best: 0.5154700 (196)	total: 9m 8s	remaining: 13m 56s
198:	test: 0.5151509	best: 0.5154700 (196)	total: 9m 10s	remaining: 13m 53s
199:	test: 0.5152858	best: 0.5154700 (196)	total: 9m 14s	remaining: 13m 52s
200:	test: 0.5151987	best: 0.5154700 (196)	total: 9m 18s	remaining: 13m 50s
201:	test: 0.5152425	best: 0.5154700 (196)	total: 9m 21s	remaining: 13m 47s
202:	test: 0.5152867	best: 0.5154700 (196)	total: 9m 23s	remaining: 13m 44s
203:	test: 0.5151939	best: 0.5154700 (196)	total: 9m 25s	remaining: 13m 40s
204:	test: 0.5153680	best: 0.5154700 (196)	total: 9m 28s	remaining: 13m 37s
205:	test: 0.5153360	best: 0.5154700 (196)	total: 9m 30s	remaining: 13m 34s
206:	test: 0.5154453	best: 0.5154700 (196)	total: 9m 33s	remaining: 13m 31s
207:	test: 0.5154661	best: 0.5154700 (196)	total: 9m 35s	remaining: 13m 28s
208:	test: 0.5153907	best: 0.5154700 (196)	total: 9m 38s	remaining: 13m 25s
209:	test: 0.5156358	best: 0.5156358 (209)	total: 9m 40s	remaining: 13m 22s
210:	test: 0.5157605	best: 0.5157605 (210)	total: 9m 43s	remaining: 13m 18s
211:	test: 0.5159303	best: 0.5159303 (211)	total: 9m 45s	remaining: 13m 15s
212:	test: 0.5158458	best: 0.5159303 (211)	total: 9m 48s	remaining: 13m 13s
213:	test: 0.5157793	best: 0.5159303 (211)	total: 9m 51s	remaining: 13m 10s
214:	test: 0.5158583	best: 0.5159303 (211)	total: 9m 54s	remaining: 13m 7s
215:	test: 0.5158910	best: 0.5159303 (211)	total: 9m 56s	remaining: 13m 4s
216:	test: 0.5159259	best: 0.5159303 (211)	total: 9m 59s	remaining: 13m 1s
217:	test: 0.5159140	best: 0.5159303 (211)	total: 10m 1s	remaining: 12m 58s
218:	test: 0.5156254	best: 0.5159303 (211)	total: 10m 5s	remaining: 12m 56s
219:	test: 0.5156631	best: 0.5159303 (211)	total: 10m 8s	remaining: 12m 53s
220:	test: 0.5157019	best: 0.5159303 (211)	total: 10m 10s	remaining: 12m 50s
221:	test: 0.5157439	best: 0.5159303 (211)	total: 10m 13s	remaining: 12m 48s
222:	test: 0.5157087	best: 0.5159303 (211)	total: 10m 15s	remaining: 12m 45s
223:	test: 0.5157245	best: 0.5159303 (211)	total: 10m 18s	remaining: 12m 41s
224:	test: 0.5157190	best: 0.5159303 (211)	total: 10m 21s	remaining: 12m 39s
225:	test: 0.5157700	best: 0.5159303 (211)	total: 10m 24s	remaining: 12m 36s
226:	test: 0.5159241	best: 0.5159303 (211)	total: 10m 26s	remaining: 12m 33s
227:	test: 0.5157969	best: 0.5159303 (211)	total: 10m 29s	remaining: 12m 30s
228:	test: 0.5157549	best: 0.5159303 (211)	total: 10m 32s	remaining: 12m 27s
229:	test: 0.5157454	best: 0.5159303 (211)	total: 10m 35s	remaining: 12m 25s
230:	test: 0.5158987	best: 0.5159303 (211)	total: 10m 37s	remaining: 12m 21s
231:	test: 0.5158991	best: 0.5159303 (211)	total: 10m 39s	remaining: 12m 19s
232:	test: 0.5160776	best: 0.5160776 (232)	total: 10m 42s	remaining: 12m 16s
233:	test: 0.5161354	best: 0.5161354 (233)	total: 10m 44s	remaining: 12m 13s
234:	test: 0.5160727	best: 0.5161354 (233)	total: 10m 47s	remaining: 12m 9s
235:	test: 0.5160518	best: 0.5161354 (233)	total: 10m 49s	remaining: 12m 6s
236:	test: 0.5162748	best: 0.5162748 (236)	total: 10m 51s	remaining: 12m 3s
237:	test: 0.5161180	best: 0.5162748 (236)	total: 10m 53s	remaining: 11m 59s
238:	test: 0.5162728	best: 0.5162748 (236)	total: 10m 55s	remaining: 11m 56s
239:	test: 0.5162766	best: 0.5162766 (239)	total: 10m 58s	remaining: 11m 53s
240:	test: 0.5162687	best: 0.5162766 (239)	total: 11m 1s	remaining: 11m 50s
241:	test: 0.5162233	best: 0.5162766 (239)	total: 11m 3s	remaining: 11m 47s
242:	test: 0.5163093	best: 0.5163093 (242)	total: 11m 5s	remaining: 11m 44s
243:	test: 0.5165908	best: 0.5165908 (243)	total: 11m 8s	remaining: 11m 41s
244:	test: 0.5166888	best: 0.5166888 (244)	total: 11m 11s	remaining: 11m 38s
245:	test: 0.5165517	best: 0.5166888 (244)	total: 11m 14s	remaining: 11m 36s
246:	test: 0.5165006	best: 0.5166888 (244)	total: 11m 16s	remaining: 11m 33s
247:	test: 0.5165748	best: 0.5166888 (244)	total: 11m 19s	remaining: 11m 30s
248:	test: 0.5165096	best: 0.5166888 (244)	total: 11m 21s	remaining: 11m 26s
249:	test: 0.5165090	best: 0.5166888 (244)	total: 11m 24s	remaining: 11m 24s
250:	test: 0.5164720	best: 0.5166888 (244)	total: 11m 26s	remaining: 11m 20s
251:	test: 0.5167606	best: 0.5167606 (251)	total: 11m 28s	remaining: 11m 17s
252:	test: 0.5167438	best: 0.5167606 (251)	total: 11m 31s	remaining: 11m 14s
253:	test: 0.5166724	best: 0.5167606 (251)	total: 11m 33s	remaining: 11m 11s
254:	test: 0.5168193	best: 0.5168193 (254)	total: 11m 35s	remaining: 11m 8s
255:	test: 0.5169984	best: 0.5169984 (255)	total: 11m 38s	remaining: 11m 5s
