0:	learn: 10.7201635	test: 10.6492197	best: 10.6492197 (0)	total: 278ms	remaining: 2m 18s
1:	learn: 10.5328184	test: 10.4807061	best: 10.4807061 (1)	total: 544ms	remaining: 2m 15s
2:	learn: 10.3708403	test: 10.3335872	best: 10.3335872 (2)	total: 800ms	remaining: 2m 12s
3:	learn: 10.2269871	test: 10.2067741	best: 10.2067741 (3)	total: 1.1s	remaining: 2m 15s
4:	learn: 10.0995247	test: 10.0954203	best: 10.0954203 (4)	total: 1.36s	remaining: 2m 15s
5:	learn: 9.9892713	test: 10.0014073	best: 10.0014073 (5)	total: 1.64s	remaining: 2m 15s
6:	learn: 9.8933826	test: 9.9210557	best: 9.9210557 (6)	total: 1.9s	remaining: 2m 14s
7:	learn: 9.8040966	test: 9.8482882	best: 9.8482882 (7)	total: 2.16s	remaining: 2m 12s
8:	learn: 9.7255120	test: 9.7852633	best: 9.7852633 (8)	total: 2.42s	remaining: 2m 11s
9:	learn: 9.6485826	test: 9.7259545	best: 9.7259545 (9)	total: 2.69s	remaining: 2m 11s
10:	learn: 9.5846002	test: 9.6748921	best: 9.6748921 (10)	total: 2.94s	remaining: 2m 10s
11:	learn: 9.5241366	test: 9.6272738	best: 9.6272738 (11)	total: 3.21s	remaining: 2m 10s
12:	learn: 9.4674807	test: 9.5859567	best: 9.5859567 (12)	total: 3.49s	remaining: 2m 10s
13:	learn: 9.4171759	test: 9.5491836	best: 9.5491836 (13)	total: 3.79s	remaining: 2m 11s
14:	learn: 9.3682099	test: 9.5128634	best: 9.5128634 (14)	total: 4.12s	remaining: 2m 13s
15:	learn: 9.3254551	test: 9.4819504	best: 9.4819504 (15)	total: 4.4s	remaining: 2m 13s
16:	learn: 9.2843217	test: 9.4565737	best: 9.4565737 (16)	total: 4.69s	remaining: 2m 13s
17:	learn: 9.2481454	test: 9.4310664	best: 9.4310664 (17)	total: 4.98s	remaining: 2m 13s
18:	learn: 9.2142526	test: 9.4089724	best: 9.4089724 (18)	total: 5.23s	remaining: 2m 12s
19:	learn: 9.1799550	test: 9.3884165	best: 9.3884165 (19)	total: 5.54s	remaining: 2m 13s
20:	learn: 9.1473661	test: 9.3665718	best: 9.3665718 (20)	total: 5.86s	remaining: 2m 13s
21:	learn: 9.1172010	test: 9.3476149	best: 9.3476149 (21)	total: 6.15s	remaining: 2m 13s
22:	learn: 9.0918602	test: 9.3329020	best: 9.3329020 (22)	total: 6.4s	remaining: 2m 12s
23:	learn: 9.0647495	test: 9.3177268	best: 9.3177268 (23)	total: 6.68s	remaining: 2m 12s
24:	learn: 9.0360783	test: 9.3041308	best: 9.3041308 (24)	total: 6.96s	remaining: 2m 12s
25:	learn: 9.0110878	test: 9.2916098	best: 9.2916098 (25)	total: 7.23s	remaining: 2m 11s
26:	learn: 8.9875256	test: 9.2790558	best: 9.2790558 (26)	total: 7.5s	remaining: 2m 11s
27:	learn: 8.9631689	test: 9.2665555	best: 9.2665555 (27)	total: 7.77s	remaining: 2m 10s
28:	learn: 8.9400735	test: 9.2553024	best: 9.2553024 (28)	total: 8s	remaining: 2m 9s
29:	learn: 8.9184176	test: 9.2444935	best: 9.2444935 (29)	total: 8.26s	remaining: 2m 9s
30:	learn: 8.8986731	test: 9.2359291	best: 9.2359291 (30)	total: 8.52s	remaining: 2m 8s
31:	learn: 8.8788818	test: 9.2277938	best: 9.2277938 (31)	total: 8.77s	remaining: 2m 8s
32:	learn: 8.8575724	test: 9.2195781	best: 9.2195781 (32)	total: 9.01s	remaining: 2m 7s
33:	learn: 8.8391875	test: 9.2141208	best: 9.2141208 (33)	total: 9.27s	remaining: 2m 7s
34:	learn: 8.8200932	test: 9.2055266	best: 9.2055266 (34)	total: 9.53s	remaining: 2m 6s
35:	learn: 8.8007165	test: 9.1979944	best: 9.1979944 (35)	total: 9.81s	remaining: 2m 6s
36:	learn: 8.7843288	test: 9.1908675	best: 9.1908675 (36)	total: 10.1s	remaining: 2m 6s
37:	learn: 8.7664976	test: 9.1831080	best: 9.1831080 (37)	total: 10.4s	remaining: 2m 5s
