0:	learn: 0.4769039	total: 4.93s	remaining: 41m 1s
1:	learn: 0.3235049	total: 9.49s	remaining: 39m 22s
2:	learn: 0.2250696	total: 13s	remaining: 36m 1s
3:	learn: 0.1639492	total: 16.8s	remaining: 34m 43s
4:	learn: 0.1247619	total: 21.1s	remaining: 34m 48s
5:	learn: 0.0970209	total: 24.9s	remaining: 34m 14s
6:	learn: 0.0829337	total: 28.4s	remaining: 33m 19s
7:	learn: 0.0699149	total: 32.2s	remaining: 32m 58s
8:	learn: 0.0626736	total: 35.8s	remaining: 32m 32s
9:	learn: 0.0574028	total: 39.1s	remaining: 31m 57s
10:	learn: 0.0523511	total: 43.3s	remaining: 32m 4s
11:	learn: 0.0496554	total: 47.1s	remaining: 31m 55s
12:	learn: 0.0471694	total: 50.4s	remaining: 31m 28s
13:	learn: 0.0448271	total: 54.7s	remaining: 31m 39s
14:	learn: 0.0434980	total: 59s	remaining: 31m 46s
15:	learn: 0.0426278	total: 1m 3s	remaining: 31m 48s
16:	learn: 0.0406717	total: 1m 7s	remaining: 31m 59s
17:	learn: 0.0392051	total: 1m 11s	remaining: 32m 2s
18:	learn: 0.0385173	total: 1m 16s	remaining: 32m 11s
19:	learn: 0.0370844	total: 1m 21s	remaining: 32m 28s
20:	learn: 0.0358418	total: 1m 25s	remaining: 32m 24s
21:	learn: 0.0349020	total: 1m 28s	remaining: 32m 12s
22:	learn: 0.0339884	total: 1m 33s	remaining: 32m 19s
23:	learn: 0.0332239	total: 1m 37s	remaining: 32m 20s
24:	learn: 0.0325609	total: 1m 42s	remaining: 32m 18s
25:	learn: 0.0322613	total: 1m 46s	remaining: 32m 17s
26:	learn: 0.0317440	total: 1m 51s	remaining: 32m 25s
27:	learn: 0.0313182	total: 1m 55s	remaining: 32m 25s
28:	learn: 0.0307923	total: 2m	remaining: 32m 29s
29:	learn: 0.0305071	total: 2m 4s	remaining: 32m 32s
30:	learn: 0.0301493	total: 2m 9s	remaining: 32m 33s
31:	learn: 0.0300571	total: 2m 14s	remaining: 32m 46s
32:	learn: 0.0297306	total: 2m 19s	remaining: 32m 58s
33:	learn: 0.0295205	total: 2m 23s	remaining: 32m 43s
34:	learn: 0.0293683	total: 2m 26s	remaining: 32m 27s
35:	learn: 0.0291467	total: 2m 31s	remaining: 32m 33s
36:	learn: 0.0289641	total: 2m 36s	remaining: 32m 34s
37:	learn: 0.0288237	total: 2m 40s	remaining: 32m 29s
38:	learn: 0.0287229	total: 2m 44s	remaining: 32m 27s
39:	learn: 0.0286192	total: 2m 48s	remaining: 32m 12s
40:	learn: 0.0285243	total: 2m 52s	remaining: 32m 14s
41:	learn: 0.0284203	total: 2m 55s	remaining: 31m 56s
42:	learn: 0.0283089	total: 3m 2s	remaining: 32m 14s
43:	learn: 0.0282424	total: 3m 4s	remaining: 31m 56s
44:	learn: 0.0281601	total: 3m 8s	remaining: 31m 43s
45:	learn: 0.0280359	total: 3m 13s	remaining: 31m 47s
46:	learn: 0.0279704	total: 3m 16s	remaining: 31m 38s
47:	learn: 0.0278805	total: 3m 19s	remaining: 31m 23s
48:	learn: 0.0278137	total: 3m 22s	remaining: 31m 7s
49:	learn: 0.0276721	total: 3m 29s	remaining: 31m 22s
50:	learn: 0.0275980	total: 3m 34s	remaining: 31m 28s
51:	learn: 0.0274994	total: 3m 40s	remaining: 31m 43s
52:	learn: 0.0273680	total: 3m 47s	remaining: 31m 58s
53:	learn: 0.0273111	total: 3m 52s	remaining: 32m 1s
54:	learn: 0.0272573	total: 3m 57s	remaining: 31m 59s
55:	learn: 0.0271868	total: 4m 2s	remaining: 32m
56:	learn: 0.0271236	total: 4m 7s	remaining: 32m 5s
57:	learn: 0.0270709	total: 4m 11s	remaining: 32m
58:	learn: 0.0270302	total: 4m 15s	remaining: 31m 51s
59:	learn: 0.0269483	total: 4m 22s	remaining: 32m 5s
60:	learn: 0.0269041	total: 4m 30s	remaining: 32m 24s
61:	learn: 0.0268437	total: 4m 35s	remaining: 32m 27s
62:	learn: 0.0267878	total: 4m 40s	remaining: 32m 26s
63:	learn: 0.0267559	total: 4m 46s	remaining: 32m 30s
64:	learn: 0.0267119	total: 4m 52s	remaining: 32m 37s
65:	learn: 0.0266713	total: 4m 59s	remaining: 32m 48s
66:	learn: 0.0266454	total: 5m 7s	remaining: 33m 6s
67:	learn: 0.0266124	total: 5m 13s	remaining: 33m 11s
68:	learn: 0.0265791	total: 5m 18s	remaining: 33m 10s
69:	learn: 0.0265470	total: 5m 23s	remaining: 33m 9s
70:	learn: 0.0265136	total: 5m 28s	remaining: 33m 4s
71:	learn: 0.0264665	total: 5m 34s	remaining: 33m 10s
72:	learn: 0.0264429	total: 5m 36s	remaining: 32m 49s
73:	learn: 0.0264070	total: 5m 40s	remaining: 32m 39s
74:	learn: 0.0263824	total: 5m 43s	remaining: 32m 26s
75:	learn: 0.0263500	total: 5m 47s	remaining: 32m 20s
76:	learn: 0.0263196	total: 5m 52s	remaining: 32m 15s
77:	learn: 0.0262987	total: 5m 55s	remaining: 32m 4s
78:	learn: 0.0262666	total: 6m 1s	remaining: 32m 7s
79:	learn: 0.0262372	total: 6m 8s	remaining: 32m 16s
80:	learn: 0.0262116	total: 6m 10s	remaining: 31m 56s
81:	learn: 0.0261560	total: 6m 16s	remaining: 32m 1s
82:	learn: 0.0261371	total: 6m 21s	remaining: 31m 57s
83:	learn: 0.0261118	total: 6m 26s	remaining: 31m 52s
84:	learn: 0.0260870	total: 6m 29s	remaining: 31m 41s
85:	learn: 0.0260678	total: 6m 35s	remaining: 31m 41s
86:	learn: 0.0260390	total: 6m 38s	remaining: 31m 29s
87:	learn: 0.0260144	total: 6m 40s	remaining: 31m 14s
88:	learn: 0.0259885	total: 6m 43s	remaining: 31m 5s
89:	learn: 0.0259536	total: 6m 50s	remaining: 31m 9s
90:	learn: 0.0259259	total: 6m 56s	remaining: 31m 10s
91:	learn: 0.0258937	total: 7m	remaining: 31m 2s
92:	learn: 0.0258810	total: 7m 2s	remaining: 30m 48s
93:	learn: 0.0258639	total: 7m 4s	remaining: 30m 32s
94:	learn: 0.0258451	total: 7m 7s	remaining: 30m 22s
95:	learn: 0.0258130	total: 7m 13s	remaining: 30m 22s
96:	learn: 0.0257698	total: 7m 17s	remaining: 30m 15s
97:	learn: 0.0257493	total: 7m 20s	remaining: 30m 5s
98:	learn: 0.0257321	total: 7m 21s	remaining: 29m 48s
99:	learn: 0.0257174	total: 7m 23s	remaining: 29m 34s
100:	learn: 0.0256998	total: 7m 26s	remaining: 29m 25s
101:	learn: 0.0256727	total: 7m 33s	remaining: 29m 29s
102:	learn: 0.0256524	total: 7m 38s	remaining: 29m 26s
103:	learn: 0.0256327	total: 7m 43s	remaining: 29m 23s
104:	learn: 0.0255930	total: 7m 47s	remaining: 29m 18s
105:	learn: 0.0255717	total: 7m 51s	remaining: 29m 11s
106:	learn: 0.0255423	total: 7m 55s	remaining: 29m 6s
107:	learn: 0.0255207	total: 7m 58s	remaining: 28m 56s
108:	learn: 0.0255071	total: 8m 1s	remaining: 28m 47s
109:	learn: 0.0254781	total: 8m 8s	remaining: 28m 50s
