0:	total: 1.17s	remaining: 9m 42s
1:	total: 2.27s	remaining: 9m 25s
2:	total: 3.44s	remaining: 9m 29s
3:	total: 4.54s	remaining: 9m 22s
4:	total: 5.69s	remaining: 9m 23s
5:	total: 6.79s	remaining: 9m 19s
6:	total: 7.94s	remaining: 9m 19s
7:	total: 9.06s	remaining: 9m 17s
8:	total: 10.1s	remaining: 9m 13s
9:	total: 11.2s	remaining: 9m 8s
10:	total: 12.3s	remaining: 9m 7s
11:	total: 13.5s	remaining: 9m 9s
12:	total: 14.6s	remaining: 9m 7s
13:	total: 15.7s	remaining: 9m 3s
14:	total: 16.8s	remaining: 9m 3s
15:	total: 17.8s	remaining: 8m 58s
16:	total: 18.9s	remaining: 8m 57s
17:	total: 20.1s	remaining: 8m 58s
18:	total: 21.2s	remaining: 8m 56s
19:	total: 22.3s	remaining: 8m 54s
20:	total: 23.3s	remaining: 8m 52s
21:	total: 24.4s	remaining: 8m 50s
22:	total: 25.5s	remaining: 8m 49s
23:	total: 26.6s	remaining: 8m 46s
24:	total: 27.6s	remaining: 8m 44s
25:	total: 28.6s	remaining: 8m 42s
26:	total: 29.8s	remaining: 8m 41s
27:	total: 30.9s	remaining: 8m 41s
28:	total: 32s	remaining: 8m 39s
29:	total: 33.1s	remaining: 8m 37s
30:	total: 34.1s	remaining: 8m 35s
31:	total: 35.1s	remaining: 8m 34s
32:	total: 36.3s	remaining: 8m 34s
33:	total: 37.3s	remaining: 8m 31s
34:	total: 38.4s	remaining: 8m 30s
35:	total: 39.4s	remaining: 8m 28s
36:	total: 40.4s	remaining: 8m 26s
37:	total: 41.6s	remaining: 8m 26s
38:	total: 42.8s	remaining: 8m 26s
39:	total: 43.9s	remaining: 8m 25s
40:	total: 45s	remaining: 8m 23s
41:	total: 46.1s	remaining: 8m 23s
42:	total: 47.2s	remaining: 8m 21s
43:	total: 48.3s	remaining: 8m 20s
44:	total: 49.4s	remaining: 8m 19s
45:	total: 50.4s	remaining: 8m 17s
46:	total: 51.5s	remaining: 8m 16s
47:	total: 52.6s	remaining: 8m 14s
48:	total: 53.6s	remaining: 8m 13s
49:	total: 54.7s	remaining: 8m 12s
50:	total: 55.8s	remaining: 8m 11s
51:	total: 56.8s	remaining: 8m 9s
52:	total: 57.9s	remaining: 8m 8s
53:	total: 58.9s	remaining: 8m 6s
54:	total: 1m	remaining: 8m 5s
55:	total: 1m 1s	remaining: 8m 4s
56:	total: 1m 2s	remaining: 8m 3s
57:	total: 1m 3s	remaining: 8m 1s
58:	total: 1m 4s	remaining: 7m 59s
59:	total: 1m 5s	remaining: 7m 57s
60:	total: 1m 6s	remaining: 7m 57s
61:	total: 1m 7s	remaining: 7m 55s
62:	total: 1m 8s	remaining: 7m 54s
63:	total: 1m 9s	remaining: 7m 53s
64:	total: 1m 10s	remaining: 7m 54s
65:	total: 1m 11s	remaining: 7m 53s
66:	total: 1m 12s	remaining: 7m 51s
67:	total: 1m 13s	remaining: 7m 49s
68:	total: 1m 14s	remaining: 7m 48s
69:	total: 1m 16s	remaining: 7m 46s
70:	total: 1m 16s	remaining: 7m 44s
71:	total: 1m 18s	remaining: 7m 44s
72:	total: 1m 19s	remaining: 7m 42s
73:	total: 1m 20s	remaining: 7m 41s
74:	total: 1m 21s	remaining: 7m 40s
75:	total: 1m 22s	remaining: 7m 39s
76:	total: 1m 23s	remaining: 7m 37s
77:	total: 1m 24s	remaining: 7m 36s
78:	total: 1m 25s	remaining: 7m 34s
79:	total: 1m 26s	remaining: 7m 33s
80:	total: 1m 27s	remaining: 7m 32s
81:	total: 1m 28s	remaining: 7m 31s
82:	total: 1m 29s	remaining: 7m 30s
83:	total: 1m 30s	remaining: 7m 29s
84:	total: 1m 31s	remaining: 7m 28s
85:	total: 1m 32s	remaining: 7m 27s
86:	total: 1m 34s	remaining: 7m 26s
87:	total: 1m 35s	remaining: 7m 26s
88:	total: 1m 36s	remaining: 7m 24s
89:	total: 1m 37s	remaining: 7m 23s
90:	total: 1m 38s	remaining: 7m 22s
91:	total: 1m 39s	remaining: 7m 20s
92:	total: 1m 40s	remaining: 7m 20s
93:	total: 1m 41s	remaining: 7m 20s
94:	total: 1m 42s	remaining: 7m 18s
95:	total: 1m 43s	remaining: 7m 17s
96:	total: 1m 45s	remaining: 7m 16s
97:	total: 1m 46s	remaining: 7m 15s
98:	total: 1m 47s	remaining: 7m 15s
99:	total: 1m 48s	remaining: 7m 14s
100:	total: 1m 49s	remaining: 7m 13s
101:	total: 1m 51s	remaining: 7m 13s
102:	total: 1m 52s	remaining: 7m 12s
103:	total: 1m 53s	remaining: 7m 12s
104:	total: 1m 54s	remaining: 7m 11s
105:	total: 1m 55s	remaining: 7m 9s
106:	total: 1m 56s	remaining: 7m 8s
107:	total: 1m 57s	remaining: 7m 7s
108:	total: 1m 58s	remaining: 7m 5s
109:	total: 1m 59s	remaining: 7m 4s
110:	total: 2m	remaining: 7m 3s
111:	total: 2m 1s	remaining: 7m 2s
112:	total: 2m 3s	remaining: 7m 1s
113:	total: 2m 4s	remaining: 7m
114:	total: 2m 5s	remaining: 7m
115:	total: 2m 6s	remaining: 6m 58s
116:	total: 2m 7s	remaining: 6m 58s
117:	total: 2m 9s	remaining: 6m 57s
118:	total: 2m 10s	remaining: 6m 56s
119:	total: 2m 11s	remaining: 6m 55s
120:	total: 2m 12s	remaining: 6m 54s
121:	total: 2m 13s	remaining: 6m 53s
122:	total: 2m 14s	remaining: 6m 51s
123:	total: 2m 15s	remaining: 6m 50s
124:	total: 2m 16s	remaining: 6m 49s
125:	total: 2m 17s	remaining: 6m 48s
126:	total: 2m 18s	remaining: 6m 47s
127:	total: 2m 20s	remaining: 6m 47s
128:	total: 2m 21s	remaining: 6m 46s
129:	total: 2m 22s	remaining: 6m 45s
130:	total: 2m 23s	remaining: 6m 43s
131:	total: 2m 24s	remaining: 6m 42s
132:	total: 2m 25s	remaining: 6m 41s
133:	total: 2m 26s	remaining: 6m 40s
134:	total: 2m 27s	remaining: 6m 39s
135:	total: 2m 28s	remaining: 6m 38s
136:	total: 2m 29s	remaining: 6m 36s
137:	total: 2m 31s	remaining: 6m 36s
138:	total: 2m 32s	remaining: 6m 35s
139:	total: 2m 33s	remaining: 6m 34s
140:	total: 2m 34s	remaining: 6m 33s
141:	total: 2m 35s	remaining: 6m 32s
142:	total: 2m 36s	remaining: 6m 30s
