0:	learn: 10.7233822	total: 202ms	remaining: 1m 40s
1:	learn: 10.5385378	total: 401ms	remaining: 1m 39s
2:	learn: 10.3723942	total: 599ms	remaining: 1m 39s
3:	learn: 10.2305410	total: 783ms	remaining: 1m 37s
4:	learn: 10.1055773	total: 977ms	remaining: 1m 36s
5:	learn: 9.9963442	total: 1.17s	remaining: 1m 36s
6:	learn: 9.8974731	total: 1.35s	remaining: 1m 35s
7:	learn: 9.8088218	total: 1.54s	remaining: 1m 34s
8:	learn: 9.7282773	total: 1.73s	remaining: 1m 34s
9:	learn: 9.6565460	total: 1.91s	remaining: 1m 33s
10:	learn: 9.5928556	total: 2.11s	remaining: 1m 33s
11:	learn: 9.5325712	total: 2.31s	remaining: 1m 33s
12:	learn: 9.4743393	total: 2.51s	remaining: 1m 33s
13:	learn: 9.4229360	total: 2.7s	remaining: 1m 33s
14:	learn: 9.3764317	total: 2.88s	remaining: 1m 33s
15:	learn: 9.3338930	total: 3.07s	remaining: 1m 32s
16:	learn: 9.2927998	total: 3.25s	remaining: 1m 32s
17:	learn: 9.2548441	total: 3.44s	remaining: 1m 32s
18:	learn: 9.2210062	total: 3.62s	remaining: 1m 31s
19:	learn: 9.1862737	total: 3.81s	remaining: 1m 31s
20:	learn: 9.1565667	total: 3.98s	remaining: 1m 30s
21:	learn: 9.1266577	total: 4.17s	remaining: 1m 30s
22:	learn: 9.0998394	total: 4.35s	remaining: 1m 30s
23:	learn: 9.0717348	total: 4.53s	remaining: 1m 29s
24:	learn: 9.0457646	total: 4.71s	remaining: 1m 29s
25:	learn: 9.0187293	total: 4.9s	remaining: 1m 29s
26:	learn: 8.9946911	total: 5.08s	remaining: 1m 29s
27:	learn: 8.9715706	total: 5.27s	remaining: 1m 28s
28:	learn: 8.9497674	total: 5.45s	remaining: 1m 28s
29:	learn: 8.9264290	total: 5.64s	remaining: 1m 28s
30:	learn: 8.9061199	total: 5.82s	remaining: 1m 28s
31:	learn: 8.8839417	total: 6.01s	remaining: 1m 27s
32:	learn: 8.8648998	total: 6.2s	remaining: 1m 27s
33:	learn: 8.8436830	total: 6.38s	remaining: 1m 27s
34:	learn: 8.8254252	total: 6.55s	remaining: 1m 27s
35:	learn: 8.8067126	total: 6.74s	remaining: 1m 26s
36:	learn: 8.7913496	total: 6.92s	remaining: 1m 26s
37:	learn: 8.7733990	total: 7.09s	remaining: 1m 26s
38:	learn: 8.7562000	total: 7.27s	remaining: 1m 25s
39:	learn: 8.7404799	total: 7.45s	remaining: 1m 25s
40:	learn: 8.7251827	total: 7.64s	remaining: 1m 25s
41:	learn: 8.7090315	total: 7.82s	remaining: 1m 25s
42:	learn: 8.6934795	total: 8s	remaining: 1m 25s
43:	learn: 8.6792116	total: 8.18s	remaining: 1m 24s
