0:	test: 0.7581532	best: 0.7581532 (0)	total: 553ms	remaining: 4m 35s
1:	test: 0.7616158	best: 0.7616158 (1)	total: 1.11s	remaining: 4m 36s
2:	test: 0.7646307	best: 0.7646307 (2)	total: 1.66s	remaining: 4m 34s
3:	test: 0.7664174	best: 0.7664174 (3)	total: 2.21s	remaining: 4m 33s
4:	test: 0.7679872	best: 0.7679872 (4)	total: 2.74s	remaining: 4m 31s
5:	test: 0.7692381	best: 0.7692381 (5)	total: 3.28s	remaining: 4m 30s
6:	test: 0.7703356	best: 0.7703356 (6)	total: 3.81s	remaining: 4m 28s
7:	test: 0.7712767	best: 0.7712767 (7)	total: 4.36s	remaining: 4m 28s
8:	test: 0.7723095	best: 0.7723095 (8)	total: 4.9s	remaining: 4m 27s
9:	test: 0.7731251	best: 0.7731251 (9)	total: 5.44s	remaining: 4m 26s
10:	test: 0.7738810	best: 0.7738810 (10)	total: 5.97s	remaining: 4m 25s
11:	test: 0.7745861	best: 0.7745861 (11)	total: 6.51s	remaining: 4m 24s
12:	test: 0.7752686	best: 0.7752686 (12)	total: 7.05s	remaining: 4m 24s
13:	test: 0.7759247	best: 0.7759247 (13)	total: 7.59s	remaining: 4m 23s
14:	test: 0.7766216	best: 0.7766216 (14)	total: 8.14s	remaining: 4m 23s
15:	test: 0.7772193	best: 0.7772193 (15)	total: 8.68s	remaining: 4m 22s
16:	test: 0.7777963	best: 0.7777963 (16)	total: 9.22s	remaining: 4m 22s
17:	test: 0.7784584	best: 0.7784584 (17)	total: 9.77s	remaining: 4m 21s
18:	test: 0.7790597	best: 0.7790597 (18)	total: 10.3s	remaining: 4m 21s
19:	test: 0.7795280	best: 0.7795280 (19)	total: 10.9s	remaining: 4m 20s
20:	test: 0.7799907	best: 0.7799907 (20)	total: 11.4s	remaining: 4m 19s
21:	test: 0.7804807	best: 0.7804807 (21)	total: 12s	remaining: 4m 19s
22:	test: 0.7810224	best: 0.7810224 (22)	total: 12.5s	remaining: 4m 19s
23:	test: 0.7815284	best: 0.7815284 (23)	total: 13s	remaining: 4m 18s
24:	test: 0.7819123	best: 0.7819123 (24)	total: 13.6s	remaining: 4m 17s
25:	test: 0.7823403	best: 0.7823403 (25)	total: 14.2s	remaining: 4m 18s
26:	test: 0.7829062	best: 0.7829062 (26)	total: 14.7s	remaining: 4m 17s
27:	test: 0.7832796	best: 0.7832796 (27)	total: 15.3s	remaining: 4m 17s
28:	test: 0.7836726	best: 0.7836726 (28)	total: 15.8s	remaining: 4m 16s
29:	test: 0.7840585	best: 0.7840585 (29)	total: 16.3s	remaining: 4m 15s
30:	test: 0.7843710	best: 0.7843710 (30)	total: 16.8s	remaining: 4m 14s
31:	test: 0.7846802	best: 0.7846802 (31)	total: 17.4s	remaining: 4m 13s
32:	test: 0.7851337	best: 0.7851337 (32)	total: 17.9s	remaining: 4m 13s
33:	test: 0.7854459	best: 0.7854459 (33)	total: 18.4s	remaining: 4m 12s
34:	test: 0.7858591	best: 0.7858591 (34)	total: 19s	remaining: 4m 11s
35:	test: 0.7861757	best: 0.7861757 (35)	total: 19.5s	remaining: 4m 11s
36:	test: 0.7864009	best: 0.7864009 (36)	total: 20s	remaining: 4m 10s
37:	test: 0.7867129	best: 0.7867129 (37)	total: 20.5s	remaining: 4m 9s
38:	test: 0.7869625	best: 0.7869625 (38)	total: 21.1s	remaining: 4m 9s
39:	test: 0.7872485	best: 0.7872485 (39)	total: 21.6s	remaining: 4m 8s
40:	test: 0.7874464	best: 0.7874464 (40)	total: 22.2s	remaining: 4m 8s
41:	test: 0.7877601	best: 0.7877601 (41)	total: 22.7s	remaining: 4m 7s
42:	test: 0.7879664	best: 0.7879664 (42)	total: 23.2s	remaining: 4m 6s
43:	test: 0.7881717	best: 0.7881717 (43)	total: 23.8s	remaining: 4m 6s
44:	test: 0.7884502	best: 0.7884502 (44)	total: 24.3s	remaining: 4m 5s
