0:	test: 0.7503666	best: 0.7503666 (0)	total: 245ms	remaining: 2m 2s
1:	test: 0.7751679	best: 0.7751679 (1)	total: 489ms	remaining: 2m 1s
2:	test: 0.7862909	best: 0.7862909 (2)	total: 715ms	remaining: 1m 58s
3:	test: 0.7973698	best: 0.7973698 (3)	total: 934ms	remaining: 1m 55s
4:	test: 0.8049861	best: 0.8049861 (4)	total: 1.16s	remaining: 1m 54s
5:	test: 0.8122099	best: 0.8122099 (5)	total: 1.38s	remaining: 1m 53s
6:	test: 0.8204027	best: 0.8204027 (6)	total: 1.63s	remaining: 1m 54s
7:	test: 0.8252196	best: 0.8252196 (7)	total: 1.86s	remaining: 1m 54s
8:	test: 0.8317732	best: 0.8317732 (8)	total: 2.09s	remaining: 1m 53s
9:	test: 0.8368349	best: 0.8368349 (9)	total: 2.31s	remaining: 1m 52s
10:	test: 0.8413704	best: 0.8413704 (10)	total: 2.52s	remaining: 1m 52s
11:	test: 0.8457543	best: 0.8457543 (11)	total: 2.74s	remaining: 1m 51s
12:	test: 0.8497974	best: 0.8497974 (12)	total: 2.96s	remaining: 1m 51s
13:	test: 0.8536983	best: 0.8536983 (13)	total: 3.18s	remaining: 1m 50s
14:	test: 0.8569696	best: 0.8569696 (14)	total: 3.41s	remaining: 1m 50s
15:	test: 0.8603221	best: 0.8603221 (15)	total: 3.64s	remaining: 1m 50s
16:	test: 0.8632406	best: 0.8632406 (16)	total: 3.86s	remaining: 1m 49s
17:	test: 0.8660624	best: 0.8660624 (17)	total: 4.09s	remaining: 1m 49s
18:	test: 0.8690283	best: 0.8690283 (18)	total: 4.31s	remaining: 1m 49s
19:	test: 0.8710364	best: 0.8710364 (19)	total: 4.54s	remaining: 1m 48s
20:	test: 0.8734053	best: 0.8734053 (20)	total: 4.76s	remaining: 1m 48s
21:	test: 0.8756540	best: 0.8756540 (21)	total: 4.99s	remaining: 1m 48s
22:	test: 0.8777363	best: 0.8777363 (22)	total: 5.2s	remaining: 1m 47s
23:	test: 0.8797206	best: 0.8797206 (23)	total: 5.43s	remaining: 1m 47s
24:	test: 0.8813465	best: 0.8813465 (24)	total: 5.65s	remaining: 1m 47s
25:	test: 0.8831388	best: 0.8831388 (25)	total: 5.87s	remaining: 1m 46s
26:	test: 0.8848889	best: 0.8848889 (26)	total: 6.09s	remaining: 1m 46s
27:	test: 0.8865790	best: 0.8865790 (27)	total: 6.33s	remaining: 1m 46s
28:	test: 0.8882925	best: 0.8882925 (28)	total: 6.55s	remaining: 1m 46s
29:	test: 0.8898353	best: 0.8898353 (29)	total: 6.77s	remaining: 1m 46s
30:	test: 0.8912375	best: 0.8912375 (30)	total: 6.99s	remaining: 1m 45s
31:	test: 0.8925586	best: 0.8925586 (31)	total: 7.2s	remaining: 1m 45s
32:	test: 0.8938044	best: 0.8938044 (32)	total: 7.43s	remaining: 1m 45s
33:	test: 0.8951322	best: 0.8951322 (33)	total: 7.65s	remaining: 1m 44s
34:	test: 0.8962367	best: 0.8962367 (34)	total: 7.87s	remaining: 1m 44s
35:	test: 0.8974270	best: 0.8974270 (35)	total: 8.09s	remaining: 1m 44s
36:	test: 0.8986136	best: 0.8986136 (36)	total: 8.3s	remaining: 1m 43s
37:	test: 0.8996727	best: 0.8996727 (37)	total: 8.56s	remaining: 1m 44s
38:	test: 0.9006323	best: 0.9006323 (38)	total: 8.81s	remaining: 1m 44s
39:	test: 0.9016497	best: 0.9016497 (39)	total: 9.04s	remaining: 1m 43s
40:	test: 0.9024689	best: 0.9024689 (40)	total: 9.26s	remaining: 1m 43s
41:	test: 0.9033203	best: 0.9033203 (41)	total: 9.48s	remaining: 1m 43s
42:	test: 0.9042186	best: 0.9042186 (42)	total: 9.71s	remaining: 1m 43s
43:	test: 0.9050954	best: 0.9050954 (43)	total: 9.93s	remaining: 1m 42s
44:	test: 0.9058135	best: 0.9058135 (44)	total: 10.1s	remaining: 1m 42s
