0:	test: 0.7505152	best: 0.7505152 (0)	total: 242ms	remaining: 2m
1:	test: 0.7729750	best: 0.7729750 (1)	total: 478ms	remaining: 1m 59s
2:	test: 0.7872047	best: 0.7872047 (2)	total: 707ms	remaining: 1m 57s
3:	test: 0.7967035	best: 0.7967035 (3)	total: 937ms	remaining: 1m 56s
4:	test: 0.8054850	best: 0.8054850 (4)	total: 1.18s	remaining: 1m 56s
5:	test: 0.8118042	best: 0.8118042 (5)	total: 1.4s	remaining: 1m 55s
6:	test: 0.8203398	best: 0.8203398 (6)	total: 1.63s	remaining: 1m 55s
7:	test: 0.8270156	best: 0.8270156 (7)	total: 1.85s	remaining: 1m 54s
8:	test: 0.8316289	best: 0.8316289 (8)	total: 2.08s	remaining: 1m 53s
9:	test: 0.8362710	best: 0.8362710 (9)	total: 2.3s	remaining: 1m 52s
10:	test: 0.8414052	best: 0.8414052 (10)	total: 2.52s	remaining: 1m 51s
11:	test: 0.8461345	best: 0.8461345 (11)	total: 2.74s	remaining: 1m 51s
12:	test: 0.8501828	best: 0.8501828 (12)	total: 2.96s	remaining: 1m 51s
13:	test: 0.8537092	best: 0.8537092 (13)	total: 3.2s	remaining: 1m 51s
14:	test: 0.8568172	best: 0.8568172 (14)	total: 3.42s	remaining: 1m 50s
15:	test: 0.8597615	best: 0.8597615 (15)	total: 3.64s	remaining: 1m 50s
16:	test: 0.8630068	best: 0.8630068 (16)	total: 3.87s	remaining: 1m 49s
17:	test: 0.8659232	best: 0.8659232 (17)	total: 4.1s	remaining: 1m 49s
18:	test: 0.8685726	best: 0.8685726 (18)	total: 4.32s	remaining: 1m 49s
19:	test: 0.8712174	best: 0.8712174 (19)	total: 4.55s	remaining: 1m 49s
20:	test: 0.8736013	best: 0.8736013 (20)	total: 4.77s	remaining: 1m 48s
21:	test: 0.8756967	best: 0.8756967 (21)	total: 5.01s	remaining: 1m 48s
22:	test: 0.8778136	best: 0.8778136 (22)	total: 5.23s	remaining: 1m 48s
23:	test: 0.8796884	best: 0.8796884 (23)	total: 5.46s	remaining: 1m 48s
24:	test: 0.8815819	best: 0.8815819 (24)	total: 5.69s	remaining: 1m 48s
25:	test: 0.8832004	best: 0.8832004 (25)	total: 5.93s	remaining: 1m 48s
26:	test: 0.8849440	best: 0.8849440 (26)	total: 6.16s	remaining: 1m 47s
27:	test: 0.8866260	best: 0.8866260 (27)	total: 6.39s	remaining: 1m 47s
28:	test: 0.8881412	best: 0.8881412 (28)	total: 6.61s	remaining: 1m 47s
29:	test: 0.8895076	best: 0.8895076 (29)	total: 6.83s	remaining: 1m 47s
30:	test: 0.8907880	best: 0.8907880 (30)	total: 7.05s	remaining: 1m 46s
31:	test: 0.8921291	best: 0.8921291 (31)	total: 7.27s	remaining: 1m 46s
32:	test: 0.8934849	best: 0.8934849 (32)	total: 7.49s	remaining: 1m 46s
33:	test: 0.8948191	best: 0.8948191 (33)	total: 7.73s	remaining: 1m 45s
34:	test: 0.8961022	best: 0.8961022 (34)	total: 7.96s	remaining: 1m 45s
35:	test: 0.8972738	best: 0.8972738 (35)	total: 8.17s	remaining: 1m 45s
36:	test: 0.8983494	best: 0.8983494 (36)	total: 8.4s	remaining: 1m 45s
37:	test: 0.8994217	best: 0.8994217 (37)	total: 8.62s	remaining: 1m 44s
38:	test: 0.9004609	best: 0.9004609 (38)	total: 8.84s	remaining: 1m 44s
39:	test: 0.9014360	best: 0.9014360 (39)	total: 9.06s	remaining: 1m 44s
40:	test: 0.9024489	best: 0.9024489 (40)	total: 9.29s	remaining: 1m 43s
41:	test: 0.9035143	best: 0.9035143 (41)	total: 9.51s	remaining: 1m 43s
42:	test: 0.9042767	best: 0.9042767 (42)	total: 9.75s	remaining: 1m 43s
43:	test: 0.9051402	best: 0.9051402 (43)	total: 9.96s	remaining: 1m 43s
44:	test: 0.9058160	best: 0.9058160 (44)	total: 10.2s	remaining: 1m 42s
45:	test: 0.9067123	best: 0.9067123 (45)	total: 10.4s	remaining: 1m 42s
46:	test: 0.9076242	best: 0.9076242 (46)	total: 10.6s	remaining: 1m 42s
47:	test: 0.9083866	best: 0.9083866 (47)	total: 10.8s	remaining: 1m 42s
48:	test: 0.9091220	best: 0.9091220 (48)	total: 11.1s	remaining: 1m 41s
49:	test: 0.9099205	best: 0.9099205 (49)	total: 11.3s	remaining: 1m 41s
50:	test: 0.9106462	best: 0.9106462 (50)	total: 11.5s	remaining: 1m 41s
51:	test: 0.9114332	best: 0.9114332 (51)	total: 11.7s	remaining: 1m 40s
52:	test: 0.9121464	best: 0.9121464 (52)	total: 12s	remaining: 1m 40s
53:	test: 0.9127125	best: 0.9127125 (53)	total: 12.2s	remaining: 1m 40s
