0:	test: 0.7715027	best: 0.7715027 (0)	total: 166ms	remaining: 1m 23s
1:	test: 0.7779725	best: 0.7779725 (1)	total: 339ms	remaining: 1m 24s
2:	test: 0.7822920	best: 0.7822920 (2)	total: 486ms	remaining: 1m 20s
3:	test: 0.7851131	best: 0.7851131 (3)	total: 633ms	remaining: 1m 18s
4:	test: 0.7878901	best: 0.7878901 (4)	total: 784ms	remaining: 1m 17s
5:	test: 0.7899320	best: 0.7899320 (5)	total: 937ms	remaining: 1m 17s
6:	test: 0.7918758	best: 0.7918758 (6)	total: 1.09s	remaining: 1m 16s
7:	test: 0.7935490	best: 0.7935490 (7)	total: 1.24s	remaining: 1m 16s
8:	test: 0.7950534	best: 0.7950534 (8)	total: 1.39s	remaining: 1m 15s
9:	test: 0.7964647	best: 0.7964647 (9)	total: 1.55s	remaining: 1m 15s
10:	test: 0.7980781	best: 0.7980781 (10)	total: 1.7s	remaining: 1m 15s
11:	test: 0.7993605	best: 0.7993605 (11)	total: 1.85s	remaining: 1m 15s
12:	test: 0.8005610	best: 0.8005610 (12)	total: 2s	remaining: 1m 14s
13:	test: 0.8021826	best: 0.8021826 (13)	total: 2.15s	remaining: 1m 14s
14:	test: 0.8031355	best: 0.8031355 (14)	total: 2.29s	remaining: 1m 14s
15:	test: 0.8043920	best: 0.8043920 (15)	total: 2.45s	remaining: 1m 14s
16:	test: 0.8056048	best: 0.8056048 (16)	total: 2.6s	remaining: 1m 13s
17:	test: 0.8068388	best: 0.8068388 (17)	total: 2.75s	remaining: 1m 13s
18:	test: 0.8078674	best: 0.8078674 (18)	total: 2.89s	remaining: 1m 13s
19:	test: 0.8088157	best: 0.8088157 (19)	total: 3.06s	remaining: 1m 13s
20:	test: 0.8096271	best: 0.8096271 (20)	total: 3.21s	remaining: 1m 13s
21:	test: 0.8104656	best: 0.8104656 (21)	total: 3.37s	remaining: 1m 13s
22:	test: 0.8111756	best: 0.8111756 (22)	total: 3.52s	remaining: 1m 13s
23:	test: 0.8118391	best: 0.8118391 (23)	total: 3.67s	remaining: 1m 12s
24:	test: 0.8125860	best: 0.8125860 (24)	total: 3.82s	remaining: 1m 12s
25:	test: 0.8132604	best: 0.8132604 (25)	total: 3.97s	remaining: 1m 12s
26:	test: 0.8138759	best: 0.8138759 (26)	total: 4.12s	remaining: 1m 12s
27:	test: 0.8144582	best: 0.8144582 (27)	total: 4.27s	remaining: 1m 12s
28:	test: 0.8149300	best: 0.8149300 (28)	total: 4.42s	remaining: 1m 11s
29:	test: 0.8154854	best: 0.8154854 (29)	total: 4.57s	remaining: 1m 11s
30:	test: 0.8160281	best: 0.8160281 (30)	total: 4.72s	remaining: 1m 11s
31:	test: 0.8165016	best: 0.8165016 (31)	total: 4.87s	remaining: 1m 11s
32:	test: 0.8169299	best: 0.8169299 (32)	total: 5.02s	remaining: 1m 11s
33:	test: 0.8174585	best: 0.8174585 (33)	total: 5.17s	remaining: 1m 10s
34:	test: 0.8178823	best: 0.8178823 (34)	total: 5.32s	remaining: 1m 10s
35:	test: 0.8183185	best: 0.8183185 (35)	total: 5.48s	remaining: 1m 10s
36:	test: 0.8187566	best: 0.8187566 (36)	total: 5.64s	remaining: 1m 10s
37:	test: 0.8190580	best: 0.8190580 (37)	total: 5.79s	remaining: 1m 10s
38:	test: 0.8194328	best: 0.8194328 (38)	total: 5.95s	remaining: 1m 10s
39:	test: 0.8197910	best: 0.8197910 (39)	total: 6.11s	remaining: 1m 10s
40:	test: 0.8201767	best: 0.8201767 (40)	total: 6.26s	remaining: 1m 10s
41:	test: 0.8205494	best: 0.8205494 (41)	total: 6.41s	remaining: 1m 9s
42:	test: 0.8209305	best: 0.8209305 (42)	total: 6.56s	remaining: 1m 9s
43:	test: 0.8212109	best: 0.8212109 (43)	total: 6.75s	remaining: 1m 9s
44:	test: 0.8214617	best: 0.8214617 (44)	total: 6.89s	remaining: 1m 9s
45:	test: 0.8218800	best: 0.8218800 (45)	total: 7.05s	remaining: 1m 9s
