Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:top=10;type=Exp is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
0:	test: 0.7166855	best: 0.7166855 (0)	total: 156ms	remaining: 1m 17s
1:	test: 0.7372884	best: 0.7372884 (1)	total: 303ms	remaining: 1m 15s
2:	test: 0.7494924	best: 0.7494924 (2)	total: 456ms	remaining: 1m 15s
3:	test: 0.7543252	best: 0.7543252 (3)	total: 606ms	remaining: 1m 15s
4:	test: 0.7572040	best: 0.7572040 (4)	total: 758ms	remaining: 1m 15s
5:	test: 0.7589885	best: 0.7589885 (5)	total: 909ms	remaining: 1m 14s
6:	test: 0.7602790	best: 0.7602790 (6)	total: 1.08s	remaining: 1m 16s
7:	test: 0.7635252	best: 0.7635252 (7)	total: 1.22s	remaining: 1m 15s
8:	test: 0.7650073	best: 0.7650073 (8)	total: 1.36s	remaining: 1m 14s
9:	test: 0.7656054	best: 0.7656054 (9)	total: 1.54s	remaining: 1m 15s
10:	test: 0.7661911	best: 0.7661911 (10)	total: 1.71s	remaining: 1m 16s
11:	test: 0.7666760	best: 0.7666760 (11)	total: 1.86s	remaining: 1m 15s
12:	test: 0.7665329	best: 0.7666760 (11)	total: 2s	remaining: 1m 15s
13:	test: 0.7673595	best: 0.7673595 (13)	total: 2.14s	remaining: 1m 14s
14:	test: 0.7682616	best: 0.7682616 (14)	total: 2.29s	remaining: 1m 13s
15:	test: 0.7687642	best: 0.7687642 (15)	total: 2.43s	remaining: 1m 13s
16:	test: 0.7691297	best: 0.7691297 (16)	total: 2.57s	remaining: 1m 12s
17:	test: 0.7695148	best: 0.7695148 (17)	total: 2.72s	remaining: 1m 12s
18:	test: 0.7701852	best: 0.7701852 (18)	total: 2.89s	remaining: 1m 13s
19:	test: 0.7705802	best: 0.7705802 (19)	total: 3.04s	remaining: 1m 12s
20:	test: 0.7713262	best: 0.7713262 (20)	total: 3.18s	remaining: 1m 12s
21:	test: 0.7712339	best: 0.7713262 (20)	total: 3.33s	remaining: 1m 12s
22:	test: 0.7713423	best: 0.7713423 (22)	total: 3.49s	remaining: 1m 12s
23:	test: 0.7714433	best: 0.7714433 (23)	total: 3.63s	remaining: 1m 11s
24:	test: 0.7718236	best: 0.7718236 (24)	total: 3.77s	remaining: 1m 11s
25:	test: 0.7718817	best: 0.7718817 (25)	total: 3.91s	remaining: 1m 11s
26:	test: 0.7724138	best: 0.7724138 (26)	total: 4.06s	remaining: 1m 11s
27:	test: 0.7725898	best: 0.7725898 (27)	total: 4.21s	remaining: 1m 11s
28:	test: 0.7731132	best: 0.7731132 (28)	total: 4.38s	remaining: 1m 11s
29:	test: 0.7731200	best: 0.7731200 (29)	total: 4.52s	remaining: 1m 10s
30:	test: 0.7733325	best: 0.7733325 (30)	total: 4.66s	remaining: 1m 10s
31:	test: 0.7736470	best: 0.7736470 (31)	total: 4.8s	remaining: 1m 10s
32:	test: 0.7738599	best: 0.7738599 (32)	total: 4.96s	remaining: 1m 10s
33:	test: 0.7737343	best: 0.7738599 (32)	total: 5.11s	remaining: 1m 10s
34:	test: 0.7738775	best: 0.7738775 (34)	total: 5.26s	remaining: 1m 9s
35:	test: 0.7741148	best: 0.7741148 (35)	total: 5.4s	remaining: 1m 9s
36:	test: 0.7740142	best: 0.7741148 (35)	total: 5.55s	remaining: 1m 9s
37:	test: 0.7741960	best: 0.7741960 (37)	total: 5.69s	remaining: 1m 9s
38:	test: 0.7744219	best: 0.7744219 (38)	total: 5.86s	remaining: 1m 9s
39:	test: 0.7742921	best: 0.7744219 (38)	total: 6.01s	remaining: 1m 9s
40:	test: 0.7746472	best: 0.7746472 (40)	total: 6.18s	remaining: 1m 9s
41:	test: 0.7748156	best: 0.7748156 (41)	total: 6.37s	remaining: 1m 9s
42:	test: 0.7751815	best: 0.7751815 (42)	total: 6.53s	remaining: 1m 9s
43:	test: 0.7748968	best: 0.7751815 (42)	total: 6.67s	remaining: 1m 9s
44:	test: 0.7751034	best: 0.7751815 (42)	total: 6.8s	remaining: 1m 8s
45:	test: 0.7754329	best: 0.7754329 (45)	total: 6.97s	remaining: 1m 8s
46:	test: 0.7754802	best: 0.7754802 (46)	total: 7.11s	remaining: 1m 8s
47:	test: 0.7758266	best: 0.7758266 (47)	total: 7.27s	remaining: 1m 8s
48:	test: 0.7759868	best: 0.7759868 (48)	total: 7.41s	remaining: 1m 8s
49:	test: 0.7759742	best: 0.7759868 (48)	total: 7.55s	remaining: 1m 7s
50:	test: 0.7762169	best: 0.7762169 (50)	total: 7.7s	remaining: 1m 7s
51:	test: 0.7761714	best: 0.7762169 (50)	total: 7.84s	remaining: 1m 7s
52:	test: 0.7760406	best: 0.7762169 (50)	total: 7.98s	remaining: 1m 7s
53:	test: 0.7763226	best: 0.7763226 (53)	total: 8.13s	remaining: 1m 7s
54:	test: 0.7763649	best: 0.7763649 (54)	total: 8.28s	remaining: 1m 6s
55:	test: 0.7767104	best: 0.7767104 (55)	total: 8.41s	remaining: 1m 6s
56:	test: 0.7768535	best: 0.7768535 (56)	total: 8.55s	remaining: 1m 6s
57:	test: 0.7770541	best: 0.7770541 (57)	total: 8.73s	remaining: 1m 6s
58:	test: 0.7771844	best: 0.7771844 (58)	total: 8.87s	remaining: 1m 6s
59:	test: 0.7773459	best: 0.7773459 (59)	total: 9.02s	remaining: 1m 6s
60:	test: 0.7772998	best: 0.7773459 (59)	total: 9.19s	remaining: 1m 6s
61:	test: 0.7772164	best: 0.7773459 (59)	total: 9.32s	remaining: 1m 5s
62:	test: 0.7774983	best: 0.7774983 (62)	total: 9.47s	remaining: 1m 5s
63:	test: 0.7773965	best: 0.7774983 (62)	total: 9.61s	remaining: 1m 5s
64:	test: 0.7775377	best: 0.7775377 (64)	total: 9.75s	remaining: 1m 5s
65:	test: 0.7775740	best: 0.7775740 (65)	total: 9.89s	remaining: 1m 5s
66:	test: 0.7777360	best: 0.7777360 (66)	total: 10s	remaining: 1m 4s
67:	test: 0.7779130	best: 0.7779130 (67)	total: 10.2s	remaining: 1m 4s
68:	test: 0.7780887	best: 0.7780887 (68)	total: 10.3s	remaining: 1m 4s
69:	test: 0.7782612	best: 0.7782612 (69)	total: 10.4s	remaining: 1m 4s
70:	test: 0.7784903	best: 0.7784903 (70)	total: 10.6s	remaining: 1m 3s
71:	test: 0.7786628	best: 0.7786628 (71)	total: 10.7s	remaining: 1m 3s
72:	test: 0.7787972	best: 0.7787972 (72)	total: 10.9s	remaining: 1m 3s
73:	test: 0.7788067	best: 0.7788067 (73)	total: 11s	remaining: 1m 3s
74:	test: 0.7789750	best: 0.7789750 (74)	total: 11.1s	remaining: 1m 3s
75:	test: 0.7790355	best: 0.7790355 (75)	total: 11.3s	remaining: 1m 2s
76:	test: 0.7790247	best: 0.7790355 (75)	total: 11.4s	remaining: 1m 2s
77:	test: 0.7790870	best: 0.7790870 (77)	total: 11.6s	remaining: 1m 2s
78:	test: 0.7793143	best: 0.7793143 (78)	total: 11.7s	remaining: 1m 2s
79:	test: 0.7793362	best: 0.7793362 (79)	total: 11.9s	remaining: 1m 2s
80:	test: 0.7793433	best: 0.7793433 (80)	total: 12s	remaining: 1m 2s
81:	test: 0.7794205	best: 0.7794205 (81)	total: 12.1s	remaining: 1m 1s
82:	test: 0.7795973	best: 0.7795973 (82)	total: 12.3s	remaining: 1m 1s
83:	test: 0.7797747	best: 0.7797747 (83)	total: 12.4s	remaining: 1m 1s
84:	test: 0.7799939	best: 0.7799939 (84)	total: 12.5s	remaining: 1m 1s
85:	test: 0.7799349	best: 0.7799939 (84)	total: 12.7s	remaining: 1m 1s
86:	test: 0.7800219	best: 0.7800219 (86)	total: 12.8s	remaining: 1m
87:	test: 0.7802880	best: 0.7802880 (87)	total: 13s	remaining: 1m
88:	test: 0.7803913	best: 0.7803913 (88)	total: 13.1s	remaining: 1m
89:	test: 0.7806121	best: 0.7806121 (89)	total: 13.2s	remaining: 1m
90:	test: 0.7807071	best: 0.7807071 (90)	total: 13.4s	remaining: 1m
91:	test: 0.7807917	best: 0.7807917 (91)	total: 13.5s	remaining: 60s
92:	test: 0.7807664	best: 0.7807917 (91)	total: 13.7s	remaining: 59.8s
93:	test: 0.7810460	best: 0.7810460 (93)	total: 13.8s	remaining: 59.6s
94:	test: 0.7811954	best: 0.7811954 (94)	total: 13.9s	remaining: 59.5s
95:	test: 0.7812755	best: 0.7812755 (95)	total: 14.1s	remaining: 59.4s
96:	test: 0.7811590	best: 0.7812755 (95)	total: 14.2s	remaining: 59.2s
97:	test: 0.7814426	best: 0.7814426 (97)	total: 14.4s	remaining: 59.1s
98:	test: 0.7812982	best: 0.7814426 (97)	total: 14.5s	remaining: 58.9s
99:	test: 0.7813679	best: 0.7814426 (97)	total: 14.7s	remaining: 58.7s
100:	test: 0.7814293	best: 0.7814426 (97)	total: 14.8s	remaining: 58.5s
101:	test: 0.7815956	best: 0.7815956 (101)	total: 14.9s	remaining: 58.3s
102:	test: 0.7815561	best: 0.7815956 (101)	total: 15.1s	remaining: 58.1s
103:	test: 0.7814739	best: 0.7815956 (101)	total: 15.2s	remaining: 58s
104:	test: 0.7819615	best: 0.7819615 (104)	total: 15.4s	remaining: 57.9s
105:	test: 0.7821144	best: 0.7821144 (105)	total: 15.5s	remaining: 57.7s
106:	test: 0.7821732	best: 0.7821732 (106)	total: 15.7s	remaining: 57.6s
107:	test: 0.7822749	best: 0.7822749 (107)	total: 15.8s	remaining: 57.4s
108:	test: 0.7823297	best: 0.7823297 (108)	total: 16s	remaining: 57.3s
109:	test: 0.7823543	best: 0.7823543 (109)	total: 16.1s	remaining: 57.1s
110:	test: 0.7823238	best: 0.7823543 (109)	total: 16.3s	remaining: 57s
111:	test: 0.7826733	best: 0.7826733 (111)	total: 16.4s	remaining: 56.8s
112:	test: 0.7826113	best: 0.7826733 (111)	total: 16.5s	remaining: 56.6s
113:	test: 0.7828908	best: 0.7828908 (113)	total: 16.7s	remaining: 56.6s
114:	test: 0.7828854	best: 0.7828908 (113)	total: 16.9s	remaining: 56.4s
115:	test: 0.7829220	best: 0.7829220 (115)	total: 17s	remaining: 56.3s
116:	test: 0.7828550	best: 0.7829220 (115)	total: 17.1s	remaining: 56.1s
117:	test: 0.7829550	best: 0.7829550 (117)	total: 17.3s	remaining: 55.9s
