0:	learn: 10.6981200	test: 10.6323949	best: 10.6323949 (0)	total: 73.2ms	remaining: 36.5s
1:	learn: 10.4887746	test: 10.4456823	best: 10.4456823 (1)	total: 147ms	remaining: 36.6s
2:	learn: 10.3092620	test: 10.2866386	best: 10.2866386 (2)	total: 228ms	remaining: 37.8s
3:	learn: 10.1507340	test: 10.1498734	best: 10.1498734 (3)	total: 300ms	remaining: 37.2s
4:	learn: 10.0139045	test: 10.0346552	best: 10.0346552 (4)	total: 371ms	remaining: 36.7s
5:	learn: 9.8917375	test: 9.9316349	best: 9.9316349 (5)	total: 440ms	remaining: 36.2s
6:	learn: 9.7816142	test: 9.8426941	best: 9.8426941 (6)	total: 510ms	remaining: 35.9s
7:	learn: 9.6845672	test: 9.7634654	best: 9.7634654 (7)	total: 582ms	remaining: 35.8s
8:	learn: 9.5988509	test: 9.6982984	best: 9.6982984 (8)	total: 651ms	remaining: 35.5s
9:	learn: 9.5212956	test: 9.6407823	best: 9.6407823 (9)	total: 721ms	remaining: 35.3s
10:	learn: 9.4519777	test: 9.5918508	best: 9.5918508 (10)	total: 790ms	remaining: 35.1s
11:	learn: 9.3871108	test: 9.5465692	best: 9.5465692 (11)	total: 860ms	remaining: 35s
12:	learn: 9.3268393	test: 9.5083167	best: 9.5083167 (12)	total: 932ms	remaining: 34.9s
13:	learn: 9.2724052	test: 9.4708064	best: 9.4708064 (13)	total: 1s	remaining: 34.9s
14:	learn: 9.2201971	test: 9.4372362	best: 9.4372362 (14)	total: 1.08s	remaining: 35.1s
15:	learn: 9.1721172	test: 9.4082813	best: 9.4082813 (15)	total: 1.16s	remaining: 34.9s
16:	learn: 9.1275582	test: 9.3821817	best: 9.3821817 (16)	total: 1.22s	remaining: 34.8s
17:	learn: 9.0864410	test: 9.3573083	best: 9.3573083 (17)	total: 1.29s	remaining: 34.6s
18:	learn: 9.0463075	test: 9.3334156	best: 9.3334156 (18)	total: 1.36s	remaining: 34.5s
19:	learn: 9.0089633	test: 9.3134757	best: 9.3134757 (19)	total: 1.43s	remaining: 34.3s
20:	learn: 8.9751373	test: 9.2961487	best: 9.2961487 (20)	total: 1.5s	remaining: 34.2s
21:	learn: 8.9421022	test: 9.2808703	best: 9.2808703 (21)	total: 1.57s	remaining: 34.1s
22:	learn: 8.9116591	test: 9.2649803	best: 9.2649803 (22)	total: 1.66s	remaining: 34.5s
23:	learn: 8.8813797	test: 9.2512632	best: 9.2512632 (23)	total: 1.74s	remaining: 34.5s
24:	learn: 8.8546887	test: 9.2385294	best: 9.2385294 (24)	total: 1.81s	remaining: 34.4s
25:	learn: 8.8273053	test: 9.2261444	best: 9.2261444 (25)	total: 1.88s	remaining: 34.3s
26:	learn: 8.8008423	test: 9.2153876	best: 9.2153876 (26)	total: 1.95s	remaining: 34.1s
27:	learn: 8.7768365	test: 9.2053162	best: 9.2053162 (27)	total: 2.02s	remaining: 34s
28:	learn: 8.7535365	test: 9.1965281	best: 9.1965281 (28)	total: 2.09s	remaining: 33.9s
29:	learn: 8.7279607	test: 9.1848050	best: 9.1848050 (29)	total: 2.16s	remaining: 33.8s
30:	learn: 8.7042197	test: 9.1770357	best: 9.1770357 (30)	total: 2.23s	remaining: 33.7s
31:	learn: 8.6824258	test: 9.1703111	best: 9.1703111 (31)	total: 2.29s	remaining: 33.5s
32:	learn: 8.6607644	test: 9.1609846	best: 9.1609846 (32)	total: 2.36s	remaining: 33.4s
33:	learn: 8.6397225	test: 9.1534326	best: 9.1534326 (33)	total: 2.43s	remaining: 33.3s
34:	learn: 8.6198533	test: 9.1481157	best: 9.1481157 (34)	total: 2.51s	remaining: 33.3s
35:	learn: 8.6000420	test: 9.1410923	best: 9.1410923 (35)	total: 2.58s	remaining: 33.2s
