0:	learn: 0.6543830	total: 73.8ms	remaining: 36.8s
1:	learn: 0.6191277	total: 119ms	remaining: 29.7s
2:	learn: 0.5857976	total: 159ms	remaining: 26.3s
3:	learn: 0.5543096	total: 196ms	remaining: 24.3s
4:	learn: 0.5245804	total: 226ms	remaining: 22.4s
5:	learn: 0.4965531	total: 257ms	remaining: 21.1s
6:	learn: 0.4701236	total: 294ms	remaining: 20.7s
7:	learn: 0.4452168	total: 333ms	remaining: 20.5s
8:	learn: 0.4217612	total: 363ms	remaining: 19.8s
9:	learn: 0.3996852	total: 401ms	remaining: 19.7s
10:	learn: 0.3780624	total: 437ms	remaining: 19.4s
11:	learn: 0.3583727	total: 469ms	remaining: 19.1s
12:	learn: 0.3400542	total: 507ms	remaining: 19s
13:	learn: 0.3228208	total: 546ms	remaining: 19s
14:	learn: 0.3066262	total: 577ms	remaining: 18.7s
15:	learn: 0.2912460	total: 616ms	remaining: 18.6s
16:	learn: 0.2769523	total: 654ms	remaining: 18.6s
17:	learn: 0.2635153	total: 685ms	remaining: 18.3s
18:	learn: 0.2507375	total: 717ms	remaining: 18.1s
19:	learn: 0.2388777	total: 756ms	remaining: 18.1s
20:	learn: 0.2277271	total: 788ms	remaining: 18s
21:	learn: 0.2172452	total: 823ms	remaining: 17.9s
22:	learn: 0.2072969	total: 854ms	remaining: 17.7s
23:	learn: 0.1980343	total: 886ms	remaining: 17.6s
24:	learn: 0.1888465	total: 929ms	remaining: 17.7s
25:	learn: 0.1802005	total: 966ms	remaining: 17.6s
26:	learn: 0.1721050	total: 1000ms	remaining: 17.5s
27:	learn: 0.1649117	total: 1.04s	remaining: 17.5s
28:	learn: 0.1578963	total: 1.07s	remaining: 17.5s
29:	learn: 0.1511294	total: 1.11s	remaining: 17.4s
30:	learn: 0.1450637	total: 1.15s	remaining: 17.4s
31:	learn: 0.1392271	total: 1.19s	remaining: 17.3s
32:	learn: 0.1339262	total: 1.23s	remaining: 17.4s
33:	learn: 0.1285819	total: 1.26s	remaining: 17.3s
34:	learn: 0.1235719	total: 1.29s	remaining: 17.2s
35:	learn: 0.1188644	total: 1.32s	remaining: 17.1s
36:	learn: 0.1144066	total: 1.36s	remaining: 17.1s
37:	learn: 0.1105028	total: 1.4s	remaining: 17.1s
38:	learn: 0.1065515	total: 1.44s	remaining: 17s
39:	learn: 0.1030393	total: 1.48s	remaining: 17s
40:	learn: 0.0994935	total: 1.51s	remaining: 16.9s
41:	learn: 0.0961517	total: 1.54s	remaining: 16.8s
42:	learn: 0.0930217	total: 1.58s	remaining: 16.8s
43:	learn: 0.0899754	total: 1.62s	remaining: 16.8s
44:	learn: 0.0871623	total: 1.65s	remaining: 16.7s
45:	learn: 0.0844724	total: 1.69s	remaining: 16.7s
46:	learn: 0.0819041	total: 1.73s	remaining: 16.7s
47:	learn: 0.0795322	total: 1.77s	remaining: 16.6s
48:	learn: 0.0772900	total: 1.8s	remaining: 16.6s
49:	learn: 0.0751771	total: 1.84s	remaining: 16.6s
50:	learn: 0.0731174	total: 1.88s	remaining: 16.6s
51:	learn: 0.0711666	total: 1.92s	remaining: 16.5s
52:	learn: 0.0693197	total: 1.96s	remaining: 16.5s
53:	learn: 0.0676315	total: 1.99s	remaining: 16.5s
54:	learn: 0.0659519	total: 2.03s	remaining: 16.5s
55:	learn: 0.0643777	total: 2.08s	remaining: 16.5s
56:	learn: 0.0629381	total: 2.11s	remaining: 16.4s
57:	learn: 0.0615693	total: 2.15s	remaining: 16.4s
58:	learn: 0.0602237	total: 2.19s	remaining: 16.4s
59:	learn: 0.0589443	total: 2.23s	remaining: 16.3s
60:	learn: 0.0577321	total: 2.27s	remaining: 16.3s
61:	learn: 0.0565637	total: 2.31s	remaining: 16.3s
62:	learn: 0.0554672	total: 2.35s	remaining: 16.3s
63:	learn: 0.0544256	total: 2.39s	remaining: 16.3s
64:	learn: 0.0534218	total: 2.43s	remaining: 16.3s
65:	learn: 0.0524891	total: 2.46s	remaining: 16.2s
66:	learn: 0.0515795	total: 2.51s	remaining: 16.2s
67:	learn: 0.0507240	total: 2.55s	remaining: 16.2s
68:	learn: 0.0499046	total: 2.59s	remaining: 16.2s
69:	learn: 0.0491285	total: 2.63s	remaining: 16.1s
70:	learn: 0.0483796	total: 2.67s	remaining: 16.1s
71:	learn: 0.0476714	total: 2.71s	remaining: 16.1s
72:	learn: 0.0470154	total: 2.75s	remaining: 16.1s
73:	learn: 0.0463671	total: 2.8s	remaining: 16.1s
74:	learn: 0.0457493	total: 2.84s	remaining: 16.1s
75:	learn: 0.0451591	total: 2.88s	remaining: 16.1s
76:	learn: 0.0445960	total: 2.93s	remaining: 16.1s
77:	learn: 0.0440541	total: 2.97s	remaining: 16.1s
78:	learn: 0.0435404	total: 3.02s	remaining: 16.1s
79:	learn: 0.0430472	total: 3.06s	remaining: 16.1s
80:	learn: 0.0425743	total: 3.1s	remaining: 16s
81:	learn: 0.0421223	total: 3.14s	remaining: 16s
82:	learn: 0.0416932	total: 3.19s	remaining: 16s
83:	learn: 0.0412796	total: 3.23s	remaining: 16s
84:	learn: 0.0408843	total: 3.27s	remaining: 16s
85:	learn: 0.0405051	total: 3.32s	remaining: 16s
86:	learn: 0.0401417	total: 3.36s	remaining: 16s
87:	learn: 0.0397946	total: 3.41s	remaining: 15.9s
88:	learn: 0.0394637	total: 3.45s	remaining: 15.9s
89:	learn: 0.0391445	total: 3.49s	remaining: 15.9s
90:	learn: 0.0388390	total: 3.54s	remaining: 15.9s
91:	learn: 0.0385476	total: 3.58s	remaining: 15.9s
92:	learn: 0.0382703	total: 3.62s	remaining: 15.8s
93:	learn: 0.0380011	total: 3.66s	remaining: 15.8s
94:	learn: 0.0377421	total: 3.71s	remaining: 15.8s
95:	learn: 0.0374967	total: 3.75s	remaining: 15.8s
96:	learn: 0.0372579	total: 3.79s	remaining: 15.7s
97:	learn: 0.0370231	total: 3.84s	remaining: 15.7s
98:	learn: 0.0368046	total: 3.88s	remaining: 15.7s
99:	learn: 0.0365939	total: 3.93s	remaining: 15.7s
100:	learn: 0.0363936	total: 3.97s	remaining: 15.7s
101:	learn: 0.0362009	total: 4.02s	remaining: 15.7s
102:	learn: 0.0360136	total: 4.06s	remaining: 15.7s
103:	learn: 0.0358284	total: 4.11s	remaining: 15.7s
