0:	learn: 0.6458485	total: 674ms	remaining: 5m 36s
1:	learn: 0.6095826	total: 1.36s	remaining: 5m 40s
2:	learn: 0.5815520	total: 2.01s	remaining: 5m 32s
3:	learn: 0.5589253	total: 2.67s	remaining: 5m 31s
4:	learn: 0.5409793	total: 3.24s	remaining: 5m 20s
5:	learn: 0.5282733	total: 3.75s	remaining: 5m 8s
6:	learn: 0.5167384	total: 4.29s	remaining: 5m 2s
7:	learn: 0.5075275	total: 4.83s	remaining: 4m 56s
8:	learn: 0.5001062	total: 5.37s	remaining: 4m 52s
9:	learn: 0.4941429	total: 5.92s	remaining: 4m 50s
10:	learn: 0.4892510	total: 6.45s	remaining: 4m 46s
11:	learn: 0.4853006	total: 7s	remaining: 4m 44s
12:	learn: 0.4819955	total: 7.53s	remaining: 4m 41s
13:	learn: 0.4792149	total: 8.09s	remaining: 4m 40s
14:	learn: 0.4769107	total: 8.62s	remaining: 4m 38s
15:	learn: 0.4748507	total: 9.15s	remaining: 4m 36s
16:	learn: 0.4731574	total: 9.69s	remaining: 4m 35s
17:	learn: 0.4716947	total: 10.2s	remaining: 4m 33s
18:	learn: 0.4704044	total: 10.8s	remaining: 4m 32s
19:	learn: 0.4692875	total: 11.3s	remaining: 4m 31s
20:	learn: 0.4683537	total: 11.8s	remaining: 4m 30s
21:	learn: 0.4674746	total: 12.4s	remaining: 4m 28s
22:	learn: 0.4666261	total: 12.9s	remaining: 4m 27s
23:	learn: 0.4658769	total: 13.4s	remaining: 4m 26s
24:	learn: 0.4652610	total: 14s	remaining: 4m 25s
25:	learn: 0.4646199	total: 14.5s	remaining: 4m 24s
26:	learn: 0.4640390	total: 15s	remaining: 4m 23s
27:	learn: 0.4634642	total: 15.6s	remaining: 4m 22s
28:	learn: 0.4629779	total: 16.1s	remaining: 4m 21s
29:	learn: 0.4625528	total: 16.6s	remaining: 4m 20s
30:	learn: 0.4620535	total: 17.2s	remaining: 4m 19s
31:	learn: 0.4616344	total: 17.7s	remaining: 4m 18s
32:	learn: 0.4611742	total: 18.2s	remaining: 4m 17s
33:	learn: 0.4608268	total: 18.7s	remaining: 4m 16s
34:	learn: 0.4604932	total: 19.3s	remaining: 4m 15s
35:	learn: 0.4600547	total: 19.8s	remaining: 4m 14s
36:	learn: 0.4597323	total: 20.3s	remaining: 4m 14s
37:	learn: 0.4594781	total: 20.8s	remaining: 4m 13s
38:	learn: 0.4591281	total: 21.3s	remaining: 4m 12s
39:	learn: 0.4588448	total: 21.9s	remaining: 4m 11s
40:	learn: 0.4586050	total: 22.4s	remaining: 4m 10s
41:	learn: 0.4583085	total: 22.9s	remaining: 4m 9s
42:	learn: 0.4580770	total: 23.4s	remaining: 4m 9s
43:	learn: 0.4578543	total: 24s	remaining: 4m 8s
44:	learn: 0.4576277	total: 24.5s	remaining: 4m 7s
45:	learn: 0.4573322	total: 25s	remaining: 4m 6s
46:	learn: 0.4571505	total: 25.5s	remaining: 4m 6s
47:	learn: 0.4569050	total: 26.1s	remaining: 4m 5s
48:	learn: 0.4566795	total: 26.6s	remaining: 4m 4s
49:	learn: 0.4564848	total: 27.1s	remaining: 4m 3s
50:	learn: 0.4562778	total: 27.6s	remaining: 4m 2s
51:	learn: 0.4560946	total: 28.1s	remaining: 4m 2s
52:	learn: 0.4559380	total: 28.6s	remaining: 4m 1s
53:	learn: 0.4557520	total: 29.2s	remaining: 4m
54:	learn: 0.4555216	total: 29.7s	remaining: 4m
55:	learn: 0.4553637	total: 30.2s	remaining: 3m 59s
56:	learn: 0.4551954	total: 30.7s	remaining: 3m 58s
57:	learn: 0.4550537	total: 31.2s	remaining: 3m 58s
58:	learn: 0.4549240	total: 31.8s	remaining: 3m 57s
59:	learn: 0.4547831	total: 32.3s	remaining: 3m 56s
60:	learn: 0.4546221	total: 32.8s	remaining: 3m 55s
61:	learn: 0.4544084	total: 33.3s	remaining: 3m 55s
62:	learn: 0.4542934	total: 33.8s	remaining: 3m 54s
63:	learn: 0.4541504	total: 34.3s	remaining: 3m 53s
64:	learn: 0.4540105	total: 34.8s	remaining: 3m 53s
65:	learn: 0.4538916	total: 35.3s	remaining: 3m 52s
66:	learn: 0.4537564	total: 35.8s	remaining: 3m 51s
67:	learn: 0.4536315	total: 36.4s	remaining: 3m 51s
68:	learn: 0.4535099	total: 36.9s	remaining: 3m 50s
69:	learn: 0.4534035	total: 37.4s	remaining: 3m 49s
70:	learn: 0.4532822	total: 37.9s	remaining: 3m 49s
71:	learn: 0.4531628	total: 38.4s	remaining: 3m 48s
72:	learn: 0.4530081	total: 39s	remaining: 3m 47s
73:	learn: 0.4529140	total: 39.5s	remaining: 3m 47s
74:	learn: 0.4528231	total: 39.9s	remaining: 3m 46s
75:	learn: 0.4527181	total: 40.5s	remaining: 3m 45s
76:	learn: 0.4526370	total: 40.9s	remaining: 3m 44s
77:	learn: 0.4525318	total: 41.5s	remaining: 3m 44s
78:	learn: 0.4524016	total: 41.9s	remaining: 3m 43s
79:	learn: 0.4523178	total: 42.5s	remaining: 3m 42s
80:	learn: 0.4522247	total: 43s	remaining: 3m 42s
81:	learn: 0.4521377	total: 43.5s	remaining: 3m 41s
82:	learn: 0.4519807	total: 44s	remaining: 3m 40s
83:	learn: 0.4518760	total: 44.5s	remaining: 3m 40s
84:	learn: 0.4518057	total: 45s	remaining: 3m 39s
85:	learn: 0.4517317	total: 45.5s	remaining: 3m 38s
86:	learn: 0.4516411	total: 46s	remaining: 3m 38s
87:	learn: 0.4514916	total: 46.4s	remaining: 3m 37s
88:	learn: 0.4514071	total: 46.9s	remaining: 3m 36s
89:	learn: 0.4512929	total: 47.4s	remaining: 3m 36s
90:	learn: 0.4512091	total: 47.9s	remaining: 3m 35s
91:	learn: 0.4511249	total: 48.5s	remaining: 3m 34s
92:	learn: 0.4510579	total: 49s	remaining: 3m 34s
93:	learn: 0.4509877	total: 49.4s	remaining: 3m 33s
94:	learn: 0.4509174	total: 50s	remaining: 3m 32s
95:	learn: 0.4508348	total: 50.4s	remaining: 3m 32s
96:	learn: 0.4507373	total: 50.9s	remaining: 3m 31s
97:	learn: 0.4506754	total: 51.4s	remaining: 3m 31s
98:	learn: 0.4506109	total: 51.9s	remaining: 3m 30s
99:	learn: 0.4505471	total: 52.4s	remaining: 3m 29s
100:	learn: 0.4504568	total: 52.9s	remaining: 3m 29s
101:	learn: 0.4503782	total: 53.4s	remaining: 3m 28s
102:	learn: 0.4502910	total: 53.9s	remaining: 3m 27s
103:	learn: 0.4502372	total: 54.4s	remaining: 3m 27s
104:	learn: 0.4501761	total: 54.9s	remaining: 3m 26s
105:	learn: 0.4501191	total: 55.4s	remaining: 3m 26s
106:	learn: 0.4500480	total: 56s	remaining: 3m 25s
107:	learn: 0.4499888	total: 56.5s	remaining: 3m 24s
108:	learn: 0.4498887	total: 57s	remaining: 3m 24s
109:	learn: 0.4498382	total: 57.4s	remaining: 3m 23s
110:	learn: 0.4497853	total: 58s	remaining: 3m 23s
111:	learn: 0.4497343	total: 58.4s	remaining: 3m 22s
112:	learn: 0.4496736	total: 58.9s	remaining: 3m 21s
113:	learn: 0.4496249	total: 59.4s	remaining: 3m 21s
114:	learn: 0.4495568	total: 59.9s	remaining: 3m 20s
115:	learn: 0.4494820	total: 1m	remaining: 3m 19s
116:	learn: 0.4494316	total: 1m	remaining: 3m 19s
117:	learn: 0.4493836	total: 1m 1s	remaining: 3m 18s
