0:	learn: 0.6696010	total: 270ms	remaining: 2m 14s
1:	learn: 0.6495313	total: 500ms	remaining: 2m 4s
2:	learn: 0.6319105	total: 727ms	remaining: 2m
3:	learn: 0.6163805	total: 958ms	remaining: 1m 58s
4:	learn: 0.6025084	total: 1.29s	remaining: 2m 8s
5:	learn: 0.5897268	total: 1.52s	remaining: 2m 5s
6:	learn: 0.5775310	total: 1.75s	remaining: 2m 3s
7:	learn: 0.5671545	total: 1.98s	remaining: 2m 1s
8:	learn: 0.5572162	total: 2.2s	remaining: 2m
9:	learn: 0.5479498	total: 2.43s	remaining: 1m 58s
10:	learn: 0.5393543	total: 2.65s	remaining: 1m 57s
11:	learn: 0.5309331	total: 2.88s	remaining: 1m 56s
12:	learn: 0.5232329	total: 3.1s	remaining: 1m 56s
13:	learn: 0.5156502	total: 3.32s	remaining: 1m 55s
14:	learn: 0.5084843	total: 3.54s	remaining: 1m 54s
15:	learn: 0.5020543	total: 3.76s	remaining: 1m 53s
16:	learn: 0.4959693	total: 3.98s	remaining: 1m 53s
17:	learn: 0.4899114	total: 4.2s	remaining: 1m 52s
18:	learn: 0.4839726	total: 4.42s	remaining: 1m 52s
19:	learn: 0.4784381	total: 4.64s	remaining: 1m 51s
20:	learn: 0.4732049	total: 4.86s	remaining: 1m 50s
21:	learn: 0.4680998	total: 5.09s	remaining: 1m 50s
22:	learn: 0.4630484	total: 5.31s	remaining: 1m 50s
23:	learn: 0.4583565	total: 5.54s	remaining: 1m 49s
24:	learn: 0.4536436	total: 5.76s	remaining: 1m 49s
25:	learn: 0.4490166	total: 5.99s	remaining: 1m 49s
26:	learn: 0.4445979	total: 6.22s	remaining: 1m 48s
27:	learn: 0.4403152	total: 6.44s	remaining: 1m 48s
28:	learn: 0.4362248	total: 6.7s	remaining: 1m 48s
29:	learn: 0.4322797	total: 6.93s	remaining: 1m 48s
30:	learn: 0.4283119	total: 7.15s	remaining: 1m 48s
31:	learn: 0.4243283	total: 7.37s	remaining: 1m 47s
32:	learn: 0.4207943	total: 7.6s	remaining: 1m 47s
33:	learn: 0.4171028	total: 7.86s	remaining: 1m 47s
34:	learn: 0.4134744	total: 8.08s	remaining: 1m 47s
35:	learn: 0.4101171	total: 8.3s	remaining: 1m 47s
36:	learn: 0.4067825	total: 8.52s	remaining: 1m 46s
