0:	learn: 0.6663483	total: 162ms	remaining: 1m 20s
1:	learn: 0.6449953	total: 302ms	remaining: 1m 15s
2:	learn: 0.6275335	total: 446ms	remaining: 1m 13s
3:	learn: 0.6135276	total: 590ms	remaining: 1m 13s
4:	learn: 0.6019650	total: 734ms	remaining: 1m 12s
5:	learn: 0.5922820	total: 891ms	remaining: 1m 13s
6:	learn: 0.5842612	total: 1.05s	remaining: 1m 14s
7:	learn: 0.5776358	total: 1.2s	remaining: 1m 13s
8:	learn: 0.5717558	total: 1.36s	remaining: 1m 13s
9:	learn: 0.5667976	total: 1.5s	remaining: 1m 13s
10:	learn: 0.5623652	total: 1.65s	remaining: 1m 13s
11:	learn: 0.5583283	total: 1.8s	remaining: 1m 13s
12:	learn: 0.5549067	total: 1.98s	remaining: 1m 14s
13:	learn: 0.5515778	total: 2.13s	remaining: 1m 14s
14:	learn: 0.5487396	total: 2.28s	remaining: 1m 13s
15:	learn: 0.5462660	total: 2.44s	remaining: 1m 13s
16:	learn: 0.5440613	total: 2.59s	remaining: 1m 13s
17:	learn: 0.5417640	total: 2.79s	remaining: 1m 14s
18:	learn: 0.5396800	total: 2.93s	remaining: 1m 14s
19:	learn: 0.5378647	total: 3.09s	remaining: 1m 14s
20:	learn: 0.5362105	total: 3.24s	remaining: 1m 13s
21:	learn: 0.5346213	total: 3.39s	remaining: 1m 13s
22:	learn: 0.5332880	total: 3.54s	remaining: 1m 13s
23:	learn: 0.5319100	total: 3.69s	remaining: 1m 13s
24:	learn: 0.5307754	total: 3.84s	remaining: 1m 12s
25:	learn: 0.5295595	total: 3.98s	remaining: 1m 12s
26:	learn: 0.5285195	total: 4.13s	remaining: 1m 12s
27:	learn: 0.5275316	total: 4.28s	remaining: 1m 12s
28:	learn: 0.5264797	total: 4.43s	remaining: 1m 11s
29:	learn: 0.5254826	total: 4.58s	remaining: 1m 11s
30:	learn: 0.5246216	total: 4.73s	remaining: 1m 11s
31:	learn: 0.5238857	total: 4.89s	remaining: 1m 11s
32:	learn: 0.5230668	total: 5.05s	remaining: 1m 11s
33:	learn: 0.5223150	total: 5.2s	remaining: 1m 11s
34:	learn: 0.5215887	total: 5.35s	remaining: 1m 11s
35:	learn: 0.5207839	total: 5.5s	remaining: 1m 10s
36:	learn: 0.5201395	total: 5.64s	remaining: 1m 10s
37:	learn: 0.5194351	total: 5.79s	remaining: 1m 10s
38:	learn: 0.5188736	total: 5.94s	remaining: 1m 10s
39:	learn: 0.5182318	total: 6.09s	remaining: 1m 10s
40:	learn: 0.5176969	total: 6.24s	remaining: 1m 9s
41:	learn: 0.5170941	total: 6.39s	remaining: 1m 9s
42:	learn: 0.5166246	total: 6.55s	remaining: 1m 9s
43:	learn: 0.5161036	total: 6.73s	remaining: 1m 9s
44:	learn: 0.5155432	total: 6.88s	remaining: 1m 9s
45:	learn: 0.5150379	total: 7.04s	remaining: 1m 9s
46:	learn: 0.5144660	total: 7.2s	remaining: 1m 9s
47:	learn: 0.5140121	total: 7.34s	remaining: 1m 9s
48:	learn: 0.5135649	total: 7.49s	remaining: 1m 8s
49:	learn: 0.5130290	total: 7.64s	remaining: 1m 8s
50:	learn: 0.5125426	total: 7.79s	remaining: 1m 8s
51:	learn: 0.5120860	total: 7.94s	remaining: 1m 8s
52:	learn: 0.5116606	total: 8.08s	remaining: 1m 8s
53:	learn: 0.5112621	total: 8.22s	remaining: 1m 7s
54:	learn: 0.5109143	total: 8.37s	remaining: 1m 7s
55:	learn: 0.5105063	total: 8.51s	remaining: 1m 7s
