0:	learn: 0.4018434	total: 303ms	remaining: 2m 31s
1:	learn: 0.2734732	total: 918ms	remaining: 3m 48s
2:	learn: 0.2032513	total: 1.55s	remaining: 4m 17s
3:	learn: 0.1417554	total: 2.12s	remaining: 4m 22s
4:	learn: 0.1060384	total: 2.69s	remaining: 4m 26s
5:	learn: 0.0856426	total: 3.31s	remaining: 4m 32s
6:	learn: 0.0705205	total: 3.89s	remaining: 4m 33s
7:	learn: 0.0610664	total: 4.42s	remaining: 4m 32s
8:	learn: 0.0521280	total: 4.92s	remaining: 4m 28s
9:	learn: 0.0496198	total: 5.45s	remaining: 4m 26s
10:	learn: 0.0448104	total: 5.95s	remaining: 4m 24s
11:	learn: 0.0424353	total: 6.46s	remaining: 4m 22s
12:	learn: 0.0380615	total: 6.76s	remaining: 4m 13s
13:	learn: 0.0351520	total: 6.99s	remaining: 4m 2s
14:	learn: 0.0332085	total: 7.2s	remaining: 3m 52s
15:	learn: 0.0317619	total: 7.39s	remaining: 3m 43s
16:	learn: 0.0305825	total: 7.59s	remaining: 3m 35s
17:	learn: 0.0297631	total: 7.81s	remaining: 3m 29s
18:	learn: 0.0291757	total: 8.02s	remaining: 3m 22s
19:	learn: 0.0286839	total: 8.22s	remaining: 3m 17s
20:	learn: 0.0283291	total: 8.43s	remaining: 3m 12s
21:	learn: 0.0280800	total: 8.65s	remaining: 3m 7s
22:	learn: 0.0278454	total: 8.87s	remaining: 3m 3s
23:	learn: 0.0276211	total: 9.07s	remaining: 2m 59s
24:	learn: 0.0275472	total: 9.3s	remaining: 2m 56s
25:	learn: 0.0273720	total: 9.53s	remaining: 2m 53s
26:	learn: 0.0272187	total: 9.75s	remaining: 2m 50s
27:	learn: 0.0270782	total: 9.97s	remaining: 2m 48s
28:	learn: 0.0269561	total: 10.2s	remaining: 2m 45s
29:	learn: 0.0268439	total: 10.4s	remaining: 2m 43s
30:	learn: 0.0267344	total: 10.6s	remaining: 2m 40s
31:	learn: 0.0266412	total: 10.8s	remaining: 2m 38s
32:	learn: 0.0265517	total: 11s	remaining: 2m 36s
33:	learn: 0.0264682	total: 11.2s	remaining: 2m 34s
34:	learn: 0.0263919	total: 11.5s	remaining: 2m 32s
35:	learn: 0.0263242	total: 11.7s	remaining: 2m 30s
