0:	learn: 10.6994387	total: 78ms	remaining: 38.9s
1:	learn: 10.4923962	total: 154ms	remaining: 38.3s
2:	learn: 10.3115971	total: 228ms	remaining: 37.7s
3:	learn: 10.1525774	total: 315ms	remaining: 39.1s
4:	learn: 10.0151078	total: 386ms	remaining: 38.2s
5:	learn: 9.8935969	total: 458ms	remaining: 37.7s
6:	learn: 9.7843921	total: 529ms	remaining: 37.2s
7:	learn: 9.6886016	total: 601ms	remaining: 37s
8:	learn: 9.6027897	total: 671ms	remaining: 36.6s
9:	learn: 9.5250021	total: 741ms	remaining: 36.3s
10:	learn: 9.4523752	total: 817ms	remaining: 36.3s
11:	learn: 9.3852980	total: 886ms	remaining: 36s
12:	learn: 9.3244519	total: 955ms	remaining: 35.8s
13:	learn: 9.2703905	total: 1.02s	remaining: 35.5s
14:	learn: 9.2187844	total: 1.1s	remaining: 35.6s
15:	learn: 9.1690277	total: 1.18s	remaining: 35.8s
16:	learn: 9.1258107	total: 1.25s	remaining: 35.6s
17:	learn: 9.0839691	total: 1.33s	remaining: 35.7s
18:	learn: 9.0453205	total: 1.4s	remaining: 35.5s
19:	learn: 9.0081657	total: 1.47s	remaining: 35.2s
20:	learn: 8.9722757	total: 1.53s	remaining: 35s
21:	learn: 8.9393139	total: 1.6s	remaining: 34.8s
22:	learn: 8.9079598	total: 1.67s	remaining: 34.7s
23:	learn: 8.8789460	total: 1.74s	remaining: 34.5s
24:	learn: 8.8508569	total: 1.8s	remaining: 34.3s
25:	learn: 8.8244201	total: 1.88s	remaining: 34.3s
26:	learn: 8.7998660	total: 1.95s	remaining: 34.1s
27:	learn: 8.7748652	total: 2.02s	remaining: 34s
28:	learn: 8.7485690	total: 2.08s	remaining: 33.9s
29:	learn: 8.7252578	total: 2.15s	remaining: 33.7s
30:	learn: 8.7028421	total: 2.22s	remaining: 33.6s
31:	learn: 8.6780195	total: 2.38s	remaining: 34.8s
32:	learn: 8.6564098	total: 2.46s	remaining: 34.8s
33:	learn: 8.6362948	total: 2.53s	remaining: 34.7s
34:	learn: 8.6158190	total: 2.6s	remaining: 34.6s
35:	learn: 8.5955121	total: 2.67s	remaining: 34.4s
36:	learn: 8.5768379	total: 2.74s	remaining: 34.3s
37:	learn: 8.5575132	total: 2.81s	remaining: 34.1s
38:	learn: 8.5392807	total: 2.87s	remaining: 34s
39:	learn: 8.5211322	total: 2.99s	remaining: 34.3s
40:	learn: 8.5026304	total: 3.05s	remaining: 34.2s
41:	learn: 8.4853637	total: 3.12s	remaining: 34s
42:	learn: 8.4660113	total: 3.19s	remaining: 33.9s
43:	learn: 8.4498251	total: 3.27s	remaining: 33.9s
44:	learn: 8.4318884	total: 3.34s	remaining: 33.8s
45:	learn: 8.4149063	total: 3.41s	remaining: 33.7s
46:	learn: 8.3990962	total: 3.48s	remaining: 33.6s
47:	learn: 8.3832874	total: 3.55s	remaining: 33.4s
48:	learn: 8.3679278	total: 3.62s	remaining: 33.3s
49:	learn: 8.3520358	total: 3.68s	remaining: 33.1s
50:	learn: 8.3358731	total: 3.75s	remaining: 33s
51:	learn: 8.3201805	total: 3.81s	remaining: 32.9s
52:	learn: 8.3047673	total: 3.88s	remaining: 32.7s
53:	learn: 8.2896225	total: 3.95s	remaining: 32.6s
54:	learn: 8.2758260	total: 4.01s	remaining: 32.5s
55:	learn: 8.2623800	total: 4.08s	remaining: 32.3s
56:	learn: 8.2480913	total: 4.14s	remaining: 32.2s
57:	learn: 8.2334934	total: 4.21s	remaining: 32.1s
58:	learn: 8.2196549	total: 4.3s	remaining: 32.2s
59:	learn: 8.2057274	total: 4.38s	remaining: 32.1s
60:	learn: 8.1929465	total: 4.45s	remaining: 32s
61:	learn: 8.1798421	total: 4.51s	remaining: 31.9s
62:	learn: 8.1664139	total: 4.58s	remaining: 31.8s
63:	learn: 8.1532580	total: 4.65s	remaining: 31.7s
64:	learn: 8.1395649	total: 4.71s	remaining: 31.5s
65:	learn: 8.1277599	total: 4.78s	remaining: 31.4s
66:	learn: 8.1148389	total: 4.85s	remaining: 31.3s
67:	learn: 8.1031560	total: 4.92s	remaining: 31.2s
68:	learn: 8.0905918	total: 5s	remaining: 31.2s
69:	learn: 8.0795419	total: 5.07s	remaining: 31.1s
70:	learn: 8.0671799	total: 5.14s	remaining: 31.1s
71:	learn: 8.0554163	total: 5.22s	remaining: 31s
72:	learn: 8.0440803	total: 5.28s	remaining: 30.9s
73:	learn: 8.0327036	total: 5.35s	remaining: 30.8s
74:	learn: 8.0204245	total: 5.41s	remaining: 30.7s
75:	learn: 8.0094227	total: 5.48s	remaining: 30.6s
76:	learn: 7.9974800	total: 5.55s	remaining: 30.5s
77:	learn: 7.9866409	total: 5.62s	remaining: 30.4s
78:	learn: 7.9752610	total: 5.68s	remaining: 30.3s
79:	learn: 7.9634312	total: 5.75s	remaining: 30.2s
80:	learn: 7.9520481	total: 5.82s	remaining: 30.1s
81:	learn: 7.9404420	total: 5.89s	remaining: 30s
82:	learn: 7.9300169	total: 5.97s	remaining: 30s
83:	learn: 7.9193557	total: 6.04s	remaining: 29.9s
84:	learn: 7.9083474	total: 6.1s	remaining: 29.8s
85:	learn: 7.8972562	total: 6.17s	remaining: 29.7s
86:	learn: 7.8862368	total: 6.24s	remaining: 29.6s
87:	learn: 7.8756641	total: 6.31s	remaining: 29.5s
88:	learn: 7.8648299	total: 6.37s	remaining: 29.4s
89:	learn: 7.8541784	total: 6.44s	remaining: 29.3s
90:	learn: 7.8438639	total: 6.5s	remaining: 29.2s
91:	learn: 7.8334862	total: 6.57s	remaining: 29.1s
92:	learn: 7.8234572	total: 6.63s	remaining: 29s
93:	learn: 7.8129770	total: 6.7s	remaining: 28.9s
94:	learn: 7.8027597	total: 6.76s	remaining: 28.8s
95:	learn: 7.7926483	total: 6.83s	remaining: 28.7s
96:	learn: 7.7822566	total: 6.89s	remaining: 28.6s
97:	learn: 7.7727936	total: 6.96s	remaining: 28.5s
98:	learn: 7.7633935	total: 7.02s	remaining: 28.4s
99:	learn: 7.7537052	total: 7.08s	remaining: 28.3s
100:	learn: 7.7444086	total: 7.15s	remaining: 28.2s
101:	learn: 7.7345981	total: 7.21s	remaining: 28.1s
102:	learn: 7.7242769	total: 7.28s	remaining: 28s
103:	learn: 7.7138468	total: 7.34s	remaining: 27.9s
104:	learn: 7.7043450	total: 7.4s	remaining: 27.8s
105:	learn: 7.6948417	total: 7.46s	remaining: 27.7s
106:	learn: 7.6850510	total: 7.53s	remaining: 27.7s
107:	learn: 7.6755516	total: 7.61s	remaining: 27.6s
108:	learn: 7.6661951	total: 7.68s	remaining: 27.6s
109:	learn: 7.6565835	total: 7.75s	remaining: 27.5s
110:	learn: 7.6473710	total: 7.81s	remaining: 27.4s
111:	learn: 7.6387617	total: 7.87s	remaining: 27.3s
112:	learn: 7.6293463	total: 7.95s	remaining: 27.2s
113:	learn: 7.6207325	total: 8.01s	remaining: 27.1s
114:	learn: 7.6117670	total: 8.09s	remaining: 27.1s
115:	learn: 7.6026106	total: 8.15s	remaining: 27s
116:	learn: 7.5931545	total: 8.22s	remaining: 26.9s
117:	learn: 7.5845778	total: 8.28s	remaining: 26.8s
118:	learn: 7.5753182	total: 8.35s	remaining: 26.7s
119:	learn: 7.5669624	total: 8.41s	remaining: 26.6s
120:	learn: 7.5584456	total: 8.48s	remaining: 26.6s
121:	learn: 7.5492807	total: 8.54s	remaining: 26.5s
122:	learn: 7.5401290	total: 8.6s	remaining: 26.4s
123:	learn: 7.5315796	total: 8.67s	remaining: 26.3s
124:	learn: 7.5237080	total: 8.73s	remaining: 26.2s
125:	learn: 7.5149224	total: 8.79s	remaining: 26.1s
126:	learn: 7.5066326	total: 8.86s	remaining: 26s
127:	learn: 7.4987323	total: 8.92s	remaining: 25.9s
128:	learn: 7.4905819	total: 8.99s	remaining: 25.9s
129:	learn: 7.4819527	total: 9.05s	remaining: 25.8s
130:	learn: 7.4735641	total: 9.12s	remaining: 25.7s
131:	learn: 7.4652463	total: 9.19s	remaining: 25.6s
132:	learn: 7.4569135	total: 9.25s	remaining: 25.5s
133:	learn: 7.4502959	total: 9.32s	remaining: 25.5s
134:	learn: 7.4428257	total: 9.38s	remaining: 25.4s
135:	learn: 7.4347923	total: 9.45s	remaining: 25.3s
136:	learn: 7.4270386	total: 9.51s	remaining: 25.2s
137:	learn: 7.4189539	total: 9.57s	remaining: 25.1s
138:	learn: 7.4103586	total: 9.64s	remaining: 25s
139:	learn: 7.4021787	total: 9.7s	remaining: 24.9s
140:	learn: 7.3954826	total: 9.77s	remaining: 24.9s
141:	learn: 7.3875376	total: 9.84s	remaining: 24.8s
142:	learn: 7.3807636	total: 9.9s	remaining: 24.7s
143:	learn: 7.3742855	total: 9.97s	remaining: 24.6s
144:	learn: 7.3668911	total: 10s	remaining: 24.6s
145:	learn: 7.3598333	total: 10.1s	remaining: 24.5s
146:	learn: 7.3537752	total: 10.2s	remaining: 24.4s
147:	learn: 7.3459195	total: 10.2s	remaining: 24.4s
148:	learn: 7.3377406	total: 10.3s	remaining: 24.3s
149:	learn: 7.3306636	total: 10.4s	remaining: 24.2s
150:	learn: 7.3233288	total: 10.4s	remaining: 24.1s
151:	learn: 7.3166362	total: 10.5s	remaining: 24s
152:	learn: 7.3088017	total: 10.6s	remaining: 23.9s
153:	learn: 7.3024544	total: 10.6s	remaining: 23.9s
154:	learn: 7.2957936	total: 10.7s	remaining: 23.8s
155:	learn: 7.2891314	total: 10.8s	remaining: 23.7s
156:	learn: 7.2818522	total: 10.8s	remaining: 23.6s
157:	learn: 7.2742491	total: 10.9s	remaining: 23.6s
158:	learn: 7.2674075	total: 10.9s	remaining: 23.5s
159:	learn: 7.2602188	total: 11s	remaining: 23.4s
160:	learn: 7.2543733	total: 11.1s	remaining: 23.3s
161:	learn: 7.2478813	total: 11.1s	remaining: 23.2s
162:	learn: 7.2404805	total: 11.2s	remaining: 23.1s
163:	learn: 7.2334669	total: 11.2s	remaining: 23s
164:	learn: 7.2279068	total: 11.3s	remaining: 22.9s
165:	learn: 7.2227601	total: 11.4s	remaining: 22.9s
166:	learn: 7.2150424	total: 11.4s	remaining: 22.8s
167:	learn: 7.2095733	total: 11.6s	remaining: 22.9s
168:	learn: 7.2035870	total: 11.7s	remaining: 22.8s
169:	learn: 7.1963259	total: 11.7s	remaining: 22.8s
170:	learn: 7.1896492	total: 11.8s	remaining: 22.7s
171:	learn: 7.1828385	total: 11.9s	remaining: 22.6s
172:	learn: 7.1766460	total: 11.9s	remaining: 22.5s
173:	learn: 7.1682845	total: 12s	remaining: 22.4s
174:	learn: 7.1623589	total: 12s	remaining: 22.4s
175:	learn: 7.1564144	total: 12.1s	remaining: 22.3s
176:	learn: 7.1507624	total: 12.2s	remaining: 22.2s
177:	learn: 7.1458782	total: 12.2s	remaining: 22.2s
178:	learn: 7.1413458	total: 12.3s	remaining: 22.1s
179:	learn: 7.1353884	total: 12.4s	remaining: 22s
180:	learn: 7.1297313	total: 12.4s	remaining: 21.9s
181:	learn: 7.1235970	total: 12.5s	remaining: 21.8s
182:	learn: 7.1192655	total: 12.6s	remaining: 21.8s
183:	learn: 7.1130544	total: 12.6s	remaining: 21.7s
184:	learn: 7.1079310	total: 12.7s	remaining: 21.6s
185:	learn: 7.1030080	total: 12.7s	remaining: 21.5s
186:	learn: 7.0957679	total: 12.8s	remaining: 21.4s
187:	learn: 7.0896685	total: 12.9s	remaining: 21.4s
