0:	learn: 10.6989892	total: 78.4ms	remaining: 39.1s
1:	learn: 10.4889420	total: 154ms	remaining: 38.3s
2:	learn: 10.3093859	total: 229ms	remaining: 37.9s
3:	learn: 10.1515939	total: 305ms	remaining: 37.8s
4:	learn: 10.0149088	total: 390ms	remaining: 38.6s
5:	learn: 9.8924216	total: 469ms	remaining: 38.6s
6:	learn: 9.7830008	total: 539ms	remaining: 38s
7:	learn: 9.6879908	total: 610ms	remaining: 37.5s
8:	learn: 9.6024488	total: 679ms	remaining: 37s
9:	learn: 9.5243406	total: 749ms	remaining: 36.7s
10:	learn: 9.4535656	total: 819ms	remaining: 36.4s
11:	learn: 9.3876024	total: 888ms	remaining: 36.1s
12:	learn: 9.3283629	total: 960ms	remaining: 35.9s
13:	learn: 9.2729815	total: 1.03s	remaining: 35.8s
14:	learn: 9.2215550	total: 1.1s	remaining: 35.6s
15:	learn: 9.1720495	total: 1.17s	remaining: 35.4s
16:	learn: 9.1261197	total: 1.25s	remaining: 35.7s
17:	learn: 9.0846998	total: 1.32s	remaining: 35.5s
18:	learn: 9.0467161	total: 1.4s	remaining: 35.4s
19:	learn: 9.0098873	total: 1.47s	remaining: 35.3s
20:	learn: 8.9770925	total: 1.54s	remaining: 35.1s
21:	learn: 8.9430827	total: 1.6s	remaining: 34.9s
22:	learn: 8.9127567	total: 1.67s	remaining: 34.7s
23:	learn: 8.8824966	total: 1.76s	remaining: 35s
24:	learn: 8.8556015	total: 1.84s	remaining: 35s
25:	learn: 8.8276907	total: 1.91s	remaining: 34.8s
26:	learn: 8.8019978	total: 1.98s	remaining: 34.6s
27:	learn: 8.7775898	total: 2.05s	remaining: 34.5s
28:	learn: 8.7526904	total: 2.11s	remaining: 34.3s
29:	learn: 8.7274102	total: 2.18s	remaining: 34.2s
30:	learn: 8.7052335	total: 2.25s	remaining: 34.1s
31:	learn: 8.6834377	total: 2.32s	remaining: 34s
32:	learn: 8.6620272	total: 2.39s	remaining: 33.9s
33:	learn: 8.6406770	total: 2.46s	remaining: 33.7s
34:	learn: 8.6204627	total: 2.53s	remaining: 33.6s
35:	learn: 8.6012831	total: 2.59s	remaining: 33.4s
36:	learn: 8.5811474	total: 2.66s	remaining: 33.3s
37:	learn: 8.5619211	total: 2.73s	remaining: 33.1s
38:	learn: 8.5421218	total: 2.79s	remaining: 33s
39:	learn: 8.5244645	total: 2.86s	remaining: 32.9s
40:	learn: 8.5070358	total: 2.93s	remaining: 32.8s
41:	learn: 8.4883839	total: 3s	remaining: 32.7s
42:	learn: 8.4710049	total: 3.07s	remaining: 32.6s
43:	learn: 8.4541802	total: 3.13s	remaining: 32.4s
44:	learn: 8.4379834	total: 3.2s	remaining: 32.3s
45:	learn: 8.4201959	total: 3.27s	remaining: 32.2s
46:	learn: 8.4031573	total: 3.33s	remaining: 32.1s
47:	learn: 8.3867921	total: 3.4s	remaining: 32s
48:	learn: 8.3713410	total: 3.48s	remaining: 32s
49:	learn: 8.3560702	total: 3.55s	remaining: 31.9s
50:	learn: 8.3401656	total: 3.61s	remaining: 31.8s
51:	learn: 8.3254932	total: 3.68s	remaining: 31.7s
52:	learn: 8.3108707	total: 3.74s	remaining: 31.6s
53:	learn: 8.2953728	total: 3.81s	remaining: 31.4s
54:	learn: 8.2815148	total: 3.87s	remaining: 31.3s
55:	learn: 8.2680751	total: 3.94s	remaining: 31.2s
56:	learn: 8.2535505	total: 4.01s	remaining: 31.2s
57:	learn: 8.2403479	total: 4.08s	remaining: 31.1s
58:	learn: 8.2280183	total: 4.14s	remaining: 31s
59:	learn: 8.2150978	total: 4.2s	remaining: 30.8s
60:	learn: 8.2025021	total: 4.26s	remaining: 30.7s
61:	learn: 8.1884856	total: 4.34s	remaining: 30.6s
62:	learn: 8.1752019	total: 4.41s	remaining: 30.6s
63:	learn: 8.1627787	total: 4.47s	remaining: 30.5s
64:	learn: 8.1493682	total: 4.53s	remaining: 30.3s
65:	learn: 8.1361494	total: 4.6s	remaining: 30.2s
66:	learn: 8.1239898	total: 4.66s	remaining: 30.1s
67:	learn: 8.1114622	total: 4.72s	remaining: 30s
68:	learn: 8.0986177	total: 4.78s	remaining: 29.9s
69:	learn: 8.0864588	total: 4.84s	remaining: 29.8s
70:	learn: 8.0745112	total: 4.96s	remaining: 30s
71:	learn: 8.0626767	total: 5.03s	remaining: 29.9s
72:	learn: 8.0510250	total: 5.1s	remaining: 29.8s
73:	learn: 8.0390655	total: 5.16s	remaining: 29.7s
74:	learn: 8.0270361	total: 5.23s	remaining: 29.6s
75:	learn: 8.0150807	total: 5.3s	remaining: 29.6s
76:	learn: 8.0025796	total: 5.36s	remaining: 29.5s
77:	learn: 7.9911594	total: 5.43s	remaining: 29.4s
78:	learn: 7.9791129	total: 5.49s	remaining: 29.3s
79:	learn: 7.9674962	total: 5.56s	remaining: 29.2s
80:	learn: 7.9558915	total: 5.63s	remaining: 29.1s
81:	learn: 7.9451963	total: 5.69s	remaining: 29s
82:	learn: 7.9337724	total: 5.75s	remaining: 28.9s
83:	learn: 7.9232963	total: 5.82s	remaining: 28.8s
84:	learn: 7.9120100	total: 5.88s	remaining: 28.7s
85:	learn: 7.9015622	total: 5.95s	remaining: 28.6s
86:	learn: 7.8908398	total: 6.01s	remaining: 28.5s
