0:	test: 0.5657028	best: 0.5657028 (0)	total: 1.16s	remaining: 9m 40s
1:	test: 0.6004567	best: 0.6004567 (1)	total: 2.28s	remaining: 9m 27s
2:	test: 0.6003957	best: 0.6004567 (1)	total: 3.37s	remaining: 9m 18s
3:	test: 0.5996655	best: 0.6004567 (1)	total: 4.44s	remaining: 9m 11s
4:	test: 0.6006410	best: 0.6006410 (4)	total: 5.51s	remaining: 9m 5s
5:	test: 0.6014696	best: 0.6014696 (5)	total: 6.61s	remaining: 9m 4s
6:	test: 0.6015400	best: 0.6015400 (6)	total: 7.77s	remaining: 9m 7s
7:	test: 0.6015151	best: 0.6015400 (6)	total: 8.9s	remaining: 9m 7s
8:	test: 0.6015307	best: 0.6015400 (6)	total: 9.98s	remaining: 9m 4s
9:	test: 0.6086400	best: 0.6086400 (9)	total: 11.6s	remaining: 9m 27s
10:	test: 0.6086601	best: 0.6086601 (10)	total: 13.2s	remaining: 9m 44s
11:	test: 0.6101861	best: 0.6101861 (11)	total: 14.7s	remaining: 9m 59s
12:	test: 0.6102240	best: 0.6102240 (12)	total: 16.3s	remaining: 10m 11s
13:	test: 0.6102512	best: 0.6102512 (13)	total: 17.9s	remaining: 10m 22s
14:	test: 0.6102559	best: 0.6102559 (14)	total: 19.8s	remaining: 10m 38s
15:	test: 0.6102635	best: 0.6102635 (15)	total: 21.3s	remaining: 10m 45s
16:	test: 0.6488074	best: 0.6488074 (16)	total: 23.5s	remaining: 11m 7s
17:	test: 0.6493123	best: 0.6493123 (17)	total: 25.1s	remaining: 11m 10s
18:	test: 0.6492699	best: 0.6493123 (17)	total: 26.6s	remaining: 11m 14s
19:	test: 0.6492574	best: 0.6493123 (17)	total: 28.5s	remaining: 11m 23s
20:	test: 0.6492648	best: 0.6493123 (17)	total: 30.3s	remaining: 11m 32s
21:	test: 0.6492671	best: 0.6493123 (17)	total: 32.1s	remaining: 11m 37s
22:	test: 0.6492652	best: 0.6493123 (17)	total: 33.9s	remaining: 11m 42s
23:	test: 0.6492580	best: 0.6493123 (17)	total: 35.2s	remaining: 11m 37s
24:	test: 0.6492648	best: 0.6493123 (17)	total: 37s	remaining: 11m 42s
25:	test: 0.6492671	best: 0.6493123 (17)	total: 38.8s	remaining: 11m 47s
26:	test: 0.6492578	best: 0.6493123 (17)	total: 40.3s	remaining: 11m 46s
27:	test: 0.6492936	best: 0.6493123 (17)	total: 42.1s	remaining: 11m 49s
28:	test: 0.6494760	best: 0.6494760 (28)	total: 43.9s	remaining: 11m 52s
29:	test: 0.6519504	best: 0.6519504 (29)	total: 45.8s	remaining: 11m 57s
30:	test: 0.6519532	best: 0.6519532 (30)	total: 47.6s	remaining: 12m
31:	test: 0.6519442	best: 0.6519532 (30)	total: 49.2s	remaining: 11m 59s
32:	test: 0.6519509	best: 0.6519532 (30)	total: 51s	remaining: 12m 1s
33:	test: 0.6519429	best: 0.6519532 (30)	total: 52.5s	remaining: 11m 59s
34:	test: 0.6519433	best: 0.6519532 (30)	total: 54.6s	remaining: 12m 4s
35:	test: 0.6519403	best: 0.6519532 (30)	total: 56.6s	remaining: 12m 9s
36:	test: 0.6519425	best: 0.6519532 (30)	total: 58.2s	remaining: 12m 7s
37:	test: 0.6519404	best: 0.6519532 (30)	total: 59.5s	remaining: 12m 3s
38:	test: 0.6519387	best: 0.6519532 (30)	total: 1m	remaining: 11m 55s
39:	test: 0.6519566	best: 0.6519566 (39)	total: 1m 2s	remaining: 11m 56s
40:	test: 0.6515429	best: 0.6519566 (39)	total: 1m 4s	remaining: 12m 1s
41:	test: 0.6515573	best: 0.6519566 (39)	total: 1m 5s	remaining: 11m 56s
42:	test: 0.6515693	best: 0.6519566 (39)	total: 1m 7s	remaining: 11m 56s
43:	test: 0.6515782	best: 0.6519566 (39)	total: 1m 8s	remaining: 11m 50s
44:	test: 0.6515580	best: 0.6519566 (39)	total: 1m 9s	remaining: 11m 45s
45:	test: 0.6515770	best: 0.6519566 (39)	total: 1m 10s	remaining: 11m 39s
46:	test: 0.6515776	best: 0.6519566 (39)	total: 1m 12s	remaining: 11m 35s
47:	test: 0.6515749	best: 0.6519566 (39)	total: 1m 13s	remaining: 11m 29s
48:	test: 0.6515824	best: 0.6519566 (39)	total: 1m 14s	remaining: 11m 28s
49:	test: 0.6515844	best: 0.6519566 (39)	total: 1m 16s	remaining: 11m 27s
50:	test: 0.6515887	best: 0.6519566 (39)	total: 1m 17s	remaining: 11m 21s
51:	test: 0.6516005	best: 0.6519566 (39)	total: 1m 18s	remaining: 11m 16s
52:	test: 0.6515975	best: 0.6519566 (39)	total: 1m 19s	remaining: 11m 8s
53:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 19s	remaining: 11m
54:	test: 0.6515968	best: 0.6519566 (39)	total: 1m 20s	remaining: 10m 53s
55:	test: 0.6515990	best: 0.6519566 (39)	total: 1m 21s	remaining: 10m 44s
56:	test: 0.6515950	best: 0.6519566 (39)	total: 1m 22s	remaining: 10m 38s
57:	test: 0.6515945	best: 0.6519566 (39)	total: 1m 22s	remaining: 10m 30s
58:	test: 0.6515938	best: 0.6519566 (39)	total: 1m 23s	remaining: 10m 25s
59:	test: 0.6515963	best: 0.6519566 (39)	total: 1m 24s	remaining: 10m 18s
60:	test: 0.6515982	best: 0.6519566 (39)	total: 1m 25s	remaining: 10m 11s
61:	test: 0.6515981	best: 0.6519566 (39)	total: 1m 25s	remaining: 10m 6s
62:	test: 0.6515986	best: 0.6519566 (39)	total: 1m 26s	remaining: 9m 59s
63:	test: 0.6515983	best: 0.6519566 (39)	total: 1m 27s	remaining: 9m 54s
64:	test: 0.6515983	best: 0.6519566 (39)	total: 1m 27s	remaining: 9m 48s
65:	test: 0.6515974	best: 0.6519566 (39)	total: 1m 28s	remaining: 9m 43s
66:	test: 0.6515988	best: 0.6519566 (39)	total: 1m 29s	remaining: 9m 37s
67:	test: 0.6515969	best: 0.6519566 (39)	total: 1m 30s	remaining: 9m 33s
68:	test: 0.6515973	best: 0.6519566 (39)	total: 1m 31s	remaining: 9m 29s
69:	test: 0.6515968	best: 0.6519566 (39)	total: 1m 31s	remaining: 9m 23s
70:	test: 0.6515981	best: 0.6519566 (39)	total: 1m 32s	remaining: 9m 18s
71:	test: 0.6515971	best: 0.6519566 (39)	total: 1m 33s	remaining: 9m 14s
72:	test: 0.6515989	best: 0.6519566 (39)	total: 1m 34s	remaining: 9m 10s
73:	test: 0.6515991	best: 0.6519566 (39)	total: 1m 34s	remaining: 9m 6s
74:	test: 0.6515990	best: 0.6519566 (39)	total: 1m 35s	remaining: 9m 1s
75:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 36s	remaining: 8m 58s
76:	test: 0.6515979	best: 0.6519566 (39)	total: 1m 37s	remaining: 8m 53s
77:	test: 0.6515965	best: 0.6519566 (39)	total: 1m 37s	remaining: 8m 49s
78:	test: 0.6515953	best: 0.6519566 (39)	total: 1m 38s	remaining: 8m 44s
79:	test: 0.6515975	best: 0.6519566 (39)	total: 1m 39s	remaining: 8m 41s
80:	test: 0.6515969	best: 0.6519566 (39)	total: 1m 40s	remaining: 8m 38s
81:	test: 0.6515985	best: 0.6519566 (39)	total: 1m 40s	remaining: 8m 34s
82:	test: 0.6515973	best: 0.6519566 (39)	total: 1m 41s	remaining: 8m 29s
83:	test: 0.6515978	best: 0.6519566 (39)	total: 1m 42s	remaining: 8m 26s
84:	test: 0.6515977	best: 0.6519566 (39)	total: 1m 43s	remaining: 8m 24s
85:	test: 0.6515971	best: 0.6519566 (39)	total: 1m 44s	remaining: 8m 21s
86:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 44s	remaining: 8m 17s
87:	test: 0.6515990	best: 0.6519566 (39)	total: 1m 45s	remaining: 8m 14s
88:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 46s	remaining: 8m 10s
89:	test: 0.6515973	best: 0.6519566 (39)	total: 1m 47s	remaining: 8m 7s
90:	test: 0.6515984	best: 0.6519566 (39)	total: 1m 47s	remaining: 8m 3s
91:	test: 0.6515982	best: 0.6519566 (39)	total: 1m 48s	remaining: 8m 1s
92:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 49s	remaining: 7m 58s
93:	test: 0.6515992	best: 0.6519566 (39)	total: 1m 50s	remaining: 7m 55s
94:	test: 0.6515972	best: 0.6519566 (39)	total: 1m 51s	remaining: 7m 53s
95:	test: 0.6515976	best: 0.6519566 (39)	total: 1m 51s	remaining: 7m 50s
96:	test: 0.6515561	best: 0.6519566 (39)	total: 1m 52s	remaining: 7m 46s
97:	test: 0.6515568	best: 0.6519566 (39)	total: 1m 53s	remaining: 7m 44s
98:	test: 0.6515559	best: 0.6519566 (39)	total: 1m 54s	remaining: 7m 42s
99:	test: 0.6515555	best: 0.6519566 (39)	total: 1m 55s	remaining: 7m 40s
