0:	test: 0.7426760	best: 0.7426760 (0)	total: 18.5s	remaining: 2h 33m 27s
1:	test: 0.7519350	best: 0.7519350 (1)	total: 36.4s	remaining: 2h 30m 54s
2:	test: 0.7571109	best: 0.7571109 (2)	total: 54.4s	remaining: 2h 30m 17s
3:	test: 0.7598179	best: 0.7598179 (3)	total: 1m 11s	remaining: 2h 27m 9s
4:	test: 0.7624553	best: 0.7624553 (4)	total: 1m 29s	remaining: 2h 27m 44s
5:	test: 0.7638681	best: 0.7638681 (5)	total: 1m 47s	remaining: 2h 27m 10s
6:	test: 0.7651326	best: 0.7651326 (6)	total: 2m 5s	remaining: 2h 27m 24s
7:	test: 0.7659388	best: 0.7659388 (7)	total: 2m 22s	remaining: 2h 25m 51s
8:	test: 0.7670432	best: 0.7670432 (8)	total: 2m 41s	remaining: 2h 26m 55s
9:	test: 0.7682821	best: 0.7682821 (9)	total: 3m	remaining: 2h 27m 24s
10:	test: 0.7691765	best: 0.7691765 (10)	total: 3m 18s	remaining: 2h 27m 13s
11:	test: 0.7703007	best: 0.7703007 (11)	total: 3m 37s	remaining: 2h 27m 39s
12:	test: 0.7712584	best: 0.7712584 (12)	total: 3m 58s	remaining: 2h 28m 37s
13:	test: 0.7722876	best: 0.7722876 (13)	total: 4m 18s	remaining: 2h 29m 43s
14:	test: 0.7730794	best: 0.7730794 (14)	total: 4m 39s	remaining: 2h 30m 34s
15:	test: 0.7738752	best: 0.7738752 (15)	total: 5m	remaining: 2h 31m 31s
16:	test: 0.7747233	best: 0.7747233 (16)	total: 5m 22s	remaining: 2h 32m 30s
17:	test: 0.7752804	best: 0.7752804 (17)	total: 5m 41s	remaining: 2h 32m 36s
18:	test: 0.7759902	best: 0.7759902 (18)	total: 6m 2s	remaining: 2h 33m 5s
19:	test: 0.7766822	best: 0.7766822 (19)	total: 6m 26s	remaining: 2h 34m 30s
20:	test: 0.7772697	best: 0.7772697 (20)	total: 6m 47s	remaining: 2h 35m 1s
21:	test: 0.7779155	best: 0.7779155 (21)	total: 7m 10s	remaining: 2h 36m 1s
22:	test: 0.7784829	best: 0.7784829 (22)	total: 7m 34s	remaining: 2h 37m 11s
23:	test: 0.7789941	best: 0.7789941 (23)	total: 7m 57s	remaining: 2h 37m 53s
24:	test: 0.7795333	best: 0.7795333 (24)	total: 8m 21s	remaining: 2h 38m 41s
25:	test: 0.7799939	best: 0.7799939 (25)	total: 8m 44s	remaining: 2h 39m 15s
26:	test: 0.7804741	best: 0.7804741 (26)	total: 9m 6s	remaining: 2h 39m 41s
27:	test: 0.7810092	best: 0.7810092 (27)	total: 9m 31s	remaining: 2h 40m 32s
28:	test: 0.7814310	best: 0.7814310 (28)	total: 9m 53s	remaining: 2h 40m 35s
29:	test: 0.7818562	best: 0.7818562 (29)	total: 10m 16s	remaining: 2h 40m 54s
30:	test: 0.7822475	best: 0.7822475 (30)	total: 10m 41s	remaining: 2h 41m 44s
31:	test: 0.7826562	best: 0.7826562 (31)	total: 11m 4s	remaining: 2h 41m 59s
32:	test: 0.7830230	best: 0.7830230 (32)	total: 11m 28s	remaining: 2h 42m 18s
33:	test: 0.7832952	best: 0.7832952 (33)	total: 11m 50s	remaining: 2h 42m 12s
34:	test: 0.7837090	best: 0.7837090 (34)	total: 12m 14s	remaining: 2h 42m 36s
35:	test: 0.7840631	best: 0.7840631 (35)	total: 12m 38s	remaining: 2h 43m 1s
36:	test: 0.7843739	best: 0.7843739 (36)	total: 13m 4s	remaining: 2h 43m 41s
37:	test: 0.7846071	best: 0.7846071 (37)	total: 13m 27s	remaining: 2h 43m 41s
38:	test: 0.7849354	best: 0.7849354 (38)	total: 13m 53s	remaining: 2h 44m 11s
39:	test: 0.7851866	best: 0.7851866 (39)	total: 14m 18s	remaining: 2h 44m 28s
