0:	test: 0.7318147	best: 0.7318147 (0)	total: 4.42s	remaining: 36m 46s
1:	test: 0.7580375	best: 0.7580375 (1)	total: 8.71s	remaining: 36m 9s
2:	test: 0.7734397	best: 0.7734397 (2)	total: 12.8s	remaining: 35m 15s
3:	test: 0.7829939	best: 0.7829939 (3)	total: 16.9s	remaining: 34m 58s
4:	test: 0.7912387	best: 0.7912387 (4)	total: 21.2s	remaining: 35m
5:	test: 0.7969834	best: 0.7969834 (5)	total: 25.3s	remaining: 34m 44s
6:	test: 0.8062516	best: 0.8062516 (6)	total: 30.3s	remaining: 35m 34s
7:	test: 0.8134485	best: 0.8134485 (7)	total: 34.7s	remaining: 35m 31s
8:	test: 0.8186118	best: 0.8186118 (8)	total: 38.9s	remaining: 35m 23s
9:	test: 0.8250644	best: 0.8250644 (9)	total: 43.3s	remaining: 35m 19s
10:	test: 0.8295955	best: 0.8295955 (10)	total: 47.4s	remaining: 35m 8s
11:	test: 0.8339400	best: 0.8339400 (11)	total: 51.5s	remaining: 34m 53s
12:	test: 0.8374765	best: 0.8374765 (12)	total: 55.6s	remaining: 34m 41s
13:	test: 0.8410693	best: 0.8410693 (13)	total: 59.5s	remaining: 34m 26s
14:	test: 0.8443723	best: 0.8443723 (14)	total: 1m 3s	remaining: 34m 15s
15:	test: 0.8477951	best: 0.8477951 (15)	total: 1m 7s	remaining: 34m 4s
16:	test: 0.8508383	best: 0.8508383 (16)	total: 1m 11s	remaining: 34m 1s
17:	test: 0.8535608	best: 0.8535608 (17)	total: 1m 15s	remaining: 33m 52s
18:	test: 0.8562393	best: 0.8562393 (18)	total: 1m 19s	remaining: 33m 45s
19:	test: 0.8587653	best: 0.8587653 (19)	total: 1m 24s	remaining: 33m 38s
20:	test: 0.8614267	best: 0.8614267 (20)	total: 1m 28s	remaining: 33m 32s
21:	test: 0.8637780	best: 0.8637780 (21)	total: 1m 32s	remaining: 33m 22s
22:	test: 0.8659187	best: 0.8659187 (22)	total: 1m 36s	remaining: 33m 12s
23:	test: 0.8676900	best: 0.8676900 (23)	total: 1m 39s	remaining: 33m 1s
24:	test: 0.8697076	best: 0.8697076 (24)	total: 1m 43s	remaining: 32m 53s
25:	test: 0.8714697	best: 0.8714697 (25)	total: 1m 47s	remaining: 32m 45s
