0:	test: 0.9117965	best: 0.9117965 (0)	total: 6.8s	remaining: 56m 36s
1:	test: 0.9161584	best: 0.9161584 (1)	total: 12.2s	remaining: 50m 36s
2:	test: 0.9203122	best: 0.9203122 (2)	total: 17.9s	remaining: 49m 25s
3:	test: 0.9204006	best: 0.9204006 (3)	total: 24s	remaining: 49m 42s
4:	test: 0.9263118	best: 0.9263118 (4)	total: 29s	remaining: 47m 52s
5:	test: 0.9287268	best: 0.9287268 (5)	total: 34.5s	remaining: 47m 17s
6:	test: 0.9279743	best: 0.9287268 (5)	total: 39.9s	remaining: 46m 52s
7:	test: 0.9280666	best: 0.9287268 (5)	total: 45s	remaining: 46m 5s
8:	test: 0.9277265	best: 0.9287268 (5)	total: 50.2s	remaining: 45m 40s
9:	test: 0.9295836	best: 0.9295836 (9)	total: 55.1s	remaining: 44m 59s
10:	test: 0.9299772	best: 0.9299772 (10)	total: 1m	remaining: 44m 30s
11:	test: 0.9306374	best: 0.9306374 (11)	total: 1m 5s	remaining: 44m 37s
12:	test: 0.9308869	best: 0.9308869 (12)	total: 1m 11s	remaining: 44m 26s
13:	test: 0.9310651	best: 0.9310651 (13)	total: 1m 16s	remaining: 44m 18s
14:	test: 0.9312037	best: 0.9312037 (14)	total: 1m 22s	remaining: 44m 21s
15:	test: 0.9311981	best: 0.9312037 (14)	total: 1m 28s	remaining: 44m 26s
16:	test: 0.9313958	best: 0.9313958 (16)	total: 1m 33s	remaining: 44m 6s
17:	test: 0.9313093	best: 0.9313958 (16)	total: 1m 39s	remaining: 44m 15s
18:	test: 0.9311990	best: 0.9313958 (16)	total: 1m 45s	remaining: 44m 27s
19:	test: 0.9310044	best: 0.9313958 (16)	total: 1m 51s	remaining: 44m 31s
20:	test: 0.9311954	best: 0.9313958 (16)	total: 1m 56s	remaining: 44m 24s
21:	test: 0.9309776	best: 0.9313958 (16)	total: 2m 2s	remaining: 44m 29s
22:	test: 0.9309871	best: 0.9313958 (16)	total: 2m 8s	remaining: 44m 27s
23:	test: 0.9309766	best: 0.9313958 (16)	total: 2m 15s	remaining: 44m 39s
24:	test: 0.9309901	best: 0.9313958 (16)	total: 2m 21s	remaining: 44m 52s
25:	test: 0.9307302	best: 0.9313958 (16)	total: 2m 27s	remaining: 44m 52s
26:	test: 0.9307083	best: 0.9313958 (16)	total: 2m 33s	remaining: 44m 41s
27:	test: 0.9307240	best: 0.9313958 (16)	total: 2m 38s	remaining: 44m 30s
28:	test: 0.9307131	best: 0.9313958 (16)	total: 2m 43s	remaining: 44m 20s
29:	test: 0.9307672	best: 0.9313958 (16)	total: 2m 49s	remaining: 44m 18s
30:	test: 0.9308623	best: 0.9313958 (16)	total: 2m 55s	remaining: 44m 18s
31:	test: 0.9311111	best: 0.9313958 (16)	total: 3m 2s	remaining: 44m 22s
32:	test: 0.9311088	best: 0.9313958 (16)	total: 3m 8s	remaining: 44m 28s
33:	test: 0.9312228	best: 0.9313958 (16)	total: 3m 14s	remaining: 44m 30s
34:	test: 0.9312135	best: 0.9313958 (16)	total: 3m 20s	remaining: 44m 28s
35:	test: 0.9312035	best: 0.9313958 (16)	total: 3m 26s	remaining: 44m 22s
36:	test: 0.9311960	best: 0.9313958 (16)	total: 3m 32s	remaining: 44m 19s
37:	test: 0.9317974	best: 0.9317974 (37)	total: 3m 38s	remaining: 44m 21s
38:	test: 0.9318086	best: 0.9318086 (38)	total: 3m 45s	remaining: 44m 24s
39:	test: 0.9288523	best: 0.9318086 (38)	total: 3m 52s	remaining: 44m 30s
40:	test: 0.9287715	best: 0.9318086 (38)	total: 3m 58s	remaining: 44m 27s
41:	test: 0.9289019	best: 0.9318086 (38)	total: 4m 5s	remaining: 44m 31s
42:	test: 0.9303434	best: 0.9318086 (38)	total: 4m 10s	remaining: 44m 27s
43:	test: 0.9303380	best: 0.9318086 (38)	total: 4m 16s	remaining: 44m 19s
44:	test: 0.9303457	best: 0.9318086 (38)	total: 4m 22s	remaining: 44m 11s
45:	test: 0.9296573	best: 0.9318086 (38)	total: 4m 28s	remaining: 44m 6s
46:	test: 0.9296532	best: 0.9318086 (38)	total: 4m 33s	remaining: 43m 59s
