0:	test: 0.3392543	best: 0.3392543 (0)	total: 3.25s	remaining: 27m 4s
1:	test: 0.3886654	best: 0.3886654 (1)	total: 6.23s	remaining: 25m 51s
2:	test: 0.4033533	best: 0.4033533 (2)	total: 9.18s	remaining: 25m 21s
3:	test: 0.4196519	best: 0.4196519 (3)	total: 12.1s	remaining: 24m 57s
4:	test: 0.4250164	best: 0.4250164 (4)	total: 14.9s	remaining: 24m 36s
5:	test: 0.4368220	best: 0.4368220 (5)	total: 17.7s	remaining: 24m 18s
6:	test: 0.4468200	best: 0.4468200 (6)	total: 20.7s	remaining: 24m 14s
7:	test: 0.4509040	best: 0.4509040 (7)	total: 23.5s	remaining: 24m 5s
8:	test: 0.4531393	best: 0.4531393 (8)	total: 26.3s	remaining: 23m 52s
9:	test: 0.4559835	best: 0.4559835 (9)	total: 29.1s	remaining: 23m 44s
10:	test: 0.4609342	best: 0.4609342 (10)	total: 32s	remaining: 23m 41s
11:	test: 0.4635336	best: 0.4635336 (11)	total: 34.8s	remaining: 23m 33s
12:	test: 0.4673698	best: 0.4673698 (12)	total: 37.6s	remaining: 23m 27s
13:	test: 0.4715797	best: 0.4715797 (13)	total: 40.2s	remaining: 23m 17s
14:	test: 0.4734071	best: 0.4734071 (14)	total: 43.1s	remaining: 23m 14s
15:	test: 0.4759190	best: 0.4759190 (15)	total: 45.9s	remaining: 23m 8s
16:	test: 0.4776719	best: 0.4776719 (16)	total: 48.7s	remaining: 23m 2s
17:	test: 0.4790347	best: 0.4790347 (17)	total: 51.4s	remaining: 22m 57s
18:	test: 0.4803837	best: 0.4803837 (18)	total: 54.1s	remaining: 22m 48s
19:	test: 0.4821872	best: 0.4821872 (19)	total: 56.7s	remaining: 22m 41s
20:	test: 0.4839557	best: 0.4839557 (20)	total: 59.4s	remaining: 22m 33s
21:	test: 0.4847597	best: 0.4847597 (21)	total: 1m 2s	remaining: 22m 27s
22:	test: 0.4857617	best: 0.4857617 (22)	total: 1m 4s	remaining: 22m 21s
23:	test: 0.4865583	best: 0.4865583 (23)	total: 1m 7s	remaining: 22m 15s
24:	test: 0.4871558	best: 0.4871558 (24)	total: 1m 9s	remaining: 22m 9s
25:	test: 0.4879781	best: 0.4879781 (25)	total: 1m 12s	remaining: 22m 1s
26:	test: 0.4884359	best: 0.4884359 (26)	total: 1m 15s	remaining: 21m 56s
27:	test: 0.4895501	best: 0.4895501 (27)	total: 1m 17s	remaining: 21m 52s
28:	test: 0.4902282	best: 0.4902282 (28)	total: 1m 20s	remaining: 21m 47s
29:	test: 0.4907739	best: 0.4907739 (29)	total: 1m 23s	remaining: 21m 42s
30:	test: 0.4919483	best: 0.4919483 (30)	total: 1m 25s	remaining: 21m 36s
31:	test: 0.4927754	best: 0.4927754 (31)	total: 1m 28s	remaining: 21m 32s
32:	test: 0.4937691	best: 0.4937691 (32)	total: 1m 31s	remaining: 21m 29s
33:	test: 0.4941299	best: 0.4941299 (33)	total: 1m 33s	remaining: 21m 25s
34:	test: 0.4949873	best: 0.4949873 (34)	total: 1m 36s	remaining: 21m 22s
35:	test: 0.4954258	best: 0.4954258 (35)	total: 1m 39s	remaining: 21m 19s
36:	test: 0.4959912	best: 0.4959912 (36)	total: 1m 41s	remaining: 21m 15s
37:	test: 0.4963673	best: 0.4963673 (37)	total: 1m 44s	remaining: 21m 12s
38:	test: 0.4969970	best: 0.4969970 (38)	total: 1m 47s	remaining: 21m 4s
39:	test: 0.4974174	best: 0.4974174 (39)	total: 1m 49s	remaining: 21m
40:	test: 0.4980921	best: 0.4980921 (40)	total: 1m 52s	remaining: 20m 56s
41:	test: 0.4981788	best: 0.4981788 (41)	total: 1m 54s	remaining: 20m 48s
42:	test: 0.4983822	best: 0.4983822 (42)	total: 1m 57s	remaining: 20m 45s
43:	test: 0.4985813	best: 0.4985813 (43)	total: 1m 59s	remaining: 20m 42s
44:	test: 0.4988578	best: 0.4988578 (44)	total: 2m 2s	remaining: 20m 38s
45:	test: 0.4992918	best: 0.4992918 (45)	total: 2m 5s	remaining: 20m 34s
46:	test: 0.4996363	best: 0.4996363 (46)	total: 2m 7s	remaining: 20m 32s
47:	test: 0.4999066	best: 0.4999066 (47)	total: 2m 10s	remaining: 20m 26s
48:	test: 0.5002241	best: 0.5002241 (48)	total: 2m 12s	remaining: 20m 22s
49:	test: 0.5005064	best: 0.5005064 (49)	total: 2m 15s	remaining: 20m 17s
50:	test: 0.5010038	best: 0.5010038 (50)	total: 2m 17s	remaining: 20m 12s
51:	test: 0.5011962	best: 0.5011962 (51)	total: 2m 20s	remaining: 20m 9s
52:	test: 0.5015868	best: 0.5015868 (52)	total: 2m 22s	remaining: 20m 5s
53:	test: 0.5017402	best: 0.5017402 (53)	total: 2m 25s	remaining: 20m 1s
54:	test: 0.5021590	best: 0.5021590 (54)	total: 2m 28s	remaining: 19m 57s
55:	test: 0.5023761	best: 0.5023761 (55)	total: 2m 30s	remaining: 19m 53s
56:	test: 0.5027013	best: 0.5027013 (56)	total: 2m 33s	remaining: 19m 49s
57:	test: 0.5027980	best: 0.5027980 (57)	total: 2m 35s	remaining: 19m 44s
58:	test: 0.5030015	best: 0.5030015 (58)	total: 2m 38s	remaining: 19m 42s
59:	test: 0.5034509	best: 0.5034509 (59)	total: 2m 40s	remaining: 19m 39s
60:	test: 0.5038278	best: 0.5038278 (60)	total: 2m 43s	remaining: 19m 35s
61:	test: 0.5041376	best: 0.5041376 (61)	total: 2m 45s	remaining: 19m 31s
62:	test: 0.5041482	best: 0.5041482 (62)	total: 2m 48s	remaining: 19m 27s
63:	test: 0.5046494	best: 0.5046494 (63)	total: 2m 50s	remaining: 19m 24s
64:	test: 0.5050960	best: 0.5050960 (64)	total: 2m 53s	remaining: 19m 21s
65:	test: 0.5055184	best: 0.5055184 (65)	total: 2m 56s	remaining: 19m 18s
66:	test: 0.5056412	best: 0.5056412 (66)	total: 2m 58s	remaining: 19m 14s
67:	test: 0.5058344	best: 0.5058344 (67)	total: 3m 1s	remaining: 19m 12s
68:	test: 0.5060052	best: 0.5060052 (68)	total: 3m 4s	remaining: 19m 10s
69:	test: 0.5058797	best: 0.5060052 (68)	total: 3m 6s	remaining: 19m 8s
70:	test: 0.5060866	best: 0.5060866 (70)	total: 3m 9s	remaining: 19m 6s
71:	test: 0.5059357	best: 0.5060866 (70)	total: 3m 12s	remaining: 19m 2s
72:	test: 0.5062954	best: 0.5062954 (72)	total: 3m 14s	remaining: 18m 58s
73:	test: 0.5064750	best: 0.5064750 (73)	total: 3m 16s	remaining: 18m 53s
74:	test: 0.5069133	best: 0.5069133 (74)	total: 3m 19s	remaining: 18m 51s
75:	test: 0.5072368	best: 0.5072368 (75)	total: 3m 22s	remaining: 18m 49s
76:	test: 0.5075239	best: 0.5075239 (76)	total: 3m 25s	remaining: 18m 46s
77:	test: 0.5074385	best: 0.5075239 (76)	total: 3m 27s	remaining: 18m 44s
78:	test: 0.5077440	best: 0.5077440 (78)	total: 3m 30s	remaining: 18m 42s
79:	test: 0.5078524	best: 0.5078524 (79)	total: 3m 33s	remaining: 18m 39s
80:	test: 0.5077680	best: 0.5078524 (79)	total: 3m 35s	remaining: 18m 35s
81:	test: 0.5081103	best: 0.5081103 (81)	total: 3m 38s	remaining: 18m 33s
82:	test: 0.5080628	best: 0.5081103 (81)	total: 3m 40s	remaining: 18m 30s
83:	test: 0.5079773	best: 0.5081103 (81)	total: 3m 43s	remaining: 18m 26s
84:	test: 0.5080576	best: 0.5081103 (81)	total: 3m 45s	remaining: 18m 21s
85:	test: 0.5082736	best: 0.5082736 (85)	total: 3m 48s	remaining: 18m 17s
86:	test: 0.5082096	best: 0.5082736 (85)	total: 3m 50s	remaining: 18m 16s
87:	test: 0.5085782	best: 0.5085782 (87)	total: 3m 53s	remaining: 18m 13s
88:	test: 0.5087178	best: 0.5087178 (88)	total: 3m 56s	remaining: 18m 10s
89:	test: 0.5087093	best: 0.5087178 (88)	total: 3m 59s	remaining: 18m 9s
90:	test: 0.5089501	best: 0.5089501 (90)	total: 4m 1s	remaining: 18m 5s
91:	test: 0.5091166	best: 0.5091166 (91)	total: 4m 3s	remaining: 18m 1s
92:	test: 0.5093378	best: 0.5093378 (92)	total: 4m 6s	remaining: 17m 58s
93:	test: 0.5094488	best: 0.5094488 (93)	total: 4m 9s	remaining: 17m 57s
94:	test: 0.5094478	best: 0.5094488 (93)	total: 4m 12s	remaining: 17m 55s
95:	test: 0.5095503	best: 0.5095503 (95)	total: 4m 14s	remaining: 17m 51s
96:	test: 0.5096581	best: 0.5096581 (96)	total: 4m 17s	remaining: 17m 49s
97:	test: 0.5097903	best: 0.5097903 (97)	total: 4m 19s	remaining: 17m 45s
98:	test: 0.5098768	best: 0.5098768 (98)	total: 4m 22s	remaining: 17m 43s
99:	test: 0.5098047	best: 0.5098768 (98)	total: 4m 25s	remaining: 17m 41s
100:	test: 0.5100199	best: 0.5100199 (100)	total: 4m 28s	remaining: 17m 39s
101:	test: 0.5101747	best: 0.5101747 (101)	total: 4m 30s	remaining: 17m 35s
102:	test: 0.5101342	best: 0.5101747 (101)	total: 4m 33s	remaining: 17m 32s
103:	test: 0.5100297	best: 0.5101747 (101)	total: 4m 35s	remaining: 17m 30s
104:	test: 0.5099650	best: 0.5101747 (101)	total: 4m 38s	remaining: 17m 26s
105:	test: 0.5101678	best: 0.5101747 (101)	total: 4m 40s	remaining: 17m 23s
106:	test: 0.5101480	best: 0.5101747 (101)	total: 4m 43s	remaining: 17m 21s
107:	test: 0.5103391	best: 0.5103391 (107)	total: 4m 46s	remaining: 17m 20s
108:	test: 0.5104853	best: 0.5104853 (108)	total: 4m 49s	remaining: 17m 18s
109:	test: 0.5106857	best: 0.5106857 (109)	total: 4m 52s	remaining: 17m 18s
110:	test: 0.5108003	best: 0.5108003 (110)	total: 4m 55s	remaining: 17m 14s
111:	test: 0.5109215	best: 0.5109215 (111)	total: 4m 57s	remaining: 17m 11s
112:	test: 0.5109274	best: 0.5109274 (112)	total: 5m	remaining: 17m 9s
113:	test: 0.5110884	best: 0.5110884 (113)	total: 5m 3s	remaining: 17m 6s
114:	test: 0.5113254	best: 0.5113254 (114)	total: 5m 5s	remaining: 17m 3s
115:	test: 0.5113598	best: 0.5113598 (115)	total: 5m 8s	remaining: 17m 1s
116:	test: 0.5118043	best: 0.5118043 (116)	total: 5m 11s	remaining: 16m 58s
117:	test: 0.5116027	best: 0.5118043 (116)	total: 5m 13s	remaining: 16m 55s
