0:	test: 0.6903587	best: 0.6903587 (0)	total: 1.67s	remaining: 13m 52s
1:	test: 0.7260283	best: 0.7260283 (1)	total: 3.23s	remaining: 13m 23s
2:	test: 0.7352501	best: 0.7352501 (2)	total: 5.08s	remaining: 14m 1s
3:	test: 0.7464655	best: 0.7464655 (3)	total: 6.67s	remaining: 13m 47s
4:	test: 0.7508616	best: 0.7508616 (4)	total: 8.41s	remaining: 13m 53s
5:	test: 0.7551316	best: 0.7551316 (5)	total: 10.2s	remaining: 13m 56s
6:	test: 0.7580113	best: 0.7580113 (6)	total: 11.8s	remaining: 13m 48s
7:	test: 0.7602648	best: 0.7602648 (7)	total: 13.3s	remaining: 13m 38s
8:	test: 0.7619735	best: 0.7619735 (8)	total: 14.9s	remaining: 13m 35s
9:	test: 0.7632988	best: 0.7632988 (9)	total: 16.5s	remaining: 13m 28s
10:	test: 0.7633843	best: 0.7633843 (10)	total: 18.1s	remaining: 13m 24s
11:	test: 0.7647755	best: 0.7647755 (11)	total: 20s	remaining: 13m 31s
12:	test: 0.7655458	best: 0.7655458 (12)	total: 21.5s	remaining: 13m 26s
13:	test: 0.7658574	best: 0.7658574 (13)	total: 23.1s	remaining: 13m 21s
14:	test: 0.7663218	best: 0.7663218 (14)	total: 24.7s	remaining: 13m 17s
15:	test: 0.7675586	best: 0.7675586 (15)	total: 26.3s	remaining: 13m 15s
16:	test: 0.7683052	best: 0.7683052 (16)	total: 27.9s	remaining: 13m 12s
17:	test: 0.7689681	best: 0.7689681 (17)	total: 29.6s	remaining: 13m 11s
18:	test: 0.7698034	best: 0.7698034 (18)	total: 31.1s	remaining: 13m 7s
19:	test: 0.7700490	best: 0.7700490 (19)	total: 32.6s	remaining: 13m 1s
20:	test: 0.7704777	best: 0.7704777 (20)	total: 34.2s	remaining: 13m
21:	test: 0.7711566	best: 0.7711566 (21)	total: 35.9s	remaining: 13m
22:	test: 0.7712093	best: 0.7712093 (22)	total: 37.7s	remaining: 13m 1s
23:	test: 0.7719344	best: 0.7719344 (23)	total: 39.2s	remaining: 12m 57s
24:	test: 0.7722070	best: 0.7722070 (24)	total: 40.8s	remaining: 12m 54s
25:	test: 0.7724487	best: 0.7724487 (25)	total: 42.2s	remaining: 12m 49s
26:	test: 0.7732179	best: 0.7732179 (26)	total: 43.9s	remaining: 12m 49s
27:	test: 0.7733565	best: 0.7733565 (27)	total: 45.4s	remaining: 12m 45s
28:	test: 0.7741737	best: 0.7741737 (28)	total: 46.9s	remaining: 12m 42s
29:	test: 0.7745800	best: 0.7745800 (29)	total: 48.6s	remaining: 12m 40s
30:	test: 0.7749398	best: 0.7749398 (30)	total: 50.3s	remaining: 12m 40s
31:	test: 0.7753022	best: 0.7753022 (31)	total: 51.7s	remaining: 12m 36s
32:	test: 0.7756353	best: 0.7756353 (32)	total: 53.2s	remaining: 12m 32s
33:	test: 0.7754918	best: 0.7756353 (32)	total: 54.8s	remaining: 12m 30s
34:	test: 0.7755275	best: 0.7756353 (32)	total: 56.3s	remaining: 12m 28s
35:	test: 0.7758771	best: 0.7758771 (35)	total: 57.9s	remaining: 12m 25s
36:	test: 0.7759229	best: 0.7759229 (36)	total: 59.3s	remaining: 12m 22s
37:	test: 0.7762405	best: 0.7762405 (37)	total: 1m	remaining: 12m 18s
38:	test: 0.7765741	best: 0.7765741 (38)	total: 1m 2s	remaining: 12m 15s
39:	test: 0.7767633	best: 0.7767633 (39)	total: 1m 3s	remaining: 12m 13s
40:	test: 0.7769942	best: 0.7769942 (40)	total: 1m 5s	remaining: 12m 10s
41:	test: 0.7774165	best: 0.7774165 (41)	total: 1m 6s	remaining: 12m 10s
42:	test: 0.7775276	best: 0.7775276 (42)	total: 1m 8s	remaining: 12m 9s
43:	test: 0.7776719	best: 0.7776719 (43)	total: 1m 10s	remaining: 12m 9s
44:	test: 0.7780474	best: 0.7780474 (44)	total: 1m 12s	remaining: 12m 8s
45:	test: 0.7782763	best: 0.7782763 (45)	total: 1m 13s	remaining: 12m 5s
46:	test: 0.7783334	best: 0.7783334 (46)	total: 1m 14s	remaining: 12m 1s
47:	test: 0.7786082	best: 0.7786082 (47)	total: 1m 16s	remaining: 11m 59s
48:	test: 0.7789501	best: 0.7789501 (48)	total: 1m 17s	remaining: 11m 56s
