0:	learn: 10.7211514	test: 10.6522270	best: 10.6522270 (0)	total: 286ms	remaining: 2m 22s
1:	learn: 10.5335639	test: 10.4838858	best: 10.4838858 (1)	total: 583ms	remaining: 2m 25s
2:	learn: 10.3716963	test: 10.3372215	best: 10.3372215 (2)	total: 827ms	remaining: 2m 17s
3:	learn: 10.2273945	test: 10.2098184	best: 10.2098184 (3)	total: 1.1s	remaining: 2m 16s
4:	learn: 10.1051071	test: 10.1031259	best: 10.1031259 (4)	total: 1.36s	remaining: 2m 14s
5:	learn: 9.9930178	test: 10.0075786	best: 10.0075786 (5)	total: 1.64s	remaining: 2m 14s
6:	learn: 9.8939485	test: 9.9266813	best: 9.9266813 (6)	total: 1.9s	remaining: 2m 13s
7:	learn: 9.8058920	test: 9.8548728	best: 9.8548728 (7)	total: 2.16s	remaining: 2m 13s
8:	learn: 9.7243030	test: 9.7892562	best: 9.7892562 (8)	total: 2.44s	remaining: 2m 13s
9:	learn: 9.6504523	test: 9.7304416	best: 9.7304416 (9)	total: 2.72s	remaining: 2m 13s
10:	learn: 9.5896141	test: 9.6842075	best: 9.6842075 (10)	total: 2.98s	remaining: 2m 12s
11:	learn: 9.5304545	test: 9.6388367	best: 9.6388367 (11)	total: 3.25s	remaining: 2m 11s
12:	learn: 9.4733381	test: 9.5947558	best: 9.5947558 (12)	total: 3.51s	remaining: 2m 11s
13:	learn: 9.4216687	test: 9.5567050	best: 9.5567050 (13)	total: 3.8s	remaining: 2m 12s
14:	learn: 9.3766096	test: 9.5243407	best: 9.5243407 (14)	total: 4.1s	remaining: 2m 12s
15:	learn: 9.3345630	test: 9.4937915	best: 9.4937915 (15)	total: 4.42s	remaining: 2m 13s
16:	learn: 9.2924313	test: 9.4643811	best: 9.4643811 (16)	total: 4.71s	remaining: 2m 13s
17:	learn: 9.2533614	test: 9.4374203	best: 9.4374203 (17)	total: 5.01s	remaining: 2m 14s
18:	learn: 9.2192575	test: 9.4164387	best: 9.4164387 (18)	total: 5.29s	remaining: 2m 13s
19:	learn: 9.1836036	test: 9.3930847	best: 9.3930847 (19)	total: 5.58s	remaining: 2m 13s
20:	learn: 9.1547825	test: 9.3755780	best: 9.3755780 (20)	total: 5.86s	remaining: 2m 13s
21:	learn: 9.1244497	test: 9.3575814	best: 9.3575814 (21)	total: 6.13s	remaining: 2m 13s
22:	learn: 9.0974065	test: 9.3428373	best: 9.3428373 (22)	total: 6.42s	remaining: 2m 13s
23:	learn: 9.0707424	test: 9.3266785	best: 9.3266785 (23)	total: 6.68s	remaining: 2m 12s
24:	learn: 9.0441590	test: 9.3115693	best: 9.3115693 (24)	total: 6.96s	remaining: 2m 12s
25:	learn: 9.0212341	test: 9.2991543	best: 9.2991543 (25)	total: 7.21s	remaining: 2m 11s
26:	learn: 8.9948510	test: 9.2861566	best: 9.2861566 (26)	total: 7.47s	remaining: 2m 10s
27:	learn: 8.9722494	test: 9.2746734	best: 9.2746734 (27)	total: 7.75s	remaining: 2m 10s
28:	learn: 8.9488187	test: 9.2632418	best: 9.2632418 (28)	total: 8.02s	remaining: 2m 10s
29:	learn: 8.9270369	test: 9.2530860	best: 9.2530860 (29)	total: 8.29s	remaining: 2m 9s
30:	learn: 8.9071105	test: 9.2434146	best: 9.2434146 (30)	total: 8.58s	remaining: 2m 9s
31:	learn: 8.8830433	test: 9.2324458	best: 9.2324458 (31)	total: 8.85s	remaining: 2m 9s
32:	learn: 8.8638468	test: 9.2247655	best: 9.2247655 (32)	total: 9.1s	remaining: 2m 8s
33:	learn: 8.8450397	test: 9.2176095	best: 9.2176095 (33)	total: 9.4s	remaining: 2m 8s
34:	learn: 8.8263625	test: 9.2104386	best: 9.2104386 (34)	total: 9.66s	remaining: 2m 8s
35:	learn: 8.8086855	test: 9.2038741	best: 9.2038741 (35)	total: 9.92s	remaining: 2m 7s
36:	learn: 8.7913920	test: 9.1975586	best: 9.1975586 (36)	total: 10.2s	remaining: 2m 7s
37:	learn: 8.7747952	test: 9.1906232	best: 9.1906232 (37)	total: 10.5s	remaining: 2m 7s
38:	learn: 8.7574490	test: 9.1841640	best: 9.1841640 (38)	total: 10.8s	remaining: 2m 7s
39:	learn: 8.7397795	test: 9.1792780	best: 9.1792780 (39)	total: 11s	remaining: 2m 6s
40:	learn: 8.7241761	test: 9.1737926	best: 9.1737926 (40)	total: 11.3s	remaining: 2m 6s
41:	learn: 8.7073832	test: 9.1699037	best: 9.1699037 (41)	total: 11.6s	remaining: 2m 6s
42:	learn: 8.6930942	test: 9.1654572	best: 9.1654572 (42)	total: 11.9s	remaining: 2m 6s
43:	learn: 8.6774952	test: 9.1590172	best: 9.1590172 (43)	total: 12.2s	remaining: 2m 6s
44:	learn: 8.6629502	test: 9.1542605	best: 9.1542605 (44)	total: 12.4s	remaining: 2m 5s
45:	learn: 8.6480475	test: 9.1493549	best: 9.1493549 (45)	total: 12.7s	remaining: 2m 5s
46:	learn: 8.6320510	test: 9.1427322	best: 9.1427322 (46)	total: 13s	remaining: 2m 5s
47:	learn: 8.6150305	test: 9.1369272	best: 9.1369272 (47)	total: 13.3s	remaining: 2m 5s
48:	learn: 8.6014600	test: 9.1314201	best: 9.1314201 (48)	total: 13.6s	remaining: 2m 4s
49:	learn: 8.5892475	test: 9.1291370	best: 9.1291370 (49)	total: 13.8s	remaining: 2m 4s
50:	learn: 8.5756577	test: 9.1254018	best: 9.1254018 (50)	total: 14.1s	remaining: 2m 3s
51:	learn: 8.5621687	test: 9.1211484	best: 9.1211484 (51)	total: 14.3s	remaining: 2m 3s
52:	learn: 8.5507487	test: 9.1188480	best: 9.1188480 (52)	total: 14.6s	remaining: 2m 3s
53:	learn: 8.5395436	test: 9.1148248	best: 9.1148248 (53)	total: 14.9s	remaining: 2m 2s
54:	learn: 8.5279490	test: 9.1114447	best: 9.1114447 (54)	total: 15.2s	remaining: 2m 2s
55:	learn: 8.5140735	test: 9.1071099	best: 9.1071099 (55)	total: 15.4s	remaining: 2m 2s
56:	learn: 8.5020112	test: 9.1040687	best: 9.1040687 (56)	total: 15.7s	remaining: 2m 1s
57:	learn: 8.4910765	test: 9.1008023	best: 9.1008023 (57)	total: 16s	remaining: 2m 1s
58:	learn: 8.4779950	test: 9.0979395	best: 9.0979395 (58)	total: 16.2s	remaining: 2m 1s
59:	learn: 8.4659846	test: 9.0953170	best: 9.0953170 (59)	total: 16.5s	remaining: 2m
60:	learn: 8.4560063	test: 9.0932672	best: 9.0932672 (60)	total: 16.7s	remaining: 2m
61:	learn: 8.4442143	test: 9.0912397	best: 9.0912397 (61)	total: 17s	remaining: 1m 59s
62:	learn: 8.4335787	test: 9.0880195	best: 9.0880195 (62)	total: 17.2s	remaining: 1m 59s
63:	learn: 8.4224159	test: 9.0857043	best: 9.0857043 (63)	total: 17.5s	remaining: 1m 59s
