0:	learn: 0.6548536	total: 1.03s	remaining: 8m 36s
1:	learn: 0.6188468	total: 2.02s	remaining: 8m 23s
2:	learn: 0.5848170	total: 3.01s	remaining: 8m 18s
3:	learn: 0.5527185	total: 3.99s	remaining: 8m 15s
4:	learn: 0.5224241	total: 4.98s	remaining: 8m 13s
5:	learn: 0.4939306	total: 5.97s	remaining: 8m 11s
6:	learn: 0.4669963	total: 6.95s	remaining: 8m 9s
7:	learn: 0.4416607	total: 7.94s	remaining: 8m 8s
8:	learn: 0.4178115	total: 8.94s	remaining: 8m 7s
9:	learn: 0.3951260	total: 10.5s	remaining: 8m 33s
10:	learn: 0.3741274	total: 11.9s	remaining: 8m 50s
11:	learn: 0.3543542	total: 13.4s	remaining: 9m 4s
12:	learn: 0.3354036	total: 14.8s	remaining: 9m 15s
13:	learn: 0.3177163	total: 16.3s	remaining: 9m 26s
14:	learn: 0.3013421	total: 18.2s	remaining: 9m 49s
15:	learn: 0.2860118	total: 20.1s	remaining: 10m 9s
16:	learn: 0.2715665	total: 22.1s	remaining: 10m 28s
17:	learn: 0.2580087	total: 23.8s	remaining: 10m 37s
18:	learn: 0.2452864	total: 25.8s	remaining: 10m 52s
19:	learn: 0.2334950	total: 27.2s	remaining: 10m 53s
20:	learn: 0.2222502	total: 29.1s	remaining: 11m 4s
21:	learn: 0.2117652	total: 31.3s	remaining: 11m 19s
22:	learn: 0.2017272	total: 33.4s	remaining: 11m 33s
23:	learn: 0.1923673	total: 35.2s	remaining: 11m 38s
24:	learn: 0.1837314	total: 37.6s	remaining: 11m 54s
25:	learn: 0.1756692	total: 39s	remaining: 11m 51s
26:	learn: 0.1679463	total: 40.5s	remaining: 11m 49s
27:	learn: 0.1607048	total: 42s	remaining: 11m 47s
28:	learn: 0.1538852	total: 43.7s	remaining: 11m 49s
29:	learn: 0.1474568	total: 45.1s	remaining: 11m 46s
30:	learn: 0.1415477	total: 46.1s	remaining: 11m 36s
31:	learn: 0.1358742	total: 47.5s	remaining: 11m 34s
32:	learn: 0.1304994	total: 48.5s	remaining: 11m 26s
33:	learn: 0.1254715	total: 49.9s	remaining: 11m 24s
34:	learn: 0.1207118	total: 50.9s	remaining: 11m 16s
35:	learn: 0.1162469	total: 52.6s	remaining: 11m 17s
36:	learn: 0.1120279	total: 53.8s	remaining: 11m 13s
37:	learn: 0.1080566	total: 55.5s	remaining: 11m 14s
38:	learn: 0.1042736	total: 56.5s	remaining: 11m 7s
39:	learn: 0.1007225	total: 57.9s	remaining: 11m 6s
40:	learn: 0.0973716	total: 59s	remaining: 11m
41:	learn: 0.0942121	total: 1m	remaining: 10m 57s
42:	learn: 0.0912356	total: 1m 1s	remaining: 10m 51s
43:	learn: 0.0883965	total: 1m 2s	remaining: 10m 47s
44:	learn: 0.0857317	total: 1m 3s	remaining: 10m 41s
45:	learn: 0.0832245	total: 1m 4s	remaining: 10m 36s
46:	learn: 0.0808501	total: 1m 5s	remaining: 10m 28s
47:	learn: 0.0785833	total: 1m 6s	remaining: 10m 26s
48:	learn: 0.0764514	total: 1m 7s	remaining: 10m 18s
49:	learn: 0.0744406	total: 1m 7s	remaining: 10m 11s
50:	learn: 0.0725235	total: 1m 8s	remaining: 10m 5s
51:	learn: 0.0707234	total: 1m 9s	remaining: 9m 59s
52:	learn: 0.0690095	total: 1m 10s	remaining: 9m 52s
53:	learn: 0.0673834	total: 1m 10s	remaining: 9m 45s
54:	learn: 0.0658360	total: 1m 11s	remaining: 9m 41s
55:	learn: 0.0643755	total: 1m 12s	remaining: 9m 33s
56:	learn: 0.0629694	total: 1m 13s	remaining: 9m 28s
57:	learn: 0.0616500	total: 1m 13s	remaining: 9m 21s
58:	learn: 0.0603895	total: 1m 14s	remaining: 9m 18s
59:	learn: 0.0591937	total: 1m 15s	remaining: 9m 11s
60:	learn: 0.0580457	total: 1m 16s	remaining: 9m 7s
