0:	learn: 0.6548534	total: 999ms	remaining: 8m 18s
1:	learn: 0.6188408	total: 1.99s	remaining: 8m 15s
2:	learn: 0.5848097	total: 2.98s	remaining: 8m 14s
3:	learn: 0.5526999	total: 3.97s	remaining: 8m 12s
4:	learn: 0.5224072	total: 4.97s	remaining: 8m 11s
5:	learn: 0.4936863	total: 5.99s	remaining: 8m 13s
6:	learn: 0.4667758	total: 6.99s	remaining: 8m 12s
7:	learn: 0.4416493	total: 7.97s	remaining: 8m 10s
8:	learn: 0.4177265	total: 8.96s	remaining: 8m 8s
9:	learn: 0.3950900	total: 10.4s	remaining: 8m 31s
10:	learn: 0.3740276	total: 11.9s	remaining: 8m 48s
11:	learn: 0.3541885	total: 13.3s	remaining: 9m 1s
12:	learn: 0.3353571	total: 14.8s	remaining: 9m 14s
13:	learn: 0.3176802	total: 16.3s	remaining: 9m 24s
14:	learn: 0.3012921	total: 18.2s	remaining: 9m 48s
15:	learn: 0.2858865	total: 19.9s	remaining: 10m 1s
16:	learn: 0.2714517	total: 21.9s	remaining: 10m 22s
17:	learn: 0.2579362	total: 23.8s	remaining: 10m 38s
18:	learn: 0.2452095	total: 25.5s	remaining: 10m 45s
19:	learn: 0.2333087	total: 27.5s	remaining: 10m 59s
20:	learn: 0.2219345	total: 29.2s	remaining: 11m 5s
21:	learn: 0.2114964	total: 30.9s	remaining: 11m 10s
22:	learn: 0.2016254	total: 32.6s	remaining: 11m 15s
23:	learn: 0.1923437	total: 34.3s	remaining: 11m 19s
24:	learn: 0.1835209	total: 36.3s	remaining: 11m 28s
25:	learn: 0.1753370	total: 38.2s	remaining: 11m 36s
26:	learn: 0.1676061	total: 39.9s	remaining: 11m 39s
27:	learn: 0.1603902	total: 41.6s	remaining: 11m 40s
28:	learn: 0.1535665	total: 43.3s	remaining: 11m 42s
29:	learn: 0.1471657	total: 45.2s	remaining: 11m 47s
30:	learn: 0.1411384	total: 47.1s	remaining: 11m 52s
31:	learn: 0.1354601	total: 48.8s	remaining: 11m 53s
32:	learn: 0.1301567	total: 50.4s	remaining: 11m 53s
33:	learn: 0.1251829	total: 52.1s	remaining: 11m 54s
34:	learn: 0.1203896	total: 53.6s	remaining: 11m 52s
35:	learn: 0.1159103	total: 55.1s	remaining: 11m 50s
36:	learn: 0.1117032	total: 56.8s	remaining: 11m 50s
37:	learn: 0.1077215	total: 58.3s	remaining: 11m 48s
38:	learn: 0.1039999	total: 59.7s	remaining: 11m 45s
39:	learn: 0.1004741	total: 1m 1s	remaining: 11m 43s
40:	learn: 0.0972084	total: 1m 2s	remaining: 11m 35s
41:	learn: 0.0940600	total: 1m 3s	remaining: 11m 28s
42:	learn: 0.0910795	total: 1m 4s	remaining: 11m 21s
43:	learn: 0.0882557	total: 1m 5s	remaining: 11m 15s
44:	learn: 0.0855944	total: 1m 6s	remaining: 11m 8s
45:	learn: 0.0830768	total: 1m 7s	remaining: 11m 2s
46:	learn: 0.0806932	total: 1m 8s	remaining: 10m 58s
47:	learn: 0.0784544	total: 1m 9s	remaining: 10m 50s
48:	learn: 0.0763139	total: 1m 10s	remaining: 10m 47s
49:	learn: 0.0742970	total: 1m 11s	remaining: 10m 39s
50:	learn: 0.0723921	total: 1m 11s	remaining: 10m 32s
51:	learn: 0.0705980	total: 1m 12s	remaining: 10m 24s
52:	learn: 0.0688840	total: 1m 13s	remaining: 10m 17s
53:	learn: 0.0672634	total: 1m 13s	remaining: 10m 8s
54:	learn: 0.0657241	total: 1m 14s	remaining: 10m 2s
55:	learn: 0.0642593	total: 1m 15s	remaining: 9m 54s
56:	learn: 0.0628644	total: 1m 15s	remaining: 9m 49s
57:	learn: 0.0615497	total: 1m 16s	remaining: 9m 41s
58:	learn: 0.0602956	total: 1m 16s	remaining: 9m 34s
59:	learn: 0.0590955	total: 1m 17s	remaining: 9m 29s
60:	learn: 0.0579534	total: 1m 18s	remaining: 9m 24s
61:	learn: 0.0568645	total: 1m 19s	remaining: 9m 19s
62:	learn: 0.0558353	total: 1m 19s	remaining: 9m 13s
63:	learn: 0.0548439	total: 1m 20s	remaining: 9m 8s
64:	learn: 0.0539160	total: 1m 21s	remaining: 9m 2s
65:	learn: 0.0530188	total: 1m 21s	remaining: 8m 57s
66:	learn: 0.0521601	total: 1m 22s	remaining: 8m 53s
67:	learn: 0.0513429	total: 1m 23s	remaining: 8m 49s
68:	learn: 0.0505741	total: 1m 23s	remaining: 8m 44s
69:	learn: 0.0498249	total: 1m 24s	remaining: 8m 40s
70:	learn: 0.0491276	total: 1m 25s	remaining: 8m 34s
71:	learn: 0.0484447	total: 1m 25s	remaining: 8m 31s
72:	learn: 0.0478052	total: 1m 26s	remaining: 8m 26s
73:	learn: 0.0471815	total: 1m 27s	remaining: 8m 22s
74:	learn: 0.0465957	total: 1m 28s	remaining: 8m 19s
75:	learn: 0.0460348	total: 1m 28s	remaining: 8m 14s
76:	learn: 0.0454883	total: 1m 29s	remaining: 8m 11s
77:	learn: 0.0449647	total: 1m 30s	remaining: 8m 7s
78:	learn: 0.0444786	total: 1m 30s	remaining: 8m 3s
79:	learn: 0.0440000	total: 1m 31s	remaining: 8m
80:	learn: 0.0435473	total: 1m 32s	remaining: 7m 57s
81:	learn: 0.0431129	total: 1m 32s	remaining: 7m 53s
82:	learn: 0.0426976	total: 1m 33s	remaining: 7m 50s
83:	learn: 0.0422991	total: 1m 34s	remaining: 7m 46s
84:	learn: 0.0419121	total: 1m 34s	remaining: 7m 43s
85:	learn: 0.0415542	total: 1m 35s	remaining: 7m 39s
