0:	learn: 0.6500238	total: 10.5s	remaining: 1h 27m 10s
1:	learn: 0.6129771	total: 21.2s	remaining: 1h 28m 9s
2:	learn: 0.5859258	total: 32s	remaining: 1h 28m 29s
3:	learn: 0.5645822	total: 42.2s	remaining: 1h 27m 11s
4:	learn: 0.5470581	total: 53.2s	remaining: 1h 27m 48s
5:	learn: 0.5337452	total: 1m 3s	remaining: 1h 27m 14s
6:	learn: 0.5225154	total: 1m 14s	remaining: 1h 27m 24s
7:	learn: 0.5134064	total: 1m 25s	remaining: 1h 27m 29s
8:	learn: 0.5056837	total: 1m 36s	remaining: 1h 27m 53s
9:	learn: 0.4995960	total: 1m 48s	remaining: 1h 28m 20s
10:	learn: 0.4945562	total: 1m 59s	remaining: 1h 28m 33s
11:	learn: 0.4904884	total: 2m 11s	remaining: 1h 29m 4s
12:	learn: 0.4870635	total: 2m 23s	remaining: 1h 29m 27s
13:	learn: 0.4838687	total: 2m 36s	remaining: 1h 30m 25s
14:	learn: 0.4813971	total: 2m 48s	remaining: 1h 30m 57s
15:	learn: 0.4791664	total: 3m 1s	remaining: 1h 31m 21s
16:	learn: 0.4772880	total: 3m 13s	remaining: 1h 31m 51s
17:	learn: 0.4756698	total: 3m 27s	remaining: 1h 32m 25s
18:	learn: 0.4741537	total: 3m 40s	remaining: 1h 33m 1s
19:	learn: 0.4729361	total: 3m 53s	remaining: 1h 33m 29s
20:	learn: 0.4718583	total: 4m 7s	remaining: 1h 33m 58s
21:	learn: 0.4707501	total: 4m 21s	remaining: 1h 34m 46s
22:	learn: 0.4699656	total: 4m 34s	remaining: 1h 34m 47s
23:	learn: 0.4690448	total: 4m 48s	remaining: 1h 35m 30s
24:	learn: 0.4682757	total: 5m 2s	remaining: 1h 35m 50s
25:	learn: 0.4675702	total: 5m 16s	remaining: 1h 36m 15s
26:	learn: 0.4669358	total: 5m 30s	remaining: 1h 36m 33s
27:	learn: 0.4662968	total: 5m 45s	remaining: 1h 36m 56s
28:	learn: 0.4657935	total: 5m 59s	remaining: 1h 37m 20s
29:	learn: 0.4651133	total: 6m 14s	remaining: 1h 37m 53s
30:	learn: 0.4645849	total: 6m 29s	remaining: 1h 38m 17s
31:	learn: 0.4641331	total: 6m 43s	remaining: 1h 38m 15s
