0:	learn: 0.6729376	total: 3.08s	remaining: 25m 35s
1:	learn: 0.6553597	total: 6.18s	remaining: 25m 40s
2:	learn: 0.6402034	total: 9.3s	remaining: 25m 41s
3:	learn: 0.6263295	total: 12.5s	remaining: 25m 56s
4:	learn: 0.6142463	total: 15.6s	remaining: 25m 47s
5:	learn: 0.6031308	total: 18.7s	remaining: 25m 36s
6:	learn: 0.5927690	total: 21.8s	remaining: 25m 32s
7:	learn: 0.5822833	total: 24.9s	remaining: 25m 32s
8:	learn: 0.5728775	total: 28.1s	remaining: 25m 33s
9:	learn: 0.5645223	total: 31.1s	remaining: 25m 26s
10:	learn: 0.5565918	total: 34.2s	remaining: 25m 20s
11:	learn: 0.5487838	total: 37.2s	remaining: 25m 13s
12:	learn: 0.5414129	total: 40.3s	remaining: 25m 10s
13:	learn: 0.5347589	total: 43.4s	remaining: 25m 5s
14:	learn: 0.5278740	total: 46.4s	remaining: 25m
15:	learn: 0.5213095	total: 49.5s	remaining: 24m 58s
16:	learn: 0.5155522	total: 52.5s	remaining: 24m 50s
17:	learn: 0.5097960	total: 55.6s	remaining: 24m 48s
18:	learn: 0.5043750	total: 58.6s	remaining: 24m 44s
19:	learn: 0.4988618	total: 1m 1s	remaining: 24m 43s
20:	learn: 0.4939743	total: 1m 4s	remaining: 24m 38s
21:	learn: 0.4893272	total: 1m 7s	remaining: 24m 30s
22:	learn: 0.4844482	total: 1m 10s	remaining: 24m 27s
23:	learn: 0.4799608	total: 1m 13s	remaining: 24m 20s
24:	learn: 0.4753693	total: 1m 16s	remaining: 24m 19s
25:	learn: 0.4711615	total: 1m 19s	remaining: 24m 13s
26:	learn: 0.4668548	total: 1m 22s	remaining: 24m 9s
27:	learn: 0.4629569	total: 1m 25s	remaining: 24m 6s
28:	learn: 0.4589946	total: 1m 28s	remaining: 24m
29:	learn: 0.4552032	total: 1m 31s	remaining: 23m 55s
30:	learn: 0.4511602	total: 1m 34s	remaining: 23m 53s
