0:	learn: 0.6691443	total: 2.13s	remaining: 17m 40s
1:	learn: 0.6498182	total: 4.19s	remaining: 17m 24s
2:	learn: 0.6338061	total: 6.41s	remaining: 17m 42s
3:	learn: 0.6208648	total: 8.54s	remaining: 17m 38s
4:	learn: 0.6098739	total: 10.6s	remaining: 17m 33s
5:	learn: 0.6005078	total: 12.8s	remaining: 17m 31s
6:	learn: 0.5929524	total: 15s	remaining: 17m 38s
7:	learn: 0.5859137	total: 17.4s	remaining: 17m 50s
8:	learn: 0.5800906	total: 19.6s	remaining: 17m 49s
9:	learn: 0.5750697	total: 21.9s	remaining: 17m 52s
10:	learn: 0.5705228	total: 24.1s	remaining: 17m 49s
11:	learn: 0.5662821	total: 26.3s	remaining: 17m 49s
12:	learn: 0.5624266	total: 28.5s	remaining: 17m 48s
13:	learn: 0.5592183	total: 30.7s	remaining: 17m 45s
14:	learn: 0.5562470	total: 33.1s	remaining: 17m 49s
15:	learn: 0.5535894	total: 35.3s	remaining: 17m 47s
16:	learn: 0.5508575	total: 37.5s	remaining: 17m 44s
17:	learn: 0.5485968	total: 39.7s	remaining: 17m 43s
18:	learn: 0.5464250	total: 41.9s	remaining: 17m 41s
19:	learn: 0.5445408	total: 44.1s	remaining: 17m 37s
20:	learn: 0.5428626	total: 46.2s	remaining: 17m 34s
21:	learn: 0.5411901	total: 48.7s	remaining: 17m 37s
22:	learn: 0.5396795	total: 51s	remaining: 17m 37s
23:	learn: 0.5382106	total: 53.2s	remaining: 17m 35s
24:	learn: 0.5370100	total: 55.5s	remaining: 17m 33s
25:	learn: 0.5356376	total: 57.8s	remaining: 17m 34s
26:	learn: 0.5344702	total: 1m	remaining: 17m 31s
27:	learn: 0.5333006	total: 1m 2s	remaining: 17m 31s
28:	learn: 0.5322867	total: 1m 4s	remaining: 17m 35s
29:	learn: 0.5313596	total: 1m 7s	remaining: 17m 32s
30:	learn: 0.5305060	total: 1m 9s	remaining: 17m 30s
31:	learn: 0.5296197	total: 1m 11s	remaining: 17m 29s
32:	learn: 0.5287602	total: 1m 14s	remaining: 17m 30s
33:	learn: 0.5279463	total: 1m 16s	remaining: 17m 27s
34:	learn: 0.5271489	total: 1m 18s	remaining: 17m 25s
35:	learn: 0.5262990	total: 1m 21s	remaining: 17m 26s
36:	learn: 0.5255734	total: 1m 23s	remaining: 17m 28s
37:	learn: 0.5249146	total: 1m 25s	remaining: 17m 25s
38:	learn: 0.5243242	total: 1m 28s	remaining: 17m 21s
39:	learn: 0.5235808	total: 1m 30s	remaining: 17m 19s
40:	learn: 0.5229953	total: 1m 33s	remaining: 17m 21s
41:	learn: 0.5224789	total: 1m 35s	remaining: 17m 18s
42:	learn: 0.5218064	total: 1m 37s	remaining: 17m 17s
43:	learn: 0.5212763	total: 1m 39s	remaining: 17m 15s
44:	learn: 0.5206800	total: 1m 42s	remaining: 17m 14s
45:	learn: 0.5202084	total: 1m 44s	remaining: 17m 10s
46:	learn: 0.5196775	total: 1m 46s	remaining: 17m 10s
47:	learn: 0.5190587	total: 1m 49s	remaining: 17m 10s
48:	learn: 0.5186814	total: 1m 51s	remaining: 17m 7s
49:	learn: 0.5181910	total: 1m 54s	remaining: 17m 10s
50:	learn: 0.5176314	total: 1m 57s	remaining: 17m 10s
51:	learn: 0.5171746	total: 1m 59s	remaining: 17m 7s
52:	learn: 0.5166762	total: 2m 1s	remaining: 17m 7s
53:	learn: 0.5162986	total: 2m 3s	remaining: 17m 3s
54:	learn: 0.5158596	total: 2m 6s	remaining: 17m 1s
55:	learn: 0.5155039	total: 2m 8s	remaining: 16m 59s
56:	learn: 0.5151606	total: 2m 10s	remaining: 16m 56s
57:	learn: 0.5147344	total: 2m 13s	remaining: 17m
58:	learn: 0.5142947	total: 2m 16s	remaining: 17m 1s
59:	learn: 0.5139367	total: 2m 18s	remaining: 16m 57s
60:	learn: 0.5135507	total: 2m 21s	remaining: 16m 56s
61:	learn: 0.5132381	total: 2m 23s	remaining: 16m 52s
62:	learn: 0.5129285	total: 2m 25s	remaining: 16m 51s
63:	learn: 0.5125506	total: 2m 28s	remaining: 16m 51s
64:	learn: 0.5121816	total: 2m 30s	remaining: 16m 50s
65:	learn: 0.5118276	total: 2m 33s	remaining: 16m 47s
66:	learn: 0.5115406	total: 2m 35s	remaining: 16m 45s
67:	learn: 0.5112508	total: 2m 37s	remaining: 16m 43s
68:	learn: 0.5109759	total: 2m 40s	remaining: 16m 41s
69:	learn: 0.5106171	total: 2m 43s	remaining: 16m 42s
70:	learn: 0.5103159	total: 2m 45s	remaining: 16m 40s
71:	learn: 0.5100496	total: 2m 48s	remaining: 16m 39s
72:	learn: 0.5097384	total: 2m 50s	remaining: 16m 39s
73:	learn: 0.5093994	total: 2m 53s	remaining: 16m 36s
74:	learn: 0.5090775	total: 2m 55s	remaining: 16m 35s
75:	learn: 0.5088400	total: 2m 58s	remaining: 16m 34s
76:	learn: 0.5084435	total: 3m	remaining: 16m 34s
77:	learn: 0.5082076	total: 3m 3s	remaining: 16m 30s
78:	learn: 0.5079238	total: 3m 5s	remaining: 16m 27s
79:	learn: 0.5076991	total: 3m 7s	remaining: 16m 24s
80:	learn: 0.5074646	total: 3m 9s	remaining: 16m 22s
81:	learn: 0.5072681	total: 3m 12s	remaining: 16m 20s
82:	learn: 0.5070611	total: 3m 14s	remaining: 16m 17s
83:	learn: 0.5068397	total: 3m 17s	remaining: 16m 16s
84:	learn: 0.5066065	total: 3m 19s	remaining: 16m 12s
85:	learn: 0.5063962	total: 3m 21s	remaining: 16m 9s
86:	learn: 0.5061260	total: 3m 24s	remaining: 16m 10s
87:	learn: 0.5058394	total: 3m 26s	remaining: 16m 8s
88:	learn: 0.5056680	total: 3m 28s	remaining: 16m 4s
