0:	learn: 0.4774853	total: 4.61s	remaining: 38m 21s
1:	learn: 0.3382871	total: 8.46s	remaining: 35m 7s
2:	learn: 0.2352479	total: 12.3s	remaining: 33m 54s
3:	learn: 0.1722886	total: 16.5s	remaining: 34m 2s
4:	learn: 0.1305869	total: 20.2s	remaining: 33m 22s
5:	learn: 0.1015343	total: 24.3s	remaining: 33m 18s
6:	learn: 0.0846825	total: 28.1s	remaining: 32m 58s
7:	learn: 0.0730810	total: 31.5s	remaining: 32m 18s
8:	learn: 0.0645957	total: 35.2s	remaining: 32m 2s
9:	learn: 0.0569582	total: 38.5s	remaining: 31m 26s
10:	learn: 0.0532453	total: 42s	remaining: 31m 8s
11:	learn: 0.0484940	total: 46s	remaining: 31m 10s
12:	learn: 0.0469994	total: 49.7s	remaining: 31m
13:	learn: 0.0539096	total: 53.5s	remaining: 30m 58s
14:	learn: 0.0523351	total: 57.7s	remaining: 31m 6s
15:	learn: 0.0509282	total: 1m 1s	remaining: 31m 13s
16:	learn: 0.0493423	total: 1m 5s	remaining: 30m 58s
17:	learn: 0.0489016	total: 1m 9s	remaining: 31m 4s
18:	learn: 0.0485596	total: 1m 13s	remaining: 31m 13s
19:	learn: 0.0483980	total: 1m 18s	remaining: 31m 15s
20:	learn: 0.0474581	total: 1m 22s	remaining: 31m 11s
21:	learn: 0.0471853	total: 1m 26s	remaining: 31m 11s
22:	learn: 0.0464016	total: 1m 30s	remaining: 31m 16s
23:	learn: 0.0452575	total: 1m 35s	remaining: 31m 26s
24:	learn: 0.0432007	total: 1m 39s	remaining: 31m 33s
25:	learn: 0.0425107	total: 1m 43s	remaining: 31m 33s
26:	learn: 0.0421607	total: 1m 47s	remaining: 31m 29s
27:	learn: 0.0419478	total: 1m 51s	remaining: 31m 22s
28:	learn: 0.0416908	total: 1m 55s	remaining: 31m 15s
29:	learn: 0.0430789	total: 1m 59s	remaining: 31m 13s
30:	learn: 0.0413814	total: 2m 4s	remaining: 31m 16s
31:	learn: 0.0408390	total: 2m 8s	remaining: 31m 17s
32:	learn: 0.0403771	total: 2m 12s	remaining: 31m 19s
33:	learn: 0.0427699	total: 2m 17s	remaining: 31m 19s
34:	learn: 0.0426691	total: 2m 21s	remaining: 31m 18s
35:	learn: 0.0425574	total: 2m 25s	remaining: 31m 14s
36:	learn: 0.0424237	total: 2m 29s	remaining: 31m 13s
37:	learn: 0.0419979	total: 2m 34s	remaining: 31m 13s
38:	learn: 0.0418040	total: 2m 38s	remaining: 31m 14s
39:	learn: 0.0413984	total: 2m 43s	remaining: 31m 18s
40:	learn: 0.0411885	total: 2m 47s	remaining: 31m 17s
41:	learn: 0.0410955	total: 2m 52s	remaining: 31m 19s
42:	learn: 0.0407792	total: 2m 56s	remaining: 31m 16s
43:	learn: 0.0406452	total: 3m	remaining: 31m 11s
44:	learn: 0.0399937	total: 3m 4s	remaining: 31m 6s
45:	learn: 0.0386817	total: 3m 8s	remaining: 31m 4s
46:	learn: 0.0380657	total: 3m 12s	remaining: 30m 58s
47:	learn: 0.0371858	total: 3m 16s	remaining: 30m 54s
48:	learn: 0.0380950	total: 3m 21s	remaining: 30m 52s
49:	learn: 0.0377947	total: 3m 25s	remaining: 30m 48s
50:	learn: 0.0372474	total: 3m 29s	remaining: 30m 48s
51:	learn: 0.0369917	total: 3m 34s	remaining: 30m 45s
52:	learn: 0.0368059	total: 3m 38s	remaining: 30m 41s
53:	learn: 0.0365414	total: 3m 41s	remaining: 30m 29s
54:	learn: 0.0361459	total: 3m 46s	remaining: 30m 33s
55:	learn: 0.0356377	total: 3m 50s	remaining: 30m 29s
56:	learn: 0.0352498	total: 3m 54s	remaining: 30m 21s
57:	learn: 0.0350600	total: 3m 58s	remaining: 30m 16s
58:	learn: 0.0347891	total: 4m 2s	remaining: 30m 11s
59:	learn: 0.0344570	total: 4m 6s	remaining: 30m 5s
60:	learn: 0.0341680	total: 4m 9s	remaining: 29m 56s
61:	learn: 0.0338973	total: 4m 12s	remaining: 29m 43s
62:	learn: 0.0334925	total: 4m 16s	remaining: 29m 40s
63:	learn: 0.0331793	total: 4m 20s	remaining: 29m 36s
64:	learn: 0.0331060	total: 4m 23s	remaining: 29m 25s
65:	learn: 0.0328653	total: 4m 28s	remaining: 29m 24s
66:	learn: 0.0326816	total: 4m 32s	remaining: 29m 23s
67:	learn: 0.0325157	total: 4m 37s	remaining: 29m 22s
68:	learn: 0.0323174	total: 4m 42s	remaining: 29m 23s
69:	learn: 0.0319802	total: 4m 47s	remaining: 29m 26s
70:	learn: 0.0315857	total: 4m 52s	remaining: 29m 27s
71:	learn: 0.0311379	total: 4m 57s	remaining: 29m 26s
72:	learn: 0.0307637	total: 5m	remaining: 29m 18s
73:	learn: 0.0304154	total: 5m 4s	remaining: 29m 14s
74:	learn: 0.0301395	total: 5m 8s	remaining: 29m 6s
75:	learn: 0.0298403	total: 5m 13s	remaining: 29m 9s
76:	learn: 0.0295802	total: 5m 19s	remaining: 29m 14s
77:	learn: 0.0293452	total: 5m 23s	remaining: 29m 11s
78:	learn: 0.0291718	total: 5m 28s	remaining: 29m 8s
79:	learn: 0.0290656	total: 5m 33s	remaining: 29m 8s
80:	learn: 0.0289019	total: 5m 38s	remaining: 29m 9s
81:	learn: 0.0287158	total: 5m 42s	remaining: 29m 4s
82:	learn: 0.0285402	total: 5m 46s	remaining: 29m 1s
83:	learn: 0.0283782	total: 5m 50s	remaining: 28m 54s
84:	learn: 0.0282220	total: 5m 56s	remaining: 28m 58s
85:	learn: 0.0281624	total: 6m 1s	remaining: 29m 1s
86:	learn: 0.0279974	total: 6m 7s	remaining: 29m 3s
87:	learn: 0.0278692	total: 6m 10s	remaining: 28m 54s
88:	learn: 0.0277396	total: 6m 15s	remaining: 28m 55s
89:	learn: 0.0276340	total: 6m 19s	remaining: 28m 49s
90:	learn: 0.0275361	total: 6m 26s	remaining: 28m 56s
91:	learn: 0.0274305	total: 6m 32s	remaining: 28m 59s
92:	learn: 0.0273345	total: 6m 36s	remaining: 28m 53s
93:	learn: 0.0272579	total: 6m 40s	remaining: 28m 51s
94:	learn: 0.0271581	total: 6m 47s	remaining: 28m 55s
95:	learn: 0.0270881	total: 6m 50s	remaining: 28m 48s
96:	learn: 0.0270235	total: 6m 54s	remaining: 28m 40s
97:	learn: 0.0269721	total: 6m 56s	remaining: 28m 29s
98:	learn: 0.0269053	total: 7m 3s	remaining: 28m 36s
99:	learn: 0.0268626	total: 7m 9s	remaining: 28m 37s
100:	learn: 0.0267925	total: 7m 14s	remaining: 28m 36s
101:	learn: 0.0267386	total: 7m 19s	remaining: 28m 34s
102:	learn: 0.0266826	total: 7m 23s	remaining: 28m 29s
103:	learn: 0.0266479	total: 7m 27s	remaining: 28m 22s
104:	learn: 0.0265549	total: 7m 34s	remaining: 28m 30s
105:	learn: 0.0265119	total: 7m 38s	remaining: 28m 25s
106:	learn: 0.0264693	total: 7m 47s	remaining: 28m 37s
107:	learn: 0.0264228	total: 7m 52s	remaining: 28m 36s
108:	learn: 0.0263753	total: 8m 1s	remaining: 28m 45s
109:	learn: 0.0263486	total: 8m 6s	remaining: 28m 46s
110:	learn: 0.0263030	total: 8m 13s	remaining: 28m 48s
111:	learn: 0.0262692	total: 8m 18s	remaining: 28m 47s
112:	learn: 0.0262392	total: 8m 21s	remaining: 28m 38s
113:	learn: 0.0261872	total: 8m 24s	remaining: 28m 28s
114:	learn: 0.0261569	total: 8m 28s	remaining: 28m 23s
115:	learn: 0.0261303	total: 8m 31s	remaining: 28m 14s
116:	learn: 0.0261057	total: 8m 35s	remaining: 28m 6s
117:	learn: 0.0260710	total: 8m 38s	remaining: 27m 57s
118:	learn: 0.0260379	total: 8m 43s	remaining: 27m 55s
119:	learn: 0.0260210	total: 8m 47s	remaining: 27m 50s
120:	learn: 0.0259989	total: 8m 51s	remaining: 27m 44s
121:	learn: 0.0259653	total: 8m 57s	remaining: 27m 44s
122:	learn: 0.0259285	total: 9m 2s	remaining: 27m 43s
123:	learn: 0.0259123	total: 9m 6s	remaining: 27m 36s
124:	learn: 0.0258799	total: 9m 14s	remaining: 27m 43s
125:	learn: 0.0258402	total: 9m 19s	remaining: 27m 39s
126:	learn: 0.0257920	total: 9m 27s	remaining: 27m 46s
127:	learn: 0.0257805	total: 9m 28s	remaining: 27m 33s
128:	learn: 0.0257656	total: 9m 32s	remaining: 27m 25s
129:	learn: 0.0257453	total: 9m 35s	remaining: 27m 19s
130:	learn: 0.0257307	total: 9m 43s	remaining: 27m 22s
131:	learn: 0.0257080	total: 9m 47s	remaining: 27m 19s
132:	learn: 0.0256786	total: 9m 49s	remaining: 27m 7s
133:	learn: 0.0256497	total: 9m 51s	remaining: 26m 54s
134:	learn: 0.0256163	total: 9m 54s	remaining: 26m 46s
135:	learn: 0.0255927	total: 9m 57s	remaining: 26m 38s
136:	learn: 0.0255732	total: 9m 59s	remaining: 26m 29s
137:	learn: 0.0255515	total: 10m 2s	remaining: 26m 19s
138:	learn: 0.0255221	total: 10m 9s	remaining: 26m 22s
139:	learn: 0.0255002	total: 10m 10s	remaining: 26m 10s
140:	learn: 0.0254822	total: 10m 15s	remaining: 26m 6s
141:	learn: 0.0254572	total: 10m 18s	remaining: 25m 59s
142:	learn: 0.0254387	total: 10m 24s	remaining: 25m 58s
143:	learn: 0.0254220	total: 10m 30s	remaining: 25m 58s
144:	learn: 0.0254086	total: 10m 33s	remaining: 25m 51s
145:	learn: 0.0253866	total: 10m 38s	remaining: 25m 47s
146:	learn: 0.0253761	total: 10m 45s	remaining: 25m 50s
147:	learn: 0.0253594	total: 10m 52s	remaining: 25m 52s
148:	learn: 0.0253465	total: 10m 59s	remaining: 25m 54s
149:	learn: 0.0253311	total: 11m 6s	remaining: 25m 56s
150:	learn: 0.0253185	total: 11m 13s	remaining: 25m 57s
151:	learn: 0.0252969	total: 11m 21s	remaining: 25m 59s
152:	learn: 0.0252784	total: 11m 23s	remaining: 25m 51s
153:	learn: 0.0252553	total: 11m 29s	remaining: 25m 48s
154:	learn: 0.0252455	total: 11m 35s	remaining: 25m 47s
155:	learn: 0.0252289	total: 11m 36s	remaining: 25m 36s
156:	learn: 0.0252106	total: 11m 38s	remaining: 25m 25s
157:	learn: 0.0251859	total: 11m 42s	remaining: 25m 19s
158:	learn: 0.0251743	total: 11m 43s	remaining: 25m 8s
159:	learn: 0.0251602	total: 11m 47s	remaining: 25m 3s
160:	learn: 0.0251493	total: 11m 50s	remaining: 24m 55s
161:	learn: 0.0251375	total: 11m 53s	remaining: 24m 49s
162:	learn: 0.0251202	total: 11m 56s	remaining: 24m 40s
163:	learn: 0.0251062	total: 12m 3s	remaining: 24m 41s
164:	learn: 0.0250956	total: 12m 9s	remaining: 24m 41s
165:	learn: 0.0250803	total: 12m 13s	remaining: 24m 35s
166:	learn: 0.0250675	total: 12m 14s	remaining: 24m 24s
167:	learn: 0.0250562	total: 12m 15s	remaining: 24m 14s
168:	learn: 0.0250398	total: 12m 18s	remaining: 24m 5s
169:	learn: 0.0250313	total: 12m 19s	remaining: 23m 56s
170:	learn: 0.0250177	total: 12m 22s	remaining: 23m 48s
171:	learn: 0.0250067	total: 12m 23s	remaining: 23m 38s
172:	learn: 0.0249887	total: 12m 27s	remaining: 23m 32s
173:	learn: 0.0249811	total: 12m 29s	remaining: 23m 23s
174:	learn: 0.0249704	total: 12m 32s	remaining: 23m 17s
175:	learn: 0.0249602	total: 12m 33s	remaining: 23m 7s
176:	learn: 0.0249398	total: 12m 35s	remaining: 22m 59s
177:	learn: 0.0249305	total: 12m 38s	remaining: 22m 52s
178:	learn: 0.0249175	total: 12m 40s	remaining: 22m 44s
179:	learn: 0.0249075	total: 12m 42s	remaining: 22m 34s
180:	learn: 0.0249011	total: 12m 44s	remaining: 22m 27s
181:	learn: 0.0248818	total: 12m 49s	remaining: 22m 25s
182:	learn: 0.0248593	total: 12m 52s	remaining: 22m 18s
183:	learn: 0.0248471	total: 12m 55s	remaining: 22m 11s
184:	learn: 0.0248260	total: 12m 59s	remaining: 22m 7s
185:	learn: 0.0248047	total: 13m 1s	remaining: 21m 59s
186:	learn: 0.0247895	total: 13m 5s	remaining: 21m 55s
187:	learn: 0.0247810	total: 13m 8s	remaining: 21m 47s
188:	learn: 0.0247655	total: 13m 13s	remaining: 21m 45s
