0:	total: 2.07s	remaining: 17m 14s
1:	total: 4.01s	remaining: 16m 37s
2:	total: 5.85s	remaining: 16m 9s
3:	total: 7.75s	remaining: 16m
4:	total: 9.71s	remaining: 16m 1s
5:	total: 11.6s	remaining: 15m 54s
6:	total: 13.5s	remaining: 15m 52s
7:	total: 15.4s	remaining: 15m 49s
8:	total: 17.3s	remaining: 15m 44s
9:	total: 19.2s	remaining: 15m 40s
10:	total: 21.1s	remaining: 15m 38s
11:	total: 23.1s	remaining: 15m 37s
12:	total: 24.9s	remaining: 15m 31s
13:	total: 26.7s	remaining: 15m 27s
14:	total: 28.5s	remaining: 15m 19s
15:	total: 30.4s	remaining: 15m 19s
16:	total: 32.2s	remaining: 15m 16s
17:	total: 34.3s	remaining: 15m 18s
18:	total: 36s	remaining: 15m 12s
19:	total: 37.8s	remaining: 15m 7s
20:	total: 39.7s	remaining: 15m 5s
21:	total: 41.4s	remaining: 15m
22:	total: 43.3s	remaining: 14m 58s
23:	total: 45s	remaining: 14m 52s
24:	total: 46.9s	remaining: 14m 50s
25:	total: 48.7s	remaining: 14m 47s
26:	total: 50.6s	remaining: 14m 45s
27:	total: 52.3s	remaining: 14m 40s
28:	total: 54.2s	remaining: 14m 39s
29:	total: 56s	remaining: 14m 37s
30:	total: 57.7s	remaining: 14m 32s
31:	total: 59.4s	remaining: 14m 28s
32:	total: 1m 1s	remaining: 14m 25s
33:	total: 1m 2s	remaining: 14m 21s
34:	total: 1m 4s	remaining: 14m 17s
35:	total: 1m 6s	remaining: 14m 17s
36:	total: 1m 8s	remaining: 14m 14s
37:	total: 1m 9s	remaining: 14m 10s
38:	total: 1m 11s	remaining: 14m 8s
39:	total: 1m 13s	remaining: 14m 5s
40:	total: 1m 15s	remaining: 14m 4s
41:	total: 1m 17s	remaining: 14m
42:	total: 1m 18s	remaining: 13m 55s
43:	total: 1m 20s	remaining: 13m 51s
44:	total: 1m 22s	remaining: 13m 49s
45:	total: 1m 23s	remaining: 13m 44s
46:	total: 1m 25s	remaining: 13m 43s
47:	total: 1m 27s	remaining: 13m 40s
48:	total: 1m 28s	remaining: 13m 36s
49:	total: 1m 30s	remaining: 13m 33s
50:	total: 1m 32s	remaining: 13m 31s
51:	total: 1m 33s	remaining: 13m 28s
52:	total: 1m 35s	remaining: 13m 23s
53:	total: 1m 37s	remaining: 13m 22s
54:	total: 1m 38s	remaining: 13m 20s
55:	total: 1m 40s	remaining: 13m 19s
56:	total: 1m 42s	remaining: 13m 17s
57:	total: 1m 44s	remaining: 13m 14s
58:	total: 1m 45s	remaining: 13m 11s
59:	total: 1m 47s	remaining: 13m 8s
60:	total: 1m 49s	remaining: 13m 8s
61:	total: 1m 51s	remaining: 13m 6s
62:	total: 1m 53s	remaining: 13m 4s
63:	total: 1m 54s	remaining: 13m 2s
64:	total: 1m 56s	remaining: 12m 59s
65:	total: 1m 58s	remaining: 12m 57s
66:	total: 2m	remaining: 12m 55s
67:	total: 2m 2s	remaining: 12m 55s
68:	total: 2m 3s	remaining: 12m 52s
69:	total: 2m 5s	remaining: 12m 50s
70:	total: 2m 7s	remaining: 12m 48s
71:	total: 2m 8s	remaining: 12m 46s
72:	total: 2m 10s	remaining: 12m 45s
73:	total: 2m 12s	remaining: 12m 44s
74:	total: 2m 14s	remaining: 12m 42s
75:	total: 2m 16s	remaining: 12m 40s
76:	total: 2m 18s	remaining: 12m 39s
77:	total: 2m 20s	remaining: 12m 38s
78:	total: 2m 22s	remaining: 12m 36s
79:	total: 2m 23s	remaining: 12m 34s
80:	total: 2m 25s	remaining: 12m 32s
81:	total: 2m 27s	remaining: 12m 31s
82:	total: 2m 29s	remaining: 12m 31s
83:	total: 2m 31s	remaining: 12m 31s
84:	total: 2m 33s	remaining: 12m 29s
85:	total: 2m 35s	remaining: 12m 27s
86:	total: 2m 37s	remaining: 12m 25s
87:	total: 2m 38s	remaining: 12m 23s
88:	total: 2m 40s	remaining: 12m 21s
89:	total: 2m 42s	remaining: 12m 19s
90:	total: 2m 44s	remaining: 12m 19s
91:	total: 2m 46s	remaining: 12m 17s
92:	total: 2m 47s	remaining: 12m 14s
93:	total: 2m 49s	remaining: 12m 13s
94:	total: 2m 51s	remaining: 12m 10s
95:	total: 2m 53s	remaining: 12m 8s
96:	total: 2m 54s	remaining: 12m 6s
97:	total: 2m 56s	remaining: 12m 5s
98:	total: 2m 58s	remaining: 12m 3s
99:	total: 3m	remaining: 12m 1s
100:	total: 3m 2s	remaining: 11m 59s
101:	total: 3m 3s	remaining: 11m 57s
102:	total: 3m 5s	remaining: 11m 55s
103:	total: 3m 7s	remaining: 11m 53s
104:	total: 3m 9s	remaining: 11m 52s
105:	total: 3m 11s	remaining: 11m 50s
106:	total: 3m 12s	remaining: 11m 48s
107:	total: 3m 14s	remaining: 11m 45s
108:	total: 3m 16s	remaining: 11m 44s
109:	total: 3m 18s	remaining: 11m 42s
110:	total: 3m 20s	remaining: 11m 41s
111:	total: 3m 22s	remaining: 11m 39s
112:	total: 3m 23s	remaining: 11m 37s
113:	total: 3m 25s	remaining: 11m 35s
114:	total: 3m 27s	remaining: 11m 34s
115:	total: 3m 29s	remaining: 11m 32s
116:	total: 3m 30s	remaining: 11m 30s
117:	total: 3m 32s	remaining: 11m 28s
118:	total: 3m 35s	remaining: 11m 29s
119:	total: 3m 37s	remaining: 11m 27s
120:	total: 3m 39s	remaining: 11m 26s
121:	total: 3m 41s	remaining: 11m 24s
122:	total: 3m 42s	remaining: 11m 23s
123:	total: 3m 44s	remaining: 11m 22s
124:	total: 3m 47s	remaining: 11m 21s
125:	total: 3m 48s	remaining: 11m 19s
126:	total: 3m 50s	remaining: 11m 17s
127:	total: 3m 52s	remaining: 11m 14s
128:	total: 3m 53s	remaining: 11m 11s
129:	total: 3m 55s	remaining: 11m 9s
130:	total: 3m 57s	remaining: 11m 8s
131:	total: 3m 59s	remaining: 11m 7s
132:	total: 4m 1s	remaining: 11m 5s
133:	total: 4m 2s	remaining: 11m 3s
134:	total: 4m 4s	remaining: 11m 1s
135:	total: 4m 6s	remaining: 11m
136:	total: 4m 8s	remaining: 10m 58s
137:	total: 4m 10s	remaining: 10m 56s
138:	total: 4m 12s	remaining: 10m 54s
139:	total: 4m 13s	remaining: 10m 52s
140:	total: 4m 15s	remaining: 10m 50s
141:	total: 4m 16s	remaining: 10m 47s
142:	total: 4m 19s	remaining: 10m 46s
143:	total: 4m 21s	remaining: 10m 45s
144:	total: 4m 22s	remaining: 10m 43s
145:	total: 4m 24s	remaining: 10m 41s
146:	total: 4m 26s	remaining: 10m 40s
147:	total: 4m 28s	remaining: 10m 38s
148:	total: 4m 30s	remaining: 10m 36s
149:	total: 4m 31s	remaining: 10m 33s
150:	total: 4m 33s	remaining: 10m 31s
151:	total: 4m 34s	remaining: 10m 28s
152:	total: 4m 36s	remaining: 10m 26s
153:	total: 4m 38s	remaining: 10m 24s
154:	total: 4m 39s	remaining: 10m 22s
155:	total: 4m 41s	remaining: 10m 20s
156:	total: 4m 43s	remaining: 10m 18s
157:	total: 4m 44s	remaining: 10m 16s
158:	total: 4m 46s	remaining: 10m 13s
159:	total: 4m 48s	remaining: 10m 12s
160:	total: 4m 49s	remaining: 10m 9s
161:	total: 4m 51s	remaining: 10m 7s
162:	total: 4m 52s	remaining: 10m 5s
163:	total: 4m 55s	remaining: 10m 5s
164:	total: 4m 56s	remaining: 10m 2s
165:	total: 4m 58s	remaining: 10m
166:	total: 5m	remaining: 9m 58s
167:	total: 5m 1s	remaining: 9m 56s
168:	total: 5m 4s	remaining: 9m 55s
169:	total: 5m 6s	remaining: 9m 54s
170:	total: 5m 7s	remaining: 9m 52s
171:	total: 5m 9s	remaining: 9m 50s
172:	total: 5m 11s	remaining: 9m 49s
173:	total: 5m 13s	remaining: 9m 47s
174:	total: 5m 15s	remaining: 9m 45s
175:	total: 5m 16s	remaining: 9m 42s
176:	total: 5m 17s	remaining: 9m 40s
177:	total: 5m 19s	remaining: 9m 38s
178:	total: 5m 21s	remaining: 9m 37s
179:	total: 5m 23s	remaining: 9m 35s
180:	total: 5m 25s	remaining: 9m 34s
181:	total: 5m 28s	remaining: 9m 33s
182:	total: 5m 29s	remaining: 9m 30s
183:	total: 5m 31s	remaining: 9m 29s
184:	total: 5m 33s	remaining: 9m 27s
185:	total: 5m 35s	remaining: 9m 26s
186:	total: 5m 37s	remaining: 9m 24s
187:	total: 5m 38s	remaining: 9m 22s
188:	total: 5m 40s	remaining: 9m 19s
189:	total: 5m 41s	remaining: 9m 17s
190:	total: 5m 43s	remaining: 9m 15s
191:	total: 5m 45s	remaining: 9m 13s
192:	total: 5m 46s	remaining: 9m 11s
193:	total: 5m 48s	remaining: 9m 9s
194:	total: 5m 50s	remaining: 9m 8s
195:	total: 5m 52s	remaining: 9m 6s
196:	total: 5m 53s	remaining: 9m 4s
197:	total: 5m 55s	remaining: 9m 2s
198:	total: 5m 56s	remaining: 8m 59s
199:	total: 5m 58s	remaining: 8m 57s
200:	total: 6m	remaining: 8m 55s
201:	total: 6m 1s	remaining: 8m 53s
202:	total: 6m 3s	remaining: 8m 51s
203:	total: 6m 5s	remaining: 8m 50s
204:	total: 6m 7s	remaining: 8m 48s
205:	total: 6m 9s	remaining: 8m 47s
206:	total: 6m 10s	remaining: 8m 44s
207:	total: 6m 13s	remaining: 8m 43s
208:	total: 6m 14s	remaining: 8m 41s
209:	total: 6m 16s	remaining: 8m 39s
210:	total: 6m 17s	remaining: 8m 37s
211:	total: 6m 19s	remaining: 8m 36s
212:	total: 6m 22s	remaining: 8m 35s
213:	total: 6m 24s	remaining: 8m 33s
214:	total: 6m 26s	remaining: 8m 32s
215:	total: 6m 28s	remaining: 8m 30s
216:	total: 6m 29s	remaining: 8m 28s
217:	total: 6m 31s	remaining: 8m 26s
218:	total: 6m 32s	remaining: 8m 24s
219:	total: 6m 34s	remaining: 8m 22s
220:	total: 6m 36s	remaining: 8m 20s
