0:	total: 1.15s	remaining: 9m 34s
1:	total: 2.23s	remaining: 9m 16s
2:	total: 3.39s	remaining: 9m 21s
3:	total: 4.55s	remaining: 9m 24s
4:	total: 5.76s	remaining: 9m 30s
5:	total: 6.88s	remaining: 9m 26s
6:	total: 8.02s	remaining: 9m 24s
7:	total: 9.16s	remaining: 9m 23s
8:	total: 10.4s	remaining: 9m 26s
9:	total: 11.5s	remaining: 9m 24s
10:	total: 12.6s	remaining: 9m 21s
11:	total: 13.7s	remaining: 9m 18s
12:	total: 14.8s	remaining: 9m 16s
13:	total: 16s	remaining: 9m 14s
14:	total: 17.1s	remaining: 9m 12s
15:	total: 18.1s	remaining: 9m 8s
16:	total: 19.2s	remaining: 9m 6s
17:	total: 20.4s	remaining: 9m 7s
18:	total: 21.6s	remaining: 9m 5s
19:	total: 22.7s	remaining: 9m 5s
20:	total: 23.8s	remaining: 9m 2s
21:	total: 24.9s	remaining: 9m
22:	total: 26s	remaining: 8m 59s
23:	total: 27.1s	remaining: 8m 57s
24:	total: 28.2s	remaining: 8m 56s
25:	total: 29.3s	remaining: 8m 53s
26:	total: 30.4s	remaining: 8m 52s
27:	total: 31.4s	remaining: 8m 49s
28:	total: 32.5s	remaining: 8m 48s
29:	total: 33.7s	remaining: 8m 48s
30:	total: 34.8s	remaining: 8m 45s
31:	total: 35.8s	remaining: 8m 43s
32:	total: 36.8s	remaining: 8m 41s
33:	total: 37.9s	remaining: 8m 39s
34:	total: 39s	remaining: 8m 37s
35:	total: 40s	remaining: 8m 35s
36:	total: 41.1s	remaining: 8m 34s
37:	total: 42.2s	remaining: 8m 33s
38:	total: 43.3s	remaining: 8m 31s
39:	total: 44.4s	remaining: 8m 30s
40:	total: 45.6s	remaining: 8m 30s
41:	total: 46.7s	remaining: 8m 29s
42:	total: 47.7s	remaining: 8m 27s
43:	total: 48.8s	remaining: 8m 26s
44:	total: 49.9s	remaining: 8m 24s
45:	total: 50.9s	remaining: 8m 22s
46:	total: 52s	remaining: 8m 21s
47:	total: 53.1s	remaining: 8m 19s
48:	total: 54.2s	remaining: 8m 18s
49:	total: 55.2s	remaining: 8m 16s
50:	total: 56.3s	remaining: 8m 15s
51:	total: 57.3s	remaining: 8m 13s
