0:	learn: 10.7201635	total: 198ms	remaining: 1m 38s
1:	learn: 10.5328184	total: 391ms	remaining: 1m 37s
2:	learn: 10.3708403	total: 581ms	remaining: 1m 36s
3:	learn: 10.2269871	total: 776ms	remaining: 1m 36s
4:	learn: 10.0995247	total: 968ms	remaining: 1m 35s
5:	learn: 9.9892713	total: 1.16s	remaining: 1m 35s
6:	learn: 9.8933826	total: 1.34s	remaining: 1m 34s
7:	learn: 9.8040966	total: 1.53s	remaining: 1m 34s
8:	learn: 9.7255120	total: 1.72s	remaining: 1m 33s
9:	learn: 9.6485826	total: 1.91s	remaining: 1m 33s
10:	learn: 9.5846002	total: 2.1s	remaining: 1m 33s
11:	learn: 9.5241366	total: 2.29s	remaining: 1m 33s
12:	learn: 9.4674807	total: 2.48s	remaining: 1m 33s
13:	learn: 9.4171759	total: 2.67s	remaining: 1m 32s
14:	learn: 9.3682099	total: 2.87s	remaining: 1m 32s
15:	learn: 9.3254551	total: 3.05s	remaining: 1m 32s
16:	learn: 9.2843217	total: 3.24s	remaining: 1m 32s
17:	learn: 9.2481454	total: 3.43s	remaining: 1m 31s
18:	learn: 9.2142526	total: 3.61s	remaining: 1m 31s
19:	learn: 9.1799550	total: 3.8s	remaining: 1m 31s
20:	learn: 9.1473661	total: 3.99s	remaining: 1m 31s
21:	learn: 9.1172010	total: 4.21s	remaining: 1m 31s
22:	learn: 9.0918602	total: 4.39s	remaining: 1m 31s
23:	learn: 9.0647495	total: 4.59s	remaining: 1m 31s
24:	learn: 9.0360783	total: 4.78s	remaining: 1m 30s
25:	learn: 9.0110878	total: 4.96s	remaining: 1m 30s
26:	learn: 8.9875256	total: 5.14s	remaining: 1m 30s
27:	learn: 8.9631689	total: 5.32s	remaining: 1m 29s
28:	learn: 8.9400735	total: 5.49s	remaining: 1m 29s
29:	learn: 8.9184176	total: 5.68s	remaining: 1m 28s
30:	learn: 8.8986731	total: 5.87s	remaining: 1m 28s
31:	learn: 8.8788818	total: 6.06s	remaining: 1m 28s
32:	learn: 8.8575724	total: 6.25s	remaining: 1m 28s
33:	learn: 8.8391875	total: 6.44s	remaining: 1m 28s
34:	learn: 8.8200932	total: 6.62s	remaining: 1m 27s
35:	learn: 8.8007165	total: 6.81s	remaining: 1m 27s
36:	learn: 8.7843288	total: 7s	remaining: 1m 27s
37:	learn: 8.7664976	total: 7.18s	remaining: 1m 27s
38:	learn: 8.7510784	total: 7.39s	remaining: 1m 27s
39:	learn: 8.7353436	total: 7.59s	remaining: 1m 27s
40:	learn: 8.7188104	total: 7.76s	remaining: 1m 26s
41:	learn: 8.7035187	total: 7.94s	remaining: 1m 26s
42:	learn: 8.6888042	total: 8.14s	remaining: 1m 26s
43:	learn: 8.6738307	total: 8.34s	remaining: 1m 26s
44:	learn: 8.6587872	total: 8.52s	remaining: 1m 26s
45:	learn: 8.6446616	total: 8.72s	remaining: 1m 26s
46:	learn: 8.6300421	total: 8.91s	remaining: 1m 25s
47:	learn: 8.6157347	total: 9.1s	remaining: 1m 25s
48:	learn: 8.6022577	total: 9.29s	remaining: 1m 25s
49:	learn: 8.5868414	total: 9.45s	remaining: 1m 25s
50:	learn: 8.5727978	total: 9.64s	remaining: 1m 24s
51:	learn: 8.5612400	total: 9.83s	remaining: 1m 24s
52:	learn: 8.5490006	total: 10s	remaining: 1m 24s
53:	learn: 8.5367199	total: 10.2s	remaining: 1m 24s
54:	learn: 8.5238990	total: 10.4s	remaining: 1m 24s
55:	learn: 8.5122225	total: 10.6s	remaining: 1m 24s
56:	learn: 8.4998333	total: 10.8s	remaining: 1m 24s
57:	learn: 8.4889028	total: 11.1s	remaining: 1m 24s
58:	learn: 8.4767491	total: 11.3s	remaining: 1m 24s
59:	learn: 8.4651737	total: 11.5s	remaining: 1m 24s
60:	learn: 8.4536422	total: 11.7s	remaining: 1m 24s
61:	learn: 8.4426397	total: 11.9s	remaining: 1m 24s
62:	learn: 8.4318017	total: 12.1s	remaining: 1m 23s
63:	learn: 8.4201439	total: 12.3s	remaining: 1m 23s
64:	learn: 8.4095715	total: 12.4s	remaining: 1m 23s
65:	learn: 8.3983683	total: 12.6s	remaining: 1m 22s
66:	learn: 8.3880738	total: 12.8s	remaining: 1m 22s
67:	learn: 8.3754221	total: 13s	remaining: 1m 22s
68:	learn: 8.3652410	total: 13.2s	remaining: 1m 22s
69:	learn: 8.3554091	total: 13.4s	remaining: 1m 22s
70:	learn: 8.3434804	total: 13.5s	remaining: 1m 21s
71:	learn: 8.3316338	total: 13.7s	remaining: 1m 21s
72:	learn: 8.3228989	total: 13.9s	remaining: 1m 21s
73:	learn: 8.3138757	total: 14.1s	remaining: 1m 21s
74:	learn: 8.3037484	total: 14.3s	remaining: 1m 20s
75:	learn: 8.2935824	total: 14.4s	remaining: 1m 20s
76:	learn: 8.2826869	total: 14.6s	remaining: 1m 20s
77:	learn: 8.2729132	total: 14.8s	remaining: 1m 20s
78:	learn: 8.2619498	total: 15s	remaining: 1m 19s
79:	learn: 8.2521832	total: 15.2s	remaining: 1m 19s
80:	learn: 8.2426529	total: 15.4s	remaining: 1m 19s
81:	learn: 8.2322995	total: 15.6s	remaining: 1m 19s
82:	learn: 8.2218139	total: 15.7s	remaining: 1m 19s
83:	learn: 8.2122151	total: 15.9s	remaining: 1m 18s
84:	learn: 8.2038427	total: 16.1s	remaining: 1m 18s
85:	learn: 8.1941263	total: 16.3s	remaining: 1m 18s
86:	learn: 8.1849899	total: 16.5s	remaining: 1m 18s
87:	learn: 8.1769518	total: 16.7s	remaining: 1m 18s
88:	learn: 8.1687057	total: 16.9s	remaining: 1m 17s
89:	learn: 8.1588488	total: 17.1s	remaining: 1m 17s
90:	learn: 8.1505407	total: 17.3s	remaining: 1m 17s
91:	learn: 8.1428328	total: 17.4s	remaining: 1m 17s
92:	learn: 8.1344417	total: 17.6s	remaining: 1m 17s
93:	learn: 8.1254012	total: 17.9s	remaining: 1m 17s
94:	learn: 8.1176794	total: 18s	remaining: 1m 16s
95:	learn: 8.1101163	total: 18.2s	remaining: 1m 16s
96:	learn: 8.1025232	total: 18.4s	remaining: 1m 16s
97:	learn: 8.0940622	total: 18.5s	remaining: 1m 16s
98:	learn: 8.0862616	total: 18.7s	remaining: 1m 15s
99:	learn: 8.0785938	total: 18.9s	remaining: 1m 15s
100:	learn: 8.0708500	total: 19s	remaining: 1m 15s
101:	learn: 8.0624947	total: 19.2s	remaining: 1m 15s
102:	learn: 8.0546970	total: 19.4s	remaining: 1m 14s
103:	learn: 8.0463366	total: 19.6s	remaining: 1m 14s
104:	learn: 8.0382889	total: 19.8s	remaining: 1m 14s
105:	learn: 8.0303292	total: 20s	remaining: 1m 14s
106:	learn: 8.0220796	total: 20.2s	remaining: 1m 14s
107:	learn: 8.0141123	total: 20.3s	remaining: 1m 13s
108:	learn: 8.0070476	total: 20.5s	remaining: 1m 13s
109:	learn: 7.9993535	total: 20.7s	remaining: 1m 13s
110:	learn: 7.9913475	total: 20.9s	remaining: 1m 13s
111:	learn: 7.9828896	total: 21.1s	remaining: 1m 13s
112:	learn: 7.9744523	total: 21.3s	remaining: 1m 12s
113:	learn: 7.9661288	total: 21.5s	remaining: 1m 12s
114:	learn: 7.9584243	total: 21.7s	remaining: 1m 12s
115:	learn: 7.9502011	total: 21.9s	remaining: 1m 12s
116:	learn: 7.9433830	total: 22s	remaining: 1m 12s
117:	learn: 7.9355294	total: 22.2s	remaining: 1m 11s
118:	learn: 7.9280498	total: 22.4s	remaining: 1m 11s
119:	learn: 7.9202521	total: 22.6s	remaining: 1m 11s
120:	learn: 7.9134798	total: 22.8s	remaining: 1m 11s
121:	learn: 7.9058761	total: 23s	remaining: 1m 11s
