0:	test: 0.6064363	best: 0.6064363 (0)	total: 55.5ms	remaining: 27.7s
1:	test: 0.6077546	best: 0.6077546 (1)	total: 97.5ms	remaining: 24.3s
2:	test: 0.6064577	best: 0.6077546 (1)	total: 139ms	remaining: 23s
3:	test: 0.6060597	best: 0.6077546 (1)	total: 179ms	remaining: 22.2s
4:	test: 0.6060575	best: 0.6077546 (1)	total: 211ms	remaining: 20.9s
5:	test: 0.6060522	best: 0.6077546 (1)	total: 243ms	remaining: 20s
6:	test: 0.6077347	best: 0.6077546 (1)	total: 282ms	remaining: 19.8s
7:	test: 0.6072011	best: 0.6077546 (1)	total: 323ms	remaining: 19.8s
8:	test: 0.6072011	best: 0.6077546 (1)	total: 354ms	remaining: 19.3s
9:	test: 0.6069467	best: 0.6077546 (1)	total: 393ms	remaining: 19.2s
10:	test: 0.6084651	best: 0.6084651 (10)	total: 430ms	remaining: 19.1s
11:	test: 0.6084736	best: 0.6084736 (11)	total: 463ms	remaining: 18.8s
12:	test: 0.6084734	best: 0.6084736 (11)	total: 495ms	remaining: 18.5s
13:	test: 0.6091207	best: 0.6091207 (13)	total: 534ms	remaining: 18.6s
14:	test: 0.6091203	best: 0.6091207 (13)	total: 578ms	remaining: 18.7s
15:	test: 0.6114194	best: 0.6114194 (15)	total: 637ms	remaining: 19.3s
16:	test: 0.6114081	best: 0.6114194 (15)	total: 696ms	remaining: 19.8s
17:	test: 0.6114081	best: 0.6114194 (15)	total: 748ms	remaining: 20s
18:	test: 0.6115311	best: 0.6115311 (18)	total: 802ms	remaining: 20.3s
19:	test: 0.6116512	best: 0.6116512 (19)	total: 859ms	remaining: 20.6s
20:	test: 0.6116509	best: 0.6116512 (19)	total: 891ms	remaining: 20.3s
21:	test: 0.6116502	best: 0.6116512 (19)	total: 922ms	remaining: 20s
22:	test: 0.6120553	best: 0.6120553 (22)	total: 954ms	remaining: 19.8s
23:	test: 0.6120588	best: 0.6120588 (23)	total: 989ms	remaining: 19.6s
24:	test: 0.6117497	best: 0.6120588 (23)	total: 1.03s	remaining: 19.5s
25:	test: 0.6117566	best: 0.6120588 (23)	total: 1.06s	remaining: 19.3s
26:	test: 0.6117378	best: 0.6120588 (23)	total: 1.09s	remaining: 19.1s
27:	test: 0.6121783	best: 0.6121783 (27)	total: 1.13s	remaining: 19.1s
28:	test: 0.6121585	best: 0.6121783 (27)	total: 1.17s	remaining: 19s
29:	test: 0.6121752	best: 0.6121783 (27)	total: 1.2s	remaining: 18.8s
30:	test: 0.6122923	best: 0.6122923 (30)	total: 1.24s	remaining: 18.7s
31:	test: 0.6123418	best: 0.6123418 (31)	total: 1.28s	remaining: 18.7s
32:	test: 0.6126277	best: 0.6126277 (32)	total: 1.32s	remaining: 18.6s
33:	test: 0.6151849	best: 0.6151849 (33)	total: 1.36s	remaining: 18.6s
34:	test: 0.6153058	best: 0.6153058 (34)	total: 1.4s	remaining: 18.6s
35:	test: 0.6140294	best: 0.6153058 (34)	total: 1.46s	remaining: 18.8s
36:	test: 0.6140328	best: 0.6153058 (34)	total: 1.5s	remaining: 18.8s
37:	test: 0.6140352	best: 0.6153058 (34)	total: 1.54s	remaining: 18.7s
38:	test: 0.6141531	best: 0.6153058 (34)	total: 1.58s	remaining: 18.6s
39:	test: 0.6139234	best: 0.6153058 (34)	total: 1.61s	remaining: 18.6s
40:	test: 0.6138745	best: 0.6153058 (34)	total: 1.65s	remaining: 18.5s
41:	test: 0.6143049	best: 0.6153058 (34)	total: 1.68s	remaining: 18.4s
42:	test: 0.6644881	best: 0.6644881 (42)	total: 1.72s	remaining: 18.3s
43:	test: 0.6649930	best: 0.6649930 (43)	total: 1.76s	remaining: 18.3s
44:	test: 0.6647666	best: 0.6649930 (43)	total: 1.8s	remaining: 18.2s
45:	test: 0.6649872	best: 0.6649930 (43)	total: 1.84s	remaining: 18.1s
46:	test: 0.6643570	best: 0.6649930 (43)	total: 1.88s	remaining: 18.1s
47:	test: 0.6643599	best: 0.6649930 (43)	total: 1.92s	remaining: 18.1s
48:	test: 0.6651888	best: 0.6651888 (48)	total: 1.96s	remaining: 18s
49:	test: 0.6649373	best: 0.6651888 (48)	total: 1.99s	remaining: 17.9s
50:	test: 0.6702105	best: 0.6702105 (50)	total: 2.03s	remaining: 17.9s
51:	test: 0.6703119	best: 0.6703119 (51)	total: 2.07s	remaining: 17.8s
52:	test: 0.6702440	best: 0.6703119 (51)	total: 2.11s	remaining: 17.8s
53:	test: 0.6698692	best: 0.6703119 (51)	total: 2.16s	remaining: 17.9s
54:	test: 0.6698054	best: 0.6703119 (51)	total: 2.22s	remaining: 18s
55:	test: 0.6704782	best: 0.6704782 (55)	total: 2.26s	remaining: 17.9s
56:	test: 0.6704322	best: 0.6704782 (55)	total: 2.3s	remaining: 17.9s
57:	test: 0.6701517	best: 0.6704782 (55)	total: 2.35s	remaining: 17.9s
