0:	test: 0.6063227	best: 0.6063227 (0)	total: 46ms	remaining: 23s
1:	test: 0.6076826	best: 0.6076826 (1)	total: 90.5ms	remaining: 22.5s
2:	test: 0.6075762	best: 0.6076826 (1)	total: 134ms	remaining: 22.1s
3:	test: 0.6072565	best: 0.6076826 (1)	total: 175ms	remaining: 21.6s
4:	test: 0.6072565	best: 0.6076826 (1)	total: 208ms	remaining: 20.6s
5:	test: 0.6072565	best: 0.6076826 (1)	total: 241ms	remaining: 19.9s
6:	test: 0.6085034	best: 0.6085034 (6)	total: 282ms	remaining: 19.9s
7:	test: 0.6100924	best: 0.6100924 (7)	total: 323ms	remaining: 19.8s
8:	test: 0.6100875	best: 0.6100924 (7)	total: 355ms	remaining: 19.4s
9:	test: 0.6103204	best: 0.6103204 (9)	total: 394ms	remaining: 19.3s
10:	test: 0.6102062	best: 0.6103204 (9)	total: 429ms	remaining: 19.1s
11:	test: 0.6110544	best: 0.6110544 (11)	total: 469ms	remaining: 19.1s
12:	test: 0.6108568	best: 0.6110544 (11)	total: 508ms	remaining: 19s
13:	test: 0.6107136	best: 0.6110544 (11)	total: 551ms	remaining: 19.1s
14:	test: 0.6106779	best: 0.6110544 (11)	total: 587ms	remaining: 19s
15:	test: 0.6093149	best: 0.6110544 (11)	total: 630ms	remaining: 19s
16:	test: 0.6102303	best: 0.6110544 (11)	total: 664ms	remaining: 18.9s
17:	test: 0.6111723	best: 0.6111723 (17)	total: 702ms	remaining: 18.8s
18:	test: 0.6108082	best: 0.6111723 (17)	total: 739ms	remaining: 18.7s
19:	test: 0.6108047	best: 0.6111723 (17)	total: 773ms	remaining: 18.6s
20:	test: 0.6108697	best: 0.6111723 (17)	total: 812ms	remaining: 18.5s
21:	test: 0.6116347	best: 0.6116347 (21)	total: 856ms	remaining: 18.6s
22:	test: 0.6111967	best: 0.6116347 (21)	total: 954ms	remaining: 19.8s
23:	test: 0.6111966	best: 0.6116347 (21)	total: 988ms	remaining: 19.6s
24:	test: 0.6123421	best: 0.6123421 (24)	total: 1.03s	remaining: 19.5s
25:	test: 0.6123931	best: 0.6123931 (25)	total: 1.07s	remaining: 19.5s
26:	test: 0.6142020	best: 0.6142020 (26)	total: 1.1s	remaining: 19.4s
27:	test: 0.6156291	best: 0.6156291 (27)	total: 1.15s	remaining: 19.3s
28:	test: 0.6156290	best: 0.6156291 (27)	total: 1.18s	remaining: 19.2s
29:	test: 0.6156252	best: 0.6156291 (27)	total: 1.22s	remaining: 19.1s
30:	test: 0.6155832	best: 0.6156291 (27)	total: 1.26s	remaining: 19s
31:	test: 0.6159303	best: 0.6159303 (31)	total: 1.3s	remaining: 19s
32:	test: 0.6159473	best: 0.6159473 (32)	total: 1.33s	remaining: 18.9s
33:	test: 0.6159226	best: 0.6159473 (32)	total: 1.37s	remaining: 18.7s
34:	test: 0.6159148	best: 0.6159473 (32)	total: 1.4s	remaining: 18.6s
35:	test: 0.6159147	best: 0.6159473 (32)	total: 1.44s	remaining: 18.5s
36:	test: 0.6150261	best: 0.6159473 (32)	total: 1.48s	remaining: 18.5s
37:	test: 0.6154044	best: 0.6159473 (32)	total: 1.52s	remaining: 18.5s
38:	test: 0.6154049	best: 0.6159473 (32)	total: 1.56s	remaining: 18.4s
39:	test: 0.6154322	best: 0.6159473 (32)	total: 1.59s	remaining: 18.3s
40:	test: 0.6154336	best: 0.6159473 (32)	total: 1.63s	remaining: 18.3s
41:	test: 0.6162861	best: 0.6162861 (41)	total: 1.67s	remaining: 18.2s
42:	test: 0.6162855	best: 0.6162861 (41)	total: 1.71s	remaining: 18.2s
43:	test: 0.6644413	best: 0.6644413 (43)	total: 1.75s	remaining: 18.1s
44:	test: 0.6644179	best: 0.6644413 (43)	total: 1.79s	remaining: 18.2s
45:	test: 0.6646684	best: 0.6646684 (45)	total: 1.84s	remaining: 18.1s
46:	test: 0.6647396	best: 0.6647396 (46)	total: 1.87s	remaining: 18.1s
47:	test: 0.6650572	best: 0.6650572 (47)	total: 1.92s	remaining: 18.1s
48:	test: 0.6646878	best: 0.6650572 (47)	total: 1.96s	remaining: 18.1s
49:	test: 0.6646261	best: 0.6650572 (47)	total: 2s	remaining: 18s
50:	test: 0.6649420	best: 0.6650572 (47)	total: 2.04s	remaining: 18s
51:	test: 0.6646121	best: 0.6650572 (47)	total: 2.08s	remaining: 18s
52:	test: 0.6664076	best: 0.6664076 (52)	total: 2.13s	remaining: 17.9s
53:	test: 0.6667954	best: 0.6667954 (53)	total: 2.17s	remaining: 17.9s
54:	test: 0.6701501	best: 0.6701501 (54)	total: 2.21s	remaining: 17.9s
55:	test: 0.6793984	best: 0.6793984 (55)	total: 2.25s	remaining: 17.9s
56:	test: 0.6793838	best: 0.6793984 (55)	total: 2.29s	remaining: 17.8s
57:	test: 0.6774982	best: 0.6793984 (55)	total: 2.33s	remaining: 17.8s
58:	test: 0.6795687	best: 0.6795687 (58)	total: 2.38s	remaining: 17.8s
59:	test: 0.6796566	best: 0.6796566 (59)	total: 2.42s	remaining: 17.7s
60:	test: 0.6803139	best: 0.6803139 (60)	total: 2.46s	remaining: 17.7s
61:	test: 0.6803911	best: 0.6803911 (61)	total: 2.5s	remaining: 17.7s
62:	test: 0.6804968	best: 0.6804968 (62)	total: 2.55s	remaining: 17.7s
63:	test: 0.6807312	best: 0.6807312 (63)	total: 2.59s	remaining: 17.7s
64:	test: 0.6807526	best: 0.6807526 (64)	total: 2.63s	remaining: 17.6s
65:	test: 0.6824819	best: 0.6824819 (65)	total: 2.68s	remaining: 17.6s
66:	test: 0.6824826	best: 0.6824826 (66)	total: 2.72s	remaining: 17.6s
67:	test: 0.6823409	best: 0.6824826 (66)	total: 2.77s	remaining: 17.6s
68:	test: 0.6822626	best: 0.6824826 (66)	total: 2.81s	remaining: 17.5s
69:	test: 0.6826561	best: 0.6826561 (69)	total: 2.85s	remaining: 17.5s
70:	test: 0.6825433	best: 0.6826561 (69)	total: 2.9s	remaining: 17.5s
71:	test: 0.6820564	best: 0.6826561 (69)	total: 2.94s	remaining: 17.5s
72:	test: 0.6823017	best: 0.6826561 (69)	total: 2.98s	remaining: 17.4s
73:	test: 0.6822257	best: 0.6826561 (69)	total: 3.02s	remaining: 17.4s
74:	test: 0.6838160	best: 0.6838160 (74)	total: 3.07s	remaining: 17.4s
75:	test: 0.6839610	best: 0.6839610 (75)	total: 3.12s	remaining: 17.4s
76:	test: 0.6834453	best: 0.6839610 (75)	total: 3.16s	remaining: 17.3s
77:	test: 0.6831900	best: 0.6839610 (75)	total: 3.2s	remaining: 17.3s
78:	test: 0.6832405	best: 0.6839610 (75)	total: 3.24s	remaining: 17.3s
79:	test: 0.6836552	best: 0.6839610 (75)	total: 3.29s	remaining: 17.3s
80:	test: 0.6838576	best: 0.6839610 (75)	total: 3.33s	remaining: 17.2s
81:	test: 0.6842024	best: 0.6842024 (81)	total: 3.38s	remaining: 17.2s
82:	test: 0.6842697	best: 0.6842697 (82)	total: 3.42s	remaining: 17.2s
83:	test: 0.6841395	best: 0.6842697 (82)	total: 3.46s	remaining: 17.2s
84:	test: 0.6844046	best: 0.6844046 (84)	total: 3.51s	remaining: 17.1s
85:	test: 0.6848069	best: 0.6848069 (85)	total: 3.56s	remaining: 17.1s
86:	test: 0.6855268	best: 0.6855268 (86)	total: 3.6s	remaining: 17.1s
87:	test: 0.6857999	best: 0.6857999 (87)	total: 3.65s	remaining: 17.1s
88:	test: 0.6864696	best: 0.6864696 (88)	total: 3.7s	remaining: 17.1s
89:	test: 0.6866390	best: 0.6866390 (89)	total: 3.74s	remaining: 17s
90:	test: 0.6867281	best: 0.6867281 (90)	total: 3.79s	remaining: 17s
91:	test: 0.6869184	best: 0.6869184 (91)	total: 3.83s	remaining: 17s
92:	test: 0.6872315	best: 0.6872315 (92)	total: 3.88s	remaining: 17s
93:	test: 0.6872395	best: 0.6872395 (93)	total: 3.93s	remaining: 17s
94:	test: 0.6899031	best: 0.6899031 (94)	total: 3.98s	remaining: 16.9s
95:	test: 0.6896826	best: 0.6899031 (94)	total: 4.02s	remaining: 16.9s
96:	test: 0.6894677	best: 0.6899031 (94)	total: 4.06s	remaining: 16.9s
97:	test: 0.6894179	best: 0.6899031 (94)	total: 4.11s	remaining: 16.9s
98:	test: 0.6894296	best: 0.6899031 (94)	total: 4.15s	remaining: 16.8s
99:	test: 0.6907820	best: 0.6907820 (99)	total: 4.19s	remaining: 16.8s
100:	test: 0.6943515	best: 0.6943515 (100)	total: 4.24s	remaining: 16.8s
101:	test: 0.6941084	best: 0.6943515 (100)	total: 4.29s	remaining: 16.7s
102:	test: 0.6944908	best: 0.6944908 (102)	total: 4.33s	remaining: 16.7s
