0:	test: 0.7520248	best: 0.7520248 (0)	total: 258ms	remaining: 2m 8s
1:	test: 0.7743440	best: 0.7743440 (1)	total: 481ms	remaining: 1m 59s
2:	test: 0.7883081	best: 0.7883081 (2)	total: 702ms	remaining: 1m 56s
3:	test: 0.7965556	best: 0.7965556 (3)	total: 924ms	remaining: 1m 54s
4:	test: 0.8059165	best: 0.8059165 (4)	total: 1.16s	remaining: 1m 54s
5:	test: 0.8128774	best: 0.8128774 (5)	total: 1.38s	remaining: 1m 53s
6:	test: 0.8210217	best: 0.8210217 (6)	total: 1.62s	remaining: 1m 53s
7:	test: 0.8273829	best: 0.8273829 (7)	total: 1.84s	remaining: 1m 53s
8:	test: 0.8327112	best: 0.8327112 (8)	total: 2.06s	remaining: 1m 52s
9:	test: 0.8381684	best: 0.8381684 (9)	total: 2.28s	remaining: 1m 51s
10:	test: 0.8422628	best: 0.8422628 (10)	total: 2.51s	remaining: 1m 51s
11:	test: 0.8467582	best: 0.8467582 (11)	total: 2.73s	remaining: 1m 51s
12:	test: 0.8503188	best: 0.8503188 (12)	total: 2.95s	remaining: 1m 50s
13:	test: 0.8538697	best: 0.8538697 (13)	total: 3.18s	remaining: 1m 50s
14:	test: 0.8572471	best: 0.8572471 (14)	total: 3.4s	remaining: 1m 49s
15:	test: 0.8603628	best: 0.8603628 (15)	total: 3.62s	remaining: 1m 49s
16:	test: 0.8633627	best: 0.8633627 (16)	total: 3.84s	remaining: 1m 49s
17:	test: 0.8663356	best: 0.8663356 (17)	total: 4.06s	remaining: 1m 48s
18:	test: 0.8691591	best: 0.8691591 (18)	total: 4.28s	remaining: 1m 48s
19:	test: 0.8716464	best: 0.8716464 (19)	total: 4.5s	remaining: 1m 48s
20:	test: 0.8739166	best: 0.8739166 (20)	total: 4.74s	remaining: 1m 48s
21:	test: 0.8760505	best: 0.8760505 (21)	total: 4.96s	remaining: 1m 47s
22:	test: 0.8780888	best: 0.8780888 (22)	total: 5.18s	remaining: 1m 47s
23:	test: 0.8802673	best: 0.8802673 (23)	total: 5.4s	remaining: 1m 47s
