0:	test: 0.7718651	best: 0.7718651 (0)	total: 156ms	remaining: 1m 18s
1:	test: 0.7780370	best: 0.7780370 (1)	total: 306ms	remaining: 1m 16s
2:	test: 0.7823068	best: 0.7823068 (2)	total: 454ms	remaining: 1m 15s
3:	test: 0.7849125	best: 0.7849125 (3)	total: 601ms	remaining: 1m 14s
4:	test: 0.7877865	best: 0.7877865 (4)	total: 749ms	remaining: 1m 14s
5:	test: 0.7897227	best: 0.7897227 (5)	total: 898ms	remaining: 1m 13s
6:	test: 0.7917209	best: 0.7917209 (6)	total: 1.06s	remaining: 1m 14s
7:	test: 0.7933058	best: 0.7933058 (7)	total: 1.21s	remaining: 1m 14s
8:	test: 0.7949986	best: 0.7949986 (8)	total: 1.36s	remaining: 1m 14s
9:	test: 0.7965562	best: 0.7965562 (9)	total: 1.51s	remaining: 1m 13s
10:	test: 0.7979617	best: 0.7979617 (10)	total: 1.66s	remaining: 1m 13s
11:	test: 0.7994009	best: 0.7994009 (11)	total: 1.81s	remaining: 1m 13s
12:	test: 0.8005888	best: 0.8005888 (12)	total: 1.96s	remaining: 1m 13s
13:	test: 0.8023367	best: 0.8023367 (13)	total: 2.11s	remaining: 1m 13s
14:	test: 0.8034913	best: 0.8034913 (14)	total: 2.25s	remaining: 1m 12s
15:	test: 0.8043906	best: 0.8043906 (15)	total: 2.39s	remaining: 1m 12s
16:	test: 0.8053408	best: 0.8053408 (16)	total: 2.54s	remaining: 1m 12s
17:	test: 0.8064184	best: 0.8064184 (17)	total: 2.68s	remaining: 1m 11s
18:	test: 0.8075079	best: 0.8075079 (18)	total: 2.85s	remaining: 1m 12s
19:	test: 0.8084711	best: 0.8084711 (19)	total: 2.99s	remaining: 1m 11s
20:	test: 0.8093981	best: 0.8093981 (20)	total: 3.13s	remaining: 1m 11s
21:	test: 0.8101693	best: 0.8101693 (21)	total: 3.28s	remaining: 1m 11s
22:	test: 0.8109816	best: 0.8109816 (22)	total: 3.42s	remaining: 1m 10s
23:	test: 0.8116506	best: 0.8116506 (23)	total: 3.56s	remaining: 1m 10s
24:	test: 0.8122726	best: 0.8122726 (24)	total: 3.71s	remaining: 1m 10s
25:	test: 0.8129119	best: 0.8129119 (25)	total: 3.87s	remaining: 1m 10s
26:	test: 0.8135344	best: 0.8135344 (26)	total: 4.01s	remaining: 1m 10s
27:	test: 0.8141979	best: 0.8141979 (27)	total: 4.17s	remaining: 1m 10s
28:	test: 0.8147919	best: 0.8147919 (28)	total: 4.32s	remaining: 1m 10s
29:	test: 0.8153122	best: 0.8153122 (29)	total: 4.48s	remaining: 1m 10s
30:	test: 0.8158572	best: 0.8158572 (30)	total: 4.63s	remaining: 1m 10s
31:	test: 0.8163416	best: 0.8163416 (31)	total: 4.81s	remaining: 1m 10s
32:	test: 0.8167917	best: 0.8167917 (32)	total: 4.98s	remaining: 1m 10s
33:	test: 0.8172660	best: 0.8172660 (33)	total: 5.14s	remaining: 1m 10s
34:	test: 0.8177528	best: 0.8177528 (34)	total: 5.31s	remaining: 1m 10s
35:	test: 0.8181119	best: 0.8181119 (35)	total: 5.46s	remaining: 1m 10s
36:	test: 0.8185292	best: 0.8185292 (36)	total: 5.62s	remaining: 1m 10s
37:	test: 0.8189719	best: 0.8189719 (37)	total: 5.77s	remaining: 1m 10s
38:	test: 0.8193069	best: 0.8193069 (38)	total: 5.92s	remaining: 1m 9s
39:	test: 0.8198459	best: 0.8198459 (39)	total: 6.08s	remaining: 1m 9s
40:	test: 0.8202439	best: 0.8202439 (40)	total: 6.23s	remaining: 1m 9s
41:	test: 0.8205882	best: 0.8205882 (41)	total: 6.39s	remaining: 1m 9s
42:	test: 0.8208985	best: 0.8208985 (42)	total: 6.62s	remaining: 1m 10s
43:	test: 0.8212075	best: 0.8212075 (43)	total: 6.84s	remaining: 1m 10s
44:	test: 0.8215017	best: 0.8215017 (44)	total: 7.08s	remaining: 1m 11s
45:	test: 0.8218725	best: 0.8218725 (45)	total: 7.32s	remaining: 1m 12s
46:	test: 0.8221804	best: 0.8221804 (46)	total: 7.54s	remaining: 1m 12s
47:	test: 0.8224601	best: 0.8224601 (47)	total: 7.78s	remaining: 1m 13s
48:	test: 0.8227872	best: 0.8227872 (48)	total: 7.93s	remaining: 1m 12s
49:	test: 0.8231289	best: 0.8231289 (49)	total: 8.08s	remaining: 1m 12s
50:	test: 0.8233923	best: 0.8233923 (50)	total: 8.23s	remaining: 1m 12s
51:	test: 0.8236252	best: 0.8236252 (51)	total: 8.38s	remaining: 1m 12s
52:	test: 0.8238915	best: 0.8238915 (52)	total: 8.62s	remaining: 1m 12s
53:	test: 0.8241262	best: 0.8241262 (53)	total: 8.82s	remaining: 1m 12s
54:	test: 0.8244203	best: 0.8244203 (54)	total: 8.97s	remaining: 1m 12s
55:	test: 0.8247225	best: 0.8247225 (55)	total: 9.12s	remaining: 1m 12s
56:	test: 0.8249241	best: 0.8249241 (56)	total: 9.28s	remaining: 1m 12s
57:	test: 0.8251692	best: 0.8251692 (57)	total: 9.42s	remaining: 1m 11s
