Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:top=10;type=Exp is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
0:	test: 0.7149135	best: 0.7149135 (0)	total: 203ms	remaining: 1m 41s
1:	test: 0.7357338	best: 0.7357338 (1)	total: 345ms	remaining: 1m 25s
2:	test: 0.7479628	best: 0.7479628 (2)	total: 489ms	remaining: 1m 21s
3:	test: 0.7529415	best: 0.7529415 (3)	total: 632ms	remaining: 1m 18s
4:	test: 0.7546872	best: 0.7546872 (4)	total: 773ms	remaining: 1m 16s
5:	test: 0.7575170	best: 0.7575170 (5)	total: 916ms	remaining: 1m 15s
6:	test: 0.7585932	best: 0.7585932 (6)	total: 1.06s	remaining: 1m 14s
7:	test: 0.7604988	best: 0.7604988 (7)	total: 1.21s	remaining: 1m 14s
8:	test: 0.7617972	best: 0.7617972 (8)	total: 1.37s	remaining: 1m 14s
9:	test: 0.7634295	best: 0.7634295 (9)	total: 1.51s	remaining: 1m 14s
10:	test: 0.7643247	best: 0.7643247 (10)	total: 1.67s	remaining: 1m 14s
11:	test: 0.7650470	best: 0.7650470 (11)	total: 1.81s	remaining: 1m 13s
12:	test: 0.7657465	best: 0.7657465 (12)	total: 1.96s	remaining: 1m 13s
13:	test: 0.7661341	best: 0.7661341 (13)	total: 2.1s	remaining: 1m 13s
14:	test: 0.7669792	best: 0.7669792 (14)	total: 2.25s	remaining: 1m 12s
15:	test: 0.7678565	best: 0.7678565 (15)	total: 2.39s	remaining: 1m 12s
16:	test: 0.7686271	best: 0.7686271 (16)	total: 2.54s	remaining: 1m 12s
17:	test: 0.7690770	best: 0.7690770 (17)	total: 2.68s	remaining: 1m 11s
18:	test: 0.7696653	best: 0.7696653 (18)	total: 2.83s	remaining: 1m 11s
19:	test: 0.7704218	best: 0.7704218 (19)	total: 2.97s	remaining: 1m 11s
20:	test: 0.7706424	best: 0.7706424 (20)	total: 3.12s	remaining: 1m 11s
21:	test: 0.7708001	best: 0.7708001 (21)	total: 3.26s	remaining: 1m 10s
22:	test: 0.7713529	best: 0.7713529 (22)	total: 3.4s	remaining: 1m 10s
23:	test: 0.7717517	best: 0.7717517 (23)	total: 3.56s	remaining: 1m 10s
24:	test: 0.7719075	best: 0.7719075 (24)	total: 3.7s	remaining: 1m 10s
25:	test: 0.7717581	best: 0.7719075 (24)	total: 3.85s	remaining: 1m 10s
26:	test: 0.7720898	best: 0.7720898 (26)	total: 4.07s	remaining: 1m 11s
27:	test: 0.7724442	best: 0.7724442 (27)	total: 4.29s	remaining: 1m 12s
28:	test: 0.7727765	best: 0.7727765 (28)	total: 4.48s	remaining: 1m 12s
29:	test: 0.7729211	best: 0.7729211 (29)	total: 4.71s	remaining: 1m 13s
30:	test: 0.7732342	best: 0.7732342 (30)	total: 4.93s	remaining: 1m 14s
