0:	learn: 10.6989892	test: 10.6323894	best: 10.6323894 (0)	total: 80.2ms	remaining: 40s
1:	learn: 10.4889420	test: 10.4452443	best: 10.4452443 (1)	total: 162ms	remaining: 40.4s
2:	learn: 10.3093859	test: 10.2889034	best: 10.2889034 (2)	total: 238ms	remaining: 39.4s
3:	learn: 10.1515939	test: 10.1519394	best: 10.1519394 (3)	total: 313ms	remaining: 38.8s
4:	learn: 10.0149088	test: 10.0357785	best: 10.0357785 (4)	total: 408ms	remaining: 40.3s
5:	learn: 9.8924216	test: 9.9323745	best: 9.9323745 (5)	total: 483ms	remaining: 39.8s
6:	learn: 9.7830008	test: 9.8439932	best: 9.8439932 (6)	total: 559ms	remaining: 39.4s
7:	learn: 9.6879908	test: 9.7690432	best: 9.7690432 (7)	total: 635ms	remaining: 39s
8:	learn: 9.6024488	test: 9.7032195	best: 9.7032195 (8)	total: 709ms	remaining: 38.7s
9:	learn: 9.5243406	test: 9.6438170	best: 9.6438170 (9)	total: 784ms	remaining: 38.4s
10:	learn: 9.4535656	test: 9.5918266	best: 9.5918266 (10)	total: 859ms	remaining: 38.2s
11:	learn: 9.3876024	test: 9.5465718	best: 9.5465718 (11)	total: 935ms	remaining: 38s
12:	learn: 9.3283629	test: 9.5047579	best: 9.5047579 (12)	total: 1.01s	remaining: 38s
13:	learn: 9.2729815	test: 9.4675470	best: 9.4675470 (13)	total: 1.09s	remaining: 37.9s
14:	learn: 9.2215550	test: 9.4361643	best: 9.4361643 (14)	total: 1.17s	remaining: 37.7s
15:	learn: 9.1720495	test: 9.4023988	best: 9.4023988 (15)	total: 1.24s	remaining: 37.6s
16:	learn: 9.1261197	test: 9.3762721	best: 9.3762721 (16)	total: 1.32s	remaining: 37.6s
17:	learn: 9.0846998	test: 9.3525728	best: 9.3525728 (17)	total: 1.39s	remaining: 37.3s
18:	learn: 9.0467161	test: 9.3338146	best: 9.3338146 (18)	total: 1.46s	remaining: 37s
19:	learn: 9.0098873	test: 9.3141427	best: 9.3141427 (19)	total: 1.52s	remaining: 36.6s
20:	learn: 8.9770925	test: 9.2966597	best: 9.2966597 (20)	total: 1.59s	remaining: 36.2s
21:	learn: 8.9430827	test: 9.2792444	best: 9.2792444 (21)	total: 1.66s	remaining: 36.1s
22:	learn: 8.9127567	test: 9.2656827	best: 9.2656827 (22)	total: 1.73s	remaining: 36s
23:	learn: 8.8824966	test: 9.2492023	best: 9.2492023 (23)	total: 1.8s	remaining: 35.7s
24:	learn: 8.8556015	test: 9.2387213	best: 9.2387213 (24)	total: 1.87s	remaining: 35.5s
25:	learn: 8.8276907	test: 9.2275629	best: 9.2275629 (25)	total: 1.93s	remaining: 35.2s
26:	learn: 8.8019978	test: 9.2184851	best: 9.2184851 (26)	total: 2s	remaining: 35.1s
27:	learn: 8.7775898	test: 9.2074484	best: 9.2074484 (27)	total: 2.07s	remaining: 34.9s
28:	learn: 8.7526904	test: 9.1990745	best: 9.1990745 (28)	total: 2.13s	remaining: 34.7s
29:	learn: 8.7274102	test: 9.1900354	best: 9.1900354 (29)	total: 2.2s	remaining: 34.5s
30:	learn: 8.7052335	test: 9.1813323	best: 9.1813323 (30)	total: 2.27s	remaining: 34.3s
31:	learn: 8.6834377	test: 9.1744251	best: 9.1744251 (31)	total: 2.34s	remaining: 34.2s
32:	learn: 8.6620272	test: 9.1654700	best: 9.1654700 (32)	total: 2.41s	remaining: 34.1s
33:	learn: 8.6406770	test: 9.1591244	best: 9.1591244 (33)	total: 2.48s	remaining: 33.9s
