0:	learn: 10.6984034	test: 10.6342009	best: 10.6342009 (0)	total: 140ms	remaining: 1m 9s
1:	learn: 10.4914117	test: 10.4516364	best: 10.4516364 (1)	total: 216ms	remaining: 53.8s
2:	learn: 10.3119906	test: 10.2929180	best: 10.2929180 (2)	total: 292ms	remaining: 48.3s
3:	learn: 10.1531399	test: 10.1535557	best: 10.1535557 (3)	total: 365ms	remaining: 45.3s
4:	learn: 10.0170167	test: 10.0367488	best: 10.0367488 (4)	total: 438ms	remaining: 43.4s
5:	learn: 9.8940337	test: 9.9343331	best: 9.9343331 (5)	total: 511ms	remaining: 42.1s
6:	learn: 9.7846385	test: 9.8462198	best: 9.8462198 (6)	total: 582ms	remaining: 41s
7:	learn: 9.6898467	test: 9.7697311	best: 9.7697311 (7)	total: 656ms	remaining: 40.4s
8:	learn: 9.6030022	test: 9.7013066	best: 9.7013066 (8)	total: 1s	remaining: 54.8s
9:	learn: 9.5238519	test: 9.6406753	best: 9.6406753 (9)	total: 1.08s	remaining: 52.8s
10:	learn: 9.4519344	test: 9.5893825	best: 9.5893825 (10)	total: 1.16s	remaining: 51.8s
11:	learn: 9.3869127	test: 9.5448907	best: 9.5448907 (11)	total: 1.23s	remaining: 50s
12:	learn: 9.3280189	test: 9.5054614	best: 9.5054614 (12)	total: 1.29s	remaining: 48.5s
13:	learn: 9.2722201	test: 9.4686630	best: 9.4686630 (13)	total: 1.36s	remaining: 47.1s
14:	learn: 9.2197495	test: 9.4348470	best: 9.4348470 (14)	total: 1.42s	remaining: 46s
15:	learn: 9.1740567	test: 9.4082540	best: 9.4082540 (15)	total: 1.49s	remaining: 45s
16:	learn: 9.1275795	test: 9.3791739	best: 9.3791739 (16)	total: 1.55s	remaining: 44s
17:	learn: 9.0864714	test: 9.3548744	best: 9.3548744 (17)	total: 1.61s	remaining: 43.2s
18:	learn: 9.0492349	test: 9.3322172	best: 9.3322172 (18)	total: 1.68s	remaining: 42.5s
19:	learn: 9.0129676	test: 9.3124400	best: 9.3124400 (19)	total: 1.74s	remaining: 41.8s
20:	learn: 8.9786735	test: 9.2929807	best: 9.2929807 (20)	total: 1.8s	remaining: 41.1s
21:	learn: 8.9448149	test: 9.2748094	best: 9.2748094 (21)	total: 1.88s	remaining: 40.7s
22:	learn: 8.9141773	test: 9.2605066	best: 9.2605066 (22)	total: 1.94s	remaining: 40.3s
23:	learn: 8.8844343	test: 9.2457810	best: 9.2457810 (23)	total: 2.01s	remaining: 40s
24:	learn: 8.8572475	test: 9.2340492	best: 9.2340492 (24)	total: 2.08s	remaining: 39.5s
25:	learn: 8.8305607	test: 9.2209115	best: 9.2209115 (25)	total: 2.15s	remaining: 39.2s
26:	learn: 8.8048315	test: 9.2118764	best: 9.2118764 (26)	total: 2.22s	remaining: 38.9s
27:	learn: 8.7790569	test: 9.2003377	best: 9.2003377 (27)	total: 2.28s	remaining: 38.5s
28:	learn: 8.7531852	test: 9.1891786	best: 9.1891786 (28)	total: 2.35s	remaining: 38.2s
29:	learn: 8.7274760	test: 9.1787266	best: 9.1787266 (29)	total: 2.42s	remaining: 37.9s
30:	learn: 8.7050650	test: 9.1721553	best: 9.1721553 (30)	total: 2.49s	remaining: 37.6s
31:	learn: 8.6829350	test: 9.1644571	best: 9.1644571 (31)	total: 2.55s	remaining: 37.3s
32:	learn: 8.6615626	test: 9.1553574	best: 9.1553574 (32)	total: 2.62s	remaining: 37.1s
33:	learn: 8.6400221	test: 9.1497177	best: 9.1497177 (33)	total: 2.69s	remaining: 36.8s
34:	learn: 8.6199569	test: 9.1439533	best: 9.1439533 (34)	total: 2.75s	remaining: 36.6s
35:	learn: 8.6005309	test: 9.1390108	best: 9.1390108 (35)	total: 2.82s	remaining: 36.4s
36:	learn: 8.5787069	test: 9.1320949	best: 9.1320949 (36)	total: 2.89s	remaining: 36.2s
37:	learn: 8.5598207	test: 9.1287178	best: 9.1287178 (37)	total: 2.97s	remaining: 36.1s
38:	learn: 8.5406746	test: 9.1247520	best: 9.1247520 (38)	total: 3.03s	remaining: 35.9s
39:	learn: 8.5234693	test: 9.1197098	best: 9.1197098 (39)	total: 3.1s	remaining: 35.6s
40:	learn: 8.5045892	test: 9.1138855	best: 9.1138855 (40)	total: 3.17s	remaining: 35.4s
41:	learn: 8.4870241	test: 9.1106180	best: 9.1106180 (41)	total: 3.23s	remaining: 35.3s
42:	learn: 8.4690450	test: 9.1046773	best: 9.1046773 (42)	total: 3.3s	remaining: 35.1s
43:	learn: 8.4524822	test: 9.1001210	best: 9.1001210 (43)	total: 3.37s	remaining: 34.9s
44:	learn: 8.4361958	test: 9.0971748	best: 9.0971748 (44)	total: 3.43s	remaining: 34.7s
45:	learn: 8.4202187	test: 9.0936196	best: 9.0936196 (45)	total: 3.51s	remaining: 34.6s
46:	learn: 8.4046544	test: 9.0889859	best: 9.0889859 (46)	total: 3.57s	remaining: 34.4s
47:	learn: 8.3878043	test: 9.0852538	best: 9.0852538 (47)	total: 3.64s	remaining: 34.3s
48:	learn: 8.3732744	test: 9.0838083	best: 9.0838083 (48)	total: 3.71s	remaining: 34.1s
49:	learn: 8.3583709	test: 9.0809858	best: 9.0809858 (49)	total: 3.77s	remaining: 34s
50:	learn: 8.3434097	test: 9.0777508	best: 9.0777508 (50)	total: 3.84s	remaining: 33.8s
51:	learn: 8.3271270	test: 9.0729504	best: 9.0729504 (51)	total: 3.91s	remaining: 33.7s
52:	learn: 8.3125517	test: 9.0696692	best: 9.0696692 (52)	total: 3.98s	remaining: 33.5s
53:	learn: 8.2974588	test: 9.0676296	best: 9.0676296 (53)	total: 4.04s	remaining: 33.4s
54:	learn: 8.2834189	test: 9.0649688	best: 9.0649688 (54)	total: 4.11s	remaining: 33.2s
55:	learn: 8.2696671	test: 9.0635173	best: 9.0635173 (55)	total: 4.17s	remaining: 33.1s
56:	learn: 8.2560686	test: 9.0627966	best: 9.0627966 (56)	total: 4.24s	remaining: 32.9s
57:	learn: 8.2412750	test: 9.0599650	best: 9.0599650 (57)	total: 4.3s	remaining: 32.8s
58:	learn: 8.2274278	test: 9.0581193	best: 9.0581193 (58)	total: 4.37s	remaining: 32.7s
59:	learn: 8.2137182	test: 9.0549611	best: 9.0549611 (59)	total: 4.43s	remaining: 32.5s
60:	learn: 8.2003158	test: 9.0524260	best: 9.0524260 (60)	total: 4.5s	remaining: 32.4s
61:	learn: 8.1874756	test: 9.0503520	best: 9.0503520 (61)	total: 4.57s	remaining: 32.3s
62:	learn: 8.1738174	test: 9.0478263	best: 9.0478263 (62)	total: 4.64s	remaining: 32.2s
63:	learn: 8.1603772	test: 9.0459675	best: 9.0459675 (63)	total: 4.7s	remaining: 32s
64:	learn: 8.1483922	test: 9.0440242	best: 9.0440242 (64)	total: 4.77s	remaining: 31.9s
65:	learn: 8.1358965	test: 9.0424709	best: 9.0424709 (65)	total: 4.83s	remaining: 31.8s
66:	learn: 8.1229850	test: 9.0406580	best: 9.0406580 (66)	total: 4.9s	remaining: 31.7s
67:	learn: 8.1109520	test: 9.0374793	best: 9.0374793 (67)	total: 4.96s	remaining: 31.5s
