0:	learn: 0.6543742	total: 44.8ms	remaining: 22.3s
1:	learn: 0.6191197	total: 84.7ms	remaining: 21.1s
2:	learn: 0.5857888	total: 127ms	remaining: 21s
3:	learn: 0.5543027	total: 165ms	remaining: 20.5s
4:	learn: 0.5245741	total: 203ms	remaining: 20.1s
5:	learn: 0.4965328	total: 241ms	remaining: 19.8s
6:	learn: 0.4701058	total: 282ms	remaining: 19.9s
7:	learn: 0.4451998	total: 325ms	remaining: 20s
8:	learn: 0.4217453	total: 356ms	remaining: 19.4s
9:	learn: 0.3996723	total: 394ms	remaining: 19.3s
10:	learn: 0.3780488	total: 497ms	remaining: 22.1s
11:	learn: 0.3583582	total: 529ms	remaining: 21.5s
12:	learn: 0.3400361	total: 560ms	remaining: 21s
13:	learn: 0.3228046	total: 598ms	remaining: 20.8s
14:	learn: 0.3066110	total: 628ms	remaining: 20.3s
15:	learn: 0.2912290	total: 667ms	remaining: 20.2s
16:	learn: 0.2769304	total: 704ms	remaining: 20s
17:	learn: 0.2634954	total: 735ms	remaining: 19.7s
18:	learn: 0.2507226	total: 768ms	remaining: 19.4s
19:	learn: 0.2388636	total: 806ms	remaining: 19.3s
20:	learn: 0.2277140	total: 836ms	remaining: 19.1s
21:	learn: 0.2172328	total: 866ms	remaining: 18.8s
22:	learn: 0.2072799	total: 897ms	remaining: 18.6s
23:	learn: 0.1980181	total: 935ms	remaining: 18.5s
24:	learn: 0.1888239	total: 973ms	remaining: 18.5s
25:	learn: 0.1801788	total: 1s	remaining: 18.3s
26:	learn: 0.1720881	total: 1.04s	remaining: 18.2s
27:	learn: 0.1648927	total: 1.08s	remaining: 18.2s
28:	learn: 0.1577088	total: 1.11s	remaining: 18.1s
29:	learn: 0.1513485	total: 1.15s	remaining: 18.1s
30:	learn: 0.1453587	total: 1.19s	remaining: 18s
31:	learn: 0.1393668	total: 1.23s	remaining: 18s
32:	learn: 0.1337407	total: 1.27s	remaining: 17.9s
33:	learn: 0.1286730	total: 1.3s	remaining: 17.9s
34:	learn: 0.1239765	total: 1.34s	remaining: 17.8s
35:	learn: 0.1195369	total: 1.38s	remaining: 17.8s
