0:	learn: 0.6458573	total: 668ms	remaining: 5m 33s
1:	learn: 0.6092043	total: 1.22s	remaining: 5m 4s
2:	learn: 0.5806056	total: 1.78s	remaining: 4m 55s
3:	learn: 0.5579616	total: 2.33s	remaining: 4m 48s
4:	learn: 0.5402866	total: 2.86s	remaining: 4m 43s
5:	learn: 0.5262788	total: 3.4s	remaining: 4m 39s
6:	learn: 0.5150315	total: 3.92s	remaining: 4m 36s
7:	learn: 0.5061382	total: 4.47s	remaining: 4m 35s
8:	learn: 0.4989380	total: 5.01s	remaining: 4m 33s
9:	learn: 0.4931509	total: 5.56s	remaining: 4m 32s
10:	learn: 0.4883754	total: 6.1s	remaining: 4m 31s
11:	learn: 0.4844718	total: 6.65s	remaining: 4m 30s
12:	learn: 0.4812723	total: 7.2s	remaining: 4m 29s
13:	learn: 0.4786084	total: 7.75s	remaining: 4m 29s
14:	learn: 0.4763479	total: 8.29s	remaining: 4m 28s
15:	learn: 0.4743728	total: 8.84s	remaining: 4m 27s
16:	learn: 0.4727191	total: 9.39s	remaining: 4m 26s
17:	learn: 0.4712497	total: 9.93s	remaining: 4m 25s
18:	learn: 0.4700301	total: 10.5s	remaining: 4m 25s
19:	learn: 0.4689515	total: 11s	remaining: 4m 24s
20:	learn: 0.4679827	total: 11.6s	remaining: 4m 23s
21:	learn: 0.4671035	total: 12.1s	remaining: 4m 22s
22:	learn: 0.4663330	total: 12.6s	remaining: 4m 21s
23:	learn: 0.4656100	total: 13.1s	remaining: 4m 20s
24:	learn: 0.4649392	total: 13.7s	remaining: 4m 19s
25:	learn: 0.4643199	total: 14.2s	remaining: 4m 18s
26:	learn: 0.4637843	total: 14.7s	remaining: 4m 17s
27:	learn: 0.4631775	total: 15.2s	remaining: 4m 16s
28:	learn: 0.4627451	total: 15.8s	remaining: 4m 15s
29:	learn: 0.4623090	total: 16.3s	remaining: 4m 15s
30:	learn: 0.4617819	total: 16.8s	remaining: 4m 14s
31:	learn: 0.4613557	total: 17.3s	remaining: 4m 13s
32:	learn: 0.4610112	total: 17.9s	remaining: 4m 12s
33:	learn: 0.4606805	total: 18.4s	remaining: 4m 12s
34:	learn: 0.4602975	total: 18.9s	remaining: 4m 11s
35:	learn: 0.4599581	total: 19.4s	remaining: 4m 10s
36:	learn: 0.4595963	total: 20s	remaining: 4m 9s
37:	learn: 0.4593369	total: 20.5s	remaining: 4m 9s
