0:	learn: 0.6695316	total: 240ms	remaining: 1m 59s
1:	learn: 0.6493634	total: 463ms	remaining: 1m 55s
2:	learn: 0.6316985	total: 688ms	remaining: 1m 53s
3:	learn: 0.6162054	total: 908ms	remaining: 1m 52s
4:	learn: 0.6022771	total: 1.13s	remaining: 1m 51s
5:	learn: 0.5894404	total: 1.35s	remaining: 1m 51s
6:	learn: 0.5780899	total: 1.58s	remaining: 1m 51s
7:	learn: 0.5672211	total: 1.81s	remaining: 1m 51s
8:	learn: 0.5567302	total: 2.03s	remaining: 1m 51s
9:	learn: 0.5476861	total: 2.26s	remaining: 1m 50s
10:	learn: 0.5393549	total: 2.49s	remaining: 1m 50s
11:	learn: 0.5308629	total: 2.72s	remaining: 1m 50s
12:	learn: 0.5228632	total: 2.94s	remaining: 1m 50s
13:	learn: 0.5156096	total: 3.16s	remaining: 1m 49s
14:	learn: 0.5084365	total: 3.38s	remaining: 1m 49s
15:	learn: 0.5019120	total: 3.6s	remaining: 1m 48s
16:	learn: 0.4957406	total: 3.83s	remaining: 1m 48s
17:	learn: 0.4896400	total: 4.05s	remaining: 1m 48s
18:	learn: 0.4836907	total: 4.27s	remaining: 1m 48s
19:	learn: 0.4782110	total: 4.49s	remaining: 1m 47s
20:	learn: 0.4729430	total: 4.72s	remaining: 1m 47s
21:	learn: 0.4678962	total: 4.94s	remaining: 1m 47s
22:	learn: 0.4629066	total: 5.16s	remaining: 1m 46s
23:	learn: 0.4581956	total: 5.38s	remaining: 1m 46s
24:	learn: 0.4532889	total: 5.6s	remaining: 1m 46s
25:	learn: 0.4488091	total: 5.82s	remaining: 1m 46s
26:	learn: 0.4444787	total: 6.05s	remaining: 1m 45s
27:	learn: 0.4402945	total: 6.27s	remaining: 1m 45s
28:	learn: 0.4361266	total: 6.49s	remaining: 1m 45s
29:	learn: 0.4321143	total: 6.72s	remaining: 1m 45s
30:	learn: 0.4282701	total: 6.94s	remaining: 1m 44s
31:	learn: 0.4244169	total: 7.15s	remaining: 1m 44s
32:	learn: 0.4208170	total: 7.38s	remaining: 1m 44s
33:	learn: 0.4172779	total: 7.6s	remaining: 1m 44s
34:	learn: 0.4137927	total: 7.82s	remaining: 1m 43s
35:	learn: 0.4104570	total: 8.04s	remaining: 1m 43s
36:	learn: 0.4071603	total: 8.26s	remaining: 1m 43s
37:	learn: 0.4039370	total: 8.48s	remaining: 1m 43s
38:	learn: 0.4006406	total: 8.72s	remaining: 1m 43s
39:	learn: 0.3976046	total: 8.94s	remaining: 1m 42s
40:	learn: 0.3943968	total: 9.16s	remaining: 1m 42s
41:	learn: 0.3914089	total: 9.37s	remaining: 1m 42s
42:	learn: 0.3885665	total: 9.6s	remaining: 1m 41s
43:	learn: 0.3856791	total: 9.82s	remaining: 1m 41s
44:	learn: 0.3828322	total: 10s	remaining: 1m 41s
