0:	learn: 0.6662567	total: 207ms	remaining: 1m 43s
1:	learn: 0.6449923	total: 358ms	remaining: 1m 29s
2:	learn: 0.6276668	total: 508ms	remaining: 1m 24s
3:	learn: 0.6135551	total: 659ms	remaining: 1m 21s
4:	learn: 0.6018982	total: 811ms	remaining: 1m 20s
5:	learn: 0.5922045	total: 962ms	remaining: 1m 19s
6:	learn: 0.5842743	total: 1.11s	remaining: 1m 18s
7:	learn: 0.5776103	total: 1.3s	remaining: 1m 20s
8:	learn: 0.5717042	total: 1.45s	remaining: 1m 19s
9:	learn: 0.5665972	total: 1.6s	remaining: 1m 18s
10:	learn: 0.5623115	total: 1.75s	remaining: 1m 17s
11:	learn: 0.5584132	total: 1.9s	remaining: 1m 17s
12:	learn: 0.5546907	total: 2.05s	remaining: 1m 16s
13:	learn: 0.5515600	total: 2.23s	remaining: 1m 17s
14:	learn: 0.5486656	total: 2.38s	remaining: 1m 16s
15:	learn: 0.5461821	total: 2.53s	remaining: 1m 16s
16:	learn: 0.5438549	total: 2.67s	remaining: 1m 15s
17:	learn: 0.5415308	total: 2.82s	remaining: 1m 15s
18:	learn: 0.5395742	total: 2.97s	remaining: 1m 15s
19:	learn: 0.5376860	total: 3.11s	remaining: 1m 14s
20:	learn: 0.5359995	total: 3.27s	remaining: 1m 14s
21:	learn: 0.5345147	total: 3.42s	remaining: 1m 14s
22:	learn: 0.5330498	total: 3.58s	remaining: 1m 14s
23:	learn: 0.5316910	total: 3.73s	remaining: 1m 14s
24:	learn: 0.5304771	total: 3.88s	remaining: 1m 13s
25:	learn: 0.5293834	total: 4.03s	remaining: 1m 13s
26:	learn: 0.5282348	total: 4.18s	remaining: 1m 13s
27:	learn: 0.5272483	total: 4.33s	remaining: 1m 13s
28:	learn: 0.5262361	total: 4.48s	remaining: 1m 12s
29:	learn: 0.5253347	total: 4.63s	remaining: 1m 12s
30:	learn: 0.5244338	total: 4.79s	remaining: 1m 12s
31:	learn: 0.5236447	total: 4.93s	remaining: 1m 12s
32:	learn: 0.5227786	total: 5.08s	remaining: 1m 11s
33:	learn: 0.5220952	total: 5.23s	remaining: 1m 11s
34:	learn: 0.5213857	total: 5.38s	remaining: 1m 11s
35:	learn: 0.5205209	total: 5.53s	remaining: 1m 11s
36:	learn: 0.5198123	total: 5.7s	remaining: 1m 11s
37:	learn: 0.5191874	total: 5.85s	remaining: 1m 11s
38:	learn: 0.5185579	total: 6s	remaining: 1m 10s
39:	learn: 0.5179693	total: 6.15s	remaining: 1m 10s
40:	learn: 0.5173984	total: 6.29s	remaining: 1m 10s
41:	learn: 0.5167934	total: 6.44s	remaining: 1m 10s
42:	learn: 0.5163249	total: 6.61s	remaining: 1m 10s
43:	learn: 0.5157602	total: 6.75s	remaining: 1m 9s
44:	learn: 0.5152537	total: 6.9s	remaining: 1m 9s
45:	learn: 0.5147099	total: 7.05s	remaining: 1m 9s
46:	learn: 0.5142141	total: 7.22s	remaining: 1m 9s
47:	learn: 0.5136918	total: 7.38s	remaining: 1m 9s
48:	learn: 0.5132802	total: 7.52s	remaining: 1m 9s
49:	learn: 0.5127445	total: 7.67s	remaining: 1m 9s
50:	learn: 0.5123161	total: 7.82s	remaining: 1m 8s
51:	learn: 0.5119169	total: 8.03s	remaining: 1m 9s
52:	learn: 0.5114765	total: 8.19s	remaining: 1m 9s
53:	learn: 0.5111253	total: 8.34s	remaining: 1m 8s
54:	learn: 0.5107795	total: 8.48s	remaining: 1m 8s
55:	learn: 0.5104022	total: 8.63s	remaining: 1m 8s
56:	learn: 0.5099730	total: 8.77s	remaining: 1m 8s
57:	learn: 0.5095750	total: 8.92s	remaining: 1m 8s
58:	learn: 0.5092845	total: 9.07s	remaining: 1m 7s
59:	learn: 0.5089541	total: 9.22s	remaining: 1m 7s
