Default metric period is 5 because NDCG is/are not implemented for GPU
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
0:	total: 159ms	remaining: 1m 19s
1:	total: 315ms	remaining: 1m 18s
2:	total: 446ms	remaining: 1m 13s
3:	total: 606ms	remaining: 1m 15s
4:	total: 730ms	remaining: 1m 12s
5:	total: 861ms	remaining: 1m 10s
6:	total: 988ms	remaining: 1m 9s
7:	total: 1.11s	remaining: 1m 8s
8:	total: 1.26s	remaining: 1m 9s
9:	total: 1.42s	remaining: 1m 9s
10:	total: 1.56s	remaining: 1m 9s
11:	total: 1.68s	remaining: 1m 8s
12:	total: 1.81s	remaining: 1m 7s
13:	total: 1.93s	remaining: 1m 7s
14:	total: 2.06s	remaining: 1m 6s
15:	total: 2.15s	remaining: 1m 5s
16:	total: 2.29s	remaining: 1m 4s
17:	total: 2.42s	remaining: 1m 4s
18:	total: 2.55s	remaining: 1m 4s
19:	total: 2.72s	remaining: 1m 5s
20:	total: 2.85s	remaining: 1m 4s
21:	total: 2.97s	remaining: 1m 4s
22:	total: 3.1s	remaining: 1m 4s
23:	total: 3.22s	remaining: 1m 3s
24:	total: 3.34s	remaining: 1m 3s
25:	total: 3.46s	remaining: 1m 3s
26:	total: 3.58s	remaining: 1m 2s
27:	total: 3.71s	remaining: 1m 2s
28:	total: 3.84s	remaining: 1m 2s
29:	total: 3.97s	remaining: 1m 2s
30:	total: 4.09s	remaining: 1m 1s
31:	total: 4.22s	remaining: 1m 1s
32:	total: 4.34s	remaining: 1m 1s
33:	total: 4.47s	remaining: 1m 1s
34:	total: 4.62s	remaining: 1m 1s
35:	total: 4.74s	remaining: 1m 1s
36:	total: 4.86s	remaining: 1m
37:	total: 4.99s	remaining: 1m
38:	total: 5.11s	remaining: 1m
39:	total: 5.24s	remaining: 1m
40:	total: 5.37s	remaining: 1m
41:	total: 5.49s	remaining: 59.9s
42:	total: 5.62s	remaining: 59.7s
43:	total: 5.74s	remaining: 59.5s
44:	total: 5.87s	remaining: 59.3s
45:	total: 6s	remaining: 59.2s
46:	total: 6.12s	remaining: 59s
47:	total: 6.24s	remaining: 58.8s
48:	total: 6.36s	remaining: 58.6s
49:	total: 6.49s	remaining: 58.4s
50:	total: 6.62s	remaining: 58.2s
51:	total: 6.76s	remaining: 58.3s
52:	total: 6.88s	remaining: 58.1s
53:	total: 7.01s	remaining: 57.9s
54:	total: 7.13s	remaining: 57.7s
55:	total: 7.25s	remaining: 57.5s
56:	total: 7.38s	remaining: 57.3s
57:	total: 7.5s	remaining: 57.2s
58:	total: 7.63s	remaining: 57s
59:	total: 7.75s	remaining: 56.8s
60:	total: 7.87s	remaining: 56.7s
61:	total: 8.01s	remaining: 56.6s
62:	total: 8.14s	remaining: 56.4s
63:	total: 8.26s	remaining: 56.3s
64:	total: 8.38s	remaining: 56.1s
65:	total: 8.51s	remaining: 55.9s
66:	total: 8.63s	remaining: 55.8s
67:	total: 8.75s	remaining: 55.6s
68:	total: 8.87s	remaining: 55.4s
69:	total: 9.04s	remaining: 55.5s
70:	total: 9.16s	remaining: 55.4s
71:	total: 9.29s	remaining: 55.2s
72:	total: 9.41s	remaining: 55.1s
73:	total: 9.53s	remaining: 54.9s
74:	total: 9.66s	remaining: 54.7s
75:	total: 9.78s	remaining: 54.6s
76:	total: 9.9s	remaining: 54.4s
77:	total: 10s	remaining: 54.3s
78:	total: 10.2s	remaining: 54.2s
79:	total: 10.3s	remaining: 54s
80:	total: 10.4s	remaining: 53.8s
81:	total: 10.5s	remaining: 53.6s
82:	total: 10.6s	remaining: 53.5s
83:	total: 10.8s	remaining: 53.3s
84:	total: 10.9s	remaining: 53.2s
85:	total: 11s	remaining: 53.1s
86:	total: 11.2s	remaining: 53s
87:	total: 11.3s	remaining: 52.8s
88:	total: 11.4s	remaining: 52.6s
89:	total: 11.5s	remaining: 52.5s
90:	total: 11.6s	remaining: 52.3s
91:	total: 11.8s	remaining: 52.2s
92:	total: 11.9s	remaining: 52.1s
93:	total: 12s	remaining: 51.9s
94:	total: 12.1s	remaining: 51.7s
95:	total: 12.3s	remaining: 51.6s
96:	total: 12.4s	remaining: 51.4s
97:	total: 12.5s	remaining: 51.4s
98:	total: 12.7s	remaining: 51.4s
99:	total: 12.8s	remaining: 51.2s
100:	total: 12.9s	remaining: 51.1s
101:	total: 13s	remaining: 50.9s
102:	total: 13.2s	remaining: 50.8s
103:	total: 13.3s	remaining: 50.6s
104:	total: 13.4s	remaining: 50.4s
105:	total: 13.5s	remaining: 50.3s
106:	total: 13.7s	remaining: 50.1s
107:	total: 13.8s	remaining: 50s
108:	total: 13.9s	remaining: 49.8s
109:	total: 14s	remaining: 49.7s
110:	total: 14.1s	remaining: 49.5s
111:	total: 14.3s	remaining: 49.4s
112:	total: 14.4s	remaining: 49.2s
113:	total: 14.5s	remaining: 49.1s
114:	total: 14.6s	remaining: 48.9s
115:	total: 14.7s	remaining: 48.8s
116:	total: 14.8s	remaining: 48.6s
117:	total: 15s	remaining: 48.4s
118:	total: 15.1s	remaining: 48.3s
119:	total: 15.2s	remaining: 48.2s
120:	total: 15.3s	remaining: 48.1s
121:	total: 15.5s	remaining: 47.9s
122:	total: 15.6s	remaining: 47.8s
123:	total: 15.7s	remaining: 47.6s
124:	total: 15.8s	remaining: 47.5s
125:	total: 15.9s	remaining: 47.3s
126:	total: 16.1s	remaining: 47.2s
127:	total: 16.2s	remaining: 47.1s
128:	total: 16.3s	remaining: 46.9s
129:	total: 16.4s	remaining: 46.8s
130:	total: 16.6s	remaining: 46.6s
131:	total: 16.7s	remaining: 46.5s
