0:	learn: 10.6981200	total: 157ms	remaining: 1m 18s
1:	learn: 10.4887746	total: 313ms	remaining: 1m 17s
2:	learn: 10.3092620	total: 394ms	remaining: 1m 5s
3:	learn: 10.1507340	total: 467ms	remaining: 57.9s
4:	learn: 10.0139045	total: 544ms	remaining: 53.8s
5:	learn: 9.8917375	total: 617ms	remaining: 50.8s
6:	learn: 9.7816142	total: 691ms	remaining: 48.7s
7:	learn: 9.6845672	total: 762ms	remaining: 46.9s
8:	learn: 9.5988509	total: 831ms	remaining: 45.3s
9:	learn: 9.5212956	total: 901ms	remaining: 44.2s
10:	learn: 9.4519777	total: 980ms	remaining: 43.6s
11:	learn: 9.3871108	total: 1.05s	remaining: 42.8s
12:	learn: 9.3268393	total: 1.13s	remaining: 42.4s
13:	learn: 9.2724052	total: 1.21s	remaining: 41.9s
14:	learn: 9.2201971	total: 1.28s	remaining: 41.5s
15:	learn: 9.1721172	total: 1.35s	remaining: 40.9s
16:	learn: 9.1275582	total: 1.43s	remaining: 40.5s
17:	learn: 9.0864410	total: 1.5s	remaining: 40.1s
18:	learn: 9.0463075	total: 1.57s	remaining: 39.7s
19:	learn: 9.0089633	total: 1.65s	remaining: 39.5s
20:	learn: 8.9751373	total: 1.73s	remaining: 39.4s
21:	learn: 8.9421022	total: 1.8s	remaining: 39.1s
22:	learn: 8.9116591	total: 1.87s	remaining: 38.8s
23:	learn: 8.8813797	total: 1.94s	remaining: 38.4s
24:	learn: 8.8546887	total: 2.02s	remaining: 38.4s
25:	learn: 8.8273053	total: 2.09s	remaining: 38.1s
26:	learn: 8.8008423	total: 2.16s	remaining: 37.8s
27:	learn: 8.7768365	total: 2.23s	remaining: 37.6s
28:	learn: 8.7535365	total: 2.3s	remaining: 37.3s
29:	learn: 8.7279607	total: 2.36s	remaining: 37s
30:	learn: 8.7042197	total: 2.44s	remaining: 36.9s
31:	learn: 8.6824258	total: 2.59s	remaining: 37.8s
32:	learn: 8.6607644	total: 2.66s	remaining: 37.7s
33:	learn: 8.6397225	total: 2.73s	remaining: 37.4s
34:	learn: 8.6198533	total: 2.81s	remaining: 37.3s
35:	learn: 8.6000420	total: 2.88s	remaining: 37.2s
36:	learn: 8.5803945	total: 2.95s	remaining: 37s
37:	learn: 8.5614364	total: 3.02s	remaining: 36.8s
38:	learn: 8.5432431	total: 3.1s	remaining: 36.6s
39:	learn: 8.5257986	total: 3.17s	remaining: 36.4s
40:	learn: 8.5070079	total: 3.26s	remaining: 36.5s
41:	learn: 8.4889748	total: 3.33s	remaining: 36.3s
42:	learn: 8.4702155	total: 3.4s	remaining: 36.2s
43:	learn: 8.4535545	total: 3.47s	remaining: 36s
44:	learn: 8.4384639	total: 3.54s	remaining: 35.8s
45:	learn: 8.4216525	total: 3.61s	remaining: 35.7s
46:	learn: 8.4053795	total: 3.68s	remaining: 35.5s
47:	learn: 8.3889807	total: 3.75s	remaining: 35.3s
48:	learn: 8.3738090	total: 3.82s	remaining: 35.2s
49:	learn: 8.3579542	total: 3.89s	remaining: 35s
50:	learn: 8.3417164	total: 3.96s	remaining: 34.8s
51:	learn: 8.3272114	total: 4.03s	remaining: 34.7s
52:	learn: 8.3124674	total: 4.11s	remaining: 34.7s
53:	learn: 8.2976069	total: 4.18s	remaining: 34.5s
54:	learn: 8.2832429	total: 4.24s	remaining: 34.3s
55:	learn: 8.2695865	total: 4.31s	remaining: 34.2s
56:	learn: 8.2555948	total: 4.38s	remaining: 34.1s
57:	learn: 8.2412656	total: 4.45s	remaining: 33.9s
58:	learn: 8.2268839	total: 4.53s	remaining: 33.9s
59:	learn: 8.2138479	total: 4.61s	remaining: 33.8s
60:	learn: 8.2004946	total: 4.68s	remaining: 33.7s
61:	learn: 8.1877174	total: 4.75s	remaining: 33.6s
62:	learn: 8.1742799	total: 4.82s	remaining: 33.5s
63:	learn: 8.1620646	total: 4.89s	remaining: 33.3s
64:	learn: 8.1492676	total: 4.96s	remaining: 33.2s
65:	learn: 8.1367200	total: 5.03s	remaining: 33.1s
66:	learn: 8.1243447	total: 5.1s	remaining: 33s
67:	learn: 8.1113330	total: 5.18s	remaining: 32.9s
68:	learn: 8.0990541	total: 5.24s	remaining: 32.8s
69:	learn: 8.0865564	total: 5.31s	remaining: 32.6s
70:	learn: 8.0741376	total: 5.38s	remaining: 32.5s
71:	learn: 8.0611282	total: 5.45s	remaining: 32.4s
72:	learn: 8.0498511	total: 5.52s	remaining: 32.3s
73:	learn: 8.0385751	total: 5.58s	remaining: 32.1s
74:	learn: 8.0270805	total: 5.65s	remaining: 32s
75:	learn: 8.0154359	total: 5.72s	remaining: 31.9s
76:	learn: 8.0035340	total: 5.79s	remaining: 31.8s
77:	learn: 7.9913780	total: 5.85s	remaining: 31.7s
78:	learn: 7.9798759	total: 5.92s	remaining: 31.5s
79:	learn: 7.9689817	total: 5.98s	remaining: 31.4s
80:	learn: 7.9573280	total: 6.05s	remaining: 31.3s
81:	learn: 7.9463186	total: 6.12s	remaining: 31.2s
82:	learn: 7.9345992	total: 6.18s	remaining: 31s
83:	learn: 7.9232721	total: 6.25s	remaining: 30.9s
84:	learn: 7.9123774	total: 6.31s	remaining: 30.8s
85:	learn: 7.9020693	total: 6.38s	remaining: 30.7s
86:	learn: 7.8915850	total: 6.44s	remaining: 30.6s
87:	learn: 7.8810105	total: 6.51s	remaining: 30.5s
88:	learn: 7.8708843	total: 6.58s	remaining: 30.4s
89:	learn: 7.8605461	total: 6.64s	remaining: 30.3s
90:	learn: 7.8508030	total: 6.71s	remaining: 30.2s
91:	learn: 7.8408891	total: 6.78s	remaining: 30.1s
92:	learn: 7.8306372	total: 6.85s	remaining: 30s
93:	learn: 7.8200531	total: 6.92s	remaining: 29.9s
94:	learn: 7.8102272	total: 7s	remaining: 29.8s
95:	learn: 7.8001113	total: 7.07s	remaining: 29.7s
96:	learn: 7.7904964	total: 7.13s	remaining: 29.6s
97:	learn: 7.7805096	total: 7.2s	remaining: 29.5s
98:	learn: 7.7705219	total: 7.26s	remaining: 29.4s
99:	learn: 7.7608036	total: 7.33s	remaining: 29.3s
100:	learn: 7.7499009	total: 7.39s	remaining: 29.2s
101:	learn: 7.7395469	total: 7.46s	remaining: 29.1s
102:	learn: 7.7300346	total: 7.53s	remaining: 29s
103:	learn: 7.7205170	total: 7.59s	remaining: 28.9s
104:	learn: 7.7113272	total: 7.66s	remaining: 28.8s
105:	learn: 7.7019257	total: 7.73s	remaining: 28.7s
106:	learn: 7.6925192	total: 7.79s	remaining: 28.6s
107:	learn: 7.6837230	total: 7.86s	remaining: 28.5s
108:	learn: 7.6747654	total: 7.92s	remaining: 28.4s
109:	learn: 7.6655562	total: 7.99s	remaining: 28.3s
110:	learn: 7.6562644	total: 8.05s	remaining: 28.2s
111:	learn: 7.6470918	total: 8.15s	remaining: 28.2s
112:	learn: 7.6378992	total: 8.22s	remaining: 28.2s
113:	learn: 7.6277222	total: 8.29s	remaining: 28.1s
114:	learn: 7.6186506	total: 8.36s	remaining: 28s
115:	learn: 7.6094517	total: 8.43s	remaining: 27.9s
116:	learn: 7.6006375	total: 8.49s	remaining: 27.8s
117:	learn: 7.5916287	total: 8.57s	remaining: 27.7s
118:	learn: 7.5828421	total: 8.64s	remaining: 27.7s
119:	learn: 7.5738622	total: 8.71s	remaining: 27.6s
120:	learn: 7.5642098	total: 8.77s	remaining: 27.5s
121:	learn: 7.5557395	total: 8.85s	remaining: 27.4s
122:	learn: 7.5466014	total: 8.92s	remaining: 27.3s
123:	learn: 7.5380798	total: 9s	remaining: 27.3s
124:	learn: 7.5297595	total: 9.08s	remaining: 27.2s
125:	learn: 7.5211973	total: 9.15s	remaining: 27.2s
126:	learn: 7.5125359	total: 9.21s	remaining: 27.1s
127:	learn: 7.5044634	total: 9.28s	remaining: 27s
128:	learn: 7.4952538	total: 9.35s	remaining: 26.9s
129:	learn: 7.4856881	total: 9.41s	remaining: 26.8s
130:	learn: 7.4776042	total: 9.48s	remaining: 26.7s
131:	learn: 7.4689964	total: 9.55s	remaining: 26.6s
132:	learn: 7.4612461	total: 9.61s	remaining: 26.5s
133:	learn: 7.4534016	total: 9.68s	remaining: 26.4s
134:	learn: 7.4452861	total: 9.74s	remaining: 26.3s
135:	learn: 7.4372673	total: 9.81s	remaining: 26.3s
136:	learn: 7.4286409	total: 9.87s	remaining: 26.2s
137:	learn: 7.4204632	total: 9.94s	remaining: 26.1s
138:	learn: 7.4138842	total: 10s	remaining: 26s
139:	learn: 7.4058745	total: 10.1s	remaining: 25.9s
140:	learn: 7.3978753	total: 10.1s	remaining: 25.8s
141:	learn: 7.3910916	total: 10.3s	remaining: 25.9s
142:	learn: 7.3835402	total: 10.4s	remaining: 25.9s
143:	learn: 7.3764068	total: 10.4s	remaining: 25.8s
144:	learn: 7.3691085	total: 10.5s	remaining: 25.7s
145:	learn: 7.3618126	total: 10.6s	remaining: 25.6s
146:	learn: 7.3532983	total: 10.6s	remaining: 25.6s
147:	learn: 7.3458041	total: 10.7s	remaining: 25.5s
148:	learn: 7.3381206	total: 10.8s	remaining: 25.4s
149:	learn: 7.3304009	total: 10.8s	remaining: 25.3s
150:	learn: 7.3230861	total: 10.9s	remaining: 25.2s
151:	learn: 7.3163297	total: 11s	remaining: 25.1s
152:	learn: 7.3101438	total: 11s	remaining: 25s
153:	learn: 7.3021420	total: 11.1s	remaining: 25s
154:	learn: 7.2962984	total: 11.2s	remaining: 24.9s
155:	learn: 7.2879642	total: 11.2s	remaining: 24.8s
156:	learn: 7.2811029	total: 11.3s	remaining: 24.7s
157:	learn: 7.2742171	total: 11.4s	remaining: 24.6s
158:	learn: 7.2668155	total: 11.4s	remaining: 24.5s
159:	learn: 7.2605954	total: 11.5s	remaining: 24.5s
160:	learn: 7.2549833	total: 11.6s	remaining: 24.4s
161:	learn: 7.2500536	total: 11.6s	remaining: 24.3s
162:	learn: 7.2439379	total: 11.7s	remaining: 24.2s
163:	learn: 7.2377041	total: 11.8s	remaining: 24.1s
164:	learn: 7.2309974	total: 11.8s	remaining: 24s
165:	learn: 7.2235121	total: 11.9s	remaining: 23.9s
166:	learn: 7.2161141	total: 12s	remaining: 23.8s
167:	learn: 7.2097109	total: 12s	remaining: 23.8s
168:	learn: 7.2041830	total: 12.1s	remaining: 23.7s
169:	learn: 7.1973156	total: 12.1s	remaining: 23.6s
170:	learn: 7.1906900	total: 12.2s	remaining: 23.5s
171:	learn: 7.1831888	total: 12.3s	remaining: 23.4s
172:	learn: 7.1763698	total: 12.3s	remaining: 23.3s
173:	learn: 7.1691855	total: 12.4s	remaining: 23.2s
174:	learn: 7.1637642	total: 12.5s	remaining: 23.1s
175:	learn: 7.1590970	total: 12.5s	remaining: 23.1s
176:	learn: 7.1531405	total: 12.6s	remaining: 23s
177:	learn: 7.1480016	total: 12.7s	remaining: 22.9s
178:	learn: 7.1416641	total: 12.7s	remaining: 22.8s
179:	learn: 7.1353573	total: 12.8s	remaining: 22.7s
180:	learn: 7.1299787	total: 12.8s	remaining: 22.6s
181:	learn: 7.1250869	total: 12.9s	remaining: 22.5s
182:	learn: 7.1185146	total: 13.1s	remaining: 22.7s
183:	learn: 7.1132505	total: 13.1s	remaining: 22.6s
184:	learn: 7.1059311	total: 13.2s	remaining: 22.5s
185:	learn: 7.1010340	total: 13.3s	remaining: 22.4s
186:	learn: 7.0933492	total: 13.4s	remaining: 22.4s
187:	learn: 7.0880248	total: 13.4s	remaining: 22.3s
188:	learn: 7.0826160	total: 13.5s	remaining: 22.2s
189:	learn: 7.0772421	total: 13.6s	remaining: 22.1s
190:	learn: 7.0717509	total: 13.6s	remaining: 22.1s
191:	learn: 7.0651330	total: 13.7s	remaining: 22s
192:	learn: 7.0597979	total: 13.8s	remaining: 21.9s
193:	learn: 7.0541315	total: 13.8s	remaining: 21.8s
194:	learn: 7.0493795	total: 13.9s	remaining: 21.7s
195:	learn: 7.0451646	total: 13.9s	remaining: 21.6s
196:	learn: 7.0390639	total: 14s	remaining: 21.5s
197:	learn: 7.0339796	total: 14.1s	remaining: 21.5s
198:	learn: 7.0291931	total: 14.1s	remaining: 21.4s
199:	learn: 7.0243991	total: 14.2s	remaining: 21.3s
200:	learn: 7.0174823	total: 14.3s	remaining: 21.2s
201:	learn: 7.0124336	total: 14.3s	remaining: 21.1s
202:	learn: 7.0069720	total: 14.4s	remaining: 21s
203:	learn: 7.0002278	total: 14.4s	remaining: 21s
204:	learn: 6.9951932	total: 14.5s	remaining: 20.9s
